energy_ev,total_up,Pb_p_up,Pb_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,5.11183921,0.06115446,0.00119977,4.67199877,1.00011579,3.57529523,0.00000000
-5.99399700,5.24786999,0.06153370,0.00118432,4.82678049,1.01952744,3.67031707,0.00000000
-5.98799400,5.37552840,0.06185107,0.00117612,4.97135766,1.03812660,3.75963046,0.00000000
-5.98199100,5.49312086,0.06209094,0.00117425,5.10434533,1.05554232,3.84204781,0.00000000
-5.97598799,5.59935460,0.06224403,0.00117792,5.22470568,1.07148972,3.91666133,0.00000000
-5.96998499,5.69333676,0.06230741,0.00118641,5.33174787,1.08577031,3.98284218,0.00000000
-5.96398199,5.77455486,0.06228418,0.00119906,5.42511195,1.09826792,4.04022650,0.00000000
-5.95797899,5.84284050,0.06218287,0.00121532,5.50473828,1.10894078,4.08868977,0.00000000
-5.95197599,5.89831932,0.06201654,0.00123467,5.57082487,1.11781045,4.12831148,0.00000000
-5.94597299,5.94135075,0.06180184,0.00125663,5.62377548,1.12494829,4.15933276,0.00000000
-5.93996998,5.97246172,0.06155780,0.00128073,5.66414196,1.13046051,4.18210974,0.00000000
-5.93396698,5.99227868,0.06130467,0.00130652,5.69256463,1.13447274,4.19706590,0.00000000
-5.92796398,6.00146225,0.06106271,0.00133350,5.70971455,1.13711505,4.20464633,0.00000000
-5.92196098,6.00064856,0.06085109,0.00136116,5.71624102,1.13850836,4.20527674,0.00000000
-5.91595798,5.99040045,0.06068694,0.00138893,5.71272772,1.13875306,4.19932961,0.00000000
-5.90995498,5.97117148,0.06058447,0.00141624,5.69965968,1.13792024,4.18709926,0.00000000
-5.90395198,5.94328408,0.06055442,0.00144242,5.67740297,1.13604628,4.16878713,0.00000000
-5.89794897,5.90692261,0.06060365,0.00146683,5.64619758,1.13313052,4.14449741,0.00000000
-5.89194597,5.86214084,0.06073497,0.00148877,5.60616359,1.12913639,4.11424301,0.00000000
-5.88594297,5.80888246,0.06094720,0.00150755,5.55731921,1.12399538,4.07796057,0.00000000
-5.87993997,5.74701229,0.06123543,0.00152251,5.49960887,1.11761363,4.03553304,0.00000000
-5.87393697,5.67635520,0.06159143,0.00153301,5.43293892,1.10988039,3.98681767,0.00000000
-5.86793397,5.59673954,0.06200419,0.00153851,5.35721757,1.10067770,3.93167705,0.00000000
-5.86193097,5.50804131,0.06246059,0.00153851,5.27239616,1.08989058,3.87001065,0.00000000
-5.85592796,5.41022588,0.06294600,0.00153266,5.17850828,1.07741691,3.80178442,0.00000000
-5.84992496,5.30338383,0.06344504,0.00152071,5.07570390,1.06317645,3.72705632,0.00000000
-5.84392196,5.18775871,0.06394213,0.00150253,4.96427590,1.04711826,3.64599588,0.00000000
-5.83791896,5.06376458,0.06442210,0.00147817,4.84467722,1.02922629,3.55889652,0.00000000
-5.83191596,4.93199238,0.06487058,0.00144780,4.71752738,1.00952270,3.46617988,0.00000000
-5.82591296,4.79320490,0.06527442,0.00141171,4.58360801,0.98806892,3.36839204,0.00000000
-5.81990995,4.64832109,0.06562182,0.00137036,4.44384796,0.96496444,3.26619204,0.00000000
-5.81390695,4.49839074,0.06590246,0.00132429,4.29929894,0.94034364,3.16033371,0.00000000
-5.80790395,4.34456184,0.06610748,0.00127415,4.15110365,0.91437086,3.05164212,0.00000000
-5.80190095,4.18804268,0.06622940,0.00122067,4.00045840,0.88723424,2.94098638,0.00000000
-5.79589795,4.03006139,0.06626187,0.00116461,3.84857298,0.85913877,2.82925063,0.00000000
-5.78989495,3.87182565,0.06619956,0.00110679,3.69663009,0.83029904,2.71730504,0.00000000
-5.78389195,3.71448493,0.06603785,0.00104802,3.54574711,0.80093218,2.60597878,0.00000000
-5.77788894,3.55909740,0.06577269,0.00098908,3.39694220,0.77125135,2.49603617,0.00000000
-5.77188594,3.40660348,0.06540039,0.00093074,3.25110673,0.74146019,2.38815766,0.00000000
-5.76588294,3.25780705,0.06491755,0.00087371,3.10898538,0.71174849,2.28292621,0.00000000
-5.75987994,3.11336491,0.06432099,0.00081863,2.97116466,0.68228908,2.18081958,0.00000000
-5.75387694,2.97378480,0.06360782,0.00076609,2.83807003,0.65323623,2.08220868,0.00000000
-5.74787394,2.83943120,0.06277555,0.00071658,2.70997141,0.62472516,1.98736156,0.00000000
-5.74187094,2.71053801,0.06182227,0.00067054,2.58699605,0.59687290,1.89645222,0.00000000
-5.73586793,2.58722690,0.06074692,0.00062831,2.46914760,0.56977994,1.80957349,0.00000000
-5.72986493,2.46952933,0.05954950,0.00059018,2.35632979,0.54353259,1.72675266,0.00000000
-5.72386193,2.35741085,0.05823144,0.00055637,2.24837291,0.51820571,1.64796856,0.00000000
-5.71785893,2.25079542,0.05679582,0.00052703,2.14506121,0.49386552,1.57316889,0.00000000
-5.71185593,2.14958841,0.05524759,0.00050228,2.04615948,0.47057215,1.50228647,0.00000000
-5.70585293,2.05369642,0.05359379,0.00048219,1.95143723,0.44838178,1.43525343,0.00000000
-5.69984992,1.96304289,0.05184361,0.00046677,1.86068890,0.42734803,1.37201223,0.00000000
-5.69384692,1.87757842,0.05000837,0.00045601,1.77374923,0.40752265,1.31252321,0.00000000
