energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.33921486,0.01343753,0.01354131,0.02749568,0.85318424,0.34982023,0.11151493,0.98611212,0.03831715
-5.99399700,1.36429661,0.01385886,0.01351261,0.02746565,0.87197873,0.36418089,0.11497541,1.01262088,0.03851562
-5.98799400,1.39046430,0.01435700,0.01346661,0.02738050,0.89162869,0.38004923,0.11862455,1.04050953,0.03870627
-5.98199100,1.41814470,0.01494622,0.01341421,0.02725323,0.91237557,0.39752019,0.12247724,1.07002453,0.03890199
-5.97598799,1.44773308,0.01564063,0.01336664,0.02709697,0.93443558,0.41667067,0.12654321,1.10137429,0.03911555
-5.96998499,1.47956639,0.01645359,0.01333503,0.02692445,0.95798336,0.43755210,0.13082531,1.13471093,0.03935884
-5.96398199,1.51389854,0.01739713,0.01333003,0.02674748,0.98313721,0.46018367,0.13531794,1.17011410,0.03964212
-5.95797899,1.55087927,0.01848133,0.01336137,0.02657644,1.00994677,0.48454632,0.14000590,1.20757773,0.03997335
-5.95197599,1.59053749,0.01971379,0.01343755,0.02641996,1.03838351,0.51057800,0.14486362,1.24700041,0.04035767
-5.94597299,1.63276984,0.02109906,0.01356547,0.02628465,1.06833483,0.53817025,0.14985492,1.28817986,0.04079696
-5.93996998,1.67733506,0.02263824,0.01375013,0.02617491,1.09960170,0.56716651,0.15493319,1.33081180,0.04128965
-5.93396698,1.72385428,0.02432862,0.01399448,0.02609295,1.13190008,0.59736202,0.16004209,1.37449319,0.04183060
-5.92796398,1.77181722,0.02616348,0.01429921,0.02603882,1.16486608,0.62850564,0.16511668,1.41872983,0.04241120
-5.92196098,1.82059380,0.02813204,0.01466272,0.02601064,1.19806437,0.66030331,0.17008496,1.46294780,0.04301962
-5.91595798,1.86945084,0.03021949,0.01508110,0.02600481,1.23099974,0.69242324,0.17486969,1.50650837,0.04364118
-5.90995498,1.91757282,0.03240726,0.01554819,0.02601639,1.26313094,0.72450258,0.17939052,1.54872561,0.04425886
-5.90395198,1.96408604,0.03467344,0.01605578,0.02603944,1.29388659,0.75615545,0.18356623,1.58888614,0.04485385
-5.89794897,2.00808506,0.03699324,0.01659380,0.02606744,1.32268225,0.78698192,0.18731702,1.62627008,0.04540627
-5.89194597,2.04866057,0.03933972,0.01715062,0.02609368,1.34893812,0.81657788,0.19056691,1.66017254,0.04589582
-5.88594297,2.08492753,0.04168452,0.01771339,0.02611163,1.37209680,0.84454527,0.19324590,1.68992489,0.04630249
-5.87993997,2.11605277,0.04399871,0.01826843,0.02611528,1.39164037,0.87050244,0.19529205,1.71491496,0.04660725
-5.87393697,2.14128107,0.04625366,0.01880169,0.02609942,1.40710648,0.89409430,0.19665337,1.73460579,0.04679273
-5.86793397,2.15995898,0.04842189,0.01929917,0.02605987,1.41810272,0.91500181,0.19728938,1.74855206,0.04684377
-5.86193097,2.17155562,0.05047795,0.01974742,0.02599358,1.42431908,0.93295061,0.19717244,1.75641398,0.04674795
-5.85592796,2.17567996,0.05239910,0.02013396,0.02589877,1.42553803,0.94771841,0.19628866,1.75796819,0.04649602
-5.84992496,2.17209396,0.05416599,0.02044778,0.02577487,1.42164206,0.95914084,0.19463861,1.75311532,0.04608222
-5.84392196,2.16072145,0.05576313,0.02067969,0.02562246,1.41261840,0.96711558,0.19223750,1.74188414,0.04550446
-5.83791896,2.14165228,0.05717924,0.02082274,0.02544318,1.39856090,0.97160467,0.18911520,1.72443219,0.04476449
-5.83191596,2.11514177,0.05840735,0.02087247,0.02523951,1.37966898,0.97263471,0.18531571,1.70104287,0.04386780
-5.82591296,2.08160562,0.05944476,0.02082718,0.02501459,1.35624371,0.97029517,0.18089649,1.67211917,0.04282357
-5.81990995,2.04161016,0.06029287,0.02068805,0.02477197,1.32868117,0.96473468,0.17592729,1.63817421,0.04164440
