energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.78284768,0.00142950,0.32703155,0.00670346,0.07155661,0.37131439,0.18326292
-5.99399700,0.80682283,0.00152006,0.34208337,0.00713306,0.06975337,0.39330153,0.18853824
-5.98799400,0.83259466,0.00160840,0.35762360,0.00754524,0.06842591,0.41592403,0.19407324
-5.98199100,0.85998223,0.00169315,0.37350337,0.00793353,0.06762847,0.43895800,0.19982621
-5.97598799,0.88875335,0.00177313,0.38955876,0.00829207,0.06740390,0.46215497,0.20575047
-5.96998499,0.91863357,0.00184741,0.40561578,0.00861584,0.06778331,0.48524792,0.21179694
-5.96398199,0.94931720,0.00191527,0.42149589,0.00890079,0.06878604,0.50795840,0.21791680
-5.95797899,0.98047953,0.00197630,0.43702192,0.00914402,0.07042005,0.53000439,0.22406432
-5.95197599,1.01178971,0.00203036,0.45202401,0.00934382,0.07268245,0.55110857,0.23019931
-5.94597299,1.04292345,0.00207760,0.46634529,0.00949979,0.07556030,0.57100680,0.23628933
-5.93996998,1.07357485,0.00211843,0.47984707,0.00961284,0.07903156,0.58945630,0.24231129
-5.93396698,1.10346686,0.00215354,0.49241320,0.00968513,0.08306598,0.60624343,0.24825247
-5.92796398,1.13235985,0.00218384,0.50395357,0.00971997,0.08762609,0.62119066,0.25411075
-5.92196098,1.16005799,0.00221043,0.51440655,0.00972172,0.09266812,0.63416262,0.25989421
-5.91595798,1.18641328,0.00223451,0.52374028,0.00969557,0.09814277,0.64507086,0.26561995
-5.90995498,1.21132725,0.00225738,0.53195298,0.00964736,0.10399597,0.65387750,0.27131242
-5.90395198,1.23475051,0.00228032,0.53907218,0.00958329,0.11016951,0.66059740,0.27700116
-5.89794897,1.25668047,0.00230457,0.54515315,0.00950975,0.11660155,0.66529902,0.28271840
-5.89194597,1.27715759,0.00233120,0.55027656,0.00943299,0.12322721,0.66810401,0.28849649
-5.88594297,1.29626084,0.00236115,0.55454580,0.00935895,0.12997907,0.66918551,0.29436544
-5.87993997,1.31410267,0.00239509,0.55808391,0.00929306,0.13678782,0.66876539,0.30035086
-5.87393697,1.33082424,0.00243342,0.56103050,0.00924004,0.14358306,0.66711057,0.30647236
-5.86793397,1.34659126,0.00247624,0.56353880,0.00920384,0.15029423,0.66452841,0.31274264
-5.86193097,1.36159091,0.00252338,0.56577301,0.00918753,0.15685191,0.66136162,0.31916732
-5.85592796,1.37603003,0.00257435,0.56790599,0.00919335,0.16318934,0.65798251,0.32574562
-5.84992496,1.39013481,0.00262838,0.57011736,0.00922272,0.16924431,0.65478700,0.33247182
-5.84392196,1.40415184,0.00268453,0.57259213,0.00927636,0.17496126,0.65218827,0.33933745
-5.83791896,1.41835035,0.00274164,0.57551949,0.00935443,0.18029377,0.65061023,0.34633406
-5.83191596,1.43302530,0.00279847,0.57909202,0.00945673,0.18520714,0.65048096,0.35345642
-5.82591296,1.44850084,0.00285376,0.58350486,0.00958285,0.18968111,0.65222590,0.36070581
-5.81990995,1.46513354,0.00290629,0.58895481,0.00973244,0.19371258,0.65626111,0.36809332
-5.81390695,1.48331490,0.00295496,0.59563916,0.00990537,0.19731811,0.66298637,0.37564274
-5.80790395,1.50347237,0.00299888,0.60375415,0.01010191,0.20053617,0.67277838,0.38339288
-5.80190095,1.52606856,0.00303740,0.61349274,0.01032294,0.20342887,0.68598377,0.39139909
-5.79589795,1.55159809,0.00307018,0.62504192,0.01057001,0.20608313,0.70291243,0.39973382
-5.78989495,1.58058193,0.00309724,0.63857927,0.01084545,0.20861108,0.72383078,0.40848611
-5.78389195,1.61355912,0.00311892,0.65426902,0.01115239,0.21114964,0.74895547,0.41776005
-5.77788894,1.65107608,0.00313593,0.67225768,0.01149476,0.21385918,0.77844752,0.42767217
-5.77188594,1.69367384,0.00314931,0.69266949,0.01187719,0.21692128,0.81240712,0.43834799
-5.76588294,1.74187379,0.00316039,0.71560194,0.01230499,0.22053555,0.85086929,0.44991789
-5.75987994,1.79616267,0.00317075,0.74112169,0.01278396,0.22491557,0.89380078,0.46251257
-5.75387694,1.85697758,0.00318213,0.76926121,0.01332030,0.23028418,0.94109821,0.47625840
-5.74787394,1.92469187,0.00319638,0.80001640,0.01392041,0.23686803,0.99258788,0.49127296
-5.74187094,1.99960285,0.00321537,0.83334563,0.01459081,0.24489175,1.04802731,0.50766106
-5.73586793,2.08192187,0.00324092,0.86917014,0.01533798,0.25457187,1.10710861,0.52551151
-5.72986493,2.17176745,0.00327470,0.90737613,0.01616822,0.26611058,1.16946375,0.54489479
-5.72386193,2.26916180,0.00331818,0.94781840,0.01708759,0.27968976,1.23467162,0.56586180
-5.71785893,2.37403075,0.00337255,0.99032547,0.01810179,0.29546513,1.30226670,0.58844369
-5.71185593,2.48620695,0.00343870,1.03470588,0.01921614,0.31356102,1.37174916,0.61265263
-5.70585293,2.60543581,0.00351713,1.08075534,0.02043548,0.33406563,1.44259582,0.63848353
-5.69984992,2.73138364,0.00360799,1.12826427,0.02176415,0.35702706,1.51427173,0.66591632
-5.69384692,2.86364700,0.00371101,1.17702524,0.02320588,0.38245003,1.58624177,0.69491860
-5.68784392,3.00176231,0.00382558,1.22683970,0.02476372,0.41029347,1.65798169,0.72544832
-5.68184092,3.14521489,0.00395068,1.27752362,0.02643993,0.44046895,1.72898822,0.75745624
-5.67583792,3.29344640,0.00408498,1.32891155,0.02823576,0.47283982,1.79878755,0.79088772
-5.66983492,3.44586005,0.00422683,1.38085874,0.03015130,0.50722127,1.86694206,0.82568390
-5.66383192,3.60182313,0.00437436,1.43324116,0.03218522,0.54338114,1.93305478,0.86178184
-5.65782891,3.76066671,0.00452544,1.48595341,0.03433442,0.58104143,1.99677159,0.89911377
-5.65182591,3.92168269,0.00467783,1.53890468,0.03659381,0.61988065,2.05778112,0.93760549
-5.64582291,4.08411879,0.00482914,1.59201299,0.03895592,0.65953692,2.11581256,0.97717397
-5.63981991,4.24717233,0.00497696,1.64519827,0.04141063,0.69961176,2.17063172,1.01772459
-5.63381691,4.40998382,0.00511883,1.69837483,0.04394490,0.73967487,2.22203571,1.05914818
-5.62781391,4.57163177,0.00525234,1.75144384,0.04654256,0.77926956,2.26984701,1.10131829
-5.62181091,4.73112990,0.00537514,1.80428650,0.04918422,0.81791922,2.31390738,1.14408906
-5.61580790,4.88742798,0.00548499,1.85675862,0.05184726,0.85513456,2.35407232,1.18729399
-5.60980490,5.03941742,0.00557977,1.90868693,0.05450599,0.89042180,2.39020667,1.23074587
-5.60380190,5.18594210,0.00565757,1.95986786,0.05713194,0.92329164,2.42218184,1.27423805
-5.59779890,5.32581497,0.00571665,2.01006861,0.05969431,0.95326886,2.44987507,1.31754705
-5.59179590,5.45784003,0.00575551,2.05903084,0.06216056,0.97990258,2.47317080,1.36043645
