energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,1.24592419,0.02238759,0.00655437,0.33092473,0.05914517,0.46380616,0.49488257,0.00367744,0.79828385
-5.99399700,1.28053609,0.02270579,0.00640512,0.34213285,0.06128218,0.48151534,0.50074080,0.00359319,0.82450256
-5.98799400,1.31959550,0.02296496,0.00637019,0.35441527,0.06414379,0.50182654,0.50650240,0.00350262,0.85397247
-5.98199100,1.36256406,0.02315917,0.00644114,0.36753463,0.06770809,0.52442510,0.51208817,0.00340662,0.88631670
-5.97598799,1.40889618,0.02328361,0.00660960,0.38124275,0.07194954,0.54897736,0.51744102,0.00330658,0.92114551
-5.96998499,1.45804865,0.02333458,0.00686746,0.39528552,0.07683929,0.57513767,0.52252630,0.00320431,0.95806357
-5.96398199,1.50948986,0.02330945,0.00720706,0.40940815,0.08234552,0.60255546,0.52733162,0.00310196,0.99667724
-5.95797899,1.56270870,0.02320661,0.00762128,0.42336043,0.08843363,0.63088241,0.53186649,0.00300203,1.03660182
-5.95197599,1.61722345,0.02302545,0.00810365,0.43690213,0.09506651,0.65977946,0.53616181,0.00290720,1.07746878
-5.94597299,1.67259063,0.02276635,0.00864842,0.44980828,0.10220472,0.68892372,0.54026942,0.00282034,1.11893301
-5.93996998,1.72841362,0.02243060,0.00925058,0.46187427,0.10980676,0.71801497,0.54426176,0.00274440,1.16067992
-5.93396698,1.78435120,0.02202043,0.00990589,0.47292054,0.11782946,0.74678163,0.54823172,0.00268237,1.20243223
-5.92796398,1.84012547,0.02153899,0.01061084,0.48279672,0.12622832,0.77498608,0.55229265,0.00263720,1.24395632
-5.92196098,1.89552905,0.02099032,0.01136268,0.49138509,0.13495805,0.80242893,0.55657853,0.00261181,1.28506775
-5.91595798,1.95043102,0.02037935,0.01215929,0.49860317,0.14397317,0.82895231,0.56124402,0.00260902,1.32563591
-5.90995498,2.00478138,0.01971187,0.01299919,0.50440529,0.15322862,0.85444180,0.56646460,0.00263152,1.36558719
-5.90395198,2.05861343,0.01899447,0.01388141,0.50878311,0.16268046,0.87882706,0.57243624,0.00268185,1.40490679
-5.89794897,2.11204394,0.01823448,0.01480539,0.51176502,0.17228661,0.90208086,0.57937485,0.00276242,1.44363865
-5.89194597,2.16527063,0.01743990,0.01577087,0.51341438,0.18200743,0.92421681,0.58751507,0.00287543,1.48188351
-5.88594297,2.21856690,0.01661923,0.01677777,0.51382666,0.19180638,0.94528550,0.59710840,0.00302291,1.51979500
-5.87993997,2.27227367,0.01578143,0.01782598,0.51312564,0.20165043,0.96536939,0.60842061,0.00320665,1.55757362
-5.87393697,2.32678834,0.01493566,0.01891531,0.51145868,0.21151037,0.98457659,0.62172827,0.00342820,1.59545890
-5.86793397,2.38255118,0.01409120,0.02004521,0.50899132,0.22136090,1.00303358,0.63731441,0.00368883,1.63371976
-5.86193097,2.44002925,0.01325719,0.02121469,0.50590141,0.23118049,1.02087747,0.65546339,0.00398947,1.67264333
