energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.89403169,0.00126475,0.10576404,0.01240803,1.77147406,1.24162607,0.05671915,0.43637151,0.35518937
-5.99399700,3.03679951,0.00142630,0.10873276,0.01333259,1.86306152,1.30317165,0.05890018,0.47184858,0.37114445
-5.98799400,3.18092241,0.00161623,0.11150067,0.01435983,1.95579035,1.36502855,0.06105869,0.50957612,0.38700889
-5.98199100,3.32732628,0.00183951,0.11412426,0.01551088,2.05014184,1.42748515,0.06322233,0.54970203,0.40289584
-5.97598799,3.47710295,0.00210152,0.11667322,0.01680888,2.14668274,1.49088631,0.06542349,0.59236752,0.41894491
-5.96998499,3.63146782,0.00240793,0.11922857,0.01827857,2.24604092,1.55561658,0.06769830,0.63769973,0.43531738
-5.96398199,3.79170825,0.00276464,0.12188010,0.01994574,2.34887595,1.62208022,0.07008533,0.68580349,0.45219009
-5.95797899,3.95912417,0.00317759,0.12472339,0.02183655,2.45584561,1.69067869,0.07262414,0.73675264,0.46974812
-5.95197599,4.13496303,0.00365264,0.12785632,0.02397681,2.56756947,1.76178649,0.07535374,0.79058108,0.48817654
-5.94597299,4.32035135,0.00419532,0.13137518,0.02639108,2.68459085,1.83572643,0.07831093,0.84727389,0.50765142
-5.93996998,4.51622546,0.00481064,0.13537069,0.02910177,2.80733862,1.91274512,0.08152869,0.90675877,0.52833050
-5.93396698,4.72326400,0.00550288,0.13992384,0.03212816,2.93609042,1.99298996,0.08503461,0.96889821,0.55034383
-5.92796398,4.94182499,0.00627527,0.14510186,0.03548541,3.07093874,2.07648841,0.08884949,1.03348270,0.57378471
-5.92196098,5.17189004,0.00712982,0.15095441,0.03918360,3.21176126,2.16313053,0.09298600,1.10022531,0.59870138
-5.91595798,5.41301816,0.00806705,0.15751017,0.04322682,3.35819699,2.25265562,0.09744771,1.16875803,0.62508971
-5.90995498,5.66431141,0.00908575,0.16477396,0.04761234,3.50962912,2.34464359,0.10222830,1.23863008,0.65288739
-5.90395198,5.92439429,0.01018285,0.17272456,0.05232995,3.66517593,2.43851163,0.10731105,1.30930852,0.68196974
-5.89794897,6.19140846,0.01135322,0.18131331,0.05736141,3.82369021,2.53351646,0.11266868,1.38018149,0.71214754
-5.89194597,6.46302365,0.01258962,0.19046361,0.06268015,3.98376787,2.62876235,0.11826348,1.45056406,0.74316709
-5.88594297,6.73646536,0.01388262,0.20007147,0.06825115,4.14376582,2.72321486,0.12404776,1.51970685,0.77471251
-5.87993997,7.00855931,0.01522073,0.21000694,0.07403110,4.30182914,2.81572004,0.12996464,1.58680759,0.80641045
-5.87393697,7.27579180,0.01659042,0.22011667,0.07996876,4.45592681,2.90502863,0.13594900,1.65102518,0.83783708
-5.86793397,7.53438470,0.01797639,0.23022741,0.08600565,4.60389538,2.98982465,0.14192884,1.71149627,0.86852729
-5.86193097,7.78038322,0.01936179,0.24015034,0.09207691,4.74348936,3.06875746,0.14782670,1.76735400,0.89798586
-5.85592796,8.00975373,0.02072859,0.24968630,0.09811244,4.87243675,3.14047638,0.15356136,1.81774821,0.92570016
-5.84992496,8.21848868,0.02205795,0.25863145,0.10403820,4.98849812,3.20366676,0.15904961,1.86186677,0.95115415
-5.84392196,8.40271525,0.02333069,0.26678350,0.10977773,5.08952717,3.25708621,0.16420809,1.89895724,0.97384310
-5.83791896,8.55880383,0.02452775,0.27394806,0.11525373,5.17353080,3.29959984,0.16895515,1.92834804,0.99328842
-5.83191596,8.68347265,0.02563069,0.27994489,0.12038978,5.23872640,3.33021317,0.17321276,1.94946851,1.00905229
-5.82591296,8.77388462,0.02662219,0.28461394,0.12511202,5.28359447,3.34810166,0.17690819,1.96186686,1.02075129
-5.81990995,8.82773293,0.02748652,0.28782076,0.12935087,5.30692449,3.35263566,0.17997574,1.96522543,1.02806861
-5.81390695,8.84331224,0.02820999,0.28946125,0.13304263,5.30785252,3.34340000,0.18235820,1.95937254,1.03076442
-5.80790395,8.81957285,0.02878128,0.28946535,0.13613097,5.28588903,3.32020751,0.18400809,1.94429036,1.02868388
-5.80190095,8.75615590,0.02919183,0.28779966,0.13856826,5.24093605,3.28310601,0.18488883,1.92011850,1.02176262
-5.79589795,8.65340869,0.02943600,0.28446889,0.14031666,5.17329329,3.23237868,0.18497545,1.88715305,1.01002941
-5.78989495,8.51237961,0.02951127,0.27951597,0.14134907,5.08365290,3.16853781,0.18425521,1.84584111,0.99360606
-5.78389195,8.33479338,0.02941830,0.27302094,0.14164967,4.97308353,3.09231246,0.18272786,1.79677105,0.97270447
-5.77788894,8.12300794,0.02916087,0.26509870,0.14121436,4.84300436,3.00463043,0.18040562,1.74065874,0.94762116
-5.77188594,7.87995489,0.02874578,0.25589558,0.14005080,4.69515033,2.90659549,0.17731297,1.67833046,0.91872943
-5.76588294,7.60906611,0.02818268,0.24558507,0.13817824,4.53153003,2.79946076,0.17348608,1.61070302,0.88646960
-5.75987994,7.31418956,0.02748378,0.23436281,0.13562704,4.35437790,2.68459925,0.16897208,1.53876192,0.85133772
-5.75387694,6.99949729,0.02666356,0.22244104,0.13243798,4.16610252,2.56347263,0.16382805,1.46353835,0.81387308
-5.74787394,6.66938908,0.02573837,0.21004282,0.12866130,3.96923269,2.43759930,0.15811986,1.38608576,0.77464526
-5.74187094,6.32839467,0.02472611,0.19739609,0.12435560,3.76636307,2.30852272,0.15192084,1.30745687,0.73424084
-5.73586793,5.98107765,0.02364572,0.18472803,0.11958645,3.56010094,2.17778087,0.14531027,1.22868177,0.69325040
-5.72986493,5.63194347,0.02251684,0.17225956,0.11442501,3.35301537,2.04687761,0.13837184,1.15074766,0.65225613
-5.72386193,5.28535388,0.02135938,0.16020043,0.10894642,3.14759011,1.91725657,0.13119198,1.07458082,0.61182027
-5.71785893,4.94544941,0.02019310,0.14874488,0.10322819,2.94618091,1.79027796,0.12385825,1.00103113,0.57247470
-5.71185593,4.61608151,0.01903727,0.13806791,0.09734858,2.75097831,1.66719872,0.11645768,0.93085940,0.53471175
-5.70585293,4.30075501,0.01791028,0.12832229,0.09138496,2.56397603,1.54915619,0.10907523,0.86472760,0.49897648
-5.69984992,4.00258170,0.01682939,0.11963630,0.08541222,2.38694565,1.43715540,0.10179230,0.80319218,0.46566039
-5.69384692,3.72424531,0.01581044,0.11211204,0.07950140,2.22141760,1.33206001,0.09468548,0.74670031,0.43509646
-5.68784392,3.46797799,0.01486762,0.10582452,0.07371826,2.06866852,1.23458696,0.08782535,0.69558901,0.40755584
-5.68184092,3.23554818,0.01401331,0.10082122,0.06812224,1.92971517,1.14530464,0.08127565,0.65008707,0.38324573
-5.67583792,3.02825960,0.01325796,0.09712224,0.06276542,1.80531458,1.06463453,0.07509257,0.61031947,0.36230874
-5.66983492,2.84696109,0.01261001,0.09472095,0.05769187,1.69597049,0.99285623,0.06932438,0.57631426,0.34482355
-5.66383192,2.69206680,0.01207586,0.09358496,0.05293712,1.60194570,0.93011557,0.06401128,0.54801155,0.33080672
-5.65782891,2.56358596,0.01165991,0.09365761,0.04852795,1.52328002,0.87643567,0.05918560,0.52527439,0.32021583
-5.65182591,2.46116164,0.01136463,0.09485972,0.04448237,1.45981346,0.83173071,0.05487215,0.50790129,0.31295367
-5.64582291,2.38411741,0.01119070,0.09709179,0.04080992,1.41121387,0.79582183,0.05108890,0.49563996,0.30887353
-5.63981991,2.33151064,0.01113713,0.10023641,0.03751211,1.37700840,0.76845501,0.04784780,0.48820201,0.30778548
-5.63381691,2.30219095,0.01120155,0.10416116,0.03458314,1.35661774,0.74932011,0.04515580,0.48527808,0.30946353
