energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Na_s_up,Na_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.79083533,-3.79083607,0.00691027,-0.00691027,0.68402515,-0.68402529,0.27127936,-0.27127943,0.59858938,-0.59858943,0.95351600,-0.95351620,0.06712065,-0.06712068,1.12731624,-1.12731647
-5.99399700,3.69434436,-3.69434523,0.00641152,-0.00641152,0.66930204,-0.66930220,0.26128024,-0.26128032,0.59005339,-0.59005346,0.92420477,-0.92420500,0.06453048,-0.06453051,1.09633352,-1.09633380
-5.98799400,3.58142933,-3.58143033,0.00599878,-0.00599878,0.65162305,-0.65162323,0.24997928,-0.24997937,0.57883196,-0.57883205,0.89140836,-0.89140861,0.06172437,-0.06172440,1.06031025,-1.06031057
-5.98199100,3.45370029,-3.45370140,0.00567164,-0.00567164,0.63120512,-0.63120532,0.23760831,-0.23760841,0.56505035,-0.56505046,0.85562726,-0.85562754,0.05873247,-0.05873251,1.01981122,-1.01981157
-5.97598799,3.31313068,-3.31313188,0.00543111,-0.00543111,0.60833874,-0.60833895,0.22441482,-0.22441493,0.54891083,-0.54891096,0.81744512,-0.81744541,0.05558990,-0.05558993,0.97550045,-0.97550083
-5.96998499,3.16199549,-3.16199676,0.00527953,-0.00527953,0.58337850,-0.58337873,0.21065460,-0.21065470,0.53068584,-0.53068598,0.77751157,-0.77751187,0.05233553,-0.05233557,0.92812094,-0.92812133
-5.96398199,3.00280215,-3.00280346,0.00522055,-0.00522054,0.55673178,-0.55673202,0.19658441,-0.19658452,0.51070891,-0.51070906,0.73652383,-0.73652413,0.04901086,-0.04901090,0.87847276,-0.87847317
-5.95797899,2.83821698,-2.83821831,0.00525887,-0.00525887,0.52884617,-0.52884641,0.18245518,-0.18245528,0.48936392,-0.48936407,0.69520752,-0.69520781,0.04565872,-0.04565876,0.82739049,-0.82739091
-5.95197599,2.67099050,-2.67099183,0.00540016,-0.00540015,0.50019611,-0.50019636,0.16850565,-0.16850576,0.46707289,-0.46707305,0.65429770,-0.65429798,0.04232217,-0.04232220,0.77572088,-0.77572130
-5.94597299,2.50388435,-2.50388564,0.00565075,-0.00565075,0.47126934,-0.47126958,0.15495702,-0.15495712,0.44428322,-0.44428337,0.61452073,-0.61452099,0.03904336,-0.03904340,0.72430159,-0.72430200
-5.93996998,2.33960244,-2.33960368,0.00601745,-0.00601744,0.44255361,-0.44255384,0.14200842,-0.14200851,0.42145448,-0.42145462,0.57657743,-0.57657767,0.03586269,-0.03586272,0.67394176,-0.67394214
-5.93396698,2.18072865,-2.18072981,0.00650721,-0.00650720,0.41452422,-0.41452444,0.12983349,-0.12983358,0.39904561,-0.39904574,0.54112826,-0.54112846,0.03281794,-0.03281797,0.62540494,-0.62540530
-5.92796398,2.02967269,-2.02967375,0.00712690,-0.00712689,0.38763266,-0.38763286,0.11857808,-0.11857815,0.37750277,-0.37750289,0.50878053,-0.50878070,0.02994372,-0.02994374,0.57939494,-0.57939527
-5.92196098,1.88862545,-1.88862640,0.00788302,-0.00788301,0.36229673,-0.36229692,0.10835892,-0.10835899,0.35724836,-0.35724845,0.48007823,-0.48007836,0.02727103,-0.02727105,0.53654472,-0.53654501
-5.91595798,1.75952466,-1.75952547,0.00878142,-0.00878140,0.33889240,-0.33889256,0.09926339,-0.09926344,0.33867149,-0.33867156,0.45549425,-0.45549433,0.02482700,-0.02482702,0.49740847,-0.49740872
-5.90995498,1.64403087,-1.64403153,0.00982706,-0.00982704,0.31774745,-0.31774759,0.09135007,-0.09135011,0.32212023,-0.32212027,0.43542521,-0.43542524,0.02263480,-0.02263482,0.46245700,-0.46245721
-5.90395198,1.54351382,-1.54351432,0.01102384,-0.01102382,0.29913708,-0.29913719,0.08465020,-0.08465023,0.30789572,-0.30789573,0.42018871,-0.42018869,0.02071365,-0.02071367,0.43207600,-0.43207617
-5.89794897,1.45904838,-1.45904871,0.01237438,-0.01237436,0.28328133,-0.28328140,0.07916971,-0.07916973,0.29624833,-0.29624831,0.41002278,-0.41002270,0.01907899,-0.01907900,0.40656716,-0.40656727
-5.89194597,1.39141924,-1.39141940,0.01387998,-0.01387995,0.27034425,-0.27034430,0.07489173,-0.07489174,0.28737581,-0.28737576,0.40508734,-0.40508720,0.01774262,-0.01774263,0.38615152,-0.38615159
-5.88594297,1.34113310,-1.34113309,0.01554050,-0.01554047,0.26043477,-0.26043479,0.07177955,-0.07177954,0.28142338,-0.28142329,0.40546738,-0.40546719,0.01671301,-0.01671302,0.37097492,-0.37097494
-5.87993997,1.30843701,-1.30843682,0.01735442,-0.01735440,0.25360886,-0.25360885,0.06977968,-0.06977967,0.27848556,-0.27848543,0.41117751,-0.41117726,0.01599552,-0.01599552,0.36111479,-0.36111475
-5.87393697,1.29334134,-1.29334097,0.01931893,-0.01931890,0.24987290,-0.24987286,0.06882517,-0.06882515,0.27860968,-0.27860952,0.42216748,-0.42216717,0.01559261,-0.01559261,0.35658801,-0.35658791
-5.86793397,1.29564596,-1.29564541,0.02143003,-0.02143000,0.24918792,-0.24918785,0.06883878,-0.06883874,0.28180057,-0.28180037,0.43832846,-0.43832809,0.01550408,-0.01550408,0.35735929,-0.35735914
-5.86193097,1.31496803,-1.31496732,0.02368276,-0.02368273,0.25147446,-0.25147436,0.06973612,-0.06973608,0.28802636,-0.28802612,0.45949963,-0.45949922,0.01572716,-0.01572716,0.36334963,-0.36334943
-5.85592796,1.35077009,-1.35076922,0.02607142,-0.02607139,0.25661780,-0.25661768,0.07142865,-0.07142860,0.29722488,-0.29722461,0.48547484,-0.48547438,0.01625660,-0.01625659,0.37444450,-0.37444425
-5.84992496,1.40238715,-1.40238612,0.02858986,-0.02858983,0.26447323,-0.26447308,0.07382633,-0.07382627,0.30931041,-0.30931010,0.51600890,-0.51600839,0.01708463,-0.01708463,0.39050127,-0.39050097
-5.84392196,1.46905168,-1.46905050,0.03123171,-0.03123168,0.27487121,-0.27487104,0.07684007,-0.07684001,0.32418038,-0.32418004,0.55082346,-0.55082291,0.01820097,-0.01820096,0.41135582,-0.41135547
-5.83791896,1.54991566,-1.54991433,0.03399065,-0.03399061,0.28762223,-0.28762204,0.08038380,-0.08038373,0.34172175,-0.34172137,0.58961210,-0.58961150,0.01959261,-0.01959260,0.43682790,-0.43682750
-5.83191596,1.64406904,-1.64406758,0.03686058,-0.03686055,0.30252114,-0.30252093,0.08437613,-0.08437606,0.36181666,-0.36181625,0.63204450,-0.63204387,0.02124379,-0.02124378,0.46672522,-0.46672478
-5.82591296,1.75055429,-1.75055271,0.03983579,-0.03983575,0.31935087,-0.31935065,0.08874165,-0.08874157,0.38434725,-0.38434681,0.67776970,-0.67776903,0.02313578,-0.02313576,0.50084621,-0.50084572
-5.81990995,1.86837687,-1.86837517,0.04291095,-0.04291091,0.33788563,-0.33788540,0.09341180,-0.09341172,0.40919927,-0.40919880,0.72641829,-0.72641759,0.02524679,-0.02524677,0.53898141,-0.53898088
-5.81390695,1.99651183,-1.99651003,0.04608109,-0.04608105,0.35789330,-0.35789306,0.09832532,-0.09832524,0.43626457,-0.43626407,0.77760374,-0.77760302,0.02755193,-0.02755191,0.58091368,-0.58091310
-5.80790395,2.13390713,-2.13390523,0.04934141,-0.04934136,0.37913737,-0.37913712,0.10342829,-0.10342821,0.46544227,-0.46544175,0.83092294,-0.83092220,0.03002325,-0.03002323,0.62641733,-0.62641671
-5.80190095,2.27948421,-2.27948223,0.05268696,-0.05268692,0.40137833,-0.40137807,0.10867383,-0.10867374,0.49663870,-0.49663815,0.88595614,-0.88595538,0.03262988,-0.03262986,0.67525652,-0.67525587
-5.79589795,2.43213684,-2.43213478,0.05611233,-0.05611228,0.42437474,-0.42437448,0.11402136,-0.11402128,0.52976627,-0.52976569,0.94226675,-0.94226598,0.03533837,-0.03533835,0.72718309,-0.72718239
-5.78989495,2.59072933,-2.59072720,0.05961109,-0.05961104,0.44788415,-0.44788389,0.11943576,-0.11943568,0.56474153,-0.56474093,0.99940115,-0.99940037,0.03811310,-0.03811308,0.78193426,-0.78193353
-5.78389195,2.75409526,-2.75409307,0.06317536,-0.06317531,0.47166407,-0.47166381,0.12488613,-0.12488605,0.60148256,-0.60148193,1.05688910,-1.05688831,0.04091696,-0.04091694,0.83923066,-0.83922989
-5.77788894,2.92103795,-2.92103572,0.06679522,-0.06679517,0.49547315,-0.49547289,0.13034457,-0.13034448,0.63990613,-0.63990548,1.11424498,-1.11424419,0.04371210,-0.04371208,0.89877478,-0.89877398
-5.77188594,3.09033383,-3.09033157,0.07045828,-0.07045823,0.51907283,-0.51907258,0.13578487,-0.13578479,0.67992505,-0.67992438,1.17097039,-1.17096961,0.04646093,-0.04646091,0.96025052,-0.96024969
-5.76588294,3.26073960,-3.26073732,0.07414923,-0.07414918,0.54222962,-0.54222938,0.14118135,-0.14118126,0.72144589,-0.72144521,1.22655829,-1.22655752,0.04912716,-0.04912714,1.02332388,-1.02332303
-5.75987994,3.43100403,-3.43100175,0.07784960,-0.07784955,0.56471803,-0.56471781,0.14650774,-0.14650766,0.76436758,-0.76436687,1.28049902,-1.28049827,0.05167704,-0.05167702,1.08764522,-1.08764434
-5.75387694,3.59988476,-3.59988248,0.08153763,-0.08153758,0.58632433,-0.58632412,0.15173649,-0.15173641,0.80858108,-0.80858036,1.33228825,-1.33228753,0.05408056,-0.05408054,1.15285305,-1.15285216
-5.74787394,3.76617010,-3.76616785,0.08518840,-0.08518836,0.60685105,-0.60685086,0.15683830,-0.15683823,0.85397041,-0.85396968,1.38143684,-1.38143614,0.05631273,-0.05631272,1.21857961,-1.21857871
-5.74187094,3.92870557,-3.92870336,0.08877417,-0.08877412,0.62612214,-0.62612196,0.16178211,-0.16178204,0.90041504,-0.90041430,1.42748237,-1.42748171,0.05835481,-0.05835479,1.28445794,-1.28445704
-5.73586793,4.08642418,-4.08642202,0.09226493,-0.09226488,0.64398861,-0.64398845,0.16653548,-0.16653541,0.94779372,-0.94779297,1.47000212,-1.47000150,0.06019538,-0.06019536,1.35013038,-1.35012947
-5.72986493,4.23837941,-4.23837731,0.09562923,-0.09562919,0.66033441,-0.66033427,0.17106540,-0.17106534,0.99598953,-0.99598878,1.50862677,-1.50862620,0.06183131,-0.06183130,1.41525817,-1.41525726
-5.72386193,4.38377922,-4.38377720,0.09883521,-0.09883517,0.67508225,-0.67508213,0.17533954,-0.17533948,1.04489603,-1.04489528,1.54305442,-1.54305390,0.06326850,-0.06326849,1.47953167,-1.47953077
-5.71785893,4.52201919,-4.52201726,0.10185176,-0.10185173,0.68819891,-0.68819882,0.17932775,-0.17932770,1.09442393,-1.09442318,1.57306393,-1.57306345,0.06452230,-0.06452229,1.54268078,-1.54267990
-5.71185593,4.65271284,-4.65271101,0.10464981,-0.10464978,0.69969978,-0.69969970,0.18300388,-0.18300383,1.14450808,-1.14450734,1.59852701,-1.59852658,0.06561769,-0.06561768,1.60448493,-1.60448406
-5.70585293,4.77571696,-4.77571522,0.10720367,-0.10720365,0.70965211,-0.70965205,0.18634768,-0.18634764,1.19511405,-1.19511332,1.61941810,-1.61941773,0.06658906,-0.06658905,1.66478203,-1.66478117
-5.69984992,4.89115001,-4.89114836,0.10949234,-0.10949231,0.71817674,-0.71817670,0.18934675,-0.18934672,1.24624385,-1.24624313,1.63582141,-1.63582109,0.06747967,-0.06747967,1.72347592,-1.72347509
-5.69384692,4.99940181,-4.99940026,0.11150064,-0.11150063,0.72544789,-0.72544787,0.19199831,-0.19199828,1.29794027,-1.29793956,1.64793430,-1.64793403,0.06834075,-0.06834074,1.78054164,-1.78054083
-5.68784392,5.10113309,-5.10113163,0.11322030,-0.11322029,0.73169088,-0.73169087,0.19431077,-0.19431075,1.35028934,-1.35028863,1.65606673,-1.65606651,0.06923015,-0.06923014,1.83602815,-1.83602737
-5.68184092,5.19726401,-5.19726263,0.11465059,-0.11465058,0.73717755,-0.73717755,0.19630486,-0.19630484,1.40342049,-1.40341979,1.66063632,-1.66063614,0.07021084,-0.07021083,1.89005811,-1.89005735
-5.67583792,5.28895118,-5.28894987,0.11579883,-0.11579882,0.74221957,-0.74221957,0.19801433,-0.19801432,1.45750419,-1.45750350,1.66215901,-1.66215886,0.07134896,-0.07134895,1.94282458,-1.94282384
-5.66983492,5.37755355,-5.37755228,0.11668037,-0.11668037,0.74715948,-0.74715949,0.19948607,-0.19948607,1.51274692,-1.51274624,1.66123550,-1.66123538,0.07271173,-0.07271171,1.99458451,-1.99458378
-5.66383192,5.46458796,-5.46458673,0.11731839,-0.11731839,0.75236004,-0.75236004,0.20077964,-0.20077963,1.56938351,-1.56938284,1.65853391,-1.65853381,0.07436515,-0.07436513,2.04564926,-2.04564855
-5.65782891,5.55167588,-5.55167466,0.11774309,-0.11774310,0.75819191,-0.75819191,0.20196617,-0.20196617,1.62766701,-1.62766634,1.65476927,-1.65476917,0.07637170,-0.07637167,2.09637233,-2.09637163
-5.65182591,5.64048334,-5.64048210,0.11799079,-0.11799079,0.76502048,-0.76502047,0.20312676,-0.20312676,1.68785653,-1.68785586,1.65068064,-1.65068055,0.07878792,-0.07878788,2.14713487,-2.14713417
-5.64582291,5.73265662,-5.73265535,0.11810247,-0.11810248,0.77319207,-0.77319204,0.20435029,-0.20435029,1.75020356,-1.75020289,1.64700697,-1.64700686,0.08166216,-0.08166212,2.19832945,-2.19832876
