energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-5.00350175,1.70862382,0.01770982,0.31003963,0.69713363,0.00000000,0.73459635,0.38727126,0.42783026,0.01394836
-4.99749875,1.73053068,0.01659498,0.32181657,0.69641654,0.00000000,0.74392886,0.40194332,0.42451845,0.01379852
-4.99149575,1.74594704,0.01547429,0.33241582,0.69279566,0.00000000,0.74967299,0.41512296,0.42038007,0.01360794
-4.98549275,1.75400554,0.01435664,0.34158407,0.68606242,0.00000000,0.75154633,0.42650208,0.41519584,0.01337149
-4.97948974,1.75402969,0.01325091,0.34909542,0.67609487,0.00000000,0.74935451,0.43580816,0.40879621,0.01308580
-4.97348674,1.74555648,0.01216581,0.35475886,0.66286155,0.00000000,0.74299754,0.44281351,0.40106706,0.01274937
-4.96748374,1.72835141,0.01110958,0.35842464,0.64642172,0.00000000,0.73247269,0.44734304,0.39195307,0.01236255
-4.96148074,1.70241557,0.01008984,0.35998943,0.62692247,0.00000000,0.71787407,0.44928063,0.38145872,0.01192751
-4.95547774,1.66798477,0.00911335,0.35939986,0.60459267,0.00000000,0.69938868,0.44857346,0.36964707,0.01144814
-4.94947474,1.62552098,0.00818592,0.35665454,0.57973437,0.00000000,0.67728961,0.44523446,0.35663654,0.01092980
-4.94347174,1.57569694,0.00731230,0.35180418,0.55271223,0.00000000,0.65192638,0.43934257,0.34259587,0.01037917
-4.93746873,1.51937448,0.00649611,0.34495010,0.52394140,0.00000000,0.62371316,0.43104090,0.32773770,0.00980396
-4.93146573,1.45757789,0.00573987,0.33624106,0.49387462,0.00000000,0.59311539,0.42053285,0.31231092,0.00921262
-4.92546273,1.39146344,0.00504501,0.32586847,0.46298905,0.00000000,0.56063523,0.40807635,0.29659234,0.00861407
-4.91945973,1.32228623,0.00441194,0.31406041,0.43177343,0.00000000,0.52679673,0.39397652,0.28087790,0.00801745
-4.91345673,1.25136586,0.00384018,0.30107455,0.40071608,0.00000000,0.49213111,0.37857694,0.26547374,0.00743183
-4.90745373,1.18005189,0.00332845,0.28719027,0.37029409,0.00000000,0.45716271,0.36224999,0.25068747,0.00686601
-4.90145073,1.10969049,0.00287483,0.27270038,0.34096403,0.00000000,0.42239626,0.34538658,0.23681985,0.00632829
-4.89544772,1.04159303,0.00247687,0.25790274,0.31315429,0.00000000,0.38830558,0.32838562,0.22415711,0.00582632
-4.88944472,0.97700746,0.00213175,0.24309205,0.28725921,0.00000000,0.35532429,0.31164370,0.21296396,0.00536701
-4.88344172,0.91709328,0.00183643,0.22855219,0.26363483,0.00000000,0.32383850,0.29554526,0.20347750,0.00495637
-4.87743872,0.86290013,0.00158771,0.21454935,0.24259615,0.00000000,0.29418156,0.28045351,0.19590206,0.00459949
-4.87143572,0.81535062,0.00138240,0.20132606,0.22441575,0.00000000,0.26663102,0.26670251,0.19040489,0.00430054
-4.86543272,0.77522706,0.00121736,0.18909654,0.20932327,0.00000000,0.24140747,0.25459045,0.18711285,0.00406269
-4.85942971,0.74316231,0.00108958,0.17804318,0.19750569,0.00000000,0.21867523,0.24437440,0.18610992,0.00388817
-4.85342671,0.71963418,0.00099622,0.16831444,0.18910793,0.00000000,0.19854449,0.23626642,0.18743562,0.00377829
-4.84742371,0.70496339,0.00093462,0.16002404,0.18423354,0.00000000,0.18107484,0.23043130,0.19108421,0.00373344
-4.84142071,0.69931444,0.00090233,0.15325141,0.18294514,0.00000000,0.16627968,0.22698569,0.19700469,0.00375313
-4.83541771,0.70269917,0.00089708,0.14804335,0.18526462,0.00000000,0.15413132,0.22599854,0.20510154,0.00383604
-4.82941471,0.71498260,0.00091676,0.14441663,0.19117281,0.00000000,0.14456651,0.22749290,0.21523620,0.00398002
-4.82341171,0.73589066,0.00095937,0.14236143,0.20060863,0.00000000,0.13749204,0.23144862,0.22722930,0.00418212
-4.81740870,0.76501951,0.00102300,0.14184547,0.21346800,0.00000000,0.13279034,0.23780606,0.24086359,0.00443861
-4.81140570,0.80184621,0.00110577,0.14281840,0.22960227,0.00000000,0.13032466,0.24647039,0.25588756,0.00474500
-4.80540270,0.84574054,0.00120577,0.14521644,0.24881687,0.00000000,0.12994403,0.25731641,0.27201985,0.00509606
-4.79939970,0.89597768,0.00132103,0.14896687,0.27087007,0.00000000,0.13148753,0.27019353,0.28895420,0.00548588
-4.79339670,0.95175178,0.00144948,0.15399224,0.29547236,0.00000000,0.13478807,0.28493085,0.30636520,0.00590785
-4.78739370,1.01219006,0.00158893,0.16021400,0.32228682,0.00000000,0.13967555,0.30134203,0.32391447,0.00635478
-4.78139070,1.07636751,0.00173700,0.16755547,0.35093060,0.00000000,0.14597942,0.31922988,0.34125743,0.00681893
-4.77538769,1.14332188,0.00189118,0.17594395,0.38097794,0.00000000,0.15353063,0.33839033,0.35805035,0.00729211
-4.76938469,1.21206885,0.00204881,0.18531181,0.41196487,0.00000000,0.16216311,0.35861592,0.37395772,0.00776582
-4.76338169,1.28161722,0.00220708,0.19559670,0.44339565,0.00000000,0.17171473,0.37969848,0.38865956,0.00823136
-4.75737869,1.35098381,0.00236309,0.20674059,0.47475100,0.00000000,0.18202787,0.40143109,0.40185868,0.00867999
-4.75137569,1.41920791,0.00251391,0.21868803,0.50549801,0.00000000,0.19294970,0.42360926,0.41328758,0.00910313
-4.74537269,1.48536500,0.00265659,0.23138352,0.53510136,0.00000000,0.20433221,0.44603141,0.42271481,0.00949251
-4.73936968,1.54857945,0.00278828,0.24476822,0.56303573,0.00000000,0.21603206,0.46849873,0.42995062,0.00984037
-4.73336668,1.60803608,0.00290629,0.25877632,0.58879879,0.00000000,0.22791045,0.49081446,0.43485164,0.01013968
-4.72736368,1.66299030,0.00300812,0.27333123,0.61192433,0.00000000,0.23983290,0.51278299,0.43732458,0.01038428
-4.72136068,1.71277672,0.00309160,0.28834192,0.63199498,0.00000000,0.25166922,0.53420867,0.43732864,0.01056908
-4.71535768,1.75681611,0.00315489,0.30369968,0.64865396,0.00000000,0.26329367,0.55489479,0.43487668,0.01069019
-4.70935468,1.79462076,0.00319660,0.31927569,0.66161537,0.00000000,0.27458521,0.57464286,0.43003504,0.01074501
-4.70335168,1.82579810,0.00321578,0.33491949,0.67067243,0.00000000,0.28542825,0.59325241,0.42292204,0.01073233
-4.69734867,1.85005294,0.00321197,0.35045878,0.67570346,0.00000000,0.29571351,0.61052143,0.41370512,0.01065235
-4.69134567,1.86718812,0.00318522,0.36570052,0.67667513,0.00000000,0.30533937,0.62624771,0.40259687,0.01050668
-4.68534267,1.87710404,0.00313609,0.38043345,0.67364291,0.00000000,0.31421334,0.64023112,0.38984986,0.01029827
-4.67933967,1.87979692,0.00306560,0.39443213,0.66674876,0.00000000,0.32225396,0.65227671,0.37575058,0.01003132
-4.67333667,1.87535624,0.00297521,0.40746222,0.65621595,0.00000000,0.32939277,0.66219884,0.36061262,0.00971115
-4.66733367,1.86396123,0.00286679,0.41928698,0.64234149,0.00000000,0.33557636,0.66982597,0.34476924,0.00934404
-4.66133067,1.84587663,0.00274251,0.42967455,0.62548633,0.00000000,0.34076839,0.67500602,0.32856561,0.00893700
-4.65532766,1.82144768,0.00260480,0.43840584,0.60606374,0.00000000,0.34495144,0.67761199,0.31235081,0.00849762
-4.64932466,1.79109436,0.00245626,0.44528249,0.58452650,0.00000000,0.34812846,0.67754757,0.29646990,0.00803377
-4.64332166,1.75530482,0.00229956,0.45013458,0.56135323,0.00000000,0.35032378,0.67475238,0.28125616,0.00755348
-4.63731866,1.71462789,0.00213742,0.45282762,0.53703446,0.00000000,0.35158343,0.66920646,0.26702371,0.00706461
-4.63131566,1.66966458,0.00197245,0.45326855,0.51205895,0.00000000,0.35197481,0.66093374,0.25406061,0.00657475
-4.62531266,1.62105855,0.00180716,0.45141016,0.48690060,0.00000000,0.35158546,0.65000414,0.24262259,0.00609099
-4.61930965,1.56948543,0.00164384,0.44725404,0.46200654,0.00000000,0.35052104,0.63653419,0.23292765,0.00561978
-4.61330665,1.51564119,0.00148455,0.44085152,0.43778646,0.00000000,0.34890245,0.62068585,0.22515135,0.00516681
-4.60730365,1.46022944,0.00133109,0.43230277,0.41460372,0.00000000,0.34686228,0.60266372,0.21942321,0.00473690
-4.60130065,1.40394816,0.00118493,0.42175406,0.39276821,0.00000000,0.34454062,0.58271050,0.21582401,0.00433399
-4.59529765,1.34747603,0.00104727,0.40939320,0.37253106,0.00000000,0.34208047,0.56110099,0.21438432,0.00396108
-4.58929465,1.29145877,0.00091898,0.39544362,0.35408149,0.00000000,0.33962298,0.53813478,0.21508406,0.00362023
-4.58329165,1.23649610,0.00080064,0.38015711,0.33754540,0.00000000,0.33730284,0.51412807,0.21785340,0.00331261
-4.57728864,1.18312982,0.00069258,0.36380594,0.32298598,0.00000000,0.33524395,0.48940491,0.22257477,0.00303855
-4.57128564,1.13183353,0.00059484,0.34667442,0.31040602,0.00000000,0.33355582,0.46428837,0.22908624,0.00279763
-4.56528264,1.08300454,0.00050730,0.32905057,0.29975183,0.00000000,0.33233075,0.43909190,0.23718599,0.00258874
-4.55927964,1.03695855,0.00042962,0.31121815,0.29091865,0.00000000,0.33164214,0.41411155,0.24663808,0.00241020
-4.55327664,0.99392720,0.00036133,0.29344943,0.28375722,0.00000000,0.33154397,0.38961908,0.25717919,0.00225987
-4.54727364,0.95405901,0.00030185,0.27599902,0.27808148,0.00000000,0.33207156,0.36585655,0.26852629,0.00213526
-4.54127064,0.91742340,0.00025051,0.25909892,0.27367691,0.00000000,0.33324339,0.34303230,0.28038503,0.00203363
-4.53526763,0.88401790,0.00020663,0.24295492,0.27030950,0.00000000,0.33506419,0.32131875,0.29245862,0.00195211
-4.52926463,0.85377809,0.00016947,0.22774444,0.26773491,0.00000000,0.33752874,0.30085169,0.30445689,0.00188779
-4.52326163,0.82658977,0.00013831,0.21361568,0.26570759,0.00000000,0.34062631,0.28173123,0.31610512,0.00183782
-4.51725863,0.80230265,0.00011247,0.20068799,0.26398958,0.00000000,0.34434537,0.26402414,0.32715254,0.00179947
-4.51125563,0.78074497,0.00009126,0.18905334,0.26235877,0.00000000,0.34867812,0.24776729,0.33737983,0.00177022
-4.50525263,0.76173803,0.00007409,0.17877851,0.26061623,0.00000000,0.35362460,0.23297204,0.34660562,0.00174781
-4.49924962,0.74510997,0.00006039,0.16990797,0.25859254,0.00000000,0.35919596,0.21962912,0.35469144,0.00173028
