energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,0.43800859,0.00053719,0.01052490,0.13006991,0.00000000,0.08592816,0.27779202,0.17556760,0.00000000
-5.99399700,0.49684666,0.00058460,0.01168055,0.14215832,0.00000000,0.09603233,0.31886908,0.19750158,0.00000000
-5.98799400,0.56222242,0.00065765,0.01298144,0.15585739,0.00000000,0.10774129,0.36443349,0.22174508,0.00000000
-5.98199100,0.63397187,0.00075713,0.01442274,0.17102685,0.00000000,0.12105641,0.41444522,0.24818805,0.00000000
-5.97598799,0.71183249,0.00088409,0.01599910,0.18751690,0.00000000,0.13597505,0.46878544,0.27668708,0.00000000
-5.96998499,0.79543362,0.00103985,0.01770459,0.20516944,0.00000000,0.15248859,0.52724719,0.30706351,0.00000000
-5.96398199,0.88428939,0.00122586,0.01953278,0.22381968,0.00000000,0.17058037,0.58952778,0.33910265,0.00000000
-5.95797899,0.97779482,0.00144358,0.02147670,0.24329815,0.00000000,0.19022356,0.65522380,0.37255420,0.00000000
-5.95197599,1.07522542,0.00169437,0.02352887,0.26343299,0.00000000,0.21137893,0.72382898,0.40713387,0.00000000
-5.94597299,1.17574085,0.00197939,0.02568130,0.28405248,0.00000000,0.23399271,0.79473536,0.44252623,0.00000000
-5.93996998,1.27839252,0.00229941,0.02792546,0.30498765,0.00000000,0.25799444,0.86723816,0.47838881,0.00000000
-5.93396698,1.38213543,0.00265475,0.03025224,0.32607470,0.00000000,0.28329494,0.94054430,0.51435731,0.00000000
-5.92796398,1.48584396,0.00304510,0.03265191,0.34715732,0.00000000,0.30978439,1.01378480,0.55005171,0.00000000
-5.92196098,1.58833122,0.00346945,0.03511396,0.36808838,0.00000000,0.33733069,1.08603067,0.58508316,0.00000000
-5.91595798,1.68837159,0.00392601,0.03762701,0.38873126,0.00000000,0.36577810,1.15631207,0.61906135,0.00000000
-5.90995498,1.78472572,0.00441209,0.04017865,0.40896037,0.00000000,0.39494631,1.22364028,0.65160219,0.00000000
-5.90395198,1.87616735,0.00492414,0.04275524,0.42866106,0.00000000,0.42463004,1.28703158,0.68233539,0.00000000
-5.89794897,1.96151090,0.00545769,0.04534177,0.44772891,0.00000000,0.45459930,1.34553262,0.71091188,0.00000000
-5.89194597,2.03963925,0.00600745,0.04792173,0.46606833,0.00000000,0.48460046,1.39824600,0.73701075,0.00000000
-5.88594297,2.10953053,0.00656734,0.05047698,0.48359084,0.00000000,0.51435821,1.44435547,0.76034543,0.00000000
