energy_ev,total_up,Au_p_up,Au_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,14.09652948,3.81799287,8.53757484,0.88696650,0.00000000,0.01232342,1.76308114,0.10899718,2.23266109
-5.99399700,14.19019265,3.86964535,8.55653246,0.90883035,0.00000000,0.01231941,1.76644713,0.10974297,2.28270079
-5.98799400,14.25268408,3.91101808,8.55636143,0.92902525,0.00000000,0.01233051,1.76360435,0.11018501,2.33038225
-5.98199100,14.28336277,3.94169377,8.53703035,0.94737130,0.00000000,0.01235125,1.75444657,0.11031252,2.37544440
-5.97598799,14.28218354,3.96147340,8.49885138,0.96373024,0.00000000,0.01237668,1.73899168,0.11012263,2.41767482
-5.96998499,14.24967458,3.97037722,8.44245816,0.97800764,0.00000000,0.01240240,1.71738050,0.10962048,2.45690814
-5.96398199,14.18689851,3.96863976,8.36877414,0.99015407,0.00000000,0.01242464,1.68987180,0.10881920,2.49302348
-5.95797899,14.09539983,3.95669943,8.27897354,1.00016517,0.00000000,0.01244021,1.65683386,0.10773955,2.52594131
-5.95197599,13.97714234,3.93518360,8.17443720,1.00808077,0.00000000,0.01244654,1.61873308,0.10640946,2.55562011
-5.94597299,13.83444010,3.90488982,8.05670586,1.01398309,0.00000000,0.01244157,1.57612019,0.10486329,2.58205308
-5.93996998,13.66988556,3.86676430,7.92743312,1.01799412,0.00000000,0.01242377,1.52961477,0.10314100,2.60526531
-5.93396698,13.48627814,3.82187827,7.78834055,1.02027225,0.00000000,0.01239205,1.47988876,0.10128715,2.62531143
-5.92796398,13.28655610,3.77140327,7.64117644,1.02100831,0.00000000,0.01234574,1.42764946,0.09934984,2.64227402
-5.92196098,13.07373377,3.71658576,7.48767994,1.02042097,0.00000000,0.01228454,1.37362277,0.09737946,2.65626250
-5.91595798,12.85084556,3.65872169,7.32955106,1.01875172,0.00000000,0.01220850,1.31853712,0.09542751,2.66741264
-5.90995498,12.62089730,3.59913143,7.16842722,1.01625933,0.00000000,0.01211801,1.26310837,0.09354529,2.67588621
-5.90395198,12.38682480,3.53913509,7.00586581,1.01321401,0.00000000,0.01201378,1.20802622,0.09178264,2.68187054
-5.89794897,12.15145880,3.48002858,6.84333230,1.00989110,0.00000000,0.01189682,1.15394209,0.09018664,2.68557765
-5.89194597,11.91749502,3.42306019,6.68219285,1.00656458,0.00000000,0.01176849,1.10145870,0.08880039,2.68724249
-5.88594297,11.68746794,3.36940787,6.52371004,1.00350023,0.00000000,0.01163047,1.05112141,0.08766179,2.68711998
-5.87993997,11.46372653,3.32015722,6.36904054,1.00094873,0.00000000,0.01148476,1.00341108,0.08680245,2.68548052
-5.87393697,11.24841064,3.27628014,6.21923334,0.99913867,0.00000000,0.01133366,0.95873865,0.08624667,2.68260389
-5.86793397,11.04342696,3.23861449,6.07522744,0.99826964,0.00000000,0.01117977,0.91744105,0.08601058,2.67877130
-5.86193097,10.85042397,3.20784497,5.93784822,0.99850568,0.00000000,0.01102591,0.87977862,0.08610141,2.67425602
-5.85592796,10.67076586,3.18448565,5.80780207,0.99996912,0.00000000,0.01087507,0.84593363,0.08651699,2.66931254
