energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.51990165,0.28131729,1.10068531,0.00168998,0.03820317,0.00306287,0.32451463,0.25621632,0.08991259
-5.99399700,1.46621309,0.26413350,1.07062155,0.00149472,0.03534502,0.00275729,0.31064083,0.23517603,0.08507788
-5.98799400,1.41215811,0.24729349,1.03973472,0.00131490,0.03257100,0.00246967,0.29670491,0.21497956,0.08035883
-5.98199100,1.35763080,0.23087228,1.00784699,0.00115112,0.02989715,0.00220138,0.28273357,0.19572402,0.07576246
-5.97598799,1.30255542,0.21493445,0.97482131,0.00100364,0.02733689,0.00195332,0.26875403,0.17748696,0.07129422
-5.96998499,1.24689619,0.19953405,0.94057043,0.00087238,0.02490100,0.00172604,0.25479478,0.16032607,0.06695841
-5.96398199,1.19066448,0.18471498,0.90506315,0.00075700,0.02259756,0.00151972,0.24088628,0.14427951,0.06275859
-5.95797899,1.13392322,0.17051153,0.86832762,0.00065692,0.02043209,0.00133419,0.22706150,0.12936681,0.05869788
-5.95197599,1.07678844,0.15694917,0.83045165,0.00057138,0.01840772,0.00116902,0.21335627,0.11559020,0.05477933
-5.94597299,1.01942769,0.14404544,0.79158004,0.00049948,0.01652534,0.00102349,0.19980949,0.10293641,0.05100605
-5.93996998,0.96205578,0.13181093,0.75190933,0.00044018,0.01478390,0.00089671,0.18646295,0.09137862,0.04738134
-5.93396698,0.90492802,0.12025022,0.71168020,0.00039240,0.01318066,0.00078760,0.17336093,0.08087865,0.04390873
-5.92796398,0.84833146,0.10936276,0.67116813,0.00035502,0.01171147,0.00069495,0.16054962,0.07138918,0.04059189
-5.92196098,0.79257457,0.09914371,0.63067271,0.00032688,0.01037104,0.00061747,0.14807618,0.06285593,0.03743453
-5.91595798,0.73797608,0.08958459,0.59050642,0.00030687,0.00915325,0.00055382,0.13598771,0.05521973,0.03444015
-5.90995498,0.68485359,0.08067386,0.55098315,0.00029387,0.00805135,0.00050261,0.12433007,0.04841843,0.03161187
-5.90395198,0.63351236,0.07239736,0.51240738,0.00028681,0.00705817,0.00046247,0.11314666,0.04238858,0.02895219
-5.89794897,0.58423512,0.06473860,0.47506422,0.00028466,0.00616637,0.00043207,0.10247720,0.03706684,0.02646270
-5.89194597,0.53727315,0.05767906,0.43921085,0.00028647,0.00536855,0.00041009,0.09235663,0.03239121,0.02414396
-5.88594297,0.49283907,0.05119832,0.40506971,0.00029132,0.00465740,0.00039529,0.08281408,0.02830199,0.02199527
-5.87993997,0.45110163,0.04527423,0.37282350,0.00029837,0.00402578,0.00038652,0.07387214,0.02474243,0.02001460
-5.87393697,0.41218248,0.03988300,0.34261224,0.00030685,0.00346683,0.00038269,0.06554627,0.02165927,0.01819852
-5.86793397,0.37615514,0.03499938,0.31453217,0.00031604,0.00297401,0.00038282,0.05784449,0.01900303,0.01654224
-5.86193097,0.34304585,0.03059677,0.28863657,0.00032532,0.00254111,0.00038603,0.05076736,0.01672816,0.01503967
-5.85592796,0.31283616,0.02664744,0.26493807,0.00033411,0.00216232,0.00039152,0.04430818,0.01479307,0.01368354
-5.84992496,0.28546700,0.02312276,0.24341231,0.00034195,0.00183219,0.00039863,0.03845339,0.01316002,0.01246564
-5.84392196,0.26084388,0.01999344,0.22400258,0.00034840,0.00154565,0.00040677,0.03318325,0.01179496,0.01137693
-5.83791896,0.23884274,0.01722986,0.20662511,0.00035314,0.00129801,0.00041546,0.02847257,0.01066729,0.01040789
-5.83191596,0.21931627,0.01480234,0.19117460,0.00035592,0.00108495,0.00042432,0.02429165,0.00974961,0.00954864
-5.82591296,0.20210016,0.01268153,0.17752980,0.00035655,0.00090249,0.00043306,0.02060723,0.00901741,0.00878927
-5.81990995,0.18701908,0.01083866,0.16555875,0.00035493,0.00074700,0.00044146,0.01738346,0.00844873,0.00811999
-5.81390695,0.17389212,0.00924590,0.15512351,0.00035102,0.00061516,0.00044936,0.01458292,0.00802391,0.00753135
-5.80790395,0.16253750,0.00787659,0.14608425,0.00034487,0.00050397,0.00045669,0.01216749,0.00772521,0.00701437
-5.80190095,0.15277637,0.00670554,0.13830249,0.00033656,0.00041072,0.00046340,0.01009920,0.00753655,0.00656068
-5.79589795,0.14443584,0.00570918,0.13164368,0.00032626,0.00033298,0.00046949,0.00834101,0.00744321,0.00616258
-5.78989495,0.13735107,0.00486571,0.12597887,0.00031415,0.00026858,0.00047496,0.00685739,0.00743160,0.00581309
-5.78389195,0.13136659,0.00415525,0.12118584,0.00030048,0.00021561,0.00047985,0.00561484,0.00748903,0.00550596
-5.77788894,0.12633702,0.00355985,0.11714961,0.00028551,0.00017238,0.00048417,0.00458233,0.00760350,0.00523566
-5.77188594,0.12212730,0.00306358,0.11376251,0.00026953,0.00013747,0.00048794,0.00373152,0.00776360,0.00499734
-5.76588294,0.11861259,0.00265244,0.11092409,0.00025284,0.00010961,0.00049116,0.00303703,0.00795842,0.00478680
-5.75987994,0.11567801,0.00231442,0.10854088,0.00023575,0.00008780,0.00049380,0.00247646,0.00817746,0.00460044
-5.75387694,0.11321852,0.00203941,0.10652622,0.00021856,0.00007120,0.00049581,0.00203054,0.00841067,0.00443523
-5.74787394,0.11113883,0.00181916,0.10480024,0.00020155,0.00005917,0.00049710,0.00168308,0.00864853,0.00428867
-5.74187094,0.10935371,0.00164728,0.10329014,0.00018503,0.00005127,0.00049758,0.00142095,0.00888210,0.00415881
-5.73586793,0.10778856,0.00151919,0.10193075,0.00016924,0.00004725,0.00049712,0.00123409,0.00910322,0.00404427
-5.72986493,0.10638038,0.00143214,0.10066546,0.00015446,0.00004706,0.00049558,0.00111548,0.00930464,0.00394427
-5.72386193,0.10507916,0.00138526,0.09944744,0.00014091,0.00005086,0.00049283,0.00106115,0.00948027,0.00385869
-5.71785893,0.10384954,0.00137962,0.09824113,0.00012884,0.00005905,0.00048872,0.00107022,0.00962539,0.00378820
-5.71185593,0.10267274,0.00141833,0.09702395,0.00011848,0.00007228,0.00048313,0.00114498,0.00973685,0.00373436
-5.70585293,0.10154866,0.00150674,0.09578807,0.00011006,0.00009147,0.00047594,0.00129106,0.00981335,0.00369977
-5.69984992,0.10049802,0.00165255,0.09454226,0.00010381,0.00011785,0.00046709,0.00151754,0.00985561,0.00368819
-5.69384692,0.09956442,0.00186609,0.09331350,0.00010000,0.00015302,0.00045653,0.00183720,0.00986654,0.00370475
-5.68784392,0.09881620,0.00216051,0.09214847,0.00009891,0.00019895,0.00044427,0.00226677,0.00985144,0.00375604
-5.68184092,0.09834793,0.00255205,0.09111467,0.00010086,0.00025806,0.00043033,0.00282713,0.00981806,0.00385032
-5.67583792,0.09828150,0.00306027,0.09030107,0.00010621,0.00033322,0.00041483,0.00354361,0.00977669,0.00399761
-5.66983492,0.09876657,0.00370823,0.08981835,0.00011534,0.00042783,0.00039789,0.00444617,0.00974013,0.00420980
-5.66383192,0.09998038,0.00452270,0.08979840,0.00012872,0.00054585,0.00037970,0.00556954,0.00972367,0.00450068
-5.65782891,0.10212676,0.00553420,0.09039336,0.00014684,0.00069177,0.00036046,0.00695333,0.00974496,0.00488598
-5.65182591,0.10543430,0.00677701,0.09177382,0.00017023,0.00087071,0.00034044,0.00864187,0.00982383,0.00538329
-5.64582291,0.11015361,0.00828905,0.09412646,0.00019949,0.00108831,0.00031989,0.01068404,0.00998205,0.00601189
-5.63981991,0.11655352,0.01011152,0.09765087,0.00023524,0.00135076,0.00029912,0.01313278,0.01024304,0.00679257
-5.63381691,0.12491646,0.01228848,0.10255574,0.00027811,0.00166475,0.00027842,0.01604446,0.01063145,0.00774728
-5.62781391,0.13553264,0.01486617,0.10905440,0.00032874,0.00203731,0.00025808,0.01947791,0.01117277,0.00889874
-5.62181091,0.14869346,0.01789211,0.11735972,0.00038776,0.00247577,0.00023839,0.02349323,0.01189282,0.01026984
-5.61580790,0.16468391,0.02141399,0.12767846,0.00045574,0.00298753,0.00021963,0.02815030,0.01281717,0.01188309
-5.60980490,0.18377429,0.02547838,0.14020528,0.00053321,0.00357993,0.00020206,0.03350706,0.01397055,0.01375985
-5.60380190,0.20621130,0.03012921,0.15511640,0.00062057,0.00425997,0.00018590,0.03961748,0.01537619,0.01591952
-5.59779890,0.23220877,0.03540615,0.17256311,0.00071813,0.00503410,0.00017135,0.04652944,0.01705515,0.01837868
-5.59179590,0.26193833,0.04134277,0.19266543,0.00082600,0.00590793,0.00015858,0.05428240,0.01902557,0.02115020
-5.58579290,0.29552025,0.04796480,0.21550596,0.00094415,0.00688592,0.00014774,0.06290505,0.02130206,0.02424226
-5.57978989,0.33301495,0.05528832,0.24112433,0.00107232,0.00797118,0.00013894,0.07241305,0.02389495,0.02765758
