energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,5.35086948,0.10991578,0.00000000,0.00851704,3.63065305,3.03912679,2.04802087
-5.99399700,5.40532886,0.10645691,0.00000000,0.00800258,3.68800863,3.07658053,2.08397933
-5.98799400,5.45274893,0.10300473,0.00000000,0.00756084,3.73815343,3.10899539,2.11597797
-5.98199100,5.49231587,0.09959236,0.00000000,0.00719590,3.78016615,3.13578692,2.14343819
-5.97598799,5.52341470,0.09625394,0.00000000,0.00691242,3.81329073,3.15645360,2.16588909
-5.96998499,5.54567832,0.09302491,0.00000000,0.00671560,3.83698006,3.17061281,2.18299186
-5.96398199,5.55903096,0.08994227,0.00000000,0.00661110,3.85093499,3.17803419,2.19456113
-5.95797899,5.56372265,0.08704481,0.00000000,0.00660497,3.85513629,3.17866809,2.20058172
-5.95197599,5.56035181,0.08437306,0.00000000,0.00670346,3.84986694,3.17266703,2.20121985
-5.94597299,5.54987296,0.08196911,0.00000000,0.00691292,3.83572283,3.16039826,2.19682732
-5.93996998,5.53358767,0.07987617,0.00000000,0.00723952,3.81361028,3.14244598,2.18793822
-5.93396698,5.51311739,0.07813790,0.00000000,0.00768911,3.78472929,3.11960250,2.17525739
-5.92796398,5.49035805,0.07679740,0.00000000,0.00826693,3.75054260,3.09284814,2.15964082
-5.92196098,5.46741732,0.07589604,0.00000000,0.00897730,3.71273100,3.06332031,2.14206826
-5.91595798,5.44653647,0.07547199,0.00000000,0.00982336,3.67313648,3.03227314,2.12360905
-5.90995498,5.43000015,0.07555871,0.00000000,0.01080674,3.63369546,3.00102937,2.10538239
-5.90395198,5.42003803,0.07618324,0.00000000,0.01192721,3.59636496,2.97092703,2.08851379
-5.89794897,5.41872304,0.07736455,0.00000000,0.01318239,3.56304533,2.94326360,2.07408972
-5.89194597,5.42787162,0.07911198,0.00000000,0.01456741,3.53550311,2.91924072,2.06311261
-5.88594297,5.44895116,0.08142383,0.00000000,0.01607471,3.51529803,2.89991241,2.05645845
-5.87993997,5.48299996,0.08428626,0.00000000,0.01769375,3.50371794,2.88613983,2.05483912
-5.87393697,5.53056425,0.08767248,0.00000000,0.01941093,3.50172482,2.87855490,2.05877149
-5.86793397,5.59165625,0.09154244,0.00000000,0.02120951,3.50991506,2.87753505,2.06855485
-5.86193097,5.66573587,0.09584289,0.00000000,0.02306967,3.52849580,2.88319019,2.08425780
-5.85592796,5.75171759,0.10050805,0.00000000,0.02496870,3.55727862,2.89536287,2.10571555
-5.84992496,5.84800261,0.10546064,0.00000000,0.02688123,3.59569094,2.91364113,2.13253742
-5.84392196,5.95253495,0.11061354,0.00000000,0.02877971,3.64280431,2.93738357,2.16412444
-5.83791896,6.06287877,0.11587175,0.00000000,0.03063491,3.69737805,2.96575469,2.19969591
-5.83191596,6.17631311,0.12113478,0.00000000,0.03241655,3.75791579,2.99776851,2.23832350
-5.82591296,6.28993911,0.12629936,0.00000000,0.03409405,3.82273174,3.03233790,2.27897116
-5.81990995,6.40079431,0.13126218,0.00000000,0.03563731,3.89002327,3.06832655,2.32053860
-5.81390695,6.50596810,0.13592286,0.00000000,0.03701756,3.95794577,3.10460067,2.36190611
-5.80790395,6.60271245,0.14018673,0.00000000,0.03820818,4.02468610,3.14007767,2.40197854
-5.80190095,6.68854251,0.14396749,0.00000000,0.03918549,4.08853086,3.17376898,2.43972610
-5.79589795,6.76132221,0.14718959,0.00000000,0.03992953,4.14792629,3.20481504,2.47422015
-5.78989495,6.81933102,0.14979015,0.00000000,0.04042469,4.20152720,3.23251080,2.50466243
-5.78389195,6.86130929,0.15172056,0.00000000,0.04066017,4.24823293,3.25632080,2.53040647
-5.77788894,6.88648069,0.15294744,0.00000000,0.04063042,4.28720940,3.27588365,2.55097076
-5.77188594,6.89455193,0.15345312,0.00000000,0.04033527,4.31789699,3.29100627,2.56604324
-5.76588294,6.88569086,0.15323556,0.00000000,0.03977995,4.34000491,3.30164906,2.57547783
