energy_ev,total_up,As_p_up,As_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.31322296,1.36791034,0.00000000,0.06065591,0.19619655,1.56808720,1.08705572
-5.99399700,2.32508453,1.37721138,0.00000000,0.06094377,0.19623901,1.58402858,1.09365364
-5.98799400,2.33001987,1.38218713,0.00000000,0.06112684,0.19573284,1.59415770,1.09680835
-5.98199100,2.32707543,1.38227146,0.00000000,0.06116080,0.19461338,1.59789170,1.09610397
-5.97598799,2.31545603,1.37699335,0.00000000,0.06100688,0.19282765,1.59475480,1.09119459
-5.96998499,2.29455131,1.36599285,0.00000000,0.06063287,0.19033628,1.58439519,1.08181774
-5.96398199,2.26395877,1.34903485,0.00000000,0.06001386,0.18711518,1.56659977,1.06780608
-5.95797899,2.22350156,1.32601988,0.00000000,0.05913288,0.18315701,1.54130578,1.04909664
-5.95197599,2.17324023,1.29699107,0.00000000,0.05798113,0.17847206,1.50860827,1.02573708
-5.94597299,2.11347723,1.26213690,0.00000000,0.05655813,0.17308869,1.46876285,0.99788862
-5.93996998,2.04475381,1.22178929,0.00000000,0.05487145,0.16705322,1.42218314,0.96582511
-5.93396698,1.96783911,1.17641701,0.00000000,0.05293629,0.16042920,1.36943295,0.92992857
-5.92796398,1.88371182,1.12661461,0.00000000,0.05077477,0.15329612,1.31121324,0.89068105
-5.92196098,1.79353510,1.07308727,0.00000000,0.04841507,0.14574764,1.24834443,0.84865324
-5.91595798,1.69862588,1.01663233,0.00000000,0.04589036,0.13788928,1.18174477,0.80449039
-5.90995498,1.60041982,0.95811812,0.00000000,0.04323768,0.12983586,1.11240573,0.75889613
-5.90395198,1.50043362,0.89846125,0.00000000,0.04049666,0.12170870,1.04136554,0.71261486
-5.89794897,1.40022616,0.83860325,0.00000000,0.03770841,0.11363261,0.96968196,0.66641356
-5.89194597,1.30136033,0.77948754,0.00000000,0.03491424,0.10573300,0.89840560,0.62106377
-5.88594297,1.20536672,0.72203759,0.00000000,0.03215470,0.09813311,0.82855472,0.57732426
-5.87993997,1.11371081,0.66713717,0.00000000,0.02946857,0.09095139,0.76109247,0.53592534
-5.87393697,1.02776454,0.61561327,0.00000000,0.02689214,0.08429925,0.69690748,0.49755485
-5.86793397,0.94878297,0.56822202,0.00000000,0.02445861,0.07827920,0.63679806,0.46284660
-5.86193097,0.87788651,0.52563808,0.00000000,0.02219773,0.07298334,0.58146062,0.43237112
-5.85592796,0.81604887,0.48844734,0.00000000,0.02013564,0.06849230,0.53148209,0.40662893
-5.84992496,0.76409043,0.45714294,0.00000000,0.01829486,0.06487455,0.48733645,0.38604635
-5.84392196,0.72267673,0.43212435,0.00000000,0.01669447,0.06218620,0.44938493,0.37097336
-5.83791896,0.69232129,0.41369910,0.00000000,0.01535048,0.06047097,0.41787937,0.36168368
-5.83191596,0.67339235,0.40208672,0.00000000,0.01427622,0.05976062,0.39296843,0.35837636
-5.82591296,0.66612228,0.39742438,0.00000000,0.01348291,0.06007550,0.37470576,0.36117886
-5.81990995,0.67061921,0.39977387,0.00000000,0.01298015,0.06142533,0.36305972,0.37015110
-5.81390695,0.68687980,0.40912918,0.00000000,0.01277656,0.06381009,0.35792398,0.38529023
-5.80790395,0.71480260,0.42542445,0.00000000,0.01288023,0.06722098,0.35912849,0.40653585
-5.80190095,0.75420106,0.44854182,0.00000000,0.01329919,0.07164137,0.36645030,0.43377537
-5.79589795,0.80481586,0.47831872,0.00000000,0.01404176,0.07704778,0.37962391,0.46684931
-5.78989495,0.86632581,0.51455453,0.00000000,0.01511673,0.08341068,0.39835069,0.50555636
-5.78389195,0.93835702,0.55701611,0.00000000,0.01653341,0.09069533,0.42230729,0.54965802
-5.77788894,1.02049000,0.60544219,0.00000000,0.01830153,0.09886231,0.45115276,0.59888267
-5.77188594,1.11226434,0.65954647,0.00000000,0.02043091,0.10786801,0.48453426,0.65292900
-5.76588294,1.21318090,0.71901916,0.00000000,0.02293099,0.11766481,0.52209135,0.71146860
-5.75987994,1.32270136,0.78352727,0.00000000,0.02581013,0.12820116,0.56345884,0.77414775
-5.75387694,1.44024529,0.85271323,0.00000000,0.02907483,0.13942133,0.60826815,0.84058829
-5.74787394,1.56518469,0.92619239,0.00000000,0.03272875,0.15126499,0.65614745,0.91038758
-5.74187094,1.69683664,1.00354924,0.00000000,0.03677169,0.16366661,0.70672047,0.98311758
-5.73586793,1.83445413,1.08433274,0.00000000,0.04119849,0.17655462,0.75960430,1.05832326
-5.72986493,1.97721607,1.16805110,0.00000000,0.04599795,0.18985056,0.81440645,1.13552034
