energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.55997455,0.03680878,0.00000000,0.03862292,3.03872721,3.36091546,0.89788315
-5.99399700,4.48393126,0.03611842,0.00000000,0.03803676,2.98815389,3.31533479,0.89030544
-5.98799400,4.40803232,0.03556238,0.00000000,0.03756229,2.93781500,3.26636141,0.88385213
-5.98199100,4.33251449,0.03514487,0.00000000,0.03720753,2.88792343,3.21382850,0.87864687
-5.97598799,4.25772409,0.03486888,0.00000000,0.03697947,2.83876050,3.15768579,0.87482207
-5.96998499,4.18411450,0.03473604,0.00000000,0.03688379,2.79067296,3.09800862,0.87251556
-5.96398199,4.11223791,0.03474646,0.00000000,0.03692458,2.74406633,3.03500209,0.87186639
-5.95797899,4.04273140,0.03489864,0.00000000,0.03710401,2.69939474,2.96900007,0.87300976
-5.95197599,3.97629839,0.03518932,0.00000000,0.03742216,2.65714790,2.90045913,0.87607154
-5.94597299,3.91368618,0.03561352,0.00000000,0.03787680,2.61783578,2.82994749,0.88116256
-5.93996998,3.85566076,0.03616451,0.00000000,0.03846329,2.58197164,2.75812960,0.88837291
-5.93396698,3.80297997,0.03683395,0.00000000,0.03917454,2.55005425,2.68574676,0.89776678
-5.92796398,3.75636630,0.03761201,0.00000000,0.04000103,2.52255008,2.61359458,0.90937786
-5.92196098,3.71648051,0.03848765,0.00000000,0.04093102,2.49987621,2.54249836,0.92320574
-5.91595798,3.68389715,0.03944887,0.00000000,0.04195069,2.48238466,2.47328727,0.93921343
-5.90995498,3.65908315,0.04048309,0.00000000,0.04304456,2.47034890,2.40676847,0.95732608
-5.90395198,3.64238013,0.04157744,0.00000000,0.04419576,2.46395293,2.34370233,0.97743112
-5.89794897,3.63399120,0.04271922,0.00000000,0.04538658,2.46328340,2.28477960,0.99937965
-5.89194597,3.63397263,0.04389623,0.00000000,0.04659888,2.46832508,2.23060173,1.02298905
-5.88594297,3.64223051,0.04509715,0.00000000,0.04781464,2.47895951,2.18166471,1.04804675
-5.87993997,3.65852229,0.04631181,0.00000000,0.04901643,2.49496711,2.13834729,1.07431481
-5.87393697,3.68246292,0.04753152,0.00000000,0.05018788,2.51603212,2.10090366,1.10153521
-5.86793397,3.71353503,0.04874917,0.00000000,0.05131413,2.54175035,2.06946068,1.12943547
-5.86193097,3.75110236,0.04995942,0.00000000,0.05238216,2.57163899,2.04401951,1.15773440
-5.85592796,3.79442579,0.05115864,0.00000000,0.05338107,2.60514813,2.02446114,1.18614765
-5.84992496,3.84268087,0.05234488,0.00000000,0.05430226,2.64167321,2.01055522,1.21439289
-5.84392196,3.89497618,0.05351771,0.00000000,0.05513951,2.68056804,2.00197148,1.24219433
-5.83791896,3.95037150,0.05467798,0.00000000,0.05588895,2.72115762,1.99829293,1.26928647
-5.83191596,4.00789517,0.05582748,0.00000000,0.05654895,2.76275036,1.99902996,1.29541699
-5.82591296,4.06655998,0.05696865,0.00000000,0.05711988,2.80464929,2.00363461,1.32034874
-5.81990995,4.12537717,0.05810410,0.00000000,0.05760383,2.84616204,2.01151426,1.34386083
-5.81390695,4.18336831,0.05923624,0.00000000,0.05800428,2.88660930,2.02204426,1.36574893
-5.80790395,4.23957512,0.06036686,0.00000000,0.05832564,2.92533178,2.03457912,1.38582497
-5.80190095,4.29306720,0.06149671,0.00000000,0.05857291,2.96169587,2.04846204,1.40391629
-5.79589795,4.34294813,0.06262517,0.00000000,0.05875117,2.99509802,2.06303282,1.41986462
-5.78989495,4.38836037,0.06374993,0.00000000,0.05886526,3.02496825,2.07763432,1.43352505
-5.78389195,4.42848948,0.06486680,0.00000000,0.05891937,3.05077311,2.09161784,1.44476508
-5.77788894,4.46256828,0.06596955,0.00000000,0.05891676,3.07201843,2.10434774,1.45346427
-5.77188594,4.48988148,0.06704988,0.00000000,0.05885955,3.08825235,2.11520593,1.45951435
-5.76588294,4.50977133,0.06809752,0.00000000,0.05874855,3.09906874,2.12359651,1.46282013
-5.75987994,4.52164466,0.06910037,0.00000000,0.05858323,3.10411152,2.12895118,1.46330116
-5.75387694,4.52498150,0.07004480,0.00000000,0.05836178,3.10307979,2.13073557,1.46089433
-5.74787394,4.51934540,0.07091604,0.00000000,0.05808121,3.09573406,2.12845676,1.45555704
-5.74187094,4.50439506,0.07169860,0.00000000,0.05773762,3.08190311,2.12167198,1.44727120
-5.73586793,4.47989717,0.07237681,0.00000000,0.05732650,3.06149162,2.10999834,1.43604746
-5.72986493,4.44573951,0.07293538,0.00000000,0.05684303,3.03448790,2.09312311,1.42192979
-5.72386193,4.40194382,0.07335999,0.00000000,0.05628253,3.00097134,2.07081435,1.40499975
-5.71785893,4.34867728,0.07363783,0.00000000,0.05564085,2.96111896,2.04293095,1.38538044
-5.71185593,4.28626188,0.07375818,0.00000000,0.05491475,2.91521057,2.00943162,1.36323953
-5.70585293,4.21518050,0.07371291,0.00000000,0.05410232,2.86363173,1.97038208,1.33879121
-5.69984992,4.13607898,0.07349681,0.00000000,0.05320328,2.80687410,1.92595965,1.31229674
-5.69384692,4.04976339,0.07310801,0.00000000,0.05221922,2.74553271,1.87645497,1.28406322
-5.68784392,3.95719199,0.07254811,0.00000000,0.05115381,2.68029976,1.82227001,1.25444074
-5.68184092,3.85946175,0.07182232,0.00000000,0.05001287,2.61195483,1.76391260,1.22381753
-5.67583792,3.75778933,0.07093940,0.00000000,0.04880432,2.54135171,1.70198696,1.19261332
-5.66983492,3.65348709,0.06991156,0.00000000,0.04753810,2.46940183,1.63718083,1.16127106
-5.66383192,3.54793479,0.06875422,0.00000000,0.04622595,2.39705502,1.57024937,1.13024719
-5.65782891,3.44254783,0.06748565,0.00000000,0.04488110,2.32527813,1.50199646,1.10000086
-5.65182591,3.33874347,0.06612665,0.00000000,0.04351788,2.25503228,1.43325418,1.07098246
-5.64582291,3.23790610,0.06470003,0.00000000,0.04215137,2.18724972,1.36486133,1.04362193
-5.63981991,3.14135327,0.06323022,0.00000000,0.04079686,2.12281120,1.29764193,1.01831745
-5.63381691,3.05030361,0.06174271,0.00000000,0.03946946,2.06252471,1.23238448,0.99542482
-5.62781391,2.96584812,0.06026364,0.00000000,0.03818362,2.00710659,1.16982301,0.97524812
-5.62181091,2.88892586,0.05881930,0.00000000,0.03695268,1.95716566,1.11062053,0.95803196
-5.61580790,2.82030499,0.05743570,0.00000000,0.03578854,1.91319095,1.05535552,0.94395572
-5.60980490,2.76056962,0.05613816,0.00000000,0.03470133,1.87554349,1.00451183,0.93312991
-5.60380190,2.71011286,0.05495093,0.00000000,0.03369913,1.84445224,0.95847221,0.92559486
-5.59779890,2.66913596,0.05389684,0.00000000,0.03278786,1.82001424,0.91751548,0.92132160
-5.59179590,2.63765321,0.05299698,0.00000000,0.03197113,1.80219866,0.88181712,0.92021496
-5.58579290,2.61550209,0.05227033,0.00000000,0.03125028,1.79085444,0.85145300,0.92211869
-5.57978989,2.60235774,0.05173350,0.00000000,0.03062438,1.78572082,0.82640568,0.92682214
-5.57378689,2.59775097,0.05140040,0.00000000,0.03009039,1.78644036,0.80657280,0.93406842
-5.56778389,2.60108873,0.05128197,0.00000000,0.02964332,1.79257356,0.79177692,0.94356344
-5.56178089,2.61167604,0.05138584,0.00000000,0.02927645,1.80361451,0.78177618,0.95498556
-5.55577789,2.62873856,0.05171610,0.00000000,0.02898156,1.81900678,0.77627526,0.96799545
-5.54977489,2.65144481,0.05227300,0.00000000,0.02874924,1.83815921,0.77493610,0.98224572
-5.54377189,2.67892740,0.05305281,0.00000000,0.02856911,1.86046075,0.77738796,0.99739007
-5.53776888,2.71030285,0.05404759,0.00000000,0.02843017,1.88529434,0.78323656,1.01309171
-5.53176588,2.74468935,0.05524515,0.00000000,0.02832104,1.91204919,0.79207215,1.02903069
-5.52576288,2.78122255,0.05662903,0.00000000,0.02823026,1.94013159,0.80347628,1.04491015
-5.51975988,2.81906903,0.05817863,0.00000000,0.02814652,1.96897392,0.81702748,1.06046126
