energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,4.09283798,0.36850250,0.17692990,0.00868856,0.77557878,0.05701265,1.52740784,1.21592045,1.03645553
-5.99399700,4.10534840,0.36950858,0.17718445,0.00873024,0.78279505,0.05858915,1.52938116,1.21994928,1.04707882
-5.98799400,4.12170198,0.37095632,0.17767634,0.00879096,0.79067260,0.06025886,1.53318973,1.22408628,1.05886404
-5.98199100,4.14167904,0.37281528,0.17842601,0.00886903,0.79903076,0.06199475,1.53889369,1.22824751,1.07166719
-5.97598799,4.16499926,0.37504498,0.17944737,0.00896257,0.80768736,0.06376661,1.54651699,1.23234785,1.08534943
-5.96998499,4.19133489,0.37759647,0.18074720,0.00906957,0.81646539,0.06554167,1.55604809,1.23630591,1.09978376
-5.96398199,4.22032405,0.38041399,0.18232488,0.00918791,0.82519925,0.06728535,1.56744100,1.24004887,1.11486066
-5.95797899,4.25158323,0.38343673,0.18417213,0.00931551,0.83374028,0.06896205,1.58061659,1.24351695,1.13049228
-5.95197599,4.28471842,0.38660054,0.18627301,0.00945031,0.84196141,0.07053610,1.59546404,1.24666720,1.14661489
-5.94597299,4.31933412,0.38983952,0.18860409,0.00959044,0.84976058,0.07197268,1.61184236,1.24947620,1.16318940
-5.93996998,4.35503978,0.39308752,0.19113475,0.00973419,0.85706292,0.07323877,1.62958173,1.25194171,1.18019994
-5.93396698,4.39145350,0.39627936,0.19382767,0.00988012,0.86382150,0.07430404,1.64848480,1.25408283,1.19765034
-5.92796398,4.42820275,0.39935189,0.19663951,0.01002703,0.87001664,0.07514172,1.66832786,1.25593880,1.21555890
-5.92196098,4.46492255,0.40224477,0.19952169,0.01017403,0.87565383,0.07572928,1.68886199,1.25756652,1.23395155
-5.91595798,4.50125140,0.40490107,0.20242139,0.01032043,0.88076043,0.07604909,1.70981441,1.25903679,1.25285391
