energy_ev,total_up,Bi_p_up,Bi_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,2.68478931,0.79735338,0.01732237,2.12261368,1.23021736,1.39872712,0.00000000
-5.99399700,2.77256030,0.84466479,0.01740245,2.17470026,1.27496074,1.42584119,0.00000000
-5.98799400,2.86335647,0.89141563,0.01754337,2.23200447,1.32030648,1.45557593,0.00000000
-5.98199100,2.95575778,0.93696477,0.01774010,2.29384554,1.36549382,1.48741702,0.00000000
-5.97598799,3.04823704,0.98067044,0.01798606,2.35935066,1.40973789,1.52077094,0.00000000
-5.96998499,3.13918394,1.02190214,0.01827318,2.42746538,1.45224338,1.55497218,0.00000000
-5.96398199,3.22693244,1.06005255,0.01859205,2.49697046,1.49221905,1.58929301,0.00000000
-5.95797899,3.30979125,1.09454909,0.01893207,2.56650455,1.52889284,1.62295594,0.00000000
-5.95197599,3.38607684,1.12486510,0.01928173,2.63459276,1.56152739,1.65514853,0.00000000
-5.94597299,3.45414855,1.15053025,0.01962878,2.69968033,1.58943555,1.68504056,0.00000000
-5.93996998,3.51244498,1.17114019,0.01996061,2.76017069,1.61199562,1.71180313,0.00000000
-5.93396698,3.55952103,1.18636505,0.02026450,2.81446703,1.62866605,1.73462926,0.00000000
-5.92796398,3.59408455,1.19595682,0.02052798,2.86101610,1.63899914,1.75275565,0.00000000
-5.92196098,3.61503172,1.19975524,0.02073915,2.89835306,1.64265355,1.76548483,0.00000000
-5.91595798,3.62148003,1.19769213,0.02088700,2.92514575,1.63940510,1.77220717,0.00000000
-5.90995498,3.61279772,1.18979397,0.02096177,2.94023695,1.62915563,1.77242193,0.00000000
-5.90395198,3.58862872,1.17618266,0.02095520,2.94268298,1.61193955,1.76575664,0.00000000
-5.89794897,3.54891177,1.15707424,0.02086079,2.93178717,1.58792787,1.75198400,0.00000000
-5.89194597,3.49389297,1.13277550,0.02067403,2.90712664,1.55742925,1.73103562,0.00000000
-5.88594297,3.42413083,1.10367861,0.02039249,2.86857130,1.52088819,1.70301185,0.00000000
-5.87993997,3.34049319,1.07025360,0.02001600,2.81629406,1.47887996,1.66818717,0.00000000
-5.87393697,3.24414586,1.03303890,0.01954656,2.75077159,1.43210239,1.62701078,0.00000000
-5.86793397,3.13653271,0.99263013,0.01898841,2.67277548,1.38136460,1.58010207,0.00000000
-5.86193097,3.01934774,0.94966735,0.01834779,2.58335396,1.32757280,1.52824096,0.00000000
-5.85592796,2.89449960,0.90482101,0.01763287,2.48380474,1.27171335,1.47235330,0.00000000
-5.84992496,2.76406970,0.85877718,0.01685342,2.37564006,1.21483359,1.41349156,0.00000000
-5.84392196,2.63026494,0.81222228,0.01602058,2.26054520,1.15802086,1.35281153,0.00000000
-5.83791896,2.49536669,0.76582791,0.01514653,2.14033219,1.10238002,1.29154555,0.00000000
-5.83191596,2.36167758,0.72023619,0.01424411,2.01689047,1.04901033,1.23097324,0.00000000
-5.82591296,2.23146774,0.67604611,0.01332648,1.89213644,0.99898200,1.17239053,0.00000000
-5.81990995,2.10692234,0.63380128,0.01240677,1.76796385,0.95331314,1.11707795,0.00000000
-5.81390695,1.99009185,0.59397958,0.01149772,1.64619678,0.91294765,1.06626918,0.00000000
-5.80790395,1.88284664,0.55698487,0.01061139,1.52854685,0.87873446,1.02112075,0.00000000
-5.80190095,1.78683710,0.52314104,0.00975885,1.41657602,0.85140880,0.98268367,0.00000000
-5.79589795,1.70346029,0.49268868,0.00894999,1.31166589,0.83157575,0.95187781,0.00000000
-5.78989495,1.63383388,0.46578408,0.00819330,1.21499431,0.81969652,0.92946961,0.00000000
-5.78389195,1.57877779,0.44250085,0.00749577,1.12751944,0.81607771,0.91605370,0.00000000
-5.77788894,1.53880374,0.42283370,0.00686281,1.04997134,0.82086390,0.91203876,0.00000000
-5.77188594,1.51411258,0.40670435,0.00629822,0.98285056,0.83403354,0.91763793,0.00000000
-5.76588294,1.50459915,0.39396906,0.00580424,0.92643332,0.85539850,0.93286394,0.00000000
-5.75987994,1.50986418,0.38442758,0.00538160,0.88078222,0.88460722,0.95752905,0.00000000
-5.75387694,1.52923255,0.37783304,0.00502962,0.84576171,0.92115142,0.99124972,0.00000000
-5.74787394,1.56177721,0.37390235,0.00474638,0.82105711,0.96437641,1.03345594,0.00000000
-5.74187094,1.60634789,0.37232678,0.00452885,0.80619628,1.01349490,1.08340495,0.00000000
-5.73586793,1.66160387,0.37278229,0.00437306,0.80057290,1.06760394,1.14019912,0.00000000
-5.72986493,1.72604966,0.37493933,0.00427431,0.80347039,1.12570490,1.20280750,0.00000000
-5.72386193,1.79807294,0.37847173,0.00422733,0.81408576,1.18672598,1.27009067,0.00000000
-5.71785893,1.87598376,0.38306467,0.00422647,0.83155273,1.24954687,1.34082825,0.00000000
-5.71185593,1.95805408,0.38842131,0.00426587,0.85496365,1.31302497,1.41374834,0.00000000
-5.70585293,2.04255696,0.39426828,0.00433964,0.88338978,1.37602254,1.48755838,0.00000000
-5.69984992,2.12780442,0.40035981,0.00444198,0.91589992,1.43743413,1.56097641,0.00000000
-5.69384692,2.21218343,0.40648066,0.00456735,0.95157711,1.49621355,1.63276206,0.00000000
-5.68784392,2.29418911,0.41244794,0.00471059,0.98953354,1.55139950,1.70174633,0.00000000
-5.68184092,2.37245487,0.41811191,0.00486701,1.02892376,1.60213941,1.76685949,0.00000000
-5.67583792,2.44577861,0.42335607,0.00503249,1.06895625,1.64771040,1.82715617,0.00000000
-5.66983492,2.51314489,0.42809647,0.00520357,1.10890364,1.68753710,1.88183708,0.00000000
-5.66383192,2.57374249,0.43228074,0.00537750,1.14811157,1.72120552,1.93026668,0.00000000
-5.65782891,2.62697731,0.43588673,0.00555228,1.18600642,1.74847268,1.97198636,0.00000000
-5.65182591,2.67248028,0.43892109,0.00572673,1.22210198,1.76927158,2.00672284,0.00000000
-5.64582291,2.71011037,0.44141776,0.00590046,1.25600492,1.78371157,2.03439146,0.00000000
-5.63981991,2.73995254,0.44343653,0.00607388,1.28741921,1.79207374,2.05509442,0.00000000
-5.63381691,2.76231072,0.44506158,0.00624822,1.31614907,1.79480172,2.06911390,0.00000000
-5.62781391,2.77769583,0.44639997,0.00642545,1.34210040,1.79248793,2.07690035,0.00000000
-5.62181091,2.78680895,0.44758012,0.00660822,1.36528039,1.78585569,2.07905615,0.00000000
-5.61580790,2.79051981,0.44874985,0.00679984,1.38579489,1.77573742,2.07631499,0.00000000
-5.60980490,2.78984064,0.45007417,0.00700410,1.40384329,1.76304966,2.06951751,0.00000000
-5.60380190,2.78589577,0.45173237,0.00722519,1.41971071,1.74876526,2.05958372,0.00000000
-5.59779890,2.77988719,0.45391447,0.00746755,1.43375708,1.73388346,2.04748268,0.00000000
-5.59179590,2.77305668,0.45681671,0.00773567,1.44640325,1.71939854,2.03420041,0.00000000
-5.58579290,2.76664509,0.46063618,0.00803394,1.45811407,1.70626783,2.02070657,0.00000000
-5.57978989,2.76184960,0.46556452,0.00836640,1.46937872,1.69537992,2.00792093,0.00000000
