energy_ev,total_up,Ag_p_up,Ag_d_up,As_p_up,As_d_up,Te_p_up,Te_d_up
-6.00000000,6.16311422,1.25160478,4.51766615,0.15937232,0.00000000,1.07592091,0.00000000
-5.99399700,5.95827614,1.23878928,4.33415786,0.15604990,0.00000000,1.06669528,0.00000000
-5.98799400,5.76277600,1.22424532,4.16208340,0.15255302,0.00000000,1.05626889,0.00000000
-5.98199100,5.57944957,1.20866594,4.00377199,0.14899324,0.00000000,1.04488706,0.00000000
-5.97598799,5.41125607,1.19281981,3.86162489,0.14549548,0.00000000,1.03281847,0.00000000
-5.96998499,5.26118485,1.17753298,3.73803747,0.14219457,0.00000000,1.02034768,0.00000000
-5.96398199,5.13215736,1.16366858,3.63531689,0.13923136,0.00000000,1.00776785,0.00000000
-5.95797899,5.02692785,1.15210496,3.55559839,0.13674847,0.00000000,0.99537384,0.00000000
-5.95197599,4.94798622,1.14371266,3.50076305,0.13488598,0.00000000,0.98345575,0.00000000
-5.94597299,4.89746587,1.13933075,3.47236006,0.13377686,0.00000000,0.97229302,0.00000000
-5.93996998,4.87705930,1.13974290,3.47153591,0.13354266,0.00000000,0.96214887,0.00000000
-5.93396698,4.88794387,1.14565363,3.49897295,0.13428914,0.00000000,0.95326500,0.00000000
-5.92796398,4.93071966,1.15766514,3.55483929,0.13610230,0.00000000,0.94585646,0.00000000
-5.92196098,5.00536111,1.17625526,3.63875192,0.13904478,0.00000000,0.94010661,0.00000000
-5.91595798,5.11118393,1.20175703,3.74975420,0.14315266,0.00000000,0.93616195,0.00000000
-5.90995498,5.24682848,1.23434050,3.88630897,0.14843292,0.00000000,0.93412710,0.00000000
-5.90395198,5.41026036,1.27399743,4.04630791,0.15486151,0.00000000,0.93405974,0.00000000
-5.89794897,5.59878900,1.32052955,4.22709735,0.16238231,0.00000000,0.93596602,0.00000000
-5.89194597,5.80910464,1.37354121,4.42552058,0.17090676,0.00000000,0.93979653,0.00000000
-5.88594297,6.03733341,1.43243707,4.63797600,0.18031459,0.00000000,0.94544332,0.00000000
-5.87993997,6.27911028,1.49642545,4.86049005,0.19045537,0.00000000,0.95273820,0.00000000
-5.87393697,6.52966872,1.56452791,5.08880352,0.20115113,0.00000000,0.96145301,0.00000000
-5.86793397,6.78394536,1.63559527,5.31846892,0.21219988,0.00000000,0.97130181,0.00000000
-5.86193097,7.03669744,1.70833026,5.54495660,0.22338011,0.00000000,0.98194556,0.00000000
-5.85592796,7.28262990,1.78131641,5.76376623,0.23445608,0.00000000,0.99299923,0.00000000
-5.84992496,7.51652850,1.85305267,5.97054039,0.24518377,0.00000000,1.00404136,0.00000000
-5.84392196,7.73339459,1.92199285,6.16117628,0.25531744,0.00000000,1.01462580,0.00000000
-5.83791896,7.92857699,1.98658866,6.33193161,0.26461640,0.00000000,1.02429533,0.00000000
-5.83191596,8.09789592,2.04533471,6.47952073,0.27285198,0.00000000,1.03259658,0.00000000
-5.82591296,8.23775407,2.09681395,6.60119717,0.27981425,0.00000000,1.03909553,0.00000000
-5.81990995,8.34523041,2.13974153,6.69481929,0.28531829,0.00000000,1.04339299,0.00000000
-5.81390695,8.41815238,2.17300525,6.75889629,0.28920984,0.00000000,1.04513915,0.00000000
-5.80790395,8.45514372,2.19570095,6.79261263,0.29137001,0.00000000,1.04404658,0.00000000
-5.80190095,8.45564545,2.20716106,6.79583005,0.29171880,0.00000000,1.03990090,0.00000000
-5.79589795,8.41990960,2.20697524,6.76906705,0.29021749,0.00000000,1.03256871,0.00000000
