energy_ev,total_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.79446113,0.12286551,0.11383071,0.24188198,0.00000000,0.00605809,0.02684595,0.07856305,0.38234695
-5.99399700,0.77404924,0.11524735,0.10982418,0.23119213,0.00000000,0.00544739,0.02432653,0.07845291,0.37598992
-5.98799400,0.75473838,0.10814849,0.10608766,0.22128283,0.00000000,0.00487836,0.02196202,0.07826812,0.36995478
-5.98199100,0.73656603,0.10164474,0.10263965,0.21221421,0.00000000,0.00435347,0.01977718,0.07798531,0.36422770
-5.97598799,0.71951020,0.09579810,0.09948819,0.20402197,0.00000000,0.00387401,0.01779233,0.07757786,0.35877171
-5.96998499,0.70350401,0.09065868,0.09663275,0.19672180,0.00000000,0.00344026,0.01602363,0.07701764,0.35353390
-5.96398199,0.68845186,0.08626690,0.09406646,0.19031441,0.00000000,0.00305161,0.01448357,0.07627666,0.34845336
-5.95797899,0.67424609,0.08265588,0.09177837,0.18479070,0.00000000,0.00270685,0.01318143,0.07532892,0.34346912
-5.95197599,0.66078317,0.07985389,0.08975571,0.18013689,0.00000000,0.00240427,0.01212388,0.07415200,0.33852778
-5.94597299,0.64797834,0.07788661,0.08798589,0.17633911,0.00000000,0.00214194,0.01131553,0.07272860,0.33359023
-5.93996998,0.63577804,0.07677903,0.08645830,0.17338742,0.00000000,0.00191785,0.01075952,0.07104773,0.32863727
-5.93396698,0.62416946,0.07655696,0.08516571,0.17127890,0.00000000,0.00173014,0.01045796,0.06910565,0.32367357
-5.92796398,0.61318668,0.07724789,0.08410523,0.17001974,0.00000000,0.00157722,0.01041240,0.06690637,0.31873006
-5.92196098,0.60291344,0.07888135,0.08327883,0.16962629,0.00000000,0.00145795,0.01062411,0.06446183,0.31386448
-5.91595798,0.59348237,0.08148853,0.08269341,0.17012507,0.00000000,0.00137176,0.01109432,0.06179172,0.30916027
-5.90995498,0.58507104,0.08510134,0.08236055,0.17155179,0.00000000,0.00131869,0.01182425,0.05892287,0.30472385
-5.90395198,0.57789514,0.08975090,0.08229578,0.17394953,0.00000000,0.00129955,0.01281516,0.05588844,0.30068046
-5.89794897,0.57219943,0.09546557,0.08251770,0.17736622,0.00000000,0.00131590,0.01406818,0.05272676,0.29716905
-5.89194597,0.56824704,0.10226859,0.08304688,0.18185162,0.00000000,0.00137010,0.01558409,0.04948006,0.29433636
-5.88594297,0.56630776,0.11017556,0.08390457,0.18745400,0.00000000,0.00146528,0.01736304,0.04619308,0.29233058
-5.87993997,0.56664598,0.11919176,0.08511155,0.19421669,0.00000000,0.00160530,0.01940421,0.04291161,0.29129503
-5.87393697,0.56950895,0.12930966,0.08668685,0.20217479,0.00000000,0.00179471,0.02170538,0.03968110,0.29136204
-5.86793397,0.57511582,0.14050649,0.08864670,0.21135197,0.00000000,0.00203859,0.02426256,0.03654531,0.29264741
-5.86193097,0.58364783,0.15274237,0.09100354,0.22175774,0.00000000,0.00234245,0.02706959,0.03354513,0.29524563
