energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,3.53198213,0.04410405,0.00217521,2.16025952,0.00000000,4.14225106,0.85166274
-5.99399700,3.46162593,0.04222882,0.00214375,2.11680542,0.00000000,4.08053543,0.83089499
-5.98799400,3.38344256,0.04042528,0.00210465,2.06892429,0.00000000,4.00623101,0.80878037
-5.98199100,3.29803421,0.03868982,0.00205817,2.01698773,0.00000000,3.91998589,0.78545123
-5.97598799,3.20621787,0.03701837,0.00200479,1.96148754,0.00000000,3.82277621,0.76107563
-5.96998499,3.10901673,0.03540703,0.00194519,1.90303206,0.00000000,3.71588838,0.73585757
-5.96398199,3.00764355,0.03385271,0.00188017,1.84233801,0.00000000,3.60088982,0.71003584
-5.95797899,2.90347623,0.03235371,0.00181071,1.78021758,0.00000000,3.47958909,0.68388127
-5.95197599,2.79802624,0.03091024,0.00173788,1.71756123,0.00000000,3.35398688,0.65769246
-5.94597299,2.69290070,0.02952486,0.00166282,1.65531658,0.00000000,3.22621951,0.63179002
-5.93996998,2.58975979,0.02820274,0.00158670,1.59446417,0.00000000,3.09849726,0.60650936
-5.93396698,2.49027080,0.02695184,0.00151069,1.53599087,0.00000000,2.97303973,0.58219251
-5.92796398,2.39606082,0.02578285,0.00143591,1.48086224,0.00000000,2.85201086,0.55917906
-5.92196098,2.30866972,0.02470908,0.00136342,1.42999458,0.00000000,2.73745592,0.53779675
-5.91595798,2.22950529,0.02374611,0.00129415,1.38422802,0.00000000,2.63124274,0.51835191
-5.90995498,2.15980224,0.02291131,0.00122890,1.34430159,0.00000000,2.53500933,0.50112033
-5.90395198,2.10058633,0.02222332,0.00116835,1.31083113,0.00000000,2.45011937,0.48633875
-5.89794897,2.05264502,0.02170132,0.00111298,1.28429086,0.00000000,2.37762706,0.47419736
-5.89194597,2.01650527,0.02136433,0.00106312,1.26499922,0.00000000,2.31825204,0.46483360
-5.88594297,1.99241925,0.02123036,0.00101893,1.25310931,0.00000000,2.27236495,0.45832737
-5.87993997,1.98035802,0.02131564,0.00098040,1.24860415,0.00000000,2.23998358,0.45469791
-5.87393697,1.98001318,0.02163378,0.00094736,1.25129680,0.00000000,2.22077927,0.45390236
-5.86793397,1.99080622,0.02219501,0.00091952,1.26083518,0.00000000,2.21409300,0.45583603
-5.86193097,2.01190484,0.02300551,0.00089648,1.27671129,0.00000000,2.21896009,0.46033433
-5.85592796,2.04224583,0.02406675,0.00087771,1.29827447,0.00000000,2.23414257,0.46717638
-5.84992496,2.08056347,0.02537505,0.00086264,1.32474828,0.00000000,2.25816785,0.47609003
-5.84392196,2.12542265,0.02692123,0.00085064,1.35525036,0.00000000,2.28937248,0.48675827
-5.83791896,2.17525588,0.02869049,0.00084108,1.38881492,0.00000000,2.32594959,0.49882692
-5.83191596,2.22840325,0.03066241,0.00083329,1.42441714,0.00000000,2.36599878,0.51191321
-5.82591296,2.28315446,0.03281122,0.00082666,1.46099917,0.00000000,2.40757709,0.52561530
-5.81990995,2.33779197,0.03510627,0.00082059,1.49749696,0.00000000,2.44875000,0.53952242
-5.81390695,2.39063459,0.03751273,0.00081456,1.53286750,0.00000000,2.48764107,0.55322543
-5.80790395,2.44008046,0.03999247,0.00080811,1.56611603,0.00000000,2.52247946,0.56632757
-5.80190095,2.48464865,0.04250515,0.00080087,1.59632239,0.00000000,2.55164399,0.57845513
-5.79589795,2.52301839,0.04500951,0.00079253,1.62266619,0.00000000,2.57370308,0.58926784
-5.78989495,2.55406504,0.04746471,0.00078291,1.64445000,0.00000000,2.58744939,0.59846859
-5.78389195,2.57689168,0.04983179,0.00077189,1.66111997,0.00000000,2.59192859,0.60581224
-5.77788894,2.59085553,0.05207517,0.00075946,1.67228315,0.00000000,2.58646135,0.61111322
-5.77188594,2.59558802,0.05416399,0.00074570,1.67772093,0.00000000,2.57065794,0.61425155
-5.76588294,2.59100763,0.05607350,0.00073078,1.67739778,0.00000000,2.54442503,0.61517704
-5.75987994,2.57732479,0.05778613,0.00071492,1.67146495,0.00000000,2.50796416,0.61391140
-5.75387694,2.55503802,0.05929236,0.00069844,1.66025838,0.00000000,2.46176200,0.61054808
-5.74787394,2.52492106,0.06059131,0.00068170,1.64429071,0.00000000,2.40657228,0.60524965
-5.74187094,2.48800082,0.06169095,0.00066512,1.62423719,0.00000000,2.34338985,0.59824272
-5.73586793,2.44552639,0.06260801,0.00064916,1.60091557,0.00000000,2.27341752,0.58981041
-5.72986493,2.39892974,0.06336741,0.00063429,1.57526034,0.00000000,2.19802665,0.58028262
-5.72386193,2.34977912,0.06400143,0.00062100,1.54829209,0.00000000,2.11871255,0.57002416
