energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
4.48724362,2.50953613,-1.44934968,0.00410355,-0.00240299,0.54970491,-0.29102026,1.11070906,-0.35135930,0.37191544,-0.16091589,1.62416982,-0.92247757,0.00492936,-0.00361569,0.60321641,-0.35491705,0.00000000,-0.00000000
4.49324662,2.62387062,-1.50530053,0.00462189,-0.00256489,0.57855480,-0.29803407,1.20997916,-0.39269857,0.39949002,-0.17292304,1.69812021,-0.96771104,0.00502993,-0.00366444,0.62886642,-0.37077246,0.00000000,-0.00000000
4.49924962,2.73491279,-1.56445770,0.00522269,-0.00282892,0.60773281,-0.30547784,1.31074448,-0.43936281,0.42730348,-0.18623279,1.76804457,-1.01592524,0.00511773,-0.00370870,0.65325683,-0.38752929,0.00000000,-0.00000000
4.50525263,2.84159477,-1.62713009,0.00591947,-0.00320087,0.63707300,-0.31352948,1.41190617,-0.49134885,0.45507131,-0.20087430,1.83287778,-1.06702465,0.00519240,-0.00374951,0.67610071,-0.40519888,0.00000000,-0.00000000
4.51125563,2.94284547,-1.69360865,0.00672909,-0.00368984,0.66638469,-0.32238178,1.51230892,-0.54859790,0.48249320,-0.21686419,1.89156039,-1.12085208,0.00525369,-0.00378807,0.69712007,-0.42377771,0.00000000,-0.00000000
4.51725863,3.03762161,-1.76413000,0.00767199,-0.00430833,0.69545544,-0.33223270,1.61077074,-0.61098201,0.50926049,-0.23420119,1.94306641,-1.17716682,0.00530156,-0.00382567,0.71605464,-0.44323952,0.00000000,-0.00000000
4.52326163,3.12494335,-1.83884289,0.00877237,-0.00507241,0.72405587,-0.34327525,1.70611607,-0.67829256,0.53506459,-0.25286118,1.98643367,-1.23562626,0.00533614,-0.00386359,0.73267142,-0.46352844,0.00000000,-0.00000000
4.52926463,3.20393297,-1.91777956,0.01005822,-0.00600173,0.75194591,-0.35568733,1.79721080,-0.75023118,0.55960615,-0.27279310,2.02079531,-1.29577237,0.00535776,-0.00390309,0.74677452,-0.48455398,0.00000000,-0.00000000
4.53526763,3.27385413,-2.00083363,0.01156125,-0.00711962,0.77888242,-0.36962208,1.88299760,-0.82640404,0.58260445,-0.29391584,2.04541088,-1.35702425,0.00536703,-0.00394526,0.75821473,-0.50618797,0.00000000,-0.00000000
4.54127064,3.33414969,-2.08774610,0.01331666,-0.00845298,0.80462758,-0.38519913,1.96252978,-0.90631981,0.60380652,-0.31611633,2.05969536,-1.41867763,0.00536484,-0.00399105,0.76689831,-0.52826399,0.00000000,-0.00000000
4.54727364,3.38447533,-2.17810043,0.01536270,-0.01003219,0.82895759,-0.40249711,2.03500205,-0.98939182,0.62299565,-0.33924919,2.06324454,-1.47991175,0.00535240,-0.00404119,0.77279428,-0.55057924,0.00000000,-0.00000000
4.55327664,3.42472671,-2.27132702,0.01773995,-0.01189073,0.85167120,-0.42154777,2.09977661,-1.07494447,0.63999873,-0.36313769,2.05585516,-1.53980383,0.00533127,-0.00409621,0.77593976,-0.57289906,0.00000000,-0.00000000
4.55927964,3.45505780,-2.36671717,0.02049045,-0.01406479,0.87259750,-0.44233205,2.15640290,-1.16222400,0.65469194,-0.38757637,2.03753860,-1.59735064,0.00530335,-0.00415642,0.77644285,-0.59496374,0.00000000,-0.00000000
4.56528264,3.47588882,-2.46344565,0.02365644,-0.01659257,0.89160249,-0.46477828,2.20463027,-1.25041333,0.66700469,-0.41233509,2.00852706,-1.65149646,0.00527091,-0.00422195,0.77448268,-0.61649748,0.00000000,-0.00000000
4.57128564,3.48790228,-2.56060077,0.02727896,-0.01951341,0.90859399,-0.48876251,2.24441251,-1.33865062,0.67692127,-0.43716450,1.96927176,-1.70116614,0.00523654,-0.00429278,0.77030645,-0.63721890,0.00000000,-0.00000000
4.57728864,3.49202668,-2.65722012,0.03139614,-0.02286667,0.92352458,-0.51411112,2.27590409,-1.42605079,0.68448040,-0.46180256,1.92043289,-1.74530177,0.00520312,-0.00436877,0.76422338,-0.65685260,0.00000000,-0.00000000
4.58329165,3.48940790,-2.75232995,0.03604126,-0.02669039,0.93639238,-0.54060557,2.29944822,-1.51172923,0.68977247,-0.48598205,1.86286172,-1.78290111,0.00517375,-0.00444975,0.75659569,-0.67514104,0.00000000,-0.00000000
4.58929465,3.48136916,-2.84498576,0.04124077,-0.03101969,0.94723967,-0.56798900,2.31555725,-1.59482683,0.69293468,-0.50943862,1.79757541,-1.81305583,0.00515169,-0.00453555,0.74782699,-0.69185612,0.00000000,-0.00000000
4.59529765,3.46936103,-2.93431167,0.04701206,-0.03588501,0.95614938,-0.59597453,2.32488655,-1.67453500,0.69414443,-0.53191902,1.72572586,-1.83498756,0.00514022,-0.00462602,0.73834834,-0.70680963,0.00000000,-0.00000000
4.60130065,3.45490373,-3.01953618,0.05336139,-0.04131015,0.96323971,-0.62425475,2.32820303,-1.75011970,0.69361109,-0.55318918,1.64856379,-1.84807981,0.00514259,-0.00472114,0.72860277,-0.71986202,0.00000000,-0.00000000
4.60730365,3.43952430,-3.10002201,0.06028184,-0.04731025,0.96865726,-0.65251213,2.32635006,-1.82094335,0.69156686,-0.57304175,1.56739991,-1.85190413,0.00516181,-0.00482100,0.71902883,-0.73092884,0.00000000,-0.00000000
4.61330665,3.42469171,-3.17528822,0.06775148,-0.05388971,0.97256899,-0.68042963,2.32021044,-1.88648332,0.68825695,-0.59130264,1.48356475,-1.84623902,0.00520060,-0.00492583,0.71004391,-0.73998451,0.00000000,-0.00000000
4.61930965,3.41175297,-3.24502330,0.07573190,-0.06104024,0.97515363,-0.70770135,2.31066931,-1.94634636,0.68392972,-0.60783638,1.39836909,-1.83108054,0.00526119,-0.00503600,0.70202814,-0.74706298,0.00000000,-0.00000000
4.62531266,3.40187348,-3.30908818,0.08416718,-0.06873905,0.97659292,-0.73404234,2.29857868,-2.00027783,0.67882715,-0.62254987,1.31306666,-1.80664426,0.00534525,-0.00515198,0.69530954,-0.75225546,0.00000000,-0.00000000
