energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,1.75888261,0.97477390,0.46422944,0.01497991,0.23833741,0.69766190,0.00516087
-5.99399700,1.78539420,0.97673893,0.47656397,0.01535617,0.26115611,0.69668707,0.00521630
-5.98799400,1.81687015,0.98211596,0.49131635,0.01587754,0.28678061,0.69667828,0.00530968
-5.98199100,1.85393820,0.99131145,0.50869917,0.01655385,0.31533409,0.69784744,0.00544215
-5.97598799,1.89730359,1.00476933,0.52893729,0.01739575,0.34692412,0.70044154,0.00561443
-5.96998499,1.94772487,1.02295829,0.55226190,0.01841435,0.38163557,0.70473565,0.00582684
-5.96398199,2.00598405,1.04635635,0.57890282,0.01962085,0.41952311,0.71102376,0.00607929
-5.95797899,2.07285210,1.07543299,0.60907918,0.02102598,0.46060371,0.71960796,0.00637123
-5.95197599,2.14905118,1.11062980,0.64298881,0.02263947,0.50484929,0.73078627,0.00670170
-5.94597299,2.23521510,1.15234012,0.68079676,0.02446940,0.55217999,0.74483966,0.00706925
-5.93996998,2.33184975,1.20088866,0.72262326,0.02652158,0.60245849,0.76201885,0.00747195
-5.93396698,2.43929510,1.25651178,0.76853182,0.02879895,0.65548542,0.78253136,0.00790738
-5.92796398,2.55769067,1.31933938,0.81851795,0.03130092,0.71099655,0.80652943,0.00837259
-5.92196098,2.68694601,1.38937904,0.87249918,0.03402288,0.76866179,0.83409932,0.00886414
-5.91595798,2.82671774,1.46650327,0.93030695,0.03695576,0.82808628,0.86525249,0.00937807
-5.90995498,2.97639452,1.55044038,0.99168089,0.04008564,0.88881381,0.89991899,0.00990994
-5.90395198,3.13509083,1.64076957,1.05626605,0.04339361,0.95033252,0.93794354,0.01045485
-5.89794897,3.30165043,1.73692060,1.12361348,0.04685575,1.01208294,0.97908427,0.01100755
-5.89194597,3.47465969,1.83817833,1.19318433,0.05044322,1.07346828,1.02301457,0.01156243
-5.88594297,3.65247088,1.94369211,1.26435766,0.05412264,1.13386662,1.06932774,0.01211369
-5.87993997,3.83323480,2.05249007,1.33644188,0.05785664,1.19264489,1.11754457,0.01265540
-5.87393697,4.01494200,2.16349788,1.40868947,0.06160452,1.24917407,1.16712344,0.01318165
-5.86793397,4.19547123,2.27556171,1.48031479,0.06532317,1.30284511,1.21747280,0.01368665
-5.86193097,4.37264360,2.38747454,1.55051403,0.06896807,1.35308516,1.26796555,0.01416490
-5.85592796,4.54428038,2.49800523,1.61848698,0.07249448,1.39937335,1.31795473,0.01461133
-5.84992496,4.70826252,2.60592918,1.68345934,0.07585857,1.44125555,1.36679015,0.01502140
-5.84392196,4.86258935,2.71005975,1.74470496,0.07901875,1.47835748,1.41383524,0.01539126
-5.83791896,5.00543440,2.80927902,1.80156695,0.08193680,1.51039559,1.45848358,0.01571784
-5.83191596,5.13519594,2.90256700,1.85347660,0.08457905,1.53718518,1.50017446,0.01599892
-5.82591296,5.25054023,2.98902785,1.89996945,0.08691737,1.55864536,1.53840698,0.01623321
-5.81990995,5.35043577,3.06791229,1.94069774,0.08892999,1.57480054,1.57275207,0.01642037
-5.81390695,5.43417714,3.13863506,1.97543852,0.09060213,1.58577842,1.60286219,0.01656096
-5.80790395,5.50139755,3.20078685,2.00409732,0.09192633,1.59180431,1.62847814,0.01665646
-5.80190095,5.55206978,3.25414010,2.02670710,0.09290262,1.59319223,1.64943307,0.01670916
-5.79589795,5.58649565,3.29864854,2.04342270,0.09353826,1.59033304,1.66565338,0.01672205
-5.78989495,5.60528482,3.33444051,2.05451105,0.09384742,1.58368010,1.67715671,0.01669870
-5.78389195,5.60932422,3.36180654,2.06033790,0.09385044,1.57373329,1.68404720,0.01664309
-5.77788894,5.59973974,3.38118179,2.06135167,0.09357301,1.56102200,1.68650834,0.01655949
-5.77188594,5.57785245,3.39312438,2.05806545,0.09304513,1.54608801,1.68479377,0.01645224
-5.76588294,5.54513137,3.39829083,2.05103800,0.09230004,1.52946903,1.67921665,0.01632562
-5.75987994,5.50314549,3.39740976,2.04085495,0.09137299,1.51168374,1.67013808,0.01618370
-5.75387694,5.45351709,3.39125530,2.02811091,0.09030018,1.49321900,1.65795506,0.01603016
-5.74787394,5.39787870,3.38062154,2.01339352,0.08911762,1.47451982,1.64308878,0.01586825
-5.74187094,5.33783531,3.36629928,1.99727007,0.08786022,1.45598231,1.62597342,0.01570067
-5.73586793,5.27493334,3.34905592,1.98027705,0.08656102,1.43795016,1.60704618,0.01552954
-5.72986493,5.21063703,3.32961953,1.96291313,0.08525054,1.42071413,1.58673862,0.01535640
-5.72386193,5.14631260,3.30866735,1.94563526,0.08395648,1.40451479,1.56546974,0.01518222
-5.71785893,5.08321993,3.28681901,1.92885794,0.08270345,1.38954766,1.54364063,0.01500750
-5.71185593,5.02251080,3.26463424,1.91295504,0.08151302,1.37597050,1.52163095,0.01483229
-5.70585293,4.96523262,3.24261456,1.89826366,0.08040388,1.36391172,1.49979679,0.01465637
-5.69984992,4.91233586,3.22120836,1.88508925,0.07939215,1.35347928,1.47846991,0.01447930
-5.69384692,4.86468364,3.20081819,1.87371119,0.07849168,1.34476920,1.45795787,0.01430061
-5.68784392,4.82306139,3.18180945,1.86438805,0.07771455,1.33787289,1.43854493,0.01411987
-5.68184092,4.78818506,3.16451923,1.85736181,0.07707134,1.33288253,1.42049300,0.01393682
-5.67583792,4.76070617,3.14926430,1.85286046,0.07657152,1.32989411,1.40404276,0.01375148
-5.66983492,4.74121273,3.13634732,1.85109832,0.07622359,1.32900753,1.38941421,0.01356416
-5.66383192,4.73022506,3.12606045,1.85227417,0.07603515,1.33032382,1.37680679,0.01337558
-5.65782891,4.72818654,3.11868601,1.85656684,0.07601284,1.33393931,1.36639868,0.01318680
-5.65182591,4.73544938,3.11449382,1.86412859,0.07616203,1.33993727,1.35834541,0.01299925
-5.64582291,4.75225631,3.11373533,1.87507667,0.07648648,1.34837734,1.35277762,0.01281465
-5.63981991,4.77871930,3.11663493,1.88948357,0.07698777,1.35928351,1.34979841,0.01263497
-5.63381691,4.81479705,3.12337895,1.90736677,0.07766473,1.37263144,1.34948014,0.01246227
-5.62781391,4.86027295,3.13410313,1.92867862,0.07851279,1.38833606,1.35186117,0.01229867
-5.62181091,4.91473545,3.14887964,1.95329738,0.07952338,1.40624036,1.35694279,0.01214616
-5.61580790,4.97756290,3.16770446,1.98102009,0.08068336,1.42610628,1.36468653,0.01200650
-5.60980490,5.04791436,3.19048631,2.01155807,0.08197459,1.44760856,1.37501230,0.01188113
-5.60380190,5.12472811,3.21703786,2.04453554,0.08337375,1.47033228,1.38779746,0.01177107
-5.59779890,5.20672867,3.24707035,2.07949196,0.08485229,1.49377446,1.40287700,0.01167682
-5.59179590,5.29244308,3.28019177,2.11588806,0.08637664,1.51735017,1.42004516,0.01159830
-5.58579290,5.38022627,3.31590947,2.15311571,0.08790879,1.54040306,1.43905812,0.01153489
-5.57978989,5.46829525,3.35363691,2.19051127,0.08940699,1.56222020,1.45963811,0.01148534
-5.57378689,5.55477071,3.39270458,2.22737203,0.09082677,1.58205070,1.48147853,0.01144787
-5.56778389,5.63772475,3.43237464,2.26297496,0.09212222,1.59912742,1.50424992,0.01142024
-5.56178089,5.71523255,3.47185863,2.29659699,0.09324731,1.61269091,1.52760662,0.01139975
-5.55577789,5.78542582,3.51033731,2.32753581,0.09415744,1.62201456,1.55119358,0.01138344
-5.54977489,5.84654556,3.54698182,2.35513036,0.09481091,1.62642978,1.57465328,0.01136814
-5.54377189,5.89699158,3.58097489,2.37877969,0.09517048,1.62535002,1.59763211,0.01135060
-5.53776888,5.93536663,3.61153126,2.39795964,0.09520466,1.61829264,1.61978624,0.01132765
-5.53176588,5.96051284,3.63791615,2.41223623,0.09488896,1.60489741,1.64078643,0.01129626
-5.52576288,5.97153903,3.65946110,2.42127528,0.09420680,1.58494085,1.66032186,0.01125366
-5.51975988,5.96783757,3.67557632,2.42484789,0.09315017,1.55834572,1.67810272,0.01119745
-5.51375688,5.94909023,3.68575939,2.42283144,0.09171994,1.52518519,1.69386164,0.01112560
-5.50775388,5.91526313,3.68959985,2.41520641,0.08992586,1.48568153,1.70735399,0.01103658
-5.50175088,5.86659123,3.68678003,2.40204920,0.08778619,1.44019931,1.71835733,0.01092931
-5.49574787,5.80355372,3.67707233,2.38352161,0.08532699,1.38923364,1.72667013,0.01080315
-5.48974487,5.72684190,3.66033363,2.35985766,0.08258120,1.33339387,1.73211016,0.01065794
-5.48374187,5.63732155,3.63649739,2.33134871,0.07958737,1.27338363,1.73451282,0.01049390
-5.47773887,5.53599216,3.60556461,2.29832775,0.07638835,1.20997821,1.73372977,0.01031160
-5.47173587,5.42394534,3.56759426,2.26115405,0.07302978,1.14400016,1.72962817,0.01011189
-5.46573287,5.30232478,3.52269431,2.22019882,0.06955857,1.07629440,1.72209084,0.00989585
-5.45972986,5.17228985,3.47101399,2.17583302,0.06602143,1.00770384,1.71101746,0.00966470
-5.45372686,5.03498467,3.41273813,2.12841773,0.06246351,0.93904645,1.69632691,0.00941979
-5.44772386,4.89151397,3.34808387,2.07829783,0.05892719,0.87109476,1.67796091,0.00916251
-5.44172086,4.74292679,3.27730010,2.02579902,0.05545107,0.80455839,1.65588866,0.00889427
-5.43571786,4.59020807,3.20066961,1.97122826,0.05206919,0.74007021,1.63011245,0.00861650
-5.42971486,4.43427835,3.11851366,1.91487762,0.04881054,0.67817636,1.60067387,0.00833059
-5.42371186,4.27600054,3.03119864,1.85703082,0.04569879,0.61933036,1.56766032,0.00803797
-5.41770885,4.11619288,2.93914409,1.79797209,0.04275228,0.56389093,1.53121138,0.00774008
-5.41170585,3.95564666,2.84283135,1.73799664,0.03998424,0.51212365,1.49152468,0.00743840
-5.40570285,3.79514688,2.74281214,1.67742180,0.03740321,0.46420556,1.44886077,0.00713451
-5.39969985,3.63549421,2.63971601,1.61659809,0.03501356,0.42023257,1.40354666,0.00683010
-5.39369685,3.47752644,2.53425611,1.55591943,0.03281619,0.38022881,1.35597773,0.00652703
-5.38769385,3.32213759,2.42723241,1.49583164,0.03080923,0.34415735,1.30661760,0.00622735
-5.38169085,3.17029342,2.31953185,1.43683868,0.02898879,0.31193166,1.25599591,0.00593333
-5.37568784,3.02304183,2.21212514,1.37950599,0.02734968,0.28342714,1.20470392,0.00564748
-5.36968484,2.88151746,2.10605977,1.32446070,0.02588600,0.25849226,1.15338780,0.00537256
-5.36368184,2.74693969,2.00244949,1.27238834,0.02459179,0.23695873,1.10273990,0.00511158
-5.35767884,2.62060402,1.90246011,1.22402611,0.02346136,0.21865044,1.05348800,0.00486777
-5.35167584,2.50386674,1.80729221,1.18015276,0.02248966,0.20339082,1.00638292,0.00464456
-5.34567284,2.39812351,1.71816106,1.14157535,0.02167245,0.19100856,0.96218472,0.00444554
-5.33966983,2.30478229,1.63627431,1.10911328,0.02100629,0.18134150,0.92164793,0.00427441
-5.33366683,2.22523186,1.56280817,1.08357992,0.02048849,0.17423890,0.88550603,0.00413490
-5.32766383,2.16080669,1.49888262,1.06576265,0.02011691,0.16956203,0.85445580,0.00403074
-5.32166083,2.11274969,1.44553652,1.05640162,0.01988970,0.16718345,0.82914175,0.00396554
-5.31565783,2.08217393,1.40370312,1.05616817,0.01980490,0.16698503,0.81014106,0.00394271
-5.30965483,2.07002478,1.37418669,1.06564330,0.01986015,0.16885516,0.79794946,0.00396544
-5.30365183,2.07704371,1.35764101,1.08529705,0.02005222,0.17268526,0.79296835,0.00403653
-5.29764882,2.10373511,1.35455001,1.11546947,0.02037674,0.17836612,0.79549346,0.00415837
-5.29164582,2.15033736,1.36521139,1.15635358,0.02082779,0.18578405,0.80570543,0.00433281
-5.28564282,2.21679903,1.38972346,1.20798118,0.02139770,0.19481742,0.82366247,0.00456114
-5.27963982,2.30276155,1.42797578,1.27021194,0.02207687,0.20533360,0.84929538,0.00484398
-5.27363682,2.40754880,1.47964380,1.34272615,0.02285368,0.21718660,0.88240521,0.00518124
-5.26763382,2.53016449,1.54418795,1.42502176,0.02371452,0.23021556,0.92266352,0.00557209
-5.26163082,2.66929767,1.62085740,1.51641577,0.02464390,0.24424416,0.96961559,0.00601488
-5.25562781,2.82333671,1.70869848,1.61605030,0.02562472,0.25908105,1.02268642,0.00650718
-5.24962481,2.99039149,1.80656813,1.72290343,0.02663856,0.27452128,1.08118966,0.00704573
-5.24362181,3.16832382,1.91315204,1.83580464,0.02766611,0.29034865,1.14433934,0.00762651
