energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,1.08216735,0.00228483,0.10806298,0.65439294,0.00000000,0.33319552,0.18936212,0.29573163,0.15646850
-5.99399700,1.09046444,0.00237610,0.10687936,0.66388913,0.00000000,0.33437301,0.18918850,0.29490890,0.15663019
-5.98799400,1.09904639,0.00247268,0.10563160,0.67344566,0.00000000,0.33551838,0.18932844,0.29383413,0.15673313
-5.98199100,1.10780994,0.00257321,0.10433833,0.68293156,0.00000000,0.33663459,0.18987914,0.29244631,0.15676866
-5.97598799,1.11668958,0.00267666,0.10302038,0.69224172,0.00000000,0.33773500,0.19094238,0.29069783,0.15673307
-5.96998499,1.12566508,0.00278232,0.10170069,0.70130322,0.00000000,0.33884421,0.19262204,0.28855834,0.15662875
-5.96398199,1.13476744,0.00288984,0.10040435,0.71008060,0.00000000,0.33999873,0.19502145,0.28601800,0.15646516
-5.95797899,1.14408272,0.00299915,0.09915852,0.71857955,0.00000000,0.34124713,0.19824073,0.28309009,0.15625961
-5.95197599,1.15375300,0.00311049,0.09799222,0.72684876,0.00000000,0.34264960,0.20237384,0.27981258,0.15603766
-5.94597299,1.16397422,0.00322431,0.09693613,0.73497946,0.00000000,0.34427677,0.20750562,0.27624871,0.15583309
-5.93996998,1.17499049,0.00334122,0.09602201,0.74310260,0.00000000,0.34620783,0.21370862,0.27248633,0.15568746
-5.93396698,1.18708493,0.00346193,0.09528220,0.75138360,0.00000000,0.34852781,0.22103985,0.26863610,0.15564913
-5.92796398,1.20056703,0.00358714,0.09474866,0.76001470,0.00000000,0.35132409,0.22953753,0.26482839,0.15577183
-5.92196098,1.21575722,0.00371746,0.09445208,0.76920524,0.00000000,0.35468237,0.23921784,0.26120914,0.15611277
-5.91595798,1.23296891,0.00385333,0.09442072,0.77917025,0.00000000,0.35868201,0.25007194,0.25793471,0.15673039
-5.90995498,1.25248924,0.00399491,0.09467917,0.79011788,0.00000000,0.36339129,0.26206325,0.25516598,0.15768187
-5.90395198,1.27455920,0.00414203,0.09524713,0.80223633,0.00000000,0.36886251,0.27512535,0.25306183,0.15902048
-5.89794897,1.29935450,0.00429414,0.09613825,0.81568094,0.00000000,0.37512748,0.28916047,0.25177248,0.16079296
-5.89194597,1.32696811,0.00445024,0.09735908,0.83056223,0.00000000,0.38219356,0.30403890,0.25143278,0.16303708
-5.88594297,1.35739579,0.00460890,0.09890826,0.84693562,0.00000000,0.39004056,0.31959937,0.25215592,0.16577959
-5.87993997,1.39052551,0.00476827,0.10077603,0.86479337,0.00000000,0.39861873,0.33565061,0.25402777,0.16903453
-5.87393697,1.42613163,0.00492611,0.10294410,0.88405941,0.00000000,0.40784803,0.35197408,0.25710211,0.17280233
-5.86793397,1.46387439,0.00507984,0.10538597,0.90458745,0.00000000,0.41761893,0.36832790,0.26139712,0.17706948
-5.86193097,1.50330523,0.00522668,0.10806768,0.92616244,0.00000000,0.42779455,0.38445202,0.26689311,0.18180908
-5.85592796,1.54387767,0.00536369,0.11094903,0.94850567,0.00000000,0.43821433,0.40007434,0.27353180,0.18698211
-5.84992496,1.58496367,0.00548797,0.11398525,0.97128316,0.00000000,0.44869904,0.41491783,0.28121711,0.19253950
-5.84392196,1.62587474,0.00559672,0.11712898,0.99411707,0.00000000,0.45905689,0.42870823,0.28981746,0.19842487
-5.83791896,1.66588691,0.00568744,0.12033264,1.01659960,0.00000000,0.46909051,0.44118210,0.29916953,0.20457777
-5.83191596,1.70426836,0.00575801,0.12355085,1.03830870,0.00000000,0.47860446,0.45209494,0.30908330,0.21093736
-5.82591296,1.74030853,0.00580681,0.12674302,1.05882486,0.00000000,0.48741292,0.46122904,0.31934819,0.21744619
-5.81990995,1.77334698,0.00583288,0.12987577,1.07774801,0.00000000,0.49534721,0.46840057,0.32974001,0.22405394
-5.81390695,1.80280080,0.00583590,0.13292517,1.09471391,0.00000000,0.50226260,0.47346582,0.34002849,0.23072090
-5.80790395,1.82818906,0.00581633,0.13587855,1.10940891,0.00000000,0.50804434,0.47632610,0.34998502,0.23742085
-5.80190095,1.84915292,0.00577534,0.13873582,1.12158252,0.00000000,0.51261229,0.47693122,0.35939028,0.24414328
-5.79589795,1.86547054,0.00571489,0.14151026,1.13105717,0.00000000,0.51592421,0.47528124,0.36804153,0.25089464
-5.78989495,1.87706583,0.00563758,0.14422848,1.13773457,0.00000000,0.51797725,0.47142652,0.37575918,0.25769856
-5.78389195,1.88401073,0.00554669,0.14692979,1.14159848,0.00000000,0.51880791,0.46546602,0.38239240,0.26459502
-5.77788894,1.88652078,0.00544597,0.14966475,1.14271377,0.00000000,0.51849016,0.45754389,0.38782365,0.27163831
-5.77188594,1.88494442,0.00533962,0.15249312,1.14122195,0.00000000,0.51713209,0.44784463,0.39197186,0.27889403
-5.76588294,1.87974648,0.00523209,0.15548117,1.13733340,0.00000000,0.51487121,0.43658694,0.39479429,0.28643516
