energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.04608704,0.00480002,0.04457054,0.26462330,0.35677555,0.01003476,0.56915648,0.27044502,0.07225779
-5.99399700,1.04353237,0.00450696,0.04712664,0.26702434,0.35570067,0.00993587,0.56450418,0.27014429,0.07234882
-5.98799400,1.04124916,0.00423211,0.04988892,0.27028420,0.35455833,0.00981587,0.55965377,0.26938884,0.07245572
-5.98199100,1.03975818,0.00397985,0.05286421,0.27461196,0.35352242,0.00967765,0.55489470,0.26825987,0.07260638
-5.97598799,1.03952676,0.00375378,0.05605450,0.28018969,0.35275175,0.00952407,0.55049282,0.26683435,0.07282533
-5.96998499,1.04095125,0.00355660,0.05945602,0.28716445,0.35238398,0.00935784,0.54668171,0.26518281,0.07313290
-5.96398199,1.04434282,0.00339014,0.06305845,0.29564158,0.35253072,0.00918146,0.54365592,0.26336785,0.07354454
-5.95797899,1.04991723,0.00325529,0.06684437,0.30567951,0.35327383,0.00899715,0.54156610,0.26144315,0.07407046
-5.95197599,1.05778904,0.00315210,0.07078886,0.31728654,0.35466326,0.00880680,0.54051648,0.25945321,0.07471544
-5.94597299,1.06797044,0.00307976,0.07485943,0.33041967,0.35671639,0.00861196,0.54056460,0.25743360,0.07547895
-5.93996998,1.08037477,0.00303670,0.07901624,0.34498571,0.35941888,0.00841386,0.54172327,0.25541188,0.07635553
-5.93396698,1.09482476,0.00302071,0.08321260,0.36084479,0.36272709,0.00821338,0.54396491,0.25340898,0.07733537
-5.92796398,1.11106517,0.00302900,0.08739583,0.37781605,0.36657198,0.00801114,0.54722773,0.25144111,0.07840521
-5.92196098,1.12877930,0.00305836,0.09150843,0.39568551,0.37086414,0.00780750,0.55142380,0.24952194,0.07954938
-5.91595798,1.14760890,0.00310529,0.09548959,0.41421582,0.37550012,0.00760263,0.55644858,0.24766516,0.08075102
-5.90995498,1.16717658,0.00316614,0.09927691,0.43315748,0.38036940,0.00739658,0.56219137,0.24588707,0.08199341
-5.90395198,1.18710992,0.00323724,0.10280835,0.45226111,0.38536206,0.00718928,0.56854650,0.24420938,0.08326142
-5.89794897,1.20706611,0.00331510,0.10602431,0.47129026,0.39037653,0.00698068,0.57542452,0.24266170,0.08454287
-5.89194597,1.22675621,0.00339648,0.10886976,0.49003400,0.39532739,0.00677074,0.58276297,0.24128404,0.08582995
-5.88594297,1.24596766,0.00347861,0.11129634,0.50831888,0.40015249,0.00655949,0.59053621,0.24012878,0.08712040
-5.87993997,1.26458411,0.00355924,0.11326427,0.52601943,0.40481943,0.00634710,0.59876378,0.23926227,0.08841856
-5.87393697,1.28260139,0.00363682,0.11474406,0.54306679,0.40933076,0.00613388,0.60751675,0.23876577,0.08973616
-5.86793397,1.30013878,0.00371053,0.11571788,0.55945469,0.41372779,0.00592031,0.61692175,0.23873573,0.09109278
-5.86193097,1.31744473,0.00378043,0.11618053,0.57524267,0.41809270,0.00570709,0.62716231,0.23928326,0.09251601
-5.85592796,1.33489660,0.00384744,0.11613985,0.59055600,0.42254880,0.00549510,0.63847725,0.24053272,0.09404112
-5.84992496,1.35299415,0.00391344,0.11561681,0.60558229,0.42725893,0.00528540,0.65115614,0.24261953,0.09571050
-5.84392196,1.37234689,0.00398123,0.11464486,0.62056480,0.43242185,0.00507924,0.66553183,0.24568704,0.09757260
-5.83791896,1.39365552,0.00405457,0.11326901,0.63579272,0.43826684,0.00487803,0.68197024,0.24988264,0.09968055
-5.83191596,1.41768834,0.00413808,0.11154422,0.65158873,0.44504676,0.00468328,0.70085790,0.25535323,0.10209053
-5.82591296,1.44525352,0.00423725,0.10953363,0.66829452,0.45302965,0.00449658,0.72258753,0.26224010,0.10485982
-5.81990995,1.47716831,0.00435832,0.10730635,0.68625479,0.46248934,0.00431957,0.74754248,0.27067354,0.10804480
-5.81390695,1.51422681,0.00450822,0.10493513,0.70580068,0.47369557,0.00415388,0.77608054,0.28076723,0.11169880
-5.80790395,1.55716755,0.00469442,0.10249390,0.72723331,0.48690375,0.00400108,0.80851800,0.29261292,0.11587003
-5.80190095,1.60664243,0.00492486,0.10005546,0.75080838,0.50234512,0.00386266,0.84511455,0.30627533,0.12059961
-5.79589795,1.66318856,0.00520777,0.09768919,0.77672253,0.52021750,0.00373997,0.88605988,0.32178779,0.12591985
-5.78989495,1.72720400,0.00555155,0.09545916,0.80510221,0.54067711,0.00363422,0.93146244,0.33914872,0.13185278
-5.78389195,1.79892867,0.00596458,0.09342245,0.83599550,0.56383174,0.00354641,0.98134098,0.35831911,0.13840905
-5.77788894,1.87843102,0.00645507,0.09162795,0.86936746,0.58973549,0.00347737,1.03561921,0.37922129,0.14558717
