energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.66374871,0.01892612,0.18712637,0.47359533,0.19532577,0.85722721,0.00000000
-5.99399700,1.63922893,0.01902069,0.19031232,0.46579889,0.19385972,0.83392907,0.00000000
-5.98799400,1.60860528,0.01899913,0.19244903,0.45650278,0.19163010,0.80814057,0.00000000
-5.98199100,1.57255764,0.01886112,0.19353152,0.44592902,0.18870526,0.78036251,0.00000000
-5.97598799,1.53188153,0.01860880,0.19358446,0.43432374,0.18517102,0.75112532,0.00000000
-5.96998499,1.48746737,0.01824681,0.19266160,0.42195061,0.18112858,0.72097533,0.00000000
-5.96398199,1.44027774,0.01778208,0.19084407,0.40908389,0.17669191,0.69046138,0.00000000
-5.95797899,1.39132290,0.01722367,0.18823773,0.39600141,0.17198485,0.66012206,0.00000000
-5.95197599,1.34163537,0.01658245,0.18496954,0.38297757,0.16713777,0.63047393,0.00000000
-5.94597299,1.29224398,0.01587079,0.18118319,0.37027664,0.16228408,0.60200071,0.00000000
-5.93996998,1.24414823,0.01510218,0.17703412,0.35814636,0.15755652,0.57514377,0.00000000
-5.93396698,1.19829358,0.01429081,0.17268412,0.34681220,0.15308352,0.55029399,0.00000000
-5.92796398,1.15554860,0.01345117,0.16829586,0.33647236,0.14898560,0.52778512,0.00000000
-5.92196098,1.11668453,0.01259764,0.16402747,0.32729362,0.14537210,0.50788876,0.00000000
-5.91595798,1.08235813,0.01174412,0.16002748,0.31940829,0.14233822,0.49081102,0.00000000
-5.90995498,1.05309838,0.01090368,0.15643039,0.31291231,0.13996259,0.47669093,0.00000000
-5.90395198,1.02929748,0.01008828,0.15335296,0.30786454,0.13830547,0.46560063,0.00000000
-5.89794897,1.01120677,0.00930853,0.15089143,0.30428737,0.13740760,0.45754732,0.00000000
-5.89194597,0.99893744,0.00857359,0.14911986,0.30216853,0.13728982,0.45247691,0.00000000
-5.88594297,0.99246635,0.00789098,0.14808951,0.30146418,0.13795346,0.45027930,0.00000000
-5.87993997,0.99164659,0.00726665,0.14782941,0.30210305,0.13938151,0.45079516,0.00000000
-5.87393697,0.99622244,0.00670500,0.14834791,0.30399155,0.14154048,0.45382398,0.00000000
-5.86793397,1.00584817,0.00620896,0.14963528,0.30701964,0.14438295,0.45913317,0.00000000
-5.86193097,1.02010979,0.00578014,0.15166707,0.31106726,0.14785066,0.46646792,0.00000000
-5.85592796,1.03854899,0.00541905,0.15440812,0.31601101,0.15187792,0.47556145,0.00000000
-5.84992496,1.06068801,0.00512526,0.15781687,0.32173082,0.15639537,0.48614543,0.00000000
-5.84392196,1.08605444,0.00489765,0.16184991,0.32811634,0.16133368,0.49795994,0.00000000
-5.83791896,1.11420477,0.00473458,0.16646633,0.33507277,0.16662726,0.51076284,0.00000000
-5.83191596,1.14474554,0.00463415,0.17163167,0.34252576,0.17221749,0.52433806,0.00000000
-5.82591296,1.17735104,0.00459433,0.17732130,0.35042534,0.17805559,0.53850245,0.00000000
-5.81990995,1.21177676,0.00461312,0.18352293,0.35874848,0.18410480,0.55311102,0.00000000
-5.81390695,1.24786782,0.00468866,0.19023806,0.36750022,0.19034179,0.56806022,0.00000000
-5.80790395,1.28556194,0.00481929,0.19748247,0.37671336,0.19675723,0.58328925,0.00000000
-5.80190095,1.32488689,0.00500357,0.20528539,0.38644653,0.20335544,0.59877931,0.00000000
-5.79589795,1.36595238,0.00524028,0.21368760,0.39678087,0.21015327,0.61455084,0.00000000
-5.78989495,1.40893702,0.00552833,0.22273849,0.40781538,0.21717796,0.63065892,0.00000000
-5.78389195,1.45407086,0.00586672,0.23249218,0.41966112,0.22446453,0.64718715,0.00000000
-5.77788894,1.50161463,0.00625440,0.24300292,0.43243457,0.23205236,0.66424025,0.00000000
-5.77188594,1.55183678,0.00669016,0.25432010,0.44625043,0.23998161,0.68193584,0.00000000
-5.76588294,1.60498950,0.00717253,0.26648303,0.46121426,0.24828928,0.70039583,0.00000000
-5.75987994,1.66128535,0.00769960,0.27951596,0.47741525,0.25700548,0.71973791,0.00000000
-5.75387694,1.72087547,0.00826899,0.29342345,0.49491950,0.26614983,0.74006751,0.00000000
-5.74787394,1.78383091,0.00887774,0.30818655,0.51376419,0.27572848,0.76147070,0.00000000
-5.74187094,1.85012791,0.00952227,0.32375992,0.53395291,0.28573170,0.78400831,0.00000000
-5.73586793,1.91963801,0.01019838,0.34007020,0.55545226,0.29613227,0.80771158,0.00000000
-5.72986493,1.99212346,0.01090127,0.35701559,0.57819013,0.30688485,0.83257941,0.00000000
-5.72386193,2.06723817,0.01162565,0.37446691,0.60205551,0.31792622,0.85857727,0.00000000
-5.71785893,2.14453386,0.01236583,0.39226991,0.62689988,0.32917645,0.88563772,0.00000000
-5.71185593,2.22347107,0.01311589,0.41024890,0.65254022,0.34054094,0.91366229,0.00000000
-5.70585293,2.30343423,0.01386984,0.42821141,0.67876326,0.35191318,0.94252445,0.00000000
-5.69984992,2.38374968,0.01462180,0.44595375,0.70533089,0.36317809,0.97207345,0.00000000
-5.69384692,2.46370557,0.01536622,0.46326706,0.73198642,0.37421572,1.00213850,0.00000000
-5.68784392,2.54257238,0.01609808,0.47994369,0.75846130,0.38490507,1.03253300,0.00000000
-5.68184092,2.61962288,0.01681300,0.49578351,0.78448206,0.39512795,1.06305848,0.00000000
-5.67583792,2.69415024,0.01750745,0.51059979,0.80977711,0.40477250,1.09350796,0.00000000
-5.66983492,2.76548361,0.01817875,0.52422454,0.83408310,0.41373626,1.12366844,0.00000000
-5.66383192,2.83300027,0.01882522,0.53651285,0.85715056,0.42192869,1.15332251,0.00000000
-5.65782891,2.89613391,0.01944607,0.54734624,0.87874873,0.42927298,1.18224902,0.00000000
-5.65182591,2.95437908,0.02004136,0.55663475,0.89866930,0.43570705,1.21022292,0.00000000
-5.64582291,3.00729179,0.02061188,0.56431787,0.91672911,0.44118387,1.23701438,0.00000000
-5.63981991,3.05448678,0.02115895,0.57036414,0.93277170,0.44567097,1.26238765,0.00000000
-5.63381691,3.09563217,0.02168416,0.57476973,0.94666790,0.44914934,1.28609980,0.00000000
-5.62781391,3.13044220,0.02218918,0.57755593,0.95831543,0.45161184,1.30789975,0.00000000
-5.62181091,3.15866917,0.02267540,0.57876595,0.96763783,0.45306119,1.32752800,0.00000000
-5.61580790,3.18009530,0.02314370,0.57846101,0.97458268,0.45350778,1.34471736,0.00000000
-5.60980490,3.19452565,0.02359420,0.57671619,0.97911955,0.45296740,1.35919476,0.00000000
-5.60380190,3.20178270,0.02402595,0.57361614,0.98123766,0.45145915,1.37068458,0.00000000
-5.59779890,3.20170328,0.02443687,0.56925096,0.98094362,0.44900356,1.37891333,0.00000000
-5.59179590,3.19413823,0.02482352,0.56371234,0.97825920,0.44562114,1.38361569,0.00000000
-5.58579290,3.17895484,0.02518117,0.55709035,0.97321950,0.44133132,1.38454175,0.00000000
-5.57978989,3.15604206,0.02550377,0.54947068,0.96587133,0.43615195,1.38146510,0.00000000
-5.57378689,3.12531814,0.02578412,0.54093278,0.95627209,0.43009936,1.37419153,0.00000000
-5.56778389,3.08673999,0.02601406,0.53154866,0.94448901,0.42318883,1.36256773,0.00000000
-5.56178089,3.04031385,0.02618479,0.52138242,0.93059877,0.41543549,1.34648961,0.00000000
-5.55577789,2.98610614,0.02628721,0.51049050,0.91468742,0.40685566,1.32590978,0.00000000
-5.54977489,2.92425389,0.02631228,0.49892251,0.89685057,0.39746829,1.30084368,0.00000000
-5.54377189,2.85497387,0.02625148,0.48672255,0.87719367,0.38729656,1.27137397,0.00000000
-5.53776888,2.77856958,0.02609724,0.47393081,0.85583241,0.37636948,1.23765296,0.00000000
-5.53176588,2.69543567,0.02584330,0.46058547,0.83289296,0.36472329,1.19990271,0.00000000
-5.52576288,2.60605922,0.02548508,0.44672459,0.80851226,0.35240263,1.15841286,0.00000000
-5.51975988,2.51101767,0.02502003,0.43238799,0.78283797,0.33946137,1.11353614,0.00000000
-5.51375688,2.41097354,0.02444780,0.41761892,0.75602835,0.32596308,1.06568179,0.00000000
-5.50775388,2.30666579,0.02377036,0.40246556,0.72825185,0.31198093,1.01530702,0.00000000
-5.50175088,2.19889863,0.02299209,0.38698215,0.69968655,0.29759733,0.96290699,0.00000000
-5.49574787,2.08852788,0.02211968,0.37122984,0.67051946,0.28290303,0.90900372,0.00000000
-5.48974487,1.97644583,0.02116197,0.35527718,0.64094565,0.26799585,0.85413432,0.00000000
-5.48374187,1.86356522,0.02012969,0.33920033,0.61116741,0.25297920,0.79883910,0.00000000
