energy_ev,total_up,Sc_p_up,Sc_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,0.59686269,0.23203639,0.17345244,0.05576537,0.00000863,0.34810227,0.00000000
-5.99399700,0.61641974,0.24035825,0.18190154,0.05719778,0.00000725,0.36555044,0.00000000
-5.98799400,0.63503553,0.24871084,0.18993630,0.05825537,0.00000608,0.38209267,0.00000000
-5.98199100,0.65203669,0.25678262,0.19735085,0.05891376,0.00000508,0.39730997,0.00000000
-5.97598799,0.66680357,0.26427603,0.20395380,0.05915721,0.00000424,0.41081659,0.00000000
-5.96998499,0.67878420,0.27091428,0.20957257,0.05897917,0.00000354,0.42226805,0.00000000
-5.96398199,0.68750671,0.27644772,0.21405744,0.05838242,0.00000296,0.43136845,0.00000000
-5.95797899,0.69258974,0.28065976,0.21728509,0.05737893,0.00000248,0.43787704,0.00000000
-5.95197599,0.69375029,0.28337185,0.21916154,0.05598936,0.00000208,0.44161345,0.00000000
-5.94597299,0.69080879,0.28444754,0.21962432,0.05424231,0.00000175,0.44246143,0.00000000
-5.93996998,0.68369113,0.28379518,0.21864366,0.05217329,0.00000149,0.44037089,0.00000000
-5.93396698,0.67242744,0.28136931,0.21622280,0.04982346,0.00000127,0.43535801,0.00000000
-5.92796398,0.65714778,0.27717061,0.21239720,0.04723828,0.00000110,0.42750335,0.00000000
-5.92196098,0.63807482,0.27124435,0.20723282,0.04446596,0.00000095,0.41694810,0.00000000
-5.91595798,0.61551386,0.26367749,0.20082347,0.04155603,0.00000083,0.40388851,0.00000000
-5.90995498,0.58984070,0.25459447,0.19328727,0.03855786,0.00000073,0.38856867,0.00000000
-5.90395198,0.56148762,0.24415198,0.18476252,0.03551924,0.00000065,0.37127210,0.00000000
-5.89794897,0.53092838,0.23253282,0.17540301,0.03248525,0.00000058,0.35231229,0.00000000
-5.89194597,0.49866260,0.21993925,0.16537308,0.02949717,0.00000052,0.33202277,0.00000000
-5.88594297,0.46520026,0.20658599,0.15484255,0.02659170,0.00000047,0.31074694,0.00000000
-5.87993997,0.43104682,0.19269328,0.14398176,0.02380033,0.00000042,0.28882826,0.00000000
-5.87393697,0.39668965,0.17848014,0.13295687,0.02114908,0.00000038,0.26660090,0.00000000
-5.86793397,0.36258594,0.16415821,0.12192571,0.01865826,0.00000034,0.24438146,0.00000000
-5.86193097,0.32915267,0.14992629,0.11103413,0.01634264,0.00000031,0.22246183,0.00000000
-5.85592796,0.29675876,0.13596579,0.10041304,0.01421166,0.00000028,0.20110342,0.00000000
-5.84992496,0.26571954,0.12243715,0.09017625,0.01226983,0.00000025,0.18053290,0.00000000
-5.84392196,0.23629346,0.10947733,0.08041906,0.01051729,0.00000022,0.16093949,0.00000000
-5.83791896,0.20868108,0.09719835,0.07121754,0.00895037,0.00000019,0.14247372,0.00000000
-5.83191596,0.18302602,0.08568682,0.06262860,0.00756222,0.00000017,0.12524761,0.00000000
-5.82591296,0.15941765,0.07500439,0.05469063,0.00634350,0.00000015,0.10933607,0.00000000
-5.81990995,0.13789533,0.06518899,0.04742470,0.00528300,0.00000013,0.09477933,0.00000000
-5.81390695,0.11845356,0.05625672,0.04083614,0.00436822,0.00000011,0.08158625,0.00000000
-5.80790395,0.10104810,0.04820421,0.03491646,0.00358591,0.00000009,0.06973815,0.00000000
-5.80190095,0.08560240,0.04101135,0.02964548,0.00292259,0.00000008,0.05919312,0.00000000
-5.79589795,0.07201414,0.03464414,0.02499349,0.00236487,0.00000007,0.04989036,0.00000000
-5.78989495,0.06016171,0.02905766,0.02092342,0.00189984,0.00000006,0.04175456,0.00000000
-5.78389195,0.04991026,0.02419887,0.01739297,0.00151531,0.00000005,0.03470009,0.00000000
-5.77788894,0.04111721,0.02000929,0.01435646,0.00119994,0.00000004,0.02863481,0.00000000
-5.77188594,0.03363712,0.01642744,0.01176662,0.00094338,0.00000003,0.02346352,0.00000000
-5.76588294,0.02732582,0.01339088,0.00957603,0.00073636,0.00000003,0.01909086,0.00000000
-5.75987994,0.02204374,0.01083801,0.00773834,0.00057064,0.00000002,0.01542378,0.00000000
-5.75387694,0.01765856,0.00870951,0.00620924,0.00043904,0.00000002,0.01237341,0.00000000
-5.74787394,0.01404710,0.00694939,0.00494720,0.00033537,0.00000001,0.00985657,0.00000000
-5.74187094,0.01109656,0.00550578,0.00391399,0.00025434,0.00000001,0.00779665,0.00000000
-5.73586793,0.00870522,0.00433143,0.00307491,0.00019151,0.00000001,0.00612430,0.00000000
-5.72986493,0.00678267,0.00338397,0.00239899,0.00014316,0.00000001,0.00477758,0.00000000
-5.72386193,0.00524965,0.00262594,0.00185894,0.00010625,0.00000001,0.00370201,0.00000000
-5.71785893,0.00403756,0.00202468,0.00143105,0.00007829,0.00000001,0.00285028,0.00000000
-5.71185593,0.00308783,0.00155214,0.00109501,0.00005728,0.00000001,0.00218188,0.00000000
-5.70585293,0.00235114,0.00118455,0.00083360,0.00004161,0.00000001,0.00166257,0.00000000
-5.69984992,0.00178654,0.00090206,0.00063247,0.00003001,0.00000001,0.00126385,0.00000000
-5.69384692,0.00136057,0.00068838,0.00047982,0.00002149,0.00000002,0.00096236,0.00000000
-5.68784392,0.00104647,0.00053046,0.00036612,0.00001528,0.00000002,0.00073935,0.00000000
-5.68184092,0.00082337,0.00041804,0.00028386,0.00001080,0.00000003,0.00058015,0.00000000
-5.67583792,0.00067564,0.00034346,0.00022726,0.00000759,0.00000004,0.00047369,0.00000000
-5.66983492,0.00059229,0.00030135,0.00019213,0.00000531,0.00000006,0.00041213,0.00000000
-5.66383192,0.00056656,0.00028843,0.00017562,0.00000371,0.00000008,0.00039055,0.00000000
-5.65782891,0.00059559,0.00030337,0.00017617,0.00000262,0.00000010,0.00040669,0.00000000
-5.65182591,0.00068016,0.00034672,0.00019333,0.00000189,0.00000014,0.00046082,0.00000000
-5.64582291,0.00082468,0.00042089,0.00022777,0.00000145,0.00000019,0.00055570,0.00000000
-5.63981991,0.00103714,0.00053019,0.00028118,0.00000122,0.00000025,0.00069652,0.00000000
-5.63381691,0.00132928,0.00068093,0.00035636,0.00000119,0.00000033,0.00089102,0.00000000
-5.62781391,0.00171677,0.00088154,0.00045715,0.00000134,0.00000043,0.00114961,0.00000000
-5.62181091,0.00221946,0.00114283,0.00058855,0.00000170,0.00000056,0.00148556,0.00000000
-5.61580790,0.00286176,0.00147817,0.00075675,0.00000229,0.00000073,0.00191517,0.00000000
-5.60980490,0.00367291,0.00190382,0.00096916,0.00000320,0.00000093,0.00245808,0.00000000
-5.60380190,0.00468740,0.00243921,0.00123455,0.00000453,0.00000119,0.00313741,0.00000000
-5.59779890,0.00594521,0.00310731,0.00156301,0.00000641,0.00000150,0.00398010,0.00000000
-5.59179590,0.00749216,0.00393494,0.00196603,0.00000905,0.00000189,0.00501699,0.00000000
-5.58579290,0.00938006,0.00495321,0.00245650,0.00001270,0.00000235,0.00628305,0.00000000
-5.57978989,0.01166679,0.00619784,0.00304864,0.00001772,0.00000291,0.00781742,0.00000000
-5.57378689,0.01441630,0.00770960,0.00375793,0.00002456,0.00000358,0.00966344,0.00000000
-5.56778389,0.01769838,0.00953465,0.00460099,0.00003380,0.00000438,0.01186852,0.00000000
-5.56178089,0.02158832,0.01172500,0.00559534,0.00004620,0.00000531,0.01448400,0.00000000
-5.55577789,0.02616644,0.01433890,0.00675920,0.00006271,0.00000639,0.01756481,0.00000000
