energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.82569962,0.72878514,0.33346839,0.00452681,0.38694876,1.46323887,0.76697440,0.01351289,1.18503782
-5.99399700,2.83429823,0.74143085,0.33190674,0.00423993,0.38297679,1.47776513,0.76608151,0.01290221,1.19675574
-5.98799400,2.84923734,0.75459943,0.33076682,0.00398534,0.38037521,1.49899092,0.76683990,0.01235643,1.21030779
-5.98199100,2.86956649,0.76805528,0.32997428,0.00376284,0.37901786,1.52621913,0.76901038,0.01186903,1.22529137
-5.97598799,2.89419187,0.78153385,0.32943919,0.00357151,0.37876275,1.55862827,0.77232108,0.01143345,1.24123840
-5.96998499,2.92190425,0.79474737,0.32905938,0.00340982,0.37945625,1.59529052,0.77647414,0.01104330,1.25762697
-5.96398199,2.95140983,0.80739157,0.32872418,0.00327572,0.38093724,1.63519256,0.78115307,0.01069255,1.27389481
-5.95797899,2.98136372,0.81915326,0.32831827,0.00316673,0.38304144,1.67725904,0.78603056,0.01037560,1.28945427
-5.95197599,3.01040546,0.82971871,0.32772573,0.00308011,0.38560574,1.72037825,0.79077686,0.01008742,1.30370869
-5.94597299,3.03719611,0.83878253,0.32683412,0.00301295,0.38847240,1.76342940,0.79506846,0.00982352,1.31606963
-5.93996998,3.06045595,0.84605690,0.32553844,0.00296224,0.39149326,1.80531115,0.79859716,0.00958004,1.32597461
-5.93396698,3.07900195,0.85128078,0.32374497,0.00292505,0.39453369,1.84497024,0.80107910,0.00935368,1.33290475
-5.92796398,3.09178387,0.85422889,0.32137481,0.00289857,0.39747625,1.88142963,0.80226367,0.00914169,1.33640178
-5.92196098,3.09791769,0.85471996,0.31836707,0.00288017,0.40022391,1.91381516,0.80194185,0.00894186,1.33608387
-5.91595798,3.09671537,0.85262401,0.31468156,0.00286752,0.40270282,1.94137964,0.79995388,0.00875243,1.33165952
-5.90995498,3.08770953,0.84786839,0.31030097,0.00285859,0.40486438,1.96352360,0.79619571,0.00857210,1.32293906
-5.90395198,3.07067200,0.84044210,0.30523233,0.00285170,0.40668651,1.97981182,0.79062400,0.00839994,1.30984327
-5.89794897,3.04562541,0.83039832,0.29950791,0.00284553,0.40817421,1.98998485,0.78325942,0.00823538,1.29240862
-5.89194597,3.01284706,0.81785497,0.29318530,0.00283914,0.40935906,1.99396519,0.77418798,0.00807814,1.27078894
-5.88594297,2.97286471,0.80299318,0.28634680,0.00283191,0.41029792,1.99185759,0.76356014,0.00792826,1.24525340
-5.87993997,2.92644425,0.78605371,0.27909810,0.00282357,0.41107066,1.98394357,0.75158786,0.00778599,1.21618073
-5.87393697,2.87456958,0.76733139,0.27156627,0.00281415,0.41177698,1.97067031,0.73853938,0.00765183,1.18404999
