energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.07846311,1.25897629,0.01025999,1.15769604,1.88052639,0.15761254,0.79035475
-5.99399700,4.08472110,1.26094936,0.01064402,1.15273662,1.88459924,0.16056982,0.78511042
-5.98799400,4.07120164,1.25706724,0.01098192,1.14245039,1.87977832,0.16257615,0.77593016
-5.98199100,4.03805058,1.24735471,0.01126626,1.12701961,1.86610695,0.16359363,0.76297500
-5.97598799,3.98575938,1.23194507,0.01149060,1.10672013,1.84378733,0.16360321,0.74645836
-5.96998499,3.91516011,1.21107903,0.01164965,1.08191728,1.81318015,0.16260549,0.72664119
-5.96398199,3.82741565,1.18510246,0.01173947,1.05306111,1.77480218,0.16062090,0.70382667
-5.95797899,3.72400513,1.15446267,0.01175757,1.02068109,1.72932173,0.15768939,0.67835447
-5.95197599,3.60670498,1.11970349,0.01170304,0.98538041,1.67755223,0.15386943,0.65059493
-5.94597299,3.47756577,1.08145918,0.01157658,0.94782995,1.62044370,0.14923664,0.62094303
-5.93996998,3.33888511,1.04044700,0.01138049,0.90876181,1.55907231,0.14388182,0.58981247
-5.93396698,3.19317712,0.99745869,0.01111864,0.86896256,1.49462804,0.13790865,0.55762989
-5.92796398,3.04313860,0.95335083,0.01079637,0.82926596,1.42840051,0.13143114,0.52482929
-5.92196098,2.89161260,0.90903407,0.01042032,0.79054519,1.36176313,0.12457077,0.49184677
-5.91595798,2.74154966,0.86546137,0.00999829,0.75370445,1.29615560,0.11745366,0.45911572
-5.90995498,2.59596713,0.82361528,0.00953899,0.71966980,1.23306502,0.11020767,0.42706233
-5.90395198,2.45790717,0.78449439,0.00905180,0.68937897,1.17400564,0.10295962,0.39610172
-5.89794897,2.33039367,0.74909892,0.00854654,0.66377036,1.12049751,0.09583265,0.36663444
-5.89194597,2.21638839,0.71841560,0.00803321,0.64377067,1.07404399,0.08894391,0.33904359
-5.88594297,2.11874673,0.69340196,0.00752172,0.63028141,1.03610850,0.08240244,0.31369230
-5.87993997,2.04017323,0.67496999,0.00702166,0.62416411,1.00809035,0.07630741,0.29092171
-5.87393697,1.98317708,0.66396942,0.00654209,0.62622422,0.99130002,0.07074670,0.27104920
-5.86793397,1.95002774,0.66117063,0.00609133,0.63719383,0.98693396,0.06579577,0.25436690
-5.86193097,1.94271099,0.66724749,0.00567680,0.65771334,0.99604906,0.06151686,0.24114023
-5.85592796,1.96288581,0.68276017,0.00530490,0.68831250,1.01953723,0.05795845,0.23160644
-5.84992496,2.01184236,0.70813846,0.00498090,0.72939094,1.05810032,0.05515499,0.22597293
-5.84392196,2.09046199,0.74366573,0.00470888,0.78119909,1.11222587,0.05312684,0.22441528
-5.83791896,2.19918001,0.78946413,0.00449169,0.84381973,1.18216448,0.05188035,0.22707480
-5.83191596,2.33795242,0.84548151,0.00433094,0.91715130,1.26790931,0.05140816,0.23405568
-5.82591296,2.50622797,0.91148069,0.00422704,1.00089352,1.36917869,0.05168955,0.24542165
-5.81990995,2.70292702,0.98703156,0.00417921,1.09453639,1.48540280,0.05269103,0.26119216
-5.81390695,2.92642897,1.07150696,0.00418556,1.19735328,1.61571532,0.05436690,0.28133827
-5.80790395,3.17456988,1.16408264,0.00424317,1.30839921,1.75895111,0.05666008,0.30577849
-5.80190095,3.44465192,1.26374210,0.00434817,1.42651484,1.91365075,0.05950299,0.33437463
-5.79589795,3.73346598,1.36928663,0.00449585,1.55033679,2.07807281,0.06281858,0.36692818
-5.78989495,4.03732855,1.47935081,0.00468076,1.67831479,2.25021421,0.06652161,0.40317741
-5.78389195,4.35213334,1.59242367,0.00489686,1.80873558,2.42783911,0.07052000,0.44279561
-5.77788894,4.67341771,1.70687521,0.00513763,1.93975342,2.60851603,0.07471645,0.48539081
-5.77188594,4.99644299,1.82098784,0.00539620,2.06942668,2.78966289,0.07901020,0.53050724
-5.76588294,5.31628745,1.93299223,0.00566552,2.19575965,2.96859894,0.08329898,0.57762885
-5.75987994,5.62794969,2.04110633,0.00593848,2.31674827,3.14260232,0.08748107,0.62618505
-5.75387694,5.92645951,2.14357664,0.00620809,2.43042851,3.30897166,0.09145748,0.67555867
-5.74787394,6.20699298,2.23872025,0.00646760,2.53492555,3.46508962,0.09513415,0.72509614
-5.74187094,6.46498786,2.32496611,0.00671063,2.62850217,3.60848636,0.09842414,0.77411968
-5.73586793,6.69625522,2.40089420,0.00693136,2.70960423,3.73690049,0.10124972,0.82194127
-5.72986493,6.89708308,2.46527091,0.00712462,2.77690178,3.84833537,0.10354430,0.86787780
-5.72386193,7.06432833,2.51707945,0.00728599,2.82932389,3.94110846,0.10525405,0.91126710
-5.71785893,7.19549307,2.55554385,0.00741193,2.86608591,4.01389196,0.10633931,0.95148409
-5.71185593,7.28878263,2.58014596,0.00749983,2.88670810,4.06574303,0.10677555,0.98795649
-5.70585293,7.34314293,2.59063454,0.00754805,2.89102490,4.09612261,0.10655390,1.02017943
-5.69984992,7.35827579,2.58702631,0.00755598,2.87918447,4.10490214,0.10568126,1.04772837
-5.69384692,7.33463197,2.56959900,0.00752397,2.85163877,4.09235806,0.10417998,1.07026978
-5.68784392,7.27338225,2.53887691,0.00745339,2.80912461,4.05915459,0.10208697,1.08756905
-5.68184092,7.17636822,2.49560952,0.00734648,2.75263667,4.00631561,0.09945253,1.09949542
