energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.93716166,0.17477383,0.00188360,0.03288782,1.25145951,1.13163651,0.62129544
-5.99399700,1.81633915,0.16702907,0.00177608,0.03290317,1.16607173,1.05638051,0.57698606
-5.98799400,1.69896767,0.15908779,0.00167197,0.03270385,1.08406585,0.98410847,0.53468687
-5.98199100,1.58603186,0.15100457,0.00157148,0.03229266,1.00616245,0.91535906,0.49477713
-5.97598799,1.47848660,0.14284026,0.00147482,0.03167712,0.93304216,0.85063971,0.45761105
-5.96998499,1.37725586,0.13466152,0.00138222,0.03086930,0.86534568,0.79042904,0.42351843
-5.96398199,1.28323080,0.12653987,0.00129395,0.02988544,0.80367387,0.73517878,0.39280557
-5.95797899,1.19726659,0.11855055,0.00121030,0.02874541,0.74858765,0.68531483,0.36575616
-5.95197599,1.12017768,0.11077093,0.00113163,0.02747209,0.70060708,0.64123697,0.34263193
-5.94597299,1.05273122,0.10327884,0.00105830,0.02609062,0.66020950,0.60331725,0.32367277
-5.93996998,0.99563859,0.09615066,0.00099074,0.02462765,0.62782627,0.57189665,0.30909604
-5.93396698,0.94954499,0.08945951,0.00092937,0.02311050,0.60383796,0.54728010,0.29909496
-5.92796398,0.91501726,0.08327335,0.00087462,0.02156641,0.58856799,0.52972994,0.29383602
-5.92196098,0.89253008,0.07765337,0.00082690,0.02002175,0.58227464,0.51945782,0.29345525
-5.91595798,0.88245105,0.07265244,0.00078660,0.01850140,0.58514166,0.51661559,0.29805348
-5.90995498,0.88502504,0.06831400,0.00075405,0.01702816,0.59726780,0.52128524,0.30769078
-5.90395198,0.90035840,0.06467106,0.00072950,0.01562227,0.61865563,0.53346859,0.32238014
-5.89794897,0.92840391,0.06174575,0.00071313,0.01430111,0.64920022,0.55307711,0.34208086
-5.89194597,0.96894694,0.05954901,0.00070502,0.01307894,0.68867837,0.57992251,0.36669191
-5.88594297,1.02159403,0.05808075,0.00070514,0.01196685,0.73673906,0.61370879,0.39604569
-5.87993997,1.08576441,0.05733028,0.00071334,0.01097274,0.79289593,0.65402629,0.42990269
-5.87393697,1.16068553,0.05727703,0.00072936,0.01010146,0.85652254,0.70034832,0.46794749
-5.86793397,1.24539321,0.05789150,0.00075284,0.00935499,0.92685114,0.75203111,0.50978651
-5.86193097,1.33873723,0.05913647,0.00078328,0.00873268,1.00297560,0.80831734,0.55494802
-5.85592796,1.43939265,0.06096831,0.00082013,0.00823161,1.08385899,0.86834364,0.60288466
-5.84992496,1.54587731,0.06333846,0.00086273,0.00784686,1.16834610,0.93115235,0.65297876
-5.84392196,1.65657537,0.06619492,0.00091037,0.00757190,1.25518103,0.99570730,0.70455056
