energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.67580386,2.05606459,0.44694920,0.02647196,0.91296938,0.05544726,1.99938431,1.10311824,0.97568660
-5.99399700,4.58016496,1.98549025,0.42015056,0.02578673,0.92681347,0.05308297,1.92765994,1.11343958,0.98815397
-5.98799400,4.51014837,1.92661742,0.39621370,0.02516521,0.94583946,0.05086208,1.86733234,1.13013563,1.00595819
-5.98199100,4.46656969,1.87980929,0.37531964,0.02461819,0.97016949,0.04880358,1.81874760,1.15340881,1.02914516
-5.97598799,4.44976698,1.84519749,0.35759819,0.02415455,0.99982247,0.04692200,1.78204808,1.18334318,1.05766447
-5.96998499,4.45958299,1.82268540,0.34312923,0.02378091,1.03470469,0.04522737,1.75717178,1.21989254,1.09136043
-5.96398199,4.49535985,1.81195676,0.33194525,0.02350144,1.07460332,0.04372545,1.74385649,1.26287166,1.12996566
-5.95797899,4.55594703,1.81248939,0.32403497,0.02331765,1.11918356,0.04241799,1.74164878,1.31195131,1.17309780
-5.95197599,4.63972277,1.82357360,0.31934793,0.02322835,1.16798959,0.04130322,1.74991767,1.36665755,1.22025978
-5.94597299,4.74462905,1.84433498,0.31779954,0.02322962,1.22044969,0.04037630,1.76787261,1.42637562,1.27084405
-5.93996998,4.86821953,1.87376061,0.31927652,0.02331494,1.27588552,0.03962990,1.79458541,1.49035872,1.32414103
-5.93396698,5.00771916,1.91072821,0.32364239,0.02347541,1.33352559,0.03905483,1.82901540,1.55774168,1.37935169
-5.92796398,5.16009425,1.95403706,0.33074272,0.02369997,1.39252260,0.03864059,1.87003715,1.62755934,1.43560419
-5.92196098,5.32213060,2.00243989,0.34040988,0.02397585,1.45197423,0.03837590,1.91646987,1.69876938,1.49197417
-5.91595798,5.49051760,2.05467448,0.35246715,0.02428893,1.51094676,0.03824924,1.96710752,1.77027892,1.54750818
-5.90995498,5.66193525,2.10949418,0.36673209,0.02462429,1.56850083,0.03824914,2.02074865,1.84097422,1.60124936
-5.90395198,5.83314148,2.16569621,0.38301889,0.02496666,1.62371842,0.03836457,2.07622499,1.90975247,1.65226462
-5.89794897,6.00105646,2.22214682,0.40113989,0.02530101,1.67573008,0.03858503,2.13242786,1.97555465,1.69967218
-5.89194597,6.16284103,2.27780282,0.42090611,0.02561304,1.72374134,0.03890067,2.18833138,2.03739828,1.74266842
-5.88594297,6.31596652,2.33172870,0.44212707,0.02588971,1.76705737,0.03930223,2.24301203,2.09440871,1.78055290
-5.87993997,6.45827338,2.38310915,0.46460988,0.02611962,1.80510479,0.03978086,2.29566378,2.14584784,1.81275045
-5.87393697,6.58801663,2.43125690,0.48815789,0.02629345,1.83744968,0.04032798,2.34560847,2.19113898,1.83882943
-5.86793397,6.70389665,2.47561599,0.51256918,0.02640426,1.86381119,0.04093499,2.39230147,2.22988689,1.85851519
-5.86193097,6.80507448,2.51576092,0.53763500,0.02644764,1.88406984,0.04159298,2.43533252,2.26189195,1.87169827
-5.85592796,6.89117126,2.55139214,0.56313859,0.02642186,1.89827037,0.04229245,2.47442219,2.28715785,1.87843673
-5.84992496,6.96225246,2.58232875,0.58885449,0.02632784,1.90661879,0.04302311,2.50941445,2.30589240,1.87895270
-5.84392196,7.01879779,2.60849904,0.61454862,0.02616908,1.90947369,0.04377364,2.54026591,2.31850123,1.87362301
-5.83791896,7.06165850,2.62992984,0.63997925,0.02595140,1.90733223,0.04453162,2.56703272,2.32557447,1.86296450
-5.83191596,7.09200414,2.64673542,0.66489906,0.02568270,1.90081111,0.04528349,2.58985569,2.32786697,1.84761452
-5.82591296,7.11126119,2.65910670,0.68905809,0.02537256,1.89062351,0.04601468,2.60894467,2.32627265,1.82830740
-5.81990995,7.12104636,2.66730123,0.71220779,0.02503183,1.87755267,0.04670973,2.62456290,2.32179386,1.80584804
-5.81390695,7.12309710,2.67163445,0.73410583,0.02467215,1.86242335,0.04735261,2.63701202,2.31550706,1.78108353
-5.80790395,7.11920228,2.67247230,0.75452152,0.02430550,1.84607212,0.04792712,2.64661830,2.30852595,1.75487412
-5.80190095,7.11113548,2.67022518,0.77324169,0.02394369,1.82931777,0.04841725,2.65372053,2.30196360,1.72806460
-5.79589795,7.10059324,2.66534298,0.79007653,0.02359792,1.81293299,0.04880770,2.65865989,2.29689485,1.70145724
-5.78989495,7.08914025,2.65831085,0.80486515,0.02327834,1.79761831,0.04908439,2.66177170,2.29432059,1.67578729
-5.78389195,7.07816320,2.64964503,0.81748067,0.02299373,1.78397939,0.04923488,2.66337928,2.29513514,1.65170195
-5.77788894,7.06883430,2.63988833,0.82783429,0.02275119,1.77250844,0.04924888,2.66378952,2.30009799,1.62974333
-5.77188594,7.06208537,2.62960453,0.83587829,0.02255594,1.76357041,0.04911861,2.66329010,2.30981097,1.61033615
-5.76588294,7.05859284,2.61937120,0.84160777,0.02241117,1.75739451,0.04883911,2.66214799,2.32470154,1.59378022
-5.75987994,7.05877352,2.60977067,0.84506087,0.02231807,1.75407106,0.04840849,2.66060894,2.34501300,1.58024787
-5.75387694,7.06279085,2.60137881,0.84631768,0.02227585,1.75355395,0.04782800,2.65889768,2.37080159,1.56978624
-5.74787394,7.07057077,2.59475172,0.84549771,0.02228186,1.75566828,0.04710211,2.65721868,2.40194074,1.56232399
-5.74187094,7.08182626,2.59041063,0.84275620,0.02233184,1.76012285,0.04623834,2.65575706,2.43813199,1.55768209
-5.73586793,7.09608912,2.58882536,0.83827945,0.02242019,1.76652689,0.04524718,2.65467987,2.47892217,1.55558797
-5.72986493,7.11274769,2.59039724,0.83227935,0.02254024,1.77441013,0.04414173,2.65413728,2.52372573,1.55569229
-5.72386193,7.13108861,2.59544222,0.82498758,0.02268463,1.78324546,0.04293744,2.65426398,2.57185148,1.55758771
-5.71785893,7.15034103,2.60417524,0.81664951,0.02284566,1.79247307,0.04165168,2.65518065,2.62253228,1.56082856
-5.71185593,7.16972122,2.61669680,0.80751836,0.02301562,1.80152498,0.04030337,2.65699542,2.67495630,1.56495085
-5.70585293,7.18847576,2.63298286,0.79784963,0.02318710,1.80984905,0.03891252,2.65980553,2.72829856,1.56949163
-5.69984992,7.20592142,2.65287876,0.78789610,0.02335332,1.81693127,0.03749981,2.66369891,2.78175118,1.57400696
-5.69384692,7.22148002,2.67609793,0.77790349,0.02350830,1.82231554,0.03608615,2.66875580,2.83455097,1.57808796
-5.68784392,7.23470658,2.70222588,0.76810684,0.02364707,1.82562007,0.03469233,2.67505013,2.88600323,1.58137418
-5.68184092,7.24530943,2.73072941,0.75872755,0.02376574,1.82654978,0.03333859,2.68265048,2.93550061,1.58356407
