energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.12353042,0.00231505,0.06416084,0.10336811,0.32503182,0.24359721,0.48451500,0.37802366,0.00000000
-5.99399700,1.14376839,0.00231597,0.06916208,0.11058611,0.33056242,0.25030044,0.48732680,0.38779695,0.00000000
-5.98799400,1.16439973,0.00230290,0.07470075,0.11878993,0.33621565,0.25737166,0.48912441,0.39848766,0.00000000
-5.98199100,1.18606027,0.00227633,0.08083139,0.12808925,0.34216818,0.26497667,0.49008515,0.41039963,0.00000000
-5.97598799,1.20937284,0.00223704,0.08760221,0.13858135,0.34858869,0.27328018,0.49039249,0.42382631,0.00000000
-5.96998499,1.23492078,0.00218604,0.09505206,0.15034624,0.35562999,0.28243876,0.49022926,0.43903803,0.00000000
-5.96398199,1.26322193,0.00212453,0.10320744,0.16344176,0.36342142,0.29259352,0.48977134,0.45626924,0.00000000
-5.95797899,1.29470426,0.00205389,0.11207952,0.17789907,0.37206192,0.30386301,0.48918209,0.47570620,0.00000000
-5.95197599,1.32968433,0.00197560,0.12166152,0.19371858,0.38161412,0.31633637,0.48860781,0.49747562,0.00000000
-5.94597299,1.36834945,0.00189120,0.13192637,0.21086659,0.39209974,0.33006727,0.48817447,0.52163490,0.00000000
-5.93996998,1.41074467,0.00180228,0.14282503,0.22927296,0.40349657,0.34506882,0.48798577,0.54816435,0.00000000
-5.93396698,1.45676520,0.00171040,0.15428534,0.24882970,0.41573721,0.36130972,0.48812274,0.57696188,0.00000000
-5.92796398,1.50615484,0.00161707,0.16621182,0.26939095,0.42870972,0.37871197,0.48864477,0.60784062,0.00000000
-5.92196098,1.55851077,0.00152373,0.17848612,0.29077425,0.44226022,0.39715021,0.48959212,0.64052958,0.00000000
-5.91595798,1.61329463,0.00143172,0.19096859,0.31276325,0.45619740,0.41645292,0.49098961,0.67467768,0.00000000
-5.90995498,1.66984981,0.00134226,0.20350057,0.33511180,0.47029885,0.43640540,0.49285146,0.70986097,0.00000000
-5.90395198,1.72742431,0.00125645,0.21590768,0.35754943,0.48431889,0.45675471,0.49518694,0.74559316,0.00000000
-5.89794897,1.78519840,0.00117530,0.22800386,0.37978801,0.49799779,0.47721620,0.49800650,0.78133895,0.00000000
-5.89194597,1.84231624,0.00109968,0.23959609,0.40152943,0.51107182,0.49748164,0.50132811,0.81652991,0.00000000
-5.88594297,1.89791994,0.00103039,0.25048958,0.42247408,0.52328393,0.51722869,0.50518343,0.85058232,0.00000000
-5.87993997,1.95118497,0.00096813,0.26049340,0.44232981,0.53439439,0.53613119,0.50962352,0.88291634,0.00000000
-5.87393697,2.00135518,0.00091356,0.26942610,0.46082095,0.54419117,0.55387012,0.51472355,0.91297573,0.00000000
-5.86793397,2.04777609,0.00086729,0.27712127,0.47769718,0.55249936,0.57014466,0.52058654,0.94024737,0.00000000
-5.86193097,2.08992468,0.00082992,0.28343282,0.49274176,0.55918941,0.58468288,0.52734545,0.96427979,0.00000000
-5.85592796,2.12743449,0.00080205,0.28823959,0.50577876,0.56418358,0.59725174,0.53516366,0.98469987,0.00000000
-5.84992496,2.16011447,0.00078425,0.29144931,0.51667904,0.56746050,0.60766578,0.54423353,1.00122692,0.00000000
-5.84392196,2.18796071,0.00077715,0.29300158,0.52536462,0.56905740,0.61579424,0.55477295,1.01368361,0.00000000
-5.83791896,2.21116004,0.00078133,0.29286983,0.53181123,0.56906994,0.62156617,0.56701981,1.02200305,0.00000000
-5.83191596,2.23008520,0.00079741,0.29106213,0.53604888,0.56764960,0.62497326,0.58122451,1.02623183,0.00000000
-5.82591296,2.24528134,0.00082598,0.28762086,0.53816044,0.56499862,0.62607031,0.59764053,1.02652861,0.00000000
-5.81990995,2.25744415,0.00086757,0.28262119,0.53827818,0.56136268,0.62497314,0.61651340,1.02315829,0.00000000
-5.81390695,2.26739031,0.00092266,0.27616855,0.53657840,0.55702161,0.62185401,0.63806828,1.01648213,0.00000000
-5.80790395,2.27602130,0.00099163,0.26839504,0.53327444,0.55227847,0.61693482,0.66249671,1.00694380,0.00000000
-5.80190095,2.28428198,0.00107468,0.25945514,0.52860822,0.54744736,0.61047815,0.68994287,0.99505234,0.00000000
-5.79589795,2.29311570,0.00117186,0.24952071,0.52284075,0.54284065,0.60277670,0.72049014,0.98136232,0.00000000
