energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.82752979,0.00166278,0.00000000,0.00640447,0.45263445,0.02028452,0.64714648,0.84794701,0.58273154
-5.99399700,1.82538126,0.00161013,0.00000000,0.00617952,0.45406763,0.01984944,0.64552544,0.85914732,0.58191447
-5.98799400,1.83151739,0.00156654,0.00000000,0.00599008,0.45745851,0.01939663,0.64726757,0.87251132,0.58430709
-5.98199100,1.84554785,0.00153218,0.00000000,0.00583519,0.46275825,0.01892467,0.65220026,0.88789609,0.58980987
-5.97598799,1.86712571,0.00150735,0.00000000,0.00571394,0.46992775,0.01843422,0.66016035,0.90519242,0.59832940
-5.96998499,1.89595939,0.00149254,0.00000000,0.00562558,0.47893695,0.01792812,0.67100161,0.92432855,0.60977880
-5.96398199,1.93182016,0.00148841,0.00000000,0.00556952,0.48976308,0.01741151,0.68460091,0.94527143,0.62407693
-5.95797899,1.97454504,0.00149582,0.00000000,0.00554544,0.50238796,0.01689174,0.70086268,0.96802545,0.64114643
-5.95197599,2.02403564,0.00151581,0.00000000,0.00555319,0.51679459,0.01637831,0.71972176,0.99262909,0.66091111
-5.94597299,2.08025312,0.00154958,0.00000000,0.00559288,0.53296338,0.01588263,0.74114457,1.01914972,0.68329284
-5.93996998,2.14321027,0.00159851,0.00000000,0.00566472,0.55086830,0.01541781,0.76512870,1.04767696,0.70820836
-5.93396698,2.21296104,0.00166405,0.00000000,0.00576903,0.57047326,0.01499831,0.79170113,1.07831512,0.73556630
-5.92796398,2.28958856,0.00174772,0.00000000,0.00590614,0.59172898,0.01463961,0.82091498,1.11117515,0.76526477
-5.92196098,2.37319190,0.00185106,0.00000000,0.00607625,0.61457056,0.01435783,0.85284516,1.14636651,0.79718955
-5.91595798,2.46387235,0.00197554,0.00000000,0.00627942,0.63891591,0.01416929,0.88758291,1.18398929,0.83121314
-5.90995498,2.56171925,0.00212253,0.00000000,0.00651539,0.66466501,0.01409015,0.92522933,1.22412687,0.86719455
-5.90395198,2.66679573,0.00229320,0.00000000,0.00678353,0.69170006,0.01413597,0.96588801,1.26683928,0.90497973
-5.89794897,2.77912433,0.00248849,0.00000000,0.00708280,0.71988631,0.01432133,1.00965685,1.31215725,0.94440254
-5.89194597,2.89867241,0.00270903,0.00000000,0.00741164,0.74907351,0.01465941,1.05661913,1.36007713,0.98528580
-5.88594297,3.02533747,0.00295505,0.00000000,0.00776794,0.77909761,0.01516169,1.10683394,1.41055649,1.02744240
-5.87993997,3.15893217,0.00322640,0.00000000,0.00814908,0.80978280,0.01583752,1.16032623,1.46351044,1.07067597
-5.87393697,3.29916948,0.00352246,0.00000000,0.00855189,0.84094331,0.01669390,1.21707656,1.51880863,1.11478109
-5.86793397,3.44564807,0.00384208,0.00000000,0.00897272,0.87238520,0.01773513,1.27701104,1.57627293,1.15954278
-5.86193097,3.59783867,0.00418365,0.00000000,0.00940747,0.90390784,0.01896264,1.33999172,1.63567596,1.20473534
-5.85592796,3.75507212,0.00454501,0.00000000,0.00985173,0.93530512,0.02037475,1.40580809,1.69674051,1.25012065
-5.84992496,3.91653016,0.00492350,0.00000000,0.01030086,0.96636652,0.02196660,1.47416995,1.75914018,1.29544609
-5.84392196,4.08124018,0.00531598,0.00000000,0.01075011,0.99687815,0.02373007,1.54470269,1.82250153,1.34044255
-5.83791896,4.24807505,0.00571889,0.00000000,0.01119478,1.02662399,0.02565382,1.61694505,1.88640793,1.38482285
-5.83191596,4.41575935,0.00612829,0.00000000,0.01163038,1.05538747,0.02772341,1.69035042,1.95040559,1.42828114
-5.82591296,4.58288299,0.00653993,0.00000000,0.01205276,1.08295375,0.02992152,1.76429173,2.01401182,1.47049368
-5.81990995,4.74792294,0.00694939,0.00000000,0.01245829,1.10911281,0.03222827,1.83807053,2.07672573,1.51112140
-5.81390695,4.90927338,0.00735212,0.00000000,0.01284398,1.13366355,0.03462167,1.91093018,2.13804130,1.54981466
-5.80790395,5.06528406,0.00774362,0.00000000,0.01320764,1.15641887,0.03707810,1.98207322,2.19746261,1.58622020
-5.80190095,5.21430603,0.00811950,0.00000000,0.01354798,1.17721172,0.03957296,2.05068238,2.25452078,1.61999039
-5.79589795,5.35474342,0.00847564,0.00000000,0.01386470,1.19590190,0.04208132,2.11594471,2.30879201,1.65079439
-5.78989495,5.48510902,0.00880833,0.00000000,0.01415854,1.21238332,0.04457868,2.17707786,2.35991579,1.67833094
-5.78389195,5.60408135,0.00911430,0.00000000,0.01443132,1.22659135,0.04704167,2.23335749,2.40761253,1.70234195
-5.77788894,5.71056016,0.00939092,0.00000000,0.01468589,1.23850960,0.04944881,2.28414435,2.45169926,1.72262627
-5.77188594,5.80371725,0.00963622,0.00000000,0.01492611,1.24817583,0.05178115,2.32890986,2.49210253,1.73905256
-5.76588294,5.88303946,0.00984898,0.00000000,0.01515672,1.25568621,0.05402286,2.36725854,2.52886747,1.75157055
-5.75987994,5.94836083,0.01002874,0.00000000,0.01538320,1.26119762,0.05616168,2.39894609,2.56216203,1.76021952
-5.75387694,5.99988151,0.01017586,0.00000000,0.01561160,1.26492743,0.05818920,2.42389193,2.59227595,1.76513341
-5.74787394,6.03817144,0.01029145,0.00000000,0.01584830,1.26715054,0.06010100,2.44218517,2.61961390,1.76654186
-5.74187094,6.06415778,0.01037733,0.00000000,0.01609979,1.26819362,0.06189654,2.45408347,2.64468302,1.76476678
