energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,5.81192484,0.00729537,2.10472840,4.56731774,3.25805010,0.01377109,0.79178165
-5.99399700,6.00840636,0.00767346,2.15916608,4.66289813,3.38010911,0.01397710,0.83155132
-5.98799400,6.19786140,0.00804525,2.21039795,4.74580126,3.50006337,0.01412649,0.87074963
-5.98199100,6.37981697,0.00840703,2.25848275,4.81652909,3.61752050,0.01421734,0.90911813
-5.97598799,6.55396958,0.00875541,2.30355177,4.87589197,3.73213877,0.01424932,0.94640790
-5.96998499,6.72017504,0.00908741,2.34579666,4.92497767,3.84362507,0.01422375,0.98238446
-5.96398199,6.87843566,0.00940051,2.38545581,4.96511283,3.95173265,0.01414347,1.01683318
-5.95797899,7.02888473,0.00969266,2.42279962,4.99781806,4.05625825,0.01401276,1.04956456
-5.95197599,7.17176862,0.00996236,2.45811522,5.02475775,4.15703872,0.01383716,1.08041957
-5.94597299,7.30742644,0.01020864,2.49169109,5.04768593,4.25394678,0.01362329,1.10927434
-5.93996998,7.43626737,0.01043108,2.52380184,5.06838960,4.34688584,0.01337860,1.13604410
-5.93396698,7.55874582,0.01062981,2.55469383,5.08863078,4.43578373,0.01311115,1.16068595
-5.92796398,7.67533460,0.01080543,2.58457181,5.11008879,4.52058518,0.01282927,1.18320022
-5.92196098,7.78649655,0.01095903,2.61358718,5.13430401,4.60124329,0.01254137,1.20362999
-5.91595798,7.89265515,0.01109205,2.64182808,5.16262475,4.67770994,0.01225559,1.22205887
-5.90995498,7.99416490,0.01120628,2.66931177,5.19615851,4.74992560,0.01197961,1.23860673
-5.90395198,8.09128250,0.01130369,2.69597956,5.23572900,4.81780895,0.01172036,1.25342350
-5.89794897,8.18413991,0.01138639,2.72169460,5.28184058,4.88124686,0.01148384,1.26668124
-5.89194597,8.27272073,0.01145647,2.74624258,5.33465116,4.94008533,0.01127499,1.27856477
-5.88594297,8.35684117,0.01151594,2.76933558,5.39395495,4.99412223,0.01109756,1.28926120
-5.87993997,8.43613708,0.01156659,2.79061902,5.45917613,5.04310235,0.01095404,1.29894897
-5.87393697,8.51005821,0.01160990,2.80968155,5.52937420,5.08671552,0.01084573,1.30778699
-5.86793397,8.57787084,0.01164701,2.82606763,5.60326159,5.12459826,0.01077270,1.31590438
-5.86193097,8.63866943,0.01167861,2.83929249,5.67923357,5.15633927,0.01073402,1.32339168
-5.85592796,8.69139768,0.01170494,2.84885892,5.75541027,5.18148897,0.01072783,1.33029392
-5.84992496,8.73487873,0.01172578,2.85427535,5.82968982,5.19957291,0.01075160,1.33660613
-5.84392196,8.76785395,0.01174048,2.85507439,5.89981143,5.21010877,0.01080235,1.34227169
-5.83791896,8.78902907,0.01174805,2.85083131,5.96342645,5.21262621,0.01087692,1.34718376
-5.83191596,8.79712592,0.01174717,2.84118142,6.01817508,5.20668893,0.01097222,1.35118972
-5.82591296,8.79093764,0.01173636,2.82583585,6.06176608,5.19191771,0.01108552,1.35409870
-5.81990995,8.76938498,0.01171406,2.80459479,6.09205630,5.16801342,0.01121464,1.35569161
-5.81390695,8.73157088,0.01167879,2.77735778,6.10712698,5.13477877,0.01135821,1.35573337
-5.80790395,8.67683068,0.01162925,2.74413036,6.10535348,5.09213746,0.01151576,1.35398653
-5.80190095,8.60477519,0.01156445,2.70502696,6.08546550,5.04014966,0.01168788,1.35022567
-5.79589795,8.51532434,0.01148383,2.66026969,6.04659510,4.97902292,0.01187619,1.34425156
-5.78989495,8.40872928,0.01138730,2.61018319,5.98831009,4.90911741,0.01208332,1.33590451
-5.78389195,8.28558152,0.01127534,2.55518572,5.91063151,4.83094536,0.01231279,1.32507575
-5.77788894,8.14680818,0.01114900,2.49577680,5.81403401,4.74516408,0.01256879,1.31171654
-5.77188594,7.99365328,0.01100987,2.43252220,5.69942933,4.65256298,0.01285595,1.29584411
-5.76588294,7.82764554,0.01086004,2.36603665,5.56813329,4.55404467,0.01317899,1.27754423
-5.75987994,7.65055407,0.01070200,2.29696529,5.42181817,4.45060122,0.01354241,1.25697018
-5.75387694,7.46433364,0.01053854,2.22596453,5.26245231,4.34328616,0.01395006,1.23433814
-5.74787394,7.27106220,0.01037259,2.15368325,5.09223002,4.23318380,0.01440480,1.20991922
-5.74187094,7.07287339,0.01020710,2.08074504,4.91349484,4.12137691,0.01490815,1.18402865
-5.73586793,6.87188721,0.01004484,2.00773225,4.72865978,4.00891447,0.01545992,1.15701262
