energy_ev,total_up,Ga_p_up,Ga_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,0.24352264,0.12357868,0.00000000,0.11749776,0.09213196,0.00001291,0.04769390
-5.99399700,0.26767472,0.13584716,0.00000000,0.12915061,0.10129043,0.00001701,0.05240453
-5.98799400,0.29214486,0.14828186,0.00000000,0.14095681,0.11057749,0.00002225,0.05716965
-5.98199100,0.31660769,0.16071884,0.00000000,0.15275919,0.11987209,0.00002890,0.06192362
-5.97598799,0.34071306,0.17298171,0.00000000,0.16438858,0.12904410,0.00003726,0.06659566
-5.96998499,0.36409496,0.18488624,0.00000000,0.17566802,0.13795777,0.00004769,0.07111156
-5.96398199,0.38638181,0.19624552,0.00000000,0.18641776,0.14647552,0.00006061,0.07539569
-5.95797899,0.40720771,0.20687565,0.00000000,0.19646058,0.15446226,0.00007647,0.07937327
-5.95197599,0.42622425,0.21660172,0.00000000,0.20562745,0.16178982,0.00009579,0.08297263
-5.94597299,0.44311236,0.22526377,0.00000000,0.21376319,0.16834135,0.00011913,0.08612764
-5.93996998,0.45759362,0.23272245,0.00000000,0.22073182,0.17401552,0.00014710,0.08878000
-5.93396698,0.46944061,0.23886420,0.00000000,0.22642146,0.17873037,0.00018033,0.09088132
-5.92796398,0.47848563,0.24360553,0.00000000,0.23074841,0.18242643,0.00021949,0.09239499
-5.92196098,0.48462747,0.24689636,0.00000000,0.23366028,0.18506913,0.00026524,0.09329769
-5.91595798,0.48783574,0.24872206,0.00000000,0.23513792,0.18665024,0.00031822,0.09358036
-5.90995498,0.48815271,0.24910415,0.00000000,0.23519618,0.18718832,0.00037906,0.09324883
-5.90395198,0.48569227,0.24809965,0.00000000,0.23388315,0.18672807,0.00044829,0.09232385
-5.89794897,0.48063627,0.24579895,0.00000000,0.23127829,0.18533870,0.00052638,0.09084061
-5.89194597,0.47322824,0.24232246,0.00000000,0.22748918,0.18311121,0.00061365,0.08884783
-5.88594297,0.46376490,0.23781604,0.00000000,0.22264724,0.18015494,0.00071028,0.08640631
-5.87993997,0.45258571,0.23244555,0.00000000,0.21690257,0.17659336,0.00081625,0.08358717
-5.87393697,0.44006118,0.22639072,0.00000000,0.21041820,0.17255934,0.00093135,0.08046978
-5.86793397,0.42658028,0.21983864,0.00000000,0.20336393,0.16819030,0.00105511,0.07713947
-5.86193097,0.41253764,0.21297724,0.00000000,0.19591018,0.16362319,0.00118682,0.07368515
-5.85592796,0.39832115,0.20598897,0.00000000,0.18822213,0.15898981,0.00132549,0.07019686
-5.84992496,0.38430039,0.19904504,0.00000000,0.18045433,0.15441256,0.00146987,0.06676353
-5.84392196,0.37081655,0.19230053,0.00000000,0.17274614,0.15000076,0.00161847,0.06347073
-5.83791896,0.35817395,0.18589041,0.00000000,0.16521813,0.14584790,0.00176955,0.06039874
-5.83191596,0.34663374,0.17992677,0.00000000,0.15796961,0.14202969,0.00192116,0.05762091
-5.82591296,0.33640970,0.17449726,0.00000000,0.15107737,0.13860315,0.00207121,0.05520224
-5.81990995,0.32766633,0.16966479,0.00000000,0.14459561,0.13560667,0.00221751,0.05319835
-5.81390695,0.32051908,0.16546843,0.00000000,0.13855703,0.13306099,0.00235781,0.05165471
-5.80790395,0.31503661,0.16192543,0.00000000,0.13297504,0.13097111,0.00248993,0.05060624
-5.80190095,0.31124481,0.15903415,0.00000000,0.12784683,0.12932885,0.00261177,0.05007713
-5.79589795,0.30913224,0.15677780,0.00000000,0.12315716,0.12811605,0.00272147,0.05008100
