energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.36106034,0.23435346,1.01345662,0.01377528,0.01743121,0.04950650,0.02415341,0.27447552
-5.99399700,1.45926436,0.25519592,1.07368479,0.01452470,0.01946784,0.05580990,0.02735370,0.30207515
-5.98799400,1.55719333,0.27666632,1.13162123,0.01523039,0.02163882,0.06250538,0.03079163,0.33088047
-5.98199100,1.65406554,0.29863300,1.18670584,0.01588395,0.02393654,0.06954801,0.03445357,0.36072025
-5.97598799,1.74912208,0.32095465,1.23844145,0.01647815,0.02635111,0.07688220,0.03832127,0.39140000
-5.96998499,1.84164409,0.34348269,1.28640773,0.01700708,0.02887043,0.08444249,0.04237203,0.42270478
-5.96398199,1.93096963,0.36606429,1.33027308,0.01746633,0.03148039,0.09215469,0.04657892,0.45440300
-5.95797899,2.01650957,0.38854571,1.36980395,0.01785312,0.03416506,0.09993756,0.05091134,0.48625112
-5.95197599,2.09776211,0.41077601,1.40487140,0.01816639,0.03690712,0.10770482,0.05533554,0.51799910
-5.94597299,2.17432522,0.43261092,1.43545464,0.01840678,0.03968816,0.11536763,0.05981545,0.54939640
-5.93996998,2.24590685,0.45391679,1.46164137,0.01857667,0.04248920,0.12283729,0.06431347,0.58019835
-5.93396698,2.31233219,0.47457433,1.48362516,0.01868002,0.04529112,0.13002803,0.06879138,0.61017254
-5.92796398,2.37354788,0.49448205,1.50169978,0.01872234,0.04807515,0.13685995,0.07321132,0.63910497
-5.92196098,2.42962288,0.51355922,1.51625078,0.01871043,0.05082330,0.14326177,0.07753663,0.66680579
-5.91595798,2.48074582,0.53174806,1.52774474,0.01865230,0.05351873,0.14917333,0.08173274,0.69311410
-5.90995498,2.52721881,0.54901510,1.53671637,0.01855688,0.05614609,0.15454773,0.08576788,0.71790189
-5.90395198,2.56944783,0.56535159,1.54375392,0.01843381,0.05869169,0.15935298,0.08961369,0.74107663
-5.89794897,2.60792986,0.58077284,1.54948346,0.01829326,0.06114361,0.16357300,0.09324569,0.76258267
-5.89194597,2.64323712,0.59531652,1.55455223,0.01814564,0.06349166,0.16720798,0.09664356,0.78240112
-5.88594297,2.67599884,0.60903988,1.55961175,0.01800146,0.06572727,0.17027408,0.09979123,0.80054841
-5.87993997,2.70688113,0.62201614,1.56530091,0.01787107,0.06784325,0.17280239,0.10267686,0.81707364
-5.87393697,2.73656553,0.63433005,1.57222956,0.01776451,0.06983350,0.17483725,0.10529266,0.83205468
-5.86793397,2.76572701,0.64607295,1.58096289,0.01769137,0.07169263,0.17643408,0.10763457,0.84559347
-5.86193097,2.79501198,0.65733749,1.59200693,0.01766058,0.07341562,0.17765661,0.10970190,0.85781061
-5.85592796,2.82501719,0.66821230,1.60579554,0.01768034,0.07499747,0.17857398,0.11149690,0.86883956
-5.84992496,2.85626995,0.67877689,1.62267892,0.01775795,0.07643291,0.17925750,0.11302429,0.87882071
-5.84392196,2.88921033,0.68909703,1.64291403,0.01789973,0.07771618,0.17977752,0.11429082,0.88789552
-5.83791896,2.92417584,0.69922074,1.66665688,0.01811086,0.07884095,0.18020038,0.11530488,0.89620103
-5.83191596,2.96138873,0.70917517,1.69395683,0.01839530,0.07980031,0.18058567,0.11607609,0.90386478
-5.82591296,3.00094640,0.71896445,1.72475300,0.01875564,0.08058694,0.18098387,0.11661502,0.91100037
-5.81990995,3.04281471,0.72856847,1.75887273,0.01919295,0.08119331,0.18143452,0.11693291,0.91770363
-5.81390695,3.08682448,0.73794271,1.79603205,0.01970672,0.08161208,0.18196491,0.11704141,0.92404944
-5.80790395,3.13267086,0.74701899,1.83583828,0.02029467,0.08183650,0.18258942,0.11695243,0.93008925
-5.80190095,3.17991561,0.75570706,1.87779461,0.02095268,0.08186081,0.18330936,0.11667790,0.93584912
-5.79589795,3.22799216,0.76389688,1.92130668,0.02167468,0.08168078,0.18411347,0.11622960,0.94132843
-5.78989495,3.27621321,0.77146140,1.96569117,0.02245260,0.08129402,0.18497886,0.11561895,0.94649901
-5.78389195,3.32378098,0.77825985,2.01018640,0.02327636,0.08070040,0.18587241,0.11485677,0.95130489
-5.77788894,3.36979988,0.78414114,2.05396481,0.02413394,0.07990220,0.18675255,0.11395298,0.95566255
-5.77188594,3.41329175,0.78894757,2.09614746,0.02501143,0.07890428,0.18757127,0.11291639,0.95946174
-5.76588294,3.45321357,0.79251845,2.13582035,0.02589327,0.07771401,0.18827633,0.11175439,0.96256697
-5.75987994,3.48847772,0.79469384,2.17205248,0.02676249,0.07634113,0.18881354,0.11047265,0.96481974
-5.75387694,3.51797465,0.79531823,2.20391542,0.02760103,0.07479746,0.18912913,0.10907496,0.96604167
-5.74787394,3.54059789,0.79424417,2.23050419,0.02839016,0.07309653,0.18917203,0.10756301,0.96603843
-5.74187094,3.55527112,0.79133588,2.25095895,0.02911094,0.07125312,0.18889606,0.10593642,0.96460477
-5.73586793,3.56097673,0.78647291,2.26448705,0.02974475,0.06928279,0.18826201,0.10419271,0.96153043
-5.72986493,3.55678552,0.77955363,2.27038494,0.03027380,0.06720137,0.18723952,0.10232756,0.95660694
-5.72386193,3.54188640,0.77049878,2.26805904,0.03068171,0.06502453,0.18580885,0.10033514,0.94963522
-5.71785893,3.51561544,0.75925481,2.25704506,0.03095400,0.06276742,0.18396230,0.09820852,0.94043366
-5.71185593,3.47748290,0.74579701,2.23702482,0.03107864,0.06044431,0.18170548,0.09594036,0.92884649
-5.70585293,3.42719729,0.73013234,2.20783998,0.03104643,0.05806846,0.17905825,0.09352350,0.91475194
-5.69984992,3.36468503,0.71230170,2.16950177,0.03085136,0.05565201,0.17605536,0.09095176,0.89807003
-5.69384692,3.29010480,0.69238160,2.12219641,0.03049087,0.05320601,0.17274673,0.08822067,0.87876924
-5.68784392,3.20385548,0.67048499,2.06628551,0.02996594,0.05074055,0.16919735,0.08532819,0.85687207
-5.68184092,3.10657692,0.64676120,2.00230141,0.02928113,0.04826491,0.16548673,0.08227540,0.83245867
-5.67583792,2.99914314,0.62139468,1.93093738,0.02844444,0.04578786,0.16170789,0.07906695,0.80566870
-5.66983492,2.88264777,0.59460278,1.85303285,0.02746709,0.04331789,0.15796588,0.07571152,0.77670075
-5.66383192,2.75838202,0.56663218,1.76955410,0.02636319,0.04086345,0.15437576,0.07222192,0.74580966
-5.65782891,2.62780573,0.53775437,1.68157113,0.02514930,0.03843324,0.15106012,0.06861511,0.71330141
-5.65182591,2.49251254,0.50825999,1.59023150,0.02384393,0.03603633,0.14814614,0.06491199,0.67952589
-5.64582291,2.35419031,0.47845244,1.49673208,0.02246701,0.03368230,0.14576219,0.06113691,0.64486784
-5.63981991,2.21457848,0.44864077,1.40228980,0.02103933,0.03138126,0.14403414,0.05731715,0.60973616
-5.63381691,2.07542382,0.41913225,1.30811256,0.01958194,0.02914383,0.14308141,0.05348209,0.57455223
-5.62781391,1.93843646,0.39022490,1.21537118,0.01811571,0.02698101,0.14301299,0.04966241,0.53973763
-5.62181091,1.80524778,0.36220020,1.12517356,0.01666073,0.02490400,0.14392341,0.04588917,0.50570180
-5.61580790,1.67737182,0.33531635,1.03854183,0.01523601,0.02292397,0.14588901,0.04219285,0.47283023
-5.60980490,1.55617150,0.30980234,0.95639315,0.01385904,0.02105181,0.14896458,0.03860247,0.44147364
-5.60380190,1.44283089,0.28585303,0.87952456,0.01254562,0.01929785,0.15318054,0.03514478,0.41193864
-5.59779890,1.33833417,0.26362548,0.80860242,0.01130966,0.01767159,0.15854090,0.03184353,0.38448017
-5.59179590,1.24345192,0.24323658,0.74415605,0.01016308,0.01618143,0.16502201,0.02871888,0.35929610
-5.58579290,1.15873464,0.22476210,0.68657590,0.00911590,0.01483447,0.17257233,0.02578704,0.33652402
-5.57978989,1.08451347,0.20823715,0.63611546,0.00817621,0.01363631,0.18111321,0.02305998,0.31624041
-5.57378689,1.02090748,0.19365792,0.59289673,0.00735037,0.01259093,0.19054077,0.02054535,0.29846201
-5.56778389,0.96783672,0.18098467,0.55691857,0.00664317,0.01170060,0.20072871,0.01824662,0.28314932
-5.56178089,0.92504010,0.17014565,0.52806717,0.00605799,0.01096583,0.21153217,0.01616323,0.27021189
