energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
1.63581791,1.78375058,0.09889241,0.20032912,0.54750252,0.17389823,0.35139763,0.00000000,0.67924398,0.93892324
1.64182091,1.78151385,0.10154227,0.18811093,0.50689025,0.17054248,0.35190980,0.00000000,0.69553551,0.94130040
1.64782391,1.78594245,0.10401143,0.17768316,0.47204421,0.16771614,0.35298043,0.00000000,0.71324044,0.94796486
1.65382691,1.79607415,0.10626032,0.16891791,0.44256685,0.16537119,0.35445227,0.00000000,0.73183610,0.95840152
1.65982991,1.81083422,0.10824928,0.16166786,0.41801642,0.16345201,0.35615532,0.00000000,0.75075181,0.97202013
1.66583292,1.82907634,0.10993935,0.15577254,0.39792145,0.16189775,0.35791309,0.00000000,0.76938678,0.98817919
1.67183592,1.84962404,0.11129317,0.15106443,0.38179473,0.16064463,0.35954895,0.00000000,0.78712912,1.00621040
1.67783892,1.87131117,0.11227597,0.14737477,0.36914631,0.15962825,0.36089234,0.00000000,0.80337519,1.02544237
1.68384192,1.89301966,0.11285655,0.14453883,0.35949525,0.15878570,0.36178458,0.00000000,0.81754872,1.04522292
1.68984492,1.91371322,0.11300827,0.14240044,0.35237977,0.15805740,0.36208404,0.00000000,0.82911876,1.06493879
1.69584792,1.93246582,0.11271003,0.14081577,0.34736567,0.15738873,0.36167054,0.00000000,0.83761602,1.08403231
1.70185093,1.94848380,0.11194711,0.13965610,0.34405284,0.15673125,0.36044874,0.00000000,0.84264693,1.10201425
1.70785393,1.96112127,0.11071192,0.13880971,0.34207986,0.15604356,0.35835054,0.00000000,0.84390495,1.11847264
1.71385693,1.96988829,0.10900457,0.13818288,0.34112676,0.15529182,0.35533626,0.00000000,0.84117882,1.13307735
1.71985993,1.97445209,0.10683329,0.13769992,0.34091598,0.15444988,0.35139485,0.00000000,0.83435753,1.14558060
1.72586293,1.97463175,0.10421458,0.13730248,0.34121187,0.15349902,0.34654291,0.00000000,0.82343199,1.15581358
1.73186593,1.97038706,0.10117315,0.13694822,0.34181881,0.15242748,0.34082288,0.00000000,0.80849334,1.16367986
1.73786893,1.96180281,0.09774164,0.13660901,0.34257840,0.15122967,0.33430041,0.00000000,0.78972835,1.16914615
1.74387194,1.94906958,0.09396014,0.13626874,0.34336597,0.14990528,0.32706106,0.00000000,0.76741202,1.17223130
1.74987494,1.93246274,0.08987548,0.13592108,0.34408679,0.14845829,0.31920674,0.00000000,0.74189789,1.17299439
1.75587794,1.91232095,0.08554034,0.13556730,0.34467227,0.14689599,0.31085189,0.00000000,0.71360662,1.17152288
1.76188094,1.88902574,0.08101224,0.13521425,0.34507653,0.14522813,0.30211975,0.00000000,0.68301331,1.16792176
1.76788394,1.86298344,0.07635248,0.13487267,0.34527343,0.14346619,0.29313894,0.00000000,0.65063413,1.16230427
1.77388694,1.83461066,0.07162494,0.13455609,0.34525458,0.14162297,0.28404040,0.00000000,0.61701291,1.15478523
1.77988994,1.80432398,0.06689500,0.13428005,0.34502800,0.13971240,0.27495496,0.00000000,0.58270799,1.14547699
1.78589295,1.77253445,0.06222835,0.13406205,0.34461794,0.13774967,0.26601156,0.00000000,0.54828004,1.13448866
1.79189595,1.73964693,0.05769005,0.13392182,0.34406545,0.13575166,0.25733618,0.00000000,0.51428100,1.12192829
1.79789895,1.70606392,0.05334352,0.13388217,0.34342975,0.13373768,0.24905138,0.00000000,0.48124451,1.10790795
1.80390195,1.67219332,0.04924980,0.13397009,0.34279014,0.13173032,0.24127652,0.00000000,0.44967792,1.09255118
1.80990495,1.63845905,0.04546684,0.13421803,0.34224817,0.12975646,0.23412836,0.00000000,0.42005598,1.07600218
1.81590795,1.60531327,0.04204895,0.13466519,0.34192971,0.12784837,0.22772203,0.00000000,0.39281611,1.05843579
1.82191096,1.57324889,0.03904635,0.13535869,0.34198662,0.12604458,0.22217206,0.00000000,0.36835521,1.04006759
1.82791396,1.54281082,0.03650485,0.13635431,0.34259765,0.12439064,0.21759335,0.00000000,0.34702757,1.02116293
1.83391696,1.51460450,0.03446553,0.13771682,0.34396813,0.12293950,0.21410184,0.00000000,0.32914390,1.00204411
1.83991996,1.48930042,0.03296445,0.13951960,0.34632835,0.12175152,0.21181466,0.00000000,0.31497088,0.98309487
1.84592296,1.46763360,0.03203242,0.14184353,0.34993018,0.12089387,0.21084962,0.00000000,0.30473122,0.96476144
1.85192596,1.45039710,0.03169467,0.14477510,0.35504197,0.12043950,0.21132402,0.00000000,0.29860363,0.94754965
1.85792896,1.43842920,0.03197045,0.14840373,0.36194163,0.12046542,0.21335248,0.00000000,0.29672268,0.93201794
1.86393197,1.43259429,0.03287260,0.15281830,0.37090791,0.12105047,0.21704399,0.00000000,0.29917829,0.91876607
1.86993497,1.43375768,0.03440704,0.15810302,0.38221028,0.12227255,0.22249820,0.00000000,0.30601462,0.90841987
1.87593797,1.44275520,0.03657211,0.16433290,0.39609743,0.12420545,0.22980086,0.00000000,0.31722848,0.90161238
1.88194097,1.46035875,0.03935798,0.17156883,0.41278509,0.12691531,0.23901886,0.00000000,0.33276723,0.89896216
1.88794397,1.48723917,0.04274592,0.17985263,0.43244352,0.13045703,0.25019489,0.00000000,0.35252623,0.90104947
1.89394697,1.52392815,0.04670770,0.18920237,0.45518523,0.13487054,0.26334207,0.00000000,0.37634620,0.90839143
1.89994997,1.57078103,0.05120507,0.19960804,0.48105363,0.14017742,0.27843872,0.00000000,0.40401062,0.92141722
1.90595298,1.62794241,0.05618929,0.21102810,0.51001312,0.14637777,0.29542376,0.00000000,0.43524362,0.94044430
1.91195598,1.69531639,0.06160106,0.22338685,0.54194133,0.15344772,0.31419287,0.00000000,0.46970853,0.96565705
1.91795898,1.77254322,0.06737051,0.23657316,0.57662383,0.16133759,0.33459574,0.00000000,0.50700765,0.99708850
1.92396198,1.85898387,0.07341775,0.25044041,0.61375193,0.16997098,0.35643475,0.00000000,0.54668337,1.03460650
1.92996498,1.95371377,0.07965355,0.26480794,0.65292385,0.17924474,0.37946512,0.00000000,0.58822100,1.07790473
1.93596798,2.05552658,0.08598066,0.27946399,0.69364930,0.18903000,0.40339684,0.00000000,0.63105358,1.12649951
