energy_ev,total_up,Ag_p_up,Ag_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,17.05251332,2.11031392,10.65953999,0.66231263,2.00256613,0.11626681,0.10229155,0.10846409,3.13160610
-5.99399700,17.29149138,2.17193054,10.76387344,0.67223041,2.05327156,0.12127214,0.10247907,0.11187236,3.17794646
-5.98799400,17.45874895,2.22532959,10.82172831,0.67956570,2.09649074,0.12592285,0.10222486,0.11492663,3.21097727
-5.98199100,17.55127954,2.26968035,10.83201462,0.68420001,2.13142033,0.13014152,0.10152707,0.11757818,3.23005370
-5.97598799,17.56737953,2.30432675,10.79446112,0.68606976,2.15739995,0.13385561,0.10039303,0.11978373,3.23477373
-5.96998499,17.50669970,2.32880997,10.70962636,0.68516735,2.17392941,0.13699927,0.09883890,0.12150633,3.22499089
-5.96398199,17.37026431,2.34288649,10.57888881,0.68154107,2.18068279,0.13951507,0.09688924,0.12271620,3.20082102
-5.95797899,17.16045676,2.34654067,10.40441664,0.67529385,2.17751838,0.14135569,0.09457626,0.12339141,3.16264276
-5.95197599,16.88097158,2.33999098,10.18911791,0.66658076,2.16448434,0.14248533,0.09193896,0.12351848,3.11109141
-5.94597299,16.53673336,2.32368927,9.93657267,0.65560532,2.14181930,0.14288086,0.08902212,0.12309277,3.04704611
-5.93996998,16.13378422,2.29831261,9.65094895,0.64261470,2.10994782,0.14253262,0.08587512,0.12211873,2.97161066
-5.93396698,15.67914226,2.26474760,9.33690494,0.62789387,2.06947056,0.14144488,0.08255066,0.12060984,2.88608801
-5.92796398,15.18063443,2.22406736,8.99947987,0.61175872,2.02114918,0.13963580,0.07910345,0.11858841,2.79194933
-5.92196098,14.64670800,2.17750152,8.64397687,0.59454839,1.96588643,0.13713700,0.07558883,0.11608511,2.69079810
-5.91595798,14.08622575,2.12640040,8.27584058,0.57661688,1.90470180,0.13399270,0.07206138,0.11313824,2.58433045
-5.90995498,13.50825048,2.07219406,7.90053307,0.55832418,1.83870357,0.13025843,0.06857358,0.10979282,2.47429274
-5.90395198,12.92182498,2.01634806,7.52341118,0.54002718,1.76905816,0.12599939,0.06517456,0.10609950,2.36243765
-5.89794897,12.33575405,1.96031712,7.14960871,0.52207044,1.69695777,0.12128856,0.06190887,0.10211327,2.25048024
-5.89194597,11.75839493,1.90549880,6.78392640,0.50477730,1.62358755,0.11620455,0.05881550,0.09789210,2.14005529
-5.88594297,11.19746250,1.85318857,6.43073272,0.48844136,1.55009336,0.11082940,0.05592702,0.09349551,2.03267737
-5.87993997,10.65985529,1.80453842,6.09387801,0.47331883,1.47755138,0.10524622,0.05326887,0.08898313,1.92970489
-5.87393697,10.15150745,1.76052030,5.77662410,0.45962176,1.40694065,0.09953705,0.05085893,0.08441326,1.83230934
-5.86793397,9.67727122,1.72189607,5.48159125,0.44751256,1.33911938,0.09378077,0.04870733,0.07984160,1.74145069
-5.86193097,9.24083322,1.68919499,5.21072354,0.43709991,1.27480604,0.08805121,0.04681644,0.07532002,1.65785974
-5.85592796,8.84466695,1.66269969,4.96527346,0.42843626,1.21456559,0.08241559,0.04518113,0.07089553,1.58202786
-5.84992496,8.49002246,1.64244107,4.74580587,0.42151698,1.15880134,0.07693325,0.04378929,0.06660950,1.51420445
-5.84392196,8.17695306,1.62820239,4.55222079,0.41628127,1.10775263,0.07165472,0.04262248,0.06249702,1.45440194
-5.83791896,7.90437747,1.61953212,4.38379428,0.41261482,1.06149797,0.06662115,0.04165687,0.05858650,1.40240812
-5.83191596,7.67017501,1.61576517,4.23923565,0.41035403,1.01996364,0.06186410,0.04086426,0.05489955,1.35780507
-5.82591296,7.47130984,1.61605150,4.11675928,0.40929193,0.98293694,0.05740564,0.04021320,0.05145101,1.31999401
-5.81990995,7.30397990,1.61939080,4.01416861,0.40918534,0.95008357,0.05325873,0.03967026,0.04824928,1.28822496
-5.81390695,7.16378487,1.62467207,3.92894946,0.40976323,0.92096827,0.04942792,0.03920130,0.04529670,1.26163004
-5.80790395,7.04590737,1.63071629,3.85836991,0.41073590,0.89507774,0.04591016,0.03877262,0.04259023,1.23925923
-5.80190095,6.94530096,1.63632057,3.79958322,0.41180478,0.87184504,0.04269588,0.03835222,0.04012218,1.22011716
-5.79589795,6.85687842,1.64030220,3.74973073,0.41267236,0.85067433,0.03977005,0.03791086,0.03788103,1.20319974
-5.78989495,6.77569393,1.64154067,3.70604123,0.41305211,0.83096514,0.03711339,0.03742293,0.03585235,1.18752925
-5.78389195,6.69711287,1.63901648,3.66592363,0.41267785,0.81213522,0.03470356,0.03686734,0.03401974,1.17218683
-5.77788894,6.61696377,1.63184504,3.62704979,0.41131237,0.79364133,0.03251627,0.03622801,0.03236571,1.15634120
-5.77188594,6.53166718,1.61930472,3.58742484,0.40875498,0.77499715,0.03052638,0.03549431,0.03087258,1.13927293
-5.76588294,6.43833763,1.60085806,3.54544251,0.40484768,0.75578797,0.02870886,0.03466129,0.02952330,1.12039334
-5.75987994,6.33485535,1.57616568,3.49992370,0.39947985,0.73568166,0.02703963,0.03372966,0.02830215,1.09925786
-5.75387694,6.21990598,1.54509247,3.45013705,0.39259120,0.71443590,0.02549625,0.03270563,0.02719533,1.07557337
-5.74787394,6.09298750,1.50770619,3.39580083,0.38417299,0.69190141,0.02405846,0.03160060,0.02619146,1.04919969
-5.74187094,5.95438496,1.46426886,3.33706633,0.37426752,0.66802159,0.02270855,0.03043071,0.02528188,1.02014531
-5.73586793,5.80511482,1.41522143,3.27448356,0.36296588,0.64282850,0.02143164,0.02921627,0.02446085,0.98855796
-5.72986493,5.64684188,1.36116282,3.20895094,0.35040423,0.61643584,0.02021571,0.02798115,0.02372562,0.95471042
-5.72386193,5.48177298,1.30282413,3.14165109,0.33675865,0.58902924,0.01905159,0.02675208,0.02307627,0.91898258
-5.71785893,5.31253226,1.24103949,3.07397571,0.32223894,0.56085449,0.01793274,0.02555796,0.02251558,0.88184043
-5.71185593,5.14202392,1.17671475,3.00744287,0.30708161,0.53220430,0.01685509,0.02442920,0.02204866,0.84381312
-5.70585293,4.97328839,1.11079521,2.94361043,0.29154227,0.50340422,0.01581660,0.02339702,0.02168258,0.80546896
-5.69984992,4.80935827,1.04423396,2.88398945,0.27588792,0.47479833,0.01481695,0.02249284,0.02142588,0.76739147
-5.69384692,4.65312029,0.97796174,2.82996154,0.26038921,0.44673530,0.01385710,0.02174771,0.02128809,0.73015634
-5.68784392,4.50718898,0.91285959,2.78270395,0.24531320,0.41955533,0.01293888,0.02119180,0.02127924,0.69431024
-5.68184092,4.37379728,0.84973506,2.74312561,0.23091655,0.39357844,0.01206460,0.02085393,0.02140932,0.66035209
-5.67583792,4.25470820,0.78930260,2.71181713,0.21743965,0.36909441,0.01123666,0.02076111,0.02168786,0.62871747
-5.66983492,4.15115080,0.73216875,2.68901680,0.20510155,0.34635470,0.01045725,0.02093824,0.02212348,0.59976661
-5.66383192,4.06378229,0.67882206,2.67459414,0.19409600,0.32556645,0.00972809,0.02140767,0.02272351,0.57377598
-5.65782891,3.99267712,0.62962799,2.66805135,0.18458844,0.30688856,0.00905020,0.02218894,0.02349378,0.55093378
-5.65182591,3.93734210,0.58482840,2.66854240,0.17671404,0.29042990,0.00842383,0.02329837,0.02443832,0.53133911
-5.64582291,3.89675607,0.54454520,2.67490856,0.17057669,0.27624933,0.00784832,0.02474881,0.02555922,0.51500442
-5.63981991,3.86943086,0.50878778,2.68572833,0.16624877,0.26435756,0.00732218,0.02654926,0.02685659,0.50186106
-5.63381691,3.85348987,0.47746339,2.69937901,0.16377171,0.25472028,0.00684308,0.02870456,0.02832846,0.49176725
-5.62781391,3.84675968,0.45038983,2.71410682,0.16315707,0.24726256,0.00640800,0.03121503,0.02997081,0.48451802
-5.62181091,3.84686979,0.42730978,2.72810187,0.16438814,0.24187390,0.00601333,0.03407619,0.03177761,0.47985636
-5.61580790,3.85135538,0.40790592,2.73957431,0.16742171,0.23841395,0.00565506,0.03727847,0.03374083,0.47748523
-5.60980490,3.85775813,0.39181626,2.74682794,0.17219022,0.23671826,0.00532894,0.04080694,0.03585052,0.47707955
-5.60380190,3.86372057,0.37864915,2.74832789,0.17860387,0.23660410,0.00503065,0.04464119,0.03809483,0.47829796
-5.59779890,3.86707012,0.36799728,2.74275938,0.18655288,0.23787593,0.00475599,0.04875528,0.04046006,0.48079370
-5.59179590,3.86588952,0.35945051,2.72907510,0.19590978,0.24033047,0.00450097,0.05311776,0.04293064,0.48422436
-5.58579290,3.85857163,0.35260711,2.70652955,0.20653161,0.24376121,0.00426202,0.05769192,0.04548918,0.48826033
-5.57978989,3.84385728,0.34708332,2.67469942,0.21826235,0.24796236,0.00403601,0.06243615,0.04811645,0.49259166
-5.57378689,3.82085609,0.34252113,2.63348983,0.23093528,0.25273206,0.00382032,0.06730456,0.05079138,0.49693350
-5.56778389,3.78905090,0.33859429,2.58312711,0.24437559,0.25787517,0.00361293,0.07224767,0.05349112,0.50102995
-5.56178089,3.74828746,0.33501273,2.52413935,0.25840311,0.26320542,0.00341236,0.07721341,0.05619106,0.50465672
-5.55577789,3.69875156,0.33152544,2.45732670,0.27283541,0.26854709,0.00321768,0.08214825,0.05886499,0.50762247
-5.54977489,3.64093646,0.32792207,2.38372360,0.28749107,0.27373644,0.00302844,0.08699850,0.06148525,0.50976934
-5.54377189,3.57560338,0.32403334,2.30455570,0.30219337,0.27862281,0.00284464,0.09171174,0.06402301,0.51097268
-5.53776888,3.50373836,0.31973068,2.22119382,0.31677426,0.28306955,0.00266663,0.09623839,0.06644860,0.51114037
-5.53176588,3.42650807,0.31492499,2.13510785,0.33107855,0.28695486,0.00249504,0.10053327,0.06873196,0.51021179
-5.52576288,3.34521739,0.30956496,2.04782253,0.34496839,0.29017264,0.00233071,0.10455725,0.07084320,0.50815670
-5.51975988,3.26127051,0.30363491,1.96087723,0.35832770,0.29263322,0.00217460,0.10827872,0.07275317,0.50497413
-5.51375688,3.17613718,0.29715241,1.87579108,0.37106665,0.29426422,0.00202771,0.11167507,0.07443422,0.50069132
-5.50775388,3.09132477,0.29016555,1.79403427,0.38312571,0.29501127,0.00189105,0.11473389,0.07586091,0.49536278
-5.50175088,3.00835624,0.28275023,1.71700584,0.39447938,0.29483875,0.00176560,0.11745393,0.07701082,0.48906942
-5.49574787,2.92875347,0.27500713,1.64601768,0.40513902,0.29373039,0.00165223,0.11984580,0.07786527,0.48191767
-5.48974487,2.85402500,0.26705869,1.58228403,0.41515489,0.29168972,0.00155171,0.12193220,0.07841014,0.47403851
-5.48374187,2.78565650,0.25904593,1.52691527,0.42461683,0.28874017,0.00146469,0.12374786,0.07863649,0.46558628
-5.47773887,2.72510251,0.25112520,1.48091465,0.43365370,0.28492500,0.00139169,0.12533887,0.07854113,0.45673716
-5.47173587,2.67377740,0.24346473,1.44517651,0.44243115,0.28030669,0.00133313,0.12676167,0.07812707,0.44768723
-5.46573287,2.63304405,0.23624118,1.42048427,0.45114782,0.27496600,0.00128928,0.12808151,0.07740376,0.43864994
-5.45972986,2.60419878,0.22963610,1.40750703,0.46002978,0.26900054,0.00126034,0.12937042,0.07638720,0.42985304
-5.45372686,2.58845152,0.22383229,1.40679367,0.46932344,0.26252282,0.00124636,0.13070486,0.07509978,0.42153486
-5.44772386,2.58690078,0.21901023,1.41876366,0.47928695,0.25565789,0.00124732,0.13216290,0.07357000,0.41394006
