energy_ev,total_up,Au_p_up,Au_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,1.85747825,0.10259501,1.77441617,0.02298412,0.00885983,0.06815029,0.00000000
-5.99399700,1.80164891,0.09680538,1.72058725,0.02187056,0.00855531,0.06708901,0.00000000
-5.98799400,1.74522004,0.09154379,1.66470776,0.02094461,0.00823372,0.06707009,0.00000000
-5.98199100,1.68877116,0.08686500,1.60727005,0.02022569,0.00789946,0.06815214,0.00000000
-5.97598799,1.63294017,0.08281995,1.54883213,0.01973114,0.00755702,0.07038856,0.00000000
-5.96998499,1.57840958,0.07945456,1.49000681,0.01947586,0.00721100,0.07382523,0.00000000
-5.96398199,1.52588941,0.07680855,1.43144781,0.01947190,0.00686590,0.07849792,0.00000000
-5.95797899,1.47609737,0.07491435,1.37383318,0.01972806,0.00652611,0.08442956,0.00000000
-5.95197599,1.42973684,0.07379602,1.31784660,0.02024956,0.00619580,0.09162746,0.00000000
-5.94597299,1.38747381,0.07346837,1.26415740,0.02103772,0.00587882,0.10008060,0.00000000
-5.93996998,1.34991350,0.07393619,1.21340001,0.02208962,0.00557866,0.10975713,0.00000000
-5.93396698,1.31757787,0.07519374,1.16615383,0.02339801,0.00529836,0.12060228,0.00000000
-5.92796398,1.29088514,0.07722439,1.12292447,0.02495108,0.00504047,0.13253678,0.00000000
-5.92196098,1.27013229,0.08000052,1.08412719,0.02673253,0.00480702,0.14545599,0.00000000
-5.91595798,1.25548155,0.08348377,1.05007341,0.02872160,0.00459946,0.15922980,0.00000000
-5.90995498,1.24695164,0.08762544,1.02096101,0.03089337,0.00441868,0.17370349,0.00000000
-5.90395198,1.24441429,0.09236722,0.99686880,0.03321901,0.00426498,0.18869954,0.00000000
-5.89794897,1.24759638,0.09764216,0.97775552,0.03566636,0.00413814,0.20402053,0.00000000
-5.89194597,1.25608771,0.10337587,0.96346348,0.03820043,0.00403738,0.21945288,0.00000000
-5.88594297,1.26935401,0.10948789,0.95372649,0.04078415,0.00396148,0.23477161,0.00000000
-5.87993997,1.28675471,0.11589320,0.94818181,0.04337915,0.00390876,0.24974579,0.00000000
-5.87393697,1.30756459,0.12250379,0.94638535,0.04594657,0.00387721,0.26414455,0.00000000
-5.86793397,1.33099823,0.12923033,0.94782947,0.04844799,0.00386451,0.27774343,0.00000000
-5.86193097,1.35623612,0.13598363,0.95196234,0.05084621,0.00386813,0.29033076,0.00000000
-5.85592796,1.38245107,0.14267620,0.95820796,0.05310618,0.00388542,0.30171382,0.00000000
-5.84992496,1.40883384,0.14922351,0.96598580,0.05519570,0.00391362,0.31172451,0.00000000
-5.84392196,1.43461661,0.15554512,0.97472928,0.05708611,0.00395000,0.32022415,0.00000000
-5.83791896,1.45909346,0.16156566,0.98390217,0.05875287,0.00399186,0.32710736,0.00000000
-5.83191596,1.48163697,0.16721546,0.99301234,0.06017592,0.00403663,0.33230462,0.00000000
-5.82591296,1.50171057,0.17243116,1.00162245,0.06134004,0.00408186,0.33578356,0.00000000
