energy_ev,total_up,Ag_p_up,Ag_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.38348268,0.53487968,2.01117652,0.01455907,0.22629768,0.03235455,0.00327382
-5.99399700,2.32824829,0.50659165,1.98036158,0.01327941,0.21034654,0.02975909,0.00308306
-5.98799400,2.28227643,0.48189688,1.95631744,0.01212248,0.19571494,0.02748918,0.00291142
-5.98199100,2.24603747,0.46106542,1.93924386,0.01109694,0.18257431,0.02555202,0.00275946
-5.97598799,2.21996426,0.44431458,1.92935709,0.01021045,0.17105979,0.02395423,0.00262760
-5.96998499,2.20443739,0.43180567,1.92687729,0.00946950,0.16126922,0.02270170,0.00251606
-5.96398199,2.19976801,0.42364175,1.93201233,0.00887938,0.15326319,0.02179937,0.00242480
-5.95797899,2.20617830,0.41986618,1.94493799,0.00844420,0.14706577,0.02125114,0.00235361
-5.95197599,2.22377982,0.42046212,1.96577511,0.00816692,0.14266604,0.02105969,0.00230203
-5.94597299,2.25255039,0.42535262,1.99456458,0.00804936,0.14002004,0.02122638,0.00226937
-5.93996998,2.29231059,0.43440141,2.03124112,0.00809230,0.13905327,0.02175115,0.00225473
-5.93396698,2.34270119,0.44741431,2.07560765,0.00829552,0.13966344,0.02263236,0.00225699
-5.92796398,2.40316314,0.46414141,2.12731159,0.00865788,0.14172349,0.02386672,0.00227484
-5.92196098,2.47292192,0.48427993,2.18582506,0.00917732,0.14508488,0.02544916,0.00230679
-5.91595798,2.55097791,0.50747806,2.25043066,0.00985092,0.14958102,0.02737275,0.00235116
-5.90995498,2.63610442,0.53333981,2.32021445,0.01067488,0.15503086,0.02962858,0.00240615
-5.90395198,2.72685475,0.56143085,2.39406729,0.01164452,0.16124276,0.03220570,0.00246981
-5.89794897,2.82157906,0.59128565,2.47069563,0.01275419,0.16801835,0.03509100,0.00254014
-5.89194597,2.91845149,0.62241560,2.54864190,0.01399727,0.17515668,0.03826923,0.00261504
-5.88594297,3.01550724,0.65431823,2.62631441,0.01536605,0.18245841,0.04172288,0.00269240
-5.87993997,3.11068870,0.68648725,2.70202603,0.01685169,0.18972999,0.04543221,0.00277013
-5.87393697,3.20189905,0.71842310,2.77404010,0.01844415,0.19678788,0.04937521,0.00284619
-5.86793397,3.28706146,0.74964378,2.84062188,0.02013210,0.20346260,0.05352762,0.00291865
-5.86193097,3.36418101,0.77969532,2.90009317,0.02190290,0.20960240,0.05786293,0.00298568
-5.85592796,3.43140688,0.80816170,2.95088760,0.02374259,0.21507669,0.06235239,0.00304564
-5.84992496,3.48709148,0.83467349,2.99160379,0.02563588,0.21977877,0.06696502,0.00309711
-5.84392196,3.52984387,0.85891499,3.02105389,0.02756623,0.22362793,0.07166762,0.00313888
-5.83791896,3.55857454,0.88062941,3.03830485,0.02951593,0.22657077,0.07642483,0.00316999
-5.83191596,3.57252945,0.89962174,3.04271051,0.03146622,0.22858162,0.08119907,0.00318975
-5.82591296,3.57131148,0.91575933,3.03393277,0.03339752,0.22966205,0.08595068,0.00319775
-5.81990995,3.55488819,0.92897000,3.01195077,0.03528958,0.22983944,0.09063794,0.00319381
-5.81390695,3.52358558,0.93923791,2.97705776,0.03712179,0.22916468,0.09521723,0.00317804
-5.80790395,3.47806827,0.94659733,2.92984585,0.03887347,0.22770906,0.09964325,0.00315076
-5.80190095,3.41930707,0.95112489,2.87117948,0.04052417,0.22556054,0.10386929,0.00311250
-5.79589795,3.34853582,0.95293056,2.80215908,0.04205406,0.22281946,0.10784765,0.00306397
-5.78989495,3.26719959,0.95214809,2.72407684,0.04344421,0.21959398,0.11153017,0.00300602
-5.78389195,3.17689702,0.94892540,2.63836676,0.04467703,0.21599542,0.11486890,0.00293959
-5.77788894,3.07931953,0.94341546,2.54655154,0.04573656,0.21213368,0.11781688,0.00286571
-5.77188594,2.97619034,0.93576828,2.45018870,0.04660882,0.20811301,0.12032907,0.00278543
-5.76588294,2.86920600,0.92612426,2.35081848,0.04728213,0.20402819,0.12236335,0.00269981
-5.75987994,2.75998295,0.91460942,2.24991562,0.04774731,0.19996141,0.12388164,0.00260987
-5.75387694,2.65001114,0.90133247,2.14884698,0.04799797,0.19597986,0.12485101,0.00251660
-5.74787394,2.54061646,0.88638395,2.04883652,0.04803060,0.19213414,0.12524479,0.00242092
-5.74187094,2.43293278,0.86983723,1.95093857,0.04784468,0.18845745,0.12504365,0.00232366
-5.73586793,2.32788435,0.85175119,1.85601996,0.04744273,0.18496570,0.12423649,0.00222558
-5.72986493,2.22617836,0.83217422,1.76475127,0.04683024,0.18165833,0.12282123,0.00212734
-5.72386193,2.12830719,0.81114928,1.67760647,0.04601558,0.17851976,0.12080533,0.00202952
-5.71785893,2.03455931,0.78871938,1.59487065,0.04500980,0.17552152,0.11820606,0.00193261
-5.71185593,1.94503759,0.76493323,1.51665441,0.04382641,0.17262470,0.11505050,0.00183704
-5.70585293,1.85968357,0.73985056,1.44291389,0.04248107,0.16978280,0.11137519,0.00174315
-5.69984992,1.77830578,0.71354668,1.37347495,0.04099128,0.16694466,0.10722551,0.00165124
-5.69384692,1.70061079,0.68611624,1.30805999,0.03937599,0.16405748,0.10265476,0.00156155
-5.68784392,1.62623503,0.65767561,1.24631611,0.03765517,0.16106971,0.09772297,0.00147429
-5.68184092,1.55477621,0.62836420,1.18784317,0.03584949,0.15793374,0.09249553,0.00138962
-5.67583792,1.48582279,0.59834438,1.13222061,0.03397983,0.15460837,0.08704161,0.00130769
-5.66983492,1.41898067,0.56780024,1.07903209,0.03206693,0.15106089,0.08143255,0.00122861
-5.66383192,1.35389626,0.53693536,1.02788711,0.03013103,0.14726875,0.07574024,0.00115251
-5.65782891,1.29027531,0.50596973,0.97843905,0.02819154,0.14322093,0.07003544,0.00107948
-5.65182591,1.22789733,0.47513605,0.93039946,0.02626674,0.13891880,0.06438636,0.00100961
-5.64582291,1.16662563,0.44467575,0.88354823,0.02437358,0.13437664,0.05885734,0.00094299
-5.63981991,1.10641281,0.41483494,0.83773991,0.02252752,0.12962176,0.05350770,0.00087972
-5.63381691,1.04730241,0.38586039,0.79290628,0.02074237,0.12469431,0.04839097,0.00081991
-5.62781391,0.98942678,0.35799597,0.74905557,0.01903028,0.11964677,0.04355426,0.00076364
-5.62181091,0.93300183,0.33147933,0.70626865,0.01740172,0.11454308,0.03903798,0.00071106
-5.61580790,0.87831915,0.30653924,0.66469275,0.01586554,0.10945773,0.03487580,0.00066230
-5.60980490,0.82573588,0.28339330,0.62453312,0.01442902,0.10447438,0.03109480,0.00061751
-5.60380190,0.77566307,0.26224620,0.58604319,0.01309806,0.09968453,0.02771590,0.00057689
-5.59779890,0.72855268,0.24328823,0.54951360,0.01187725,0.09518587,0.02475437,0.00054063
-5.59179590,0.68488384,0.22669418,0.51526053,0.01077006,0.09108058,0.02222047,0.00050897
-5.58579290,0.64514854,0.21262213,0.48361379,0.00977897,0.08747335,0.02012014,0.00048217
