energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,2.58783280,0.05235998,0.00000000,1.55518960,1.06665404,0.00763402,1.56797432
-5.99399700,2.65577009,0.05440627,0.00000000,1.58986121,1.09116610,0.00783283,1.60162844
-5.98799400,2.72320735,0.05630140,0.00000000,1.62205368,1.11801248,0.00803514,1.63534443
-5.98199100,2.78833583,0.05801439,0.00000000,1.65100545,1.14636142,0.00823493,1.66811901
-5.97598799,2.84935017,0.05951764,0.00000000,1.67600568,1.17530923,0.00842656,1.69893784
-5.96998499,2.90450260,0.06078757,0.00000000,1.69641558,1.20390789,0.00860489,1.72680828
-5.96398199,2.95215658,0.06180516,0.00000000,1.71168790,1.23119466,0.00876530,1.75079214
-5.95797899,2.99083784,0.06255635,0.00000000,1.72138406,1.25622251,0.00890379,1.77003717
-5.95197599,3.01928104,0.06303235,0.00000000,1.72518818,1.27809038,0.00901698,1.78380611
-5.94597299,3.03647021,0.06322979,0.00000000,1.72291771,1.29597204,0.00910218,1.79150228
-5.93996998,3.04167144,0.06315082,0.00000000,1.71453013,1.30914234,0.00915735,1.79269053
-5.93396698,3.03445660,0.06280296,0.00000000,1.70012557,1.31700015,0.00918113,1.78711292
-5.92796398,3.01471700,0.06219889,0.00000000,1.67994523,1.31908673,0.00917282,1.77469827
-5.92196098,2.98266660,0.06135610,0.00000000,1.65436556,1.31509911,0.00913234,1.75556539
-5.91595798,2.93883440,0.06029644,0.00000000,1.62388833,1.30489790,0.00906025,1.73001965
-5.90995498,2.88404647,0.05904551,0.00000000,1.58912691,1.28850924,0.00895764,1.69854304
-5.90395198,2.81939809,0.05763202,0.00000000,1.55078910,1.26612102,0.00882613,1.66177813
-5.89794897,2.74621710,0.05608703,0.00000000,1.50965696,1.23807343,0.00866783,1.62050637
-5.89194597,2.66601993,0.05444318,0.00000000,1.46656436,1.20484453,0.00848522,1.57562177
-5.88594297,2.58046180,0.05273381,0.00000000,1.42237275,1.16703133,0.00828115,1.52810064
-5.87993997,2.49128307,0.05099220,0.00000000,1.37794606,1.12532747,0.00805874,1.47896894
-5.87393697,2.40025373,0.04925064,0.00000000,1.33412544,1.08049825,0.00782132,1.42926813
-5.86793397,2.30911816,0.04753970,0.00000000,1.29170469,1.03335428,0.00757235,1.38002105
-5.86193097,2.21954200,0.04588744,0.00000000,1.25140723,0.98472482,0.00731533,1.33219905
-5.85592796,2.13306331,0.04431875,0.00000000,1.21386539,0.93543172,0.00705374,1.28669165
-5.84992496,2.05104953,0.04285476,0.00000000,1.17960280,0.88626526,0.00679100,1.24427983
-5.84392196,1.97466192,0.04151235,0.00000000,1.14902047,0.83796244,0.00653032,1.20561391
-5.83791896,1.90482834,0.04030383,0.00000000,1.12238721,0.79118871,0.00627473,1.17119684
-5.83191596,1.84222554,0.03923671,0.00000000,1.09983467,0.74652352,0.00602696,1.14137345
-5.82591296,1.78727094,0.03831365,0.00000000,1.08135731,0.70445001,0.00578943,1.11632587
