energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-3.74287144,1.09989321,0.66654264,0.00146067,0.00076415,0.15753332,0.33175241,0.38269295
-3.73686843,0.99892787,0.60550090,0.00132367,0.00069463,0.14339219,0.30161267,0.34747992
-3.73086543,0.90153905,0.54652653,0.00119145,0.00062697,0.12961407,0.27238979,0.31368295
-3.72486243,0.80868435,0.49021101,0.00106517,0.00056190,0.11635682,0.24439322,0.28162119
-3.71885943,0.72116161,0.43704783,0.00094576,0.00050000,0.10375350,0.21788218,0.25156039
-3.71285643,0.63960353,0.38742916,0.00083398,0.00044176,0.09191160,0.19306390,0.22371099
-3.70685343,0.56447819,0.34164621,0.00073033,0.00038752,0.08091315,0.17009386,0.19822817
-3.70085043,0.49609512,0.29989303,0.00063512,0.00033752,0.07081574,0.14907771,0.17521370
-3.69484742,0.43461575,0.26227306,0.00054848,0.00029188,0.06165436,0.13007475,0.15471914
-3.68884442,0.38006742,0.22880783,0.00047035,0.00025061,0.05344373,0.11310246,0.13675023
-3.68284142,0.33235979,0.19944724,0.00040053,0.00021364,0.04618103,0.09814191,0.12127192
-3.67683842,0.29130262,0.17408065,0.00033867,0.00018082,0.03984892,0.08514356,0.10821399
-3.67083542,0.25662403,0.15254830,0.00028435,0.00015195,0.03441861,0.07403325,0.09747665
-3.66483242,0.22798841,0.13465243,0.00023706,0.00012678,0.02985276,0.06471805,0.08893617
-3.65882941,0.20501318,0.12016776,0.00019625,0.00010502,0.02610834,0.05709171,0.08245009
-3.65282641,0.18728402,0.10885100,0.00016132,0.00008637,0.02313903,0.05103964,0.07786196
-3.64682341,0.17436817,0.10044900,0.00013168,0.00007053,0.02089735,0.04644316,0.07500562
-3.64082041,0.16582561,0.09470570,0.00010674,0.00005719,0.01933631,0.04318300,0.07370880
-3.63481741,0.16121809,0.09136754,0.00008593,0.00004604,0.01841064,0.04114208,0.07379624
-3.62881441,0.16011612,0.09018764,0.00006873,0.00003680,0.01807760,0.04020743,0.07509223
-3.62281141,0.16210406,0.09092862,0.00005463,0.00002922,0.01829732,0.04027152,0.07742274
-3.61680840,0.16678369,0.09336446,0.00004319,0.00002305,0.01903279,0.04123286,0.08061724
-3.61080540,0.17377634,0.09728132,0.00003401,0.00001807,0.02024953,0.04299607,0.08451027
-3.60480240,0.18272416,0.10247783,0.00002673,0.00001409,0.02191494,0.04547160,0.08894284
-3.59879940,0.19329063,0.10876472,0.00002107,0.00001094,0.02399754,0.04857500,0.09376377
-3.59279640,0.20516071,0.11596425,0.00001676,0.00000849,0.02646598,0.05222613,0.09883109
-3.58679340,0.21804093,0.12390957,0.00001359,0.00000661,0.02928810,0.05634820,0.10401337
-3.58079040,0.23165944,0.13244402,0.00001142,0.00000519,0.03242996,0.06086680,0.10919125
-3.57478739,0.24576646,0.14142071,0.00001012,0.00000417,0.03585501,0.06570916,0.11425887
-3.56878439,0.26013501,0.15070235,0.00000961,0.00000348,0.03952337,0.07080347,0.11912546
-3.56278139,0.27456210,0.16016146,0.00000984,0.00000306,0.04339142,0.07607853,0.12371684
-3.55677839,0.28887034,0.16968093,0.00001083,0.00000290,0.04741158,0.08146366,0.12797686
-3.55077539,0.30291000,0.17915508,0.00001258,0.00000296,0.05153247,0.08688898,0.13186873
-3.54477239,0.31656133,0.18849095,0.00001517,0.00000323,0.05569931,0.09228593,0.13537609
-3.53876938,0.32973709,0.19761002,0.00001870,0.00000373,0.05985468,0.09758819,0.13850386
-3.53276638,0.34238505,0.20645005,0.00002327,0.00000445,0.06393958,0.10273285,0.14127870
-3.52676338,0.35449034,0.21496704,0.00002906,0.00000542,0.06789476,0.10766175,0.14374899
-3.52076038,0.36607733,0.22313709,0.00003623,0.00000665,0.07166219,0.11232301,0.14598444
-3.51475738,0.37721086,0.23095802,0.00004500,0.00000820,0.07518674,0.11667258,0.14807499
-3.50875438,0.38799647,0.23845060,0.00005561,0.00001008,0.07841787,0.12067575,0.15012928
-3.50275138,0.39857949,0.24565908,0.00006828,0.00001235,0.08131127,0.12430848,0.15227234
-3.49674837,0.40914267,0.25265098,0.00008330,0.00001504,0.08383039,0.12755845,0.15464272
-3.49074537,0.41990212,0.25951595,0.00010092,0.00001820,0.08594773,0.13042574,0.15738892
-3.48474237,0.43110162,0.26636346,0.00012141,0.00002189,0.08764584,0.13292301,0.16066522
-3.47873937,0.44300493,0.27331947,0.00014503,0.00002614,0.08891792,0.13507522,0.16462686
-3.47273637,0.45588645,0.28052183,0.00017201,0.00003100,0.08976798,0.13691865,0.16942474
-3.46673337,0.47002011,0.28811459,0.00020255,0.00003650,0.09021061,0.13849945,0.17519975
-3.46073037,0.48566697,0.29624139,0.00023680,0.00004267,0.09027021,0.13987154,0.18207675
-3.45472736,0.50306173,0.30503795,0.00027486,0.00004953,0.08997983,0.14109404,0.19015855
-3.44872436,0.52239875,0.31462417,0.00031675,0.00005707,0.08937962,0.14222830,0.19951992
-3.44272136,0.54381808,0.32509599,0.00036240,0.00006530,0.08851497,0.14333467,0.21020206
