energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.15691890,0.00917938,1.80494710,0.08956377,0.05076102,1.23313485,2.55892072,1.81103600
-5.99399700,5.22604357,0.00910982,1.82979344,0.09177278,0.05034477,1.24804204,2.59656120,1.83906892
-5.98799400,5.28350813,0.00901801,1.84953166,0.09403250,0.04982194,1.26132276,2.62673361,1.86252288
-5.98199100,5.32829748,0.00890325,1.86379992,0.09629519,0.04919999,1.27276826,2.64899383,1.88093037
-5.97598799,5.35955219,0.00876532,1.87230261,0.09851236,0.04848725,1.28219088,2.66300389,1.89388718
-5.96998499,5.37659540,0.00860454,1.87481944,0.10063640,0.04769274,1.28943048,2.66854081,1.90106600
-5.96398199,5.37895479,0.00842170,1.87121242,0.10262204,0.04682600,1.29436017,2.66550245,1.90222806
-5.95797899,5.36637925,0.00821814,1.86143077,0.10442784,0.04589686,1.29689139,2.65391014,1.89723240
-5.95197599,5.33884984,0.00799561,1.84551351,0.10601754,0.04491528,1.29697806,2.63390826,1.88604253
-5.94597299,5.29658516,0.00775627,1.82358981,0.10736114,0.04389118,1.29461979,2.60576095,1.86873032
-5.93996998,5.24004096,0.00750266,1.79587711,0.10843587,0.04283429,1.28986420,2.56984614,1.84547692
-5.93396698,5.16990444,0.00723754,1.76267719,0.10922687,0.04175402,1.28280815,2.52664719,1.81657091
-5.92796398,5.08708359,0.00696389,1.72437044,0.10972764,0.04065940,1.27359798,2.47674268,1.78240349
-5.92196098,4.99269185,0.00668480,1.68140834,0.10994022,0.03955903,1.26242866,2.42079456,1.74346125
-5.91595798,4.88802875,0.00640341,1.63430461,0.10987517,0.03846107,1.24954195,2.35953506,1.70031630
-5.90995498,4.77455690,0.00612280,1.58362511,0.10955118,0.03737329,1.23522353,2.29375278,1.65361439
-5.90395198,4.65387585,0.00584595,1.52997685,0.10899461,0.03630311,1.21979903,2.22427821,1.60406121
-5.89794897,4.52769329,0.00557571,1.47399620,0.10823877,0.03525772,1.20362920,2.15196897,1.55240706
-5.89194597,4.39779421,0.00531470,1.41633667,0.10732299,0.03424412,1.18710407,2.07769503,1.49943060
-5.88594297,4.26600829,0.00506531,1.35765645,0.10629165,0.03326927,1.17063621,2.00232410,1.44592176
-5.87993997,4.13417628,0.00482969,1.29860587,0.10519301,0.03234017,1.15465327,1.92670739,1.39266440
-5.87393697,4.00411578,0.00460970,1.23981517,0.10407808,0.03146390,1.13958979,1.85166596,1.34041915
-5.86793397,3.87758716,0.00440697,1.18188270,0.10299936,0.03064773,1.12587847,1.77797777,1.28990676
-5.86193097,3.75626011,0.00422285,1.12536387,0.10200962,0.02989907,1.11394112,1.70636580,1.24179249
-5.85592796,3.64168180,0.00405849,1.07076114,0.10116070,0.02922548,1.10417936,1.63748715,1.19667192
-5.84992496,3.53524717,0.00391483,1.01851528,0.10050230,0.02863462,1.09696541,1.57192372,1.15505858
-5.84392196,3.43817228,0.00379264,0.96899814,0.10008087,0.02813409,1.09263317,1.51017441,1.11737382
-5.83791896,3.35147154,0.00369254,0.92250725,0.09993860,0.02773134,1.09146983,1.45264916,1.08393904
-5.83191596,3.27593945,0.00361506,0.87926243,0.10011238,0.02743344,1.09370829,1.39966516,1.05497084
-5.82591296,3.21213759,0.00356066,0.83940446,0.10063302,0.02724692,1.09952069,1.35144517,1.03057894
-5.81990995,3.16038744,0.00352975,0.80299609,0.10152448,0.02717751,1.10901322,1.30811832,1.01076719
-5.81390695,3.12076936,0.00352271,0.77002526,0.10280325,0.02722993,1.12222248,1.26972323,0.99543755
-5.80790395,3.09312793,0.00353994,0.74041047,0.10447795,0.02740768,1.13911355,1.23621363,0.98439687
-5.80190095,3.07708367,0.00358182,0.71400829,0.10654902,0.02771278,1.15957994,1.20746619,0.97736634
-5.79589795,3.07205084,0.00364876,0.69062249,0.10900868,0.02814566,1.18344544,1.18329036,0.97399335
-5.78989495,3.07726077,0.00374117,0.67001477,0.11184102,0.02870497,1.21046792,1.16344007,0.97386506
-5.78389195,3.09179016,0.00385946,0.65191641,0.11502236,0.02938747,1.24034500,1.14762669,0.97652361
-5.77788894,3.11459322,0.00400402,0.63604063,0.11852182,0.03018802,1.27272151,1.13553291,0.98148204
-5.77188594,3.14453682,0.00417518,0.62209501,0.12230212,0.03109959,1.30719855,1.12682697,0.98824069
-5.76588294,3.18043719,0.00437323,0.60979353,0.12632059,0.03211329,1.34334378,1.12117675,0.99630324
-5.75987994,3.22109719,0.00459833,0.59886783,0.13053041,0.03321856,1.38070287,1.11826317,1.00519207
-5.75387694,3.26534274,0.00485052,0.58907717,0.13488198,0.03440332,1.41881154,1.11779237,1.01446228
-5.74787394,3.31205721,0.00512966,0.58021682,0.13932442,0.03565425,1.45720796,1.11950627,1.02371402
-5.74187094,3.36021277,0.00543543,0.57212447,0.14380722,0.03695708,1.49544507,1.12319110,1.03260276
-5.73586793,3.40889762,0.00576725,0.56468467,0.14828188,0.03829694,1.53310242,1.12868364,1.04084722
-5.72986493,3.45733843,0.00612433,0.55783099,0.15270346,0.03965876,1.56979718,1.13587500,1.04823487
-5.72386193,3.50491726,0.00650559,0.55154605,0.15703210,0.04102764,1.60519391,1.14471186,1.05462485
-5.71785893,3.55118268,0.00690969,0.54585950,0.16123436,0.04238930,1.63901284,1.15519522,1.05994839
-5.71185593,3.59585490,0.00733504,0.54084409,0.16528427,0.04373049,1.67103630,1.16737676,1.06420693
-5.70585293,3.63882489,0.00777976,0.53661009,0.16916419,0.04503936,1.70111318,1.18135311,1.06746799
-5.69984992,3.68014779,0.00824178,0.53329843,0.17286522,0.04630585,1.72916118,1.19725824,1.06985914
-5.69384692,3.72003086,0.00871881,0.53107277,0.17638734,0.04752197,1.75516687,1.21525440,1.07156037
-5.68784392,3.75881677,0.00920839,0.53011096,0.17973912,0.04868206,1.77918339,1.23552188,1.07279515
-5.68184092,3.79696257,0.00970795,0.53059623,0.18293708,0.04978297,1.80132616,1.25824822,1.07382045
-5.67583792,3.83501537,0.01021481,0.53270836,0.18600470,0.05082411,1.82176634,1.28361697,1.07491624
-5.66983492,3.87358550,0.01072629,0.53661528,0.18897108,0.05180747,1.84072270,1.31179675,1.07637458
-5.66383192,3.91331786,0.01123966,0.54246518,0.19186943,0.05273748,1.85845178,1.34293066,1.07848872
-5.65782891,3.95486269,0.01175224,0.55037963,0.19473527,0.05362079,1.87523693,1.37712667,1.08154252
-5.65182591,3.99884635,0.01226141,0.56044758,0.19760459,0.05446598,1.89137646,1.41444907,1.08580037
-5.64582291,4.04584320,0.01276460,0.57272071,0.20051195,0.05528315,1.90717140,1.45491148,1.09149783
-5.63981991,4.09634928,0.01325933,0.58720996,0.20348869,0.05608346,1.92291315,1.49847136,1.09883336
-5.63381691,4.15075873,0.01374318,0.60388345,0.20656116,0.05687858,1.93887150,1.54502650,1.10796115
-5.62781391,4.20934340,0.01421381,0.62266583,0.20974930,0.05768013,1.95528344,1.59441333,1.11898526
-5.62181091,4.27223659,0.01466891,0.64343892,0.21306537,0.05849914,1.97234302,1.64640732,1.13195529
-5.61580790,4.33942103,0.01510620,0.66604370,0.21651302,0.05934542,1.99019266,1.70072540,1.14686358
-5.60980490,4.41072186,0.01552343,0.69028364,0.22008675,0.06022711,2.00891619,1.75703036,1.16364411
