energy_ev,total_up,Au_p_up,Au_d_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up
-6.00000000,0.75696245,0.34547314,0.36899434,0.18743745,0.00392725,0.04765514,0.00000000
-5.99399700,0.73971235,0.34069639,0.36039220,0.18164928,0.00402737,0.04758132,0.00000000
-5.98799400,0.72309720,0.33702710,0.35225358,0.17599454,0.00411845,0.04762343,0.00000000
-5.98199100,0.70724056,0.33467545,0.34462577,0.17051008,0.00419751,0.04781410,0.00000000
-5.97598799,0.69230762,0.33387048,0.33758201,0.16523589,0.00426208,0.04819120,0.00000000
-5.96998499,0.67850466,0.33485780,0.33122063,0.16021551,0.00431026,0.04879710,0.00000000
-5.96398199,0.66607660,0.33789587,0.32566322,0.15549617,0.00434081,0.04967780,0.00000000
-5.95797899,0.65530246,0.34325080,0.32105165,0.15112857,0.00435313,0.05088181,0.00000000
-5.95197599,0.64648899,0.35118959,0.31754407,0.14716637,0.00434730,0.05245880,0.00000000
-5.94597299,0.63996223,0.36197177,0.31530994,0.14366520,0.00432406,0.05445798,0.00000000
-5.93996998,0.63605742,0.37583973,0.31452417,0.14068139,0.00428476,0.05692646,0.00000000
-5.93396698,0.63510736,0.39300787,0.31536062,0.13827029,0.00423133,0.05990726,0.00000000
-5.92796398,0.63742989,0.41365096,0.31798514,0.13648440,0.00416617,0.06343750,0.00000000
-5.92196098,0.64331465,0.43789221,0.32254841,0.13537123,0.00409210,0.06754636,0.00000000
-5.91595798,0.65301003,0.46579156,0.32917896,0.13497113,0.00401221,0.07225329,0.00000000
-5.90995498,0.66671075,0.49733485,0.33797655,0.13531516,0.00392980,0.07756629,0.00000000
-5.90395198,0.68454678,0.53242454,0.34900643,0.13642313,0.00384825,0.08348057,0.00000000
-5.89794897,0.70657429,0.57087263,0.36229462,0.13830195,0.00377090,0.08997742,0.00000000
-5.89194597,0.73276912,0.61239643,0.37782461,0.14094445,0.00370098,0.09702364,0.00000000
-5.88594297,0.76302342,0.65661770,0.39553567,0.14432870,0.00364150,0.10457148,0.00000000
-5.87993997,0.79714557,0.70306554,0.41532290,0.14841798,0.00359520,0.11255905,0.00000000
-5.87393697,0.83486376,0.75118340,0.43703915,0.15316146,0.00356446,0.12091140,0.00000000
-5.86793397,0.87583308,0.80034007,0.46049867,0.15849550,0.00355130,0.12954217,0.00000000
-5.86193097,0.91964595,0.84984461,0.48548255,0.16434567,0.00355732,0.13835573,0.00000000
-5.85592796,0.96584542,0.89896479,0.51174540,0.17062934,0.00358371,0.14724991,0.00000000
-5.84992496,1.01394071,0.94694837,0.53902334,0.17725870,0.00363126,0.15611894,0.00000000
-5.84392196,1.06342428,0.99304639,0.56704247,0.18414417,0.00370036,0.16485683,0.00000000
-5.83791896,1.11378940,1.03653762,0.59552778,0.19119791,0.00379104,0.17336073,0.00000000
-5.83191596,1.16454752,1.07675288,0.62421170,0.19833732,0.00390298,0.18153429,0.00000000
-5.82591296,1.21524421,1.11309831,0.65284201,0.20548828,0.00403556,0.18929086,0.00000000
-5.81990995,1.26547302,1.14507624,0.68118865,0.21258801,0.00418788,0.19655625,0.00000000
