energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.19696573,0.00497141,0.50118152,0.30134184,3.05531838,1.50335028,0.02393759,0.77968414
-5.99399700,3.18297575,0.00504741,0.49258258,0.30639741,3.09469989,1.47941676,0.02484493,0.78452114
-5.98799400,3.17216660,0.00514366,0.48441301,0.31147985,3.13632765,1.45736842,0.02575225,0.78992524
-5.98199100,3.16469958,0.00525782,0.47675870,0.31649815,3.18012216,1.43736945,0.02665516,0.79589793
-5.97598799,3.16064236,0.00538724,0.46968254,0.32137365,3.22589072,1.41953500,0.02754917,0.80243205
-5.96998499,3.15996262,0.00552902,0.46322110,0.32604330,3.27332685,1.40392490,0.02842985,0.80951251
-5.96398199,3.16252490,0.00568011,0.45738242,0.33046204,3.32201302,1.39053958,0.02929285,0.81711677
-5.95797899,3.16809061,0.00583740,0.45214530,0.33460407,3.37142629,1.37931827,0.03013396,0.82521500
-5.95197599,3.17632107,0.00599776,0.44745979,0.33846285,3.42094674,1.37013950,0.03094912,0.83376967
-5.94597299,3.18678335,0.00615813,0.44324911,0.34205005,3.46986823,1.36282384,0.03173446,0.84273489
-5.93996998,3.19895861,0.00631556,0.43941264,0.34539316,3.51741128,1.35713862,0.03248628,0.85205510
-5.93396698,3.21225279,0.00646727,0.43582989,0.34853225,3.56273790,1.35280456,0.03320101,0.86166372
-5.92796398,3.22600934,0.00661067,0.43236529,0.35151583,3.60496809,1.34950391,0.03387521,0.87148146
-5.92196098,3.23952382,0.00674341,0.42887357,0.35439616,3.64319788,1.34688996,0.03450554,0.88141492
-5.91595798,3.25206017,0.00686341,0.42520535,0.35722438,3.67651879,1.34459751,0.03508873,0.89135542
-5.90995498,3.26286850,0.00696885,0.42121296,0.36004566,3.70403851,1.34225410,0.03562157,0.90117853
-5.90395198,3.27120409,0.00705823,0.41675599,0.36289477,3.72490247,1.33949167,0.03610094,0.91074435
-5.89794897,3.27634731,0.00713036,0.41170652,0.36579235,3.73831608,1.33595830,0.03652384,0.91989884
-5.89194597,3.27762411,0.00718438,0.40595389,0.36874211,3.74356694,1.33132977,0.03688749,0.92847624
-5.88594297,3.27442642,0.00721976,0.39940860,0.37172913,3.74004669,1.32532052,0.03718939,0.93630260
-5.87993997,3.26623203,0.00723631,0.39200548,0.37471943,3.72727145,1.31769374,0.03742744,0.94320035
-5.87393697,3.25262298,0.00723417,0.38370591,0.37766074,3.70490032,1.30827011,0.03760012,0.94899370
-5.86793397,3.23330179,0.00721384,0.37449901,0.38048451,3.67275083,1.29693503,0.03770660,0.95351463
-5.86193097,3.20810474,0.00717611,0.36440181,0.38310885,3.63081063,1.28364379,0.03774690,0.95660918
-5.85592796,3.17701119,0.00712212,0.35345849,0.38544243,3.57924453,1.26842452,0.03772196,0.95814350
-5.84992496,3.14014847,0.00705326,0.34173853,0.38738885,3.51839638,1.25137869,0.03763382,0.95800948
-5.84392196,3.09779164,0.00697120,0.32933419,0.38885130,3.44878520,1.23267901,0.03748560,0.95612940
-5.83791896,3.05035783,0.00687781,0.31635710,0.38973721,3.37109556,1.21256461,0.03728149,0.95245945
-5.83191596,2.99839519,0.00677517,0.30293434,0.38996256,3.28616225,1.19133373,0.03702676,0.94699161
-5.82591296,2.94256645,0.00666546,0.28920410,0.38945566,3.19494970,1.16933396,0.03672758,0.93975407
-5.81990995,2.88362796,0.00655098,0.27531107,0.38816008,3.09852694,1.14695048,0.03639084,0.93080987
-5.81390695,2.82240466,0.00643402,0.26140178,0.38603676,2.99803906,1.12459269,0.03602396,0.92025396
-5.80790395,2.75976240,0.00631691,0.24762013,0.38306507,2.89467646,1.10267971,0.03563455,0.90820884
-5.80190095,2.69657858,0.00620187,0.23410315,0.37924293,2.78964324,1.08162544,0.03523017,0.89481910
-5.79589795,2.63371267,0.00609105,0.22097728,0.37458603,2.68412604,1.06182379,0.03481797,0.88024516
-5.78989495,2.57197797,0.00598646,0.20835517,0.36912625,2.57926499,1.04363474,0.03440438,0.86465663
-5.78389195,2.51211596,0.00588991,0.19633330,0.36290947,2.47612778,1.02737180,0.03399484,0.84822577
-5.77788894,2.45477449,0.00580306,0.18499022,0.35599306,2.37568806,1.01329157,0.03359352,0.83112133
-5.77188594,2.40049085,0.00572735,0.17438566,0.34844303,2.27880906,1.00158564,0.03320318,0.81350330
-5.76588294,2.34968041,0.00566401,0.16456047,0.34033140,2.18623282,0.99237547,0.03282501,0.79551875
-5.75987994,2.30263136,0.00561405,0.15553729,0.33173358,2.09857536,0.98571017,0.03245859,0.77729894
-5.75387694,2.25950567,0.00557828,0.14732186,0.32272624,2.01632772,0.98156747,0.03210200,0.75895795
-5.74787394,2.22034595,0.00555730,0.13990508,0.31338560,1.93986230,0.97985769,0.03175188,0.74059270
-5.74187094,2.18508791,0.00555150,0.13326551,0.30378624,1.86944407,0.98043050,0.03140370,0.72228434
-5.73586793,2.15357745,0.00556107,0.12737216,0.29400051,1.80524562,0.98308421,0.03105201,0.70410081
-5.72986493,2.12559157,0.00558599,0.12218770,0.28409841,1.74736507,0.98757703,0.03069080,0.68610039
-5.72386193,2.10086184,0.00562603,0.11767165,0.27414792,1.69584578,0.99363993,0.03031391,0.66833582
-5.71785893,2.07909938,0.00568076,0.11378355,0.26421572,1.65069674,1.00099036,0.02991539,0.65085888
-5.71185593,2.06001997,0.00574949,0.11048600,0.25436810,1.61191237,1.00934639,0.02948996,0.63372489
-5.70585293,2.04336817,0.00583132,0.10774734,0.24467200,1.57949101,1.01844062,0.02903334,0.61699701
-5.69984992,2.02893946,0.00592509,0.10554404,0.23519601,1.55345087,1.02803325,0.02854270,0.60074998
-5.69384692,2.01659915,0.00602937,0.10386243,0.22601123,1.53384291,1.03792384,0.02801686,0.58507313
-5.68784392,2.00629755,0.00614251,0.10270000,0.21719188,1.52075986,1.04796132,0.02745660,0.57007238
-5.68184092,1.99808056,0.00626257,0.10206600,0.20881554,1.51434114,1.05805173,0.02686480,0.55587131
-5.67583792,1.99209526,0.00638744,0.10198135,0.20096308,1.51477315,1.06816350,0.02624647,0.54261103
-5.66983492,1.98859028,0.00651480,0.10247798,0.19371809,1.52228503,1.07833002,0.02560877,0.53044893
-5.66383192,1.98791085,0.00664223,0.10359741,0.18716593,1.53713984,1.08864928,0.02496086,0.51955634
-5.65782891,1.99048850,0.00676723,0.10538877,0.18139235,1.55962140,1.09928057,0.02431372,0.51011517
-5.65182591,1.99682594,0.00688736,0.10790631,0.17648179,1.59001714,1.11043843,0.02367980,0.50231356
-5.64582291,2.00747726,0.00700027,0.11120634,0.17251531,1.62859756,1.12238371,0.02307273,0.49634077
-5.63981991,2.02302432,0.00710387,0.11534397,0.16956840,1.67559289,1.13541234,0.02250683,0.49238136
-5.63381691,2.04404997,0.00719636,0.12036947,0.16770857,1.73116777,1.14984186,0.02199667,0.49060894
-5.62781391,2.07110904,0.00727639,0.12632473,0.16699293,1.79539512,1.16599640,0.02155652,0.49117949
-5.62181091,2.10469814,0.00734309,0.13323966,0.16746590,1.86823000,1.18419046,0.02119988,0.49422478
-5.61580790,2.14522559,0.00739619,0.14112890,0.16915701,1.94948487,1.20471233,0.02093893,0.49984575
-5.60980490,2.19298248,0.00743603,0.14998898,0.17207904,2.03880745,1.22780763,0.02078403,0.50810641
-5.60380190,2.24811646,0.00746358,0.15979591,0.17622650,2.13566247,1.25366380,0.02074333,0.51902828
-5.59779890,2.31060927,0.00748045,0.17050362,0.18157459,2.23931844,1.28239634,0.02082230,0.53258585
-5.59179590,2.38025952,0.00748884,0.18204309,0.18807863,2.34884083,1.31403734,0.02102350,0.54870311
-5.58579290,2.45667159,0.00749143,0.19432244,0.19567413,2.46309224,1.34852715,0.02134633,0.56725149
-5.57978989,2.53925165,0.00749133,0.20722789,0.20427740,2.58074069,1.38570955,0.02178691,0.58804945
-5.57378689,2.62721146,0.00749191,0.22062575,0.21378677,2.70027609,1.42533097,0.02233811,0.61086372
-5.56778389,2.71958015,0.00749665,0.23436519,0.22408443,2.82003511,1.46704389,0.02298965,0.63541247
-5.56178089,2.81522396,0.00750898,0.24828193,0.23503864,2.93823400,1.51041448,0.02372832,0.66137022
-5.55577789,2.91287347,0.00753211,0.26220256,0.24650655,3.05300861,1.55493432,0.02453836,0.68837461
-5.54977489,3.01115738,0.00756886,0.27594933,0.25833722,3.16246040,1.60003564,0.02540187,0.71603468
-5.54377189,3.10864164,0.00762150,0.28934534,0.27037487,3.26470683,1.64510960,0.02629936,0.74394051
-5.53776888,3.20387219,0.00769158,0.30221976,0.28246219,3.35793423,1.68952675,0.02721033,0.77167383
-5.53176588,3.29541962,0.00777989,0.31441293,0.29444358,3.44045104,1.73265857,0.02811389,0.79881922
-5.52576288,3.38192355,0.00788631,0.32578108,0.30616817,3.51073924,1.77389923,0.02898947,0.82497538
-5.51975988,3.46213474,0.00800981,0.33620050,0.31749249,3.56750151,1.81268626,0.02981738,0.84976601
-5.51375688,3.53495280,0.00814843,0.34557090,0.32828272,3.60970222,1.84851927,0.03057947,0.87284979
-5.50775388,3.59945789,0.00829933,0.35381783,0.33841639,3.63660016,1.88097556,0.03125966,0.89392908
-5.50175088,3.65493456,0.00845887,0.36089416,0.34778357,3.64777158,1.90972198,0.03184439,0.91275678
