energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.82298991,0.01549722,0.17069171,0.47710018,0.18865324,0.01779465,0.89749324
-5.99399700,1.84924618,0.01610095,0.17402501,0.48685631,0.19162131,0.01775595,0.91004527
-5.98799400,1.87730212,0.01664880,0.17717927,0.49697481,0.19475813,0.01778880,0.92398693
-5.98199100,1.90566324,0.01712808,0.18004567,0.50703501,0.19791979,0.01787778,0.93853406
-5.97598799,1.93284027,0.01752747,0.18252871,0.51661366,0.20096501,0.01800638,0.95288547
-5.96998499,1.95740930,0.01783744,0.18455071,0.52530103,0.20376122,0.01815782,0.96625425
-5.96398199,1.97806894,0.01805062,0.18605569,0.53271650,0.20619016,0.01831573,0.97789831
-5.95797899,1.99369195,0.01816201,0.18701231,0.53852297,0.20815291,0.01846494,0.98714869
-5.95197599,2.00336931,0.01816928,0.18741582,0.54243944,0.20957401,0.01859209,0.99343473
-5.94597299,2.00644488,0.01807276,0.18728884,0.54425129,0.21040456,0.01868628,0.99630500
-5.93996998,2.00253937,0.01787552,0.18668106,0.54381791,0.21062420,0.01873955,0.99544316
-5.93396698,1.99156300,0.01758322,0.18566770,0.54107740,0.21024181,0.01874731,0.99067833
-5.92796398,1.97371621,0.01720395,0.18434693,0.53604813,0.20929506,0.01870856,0.98198969
-5.92196098,1.94947920,0.01674795,0.18283639,0.52882732,0.20784871,0.01862607,0.96950509
-5.91595798,1.91959056,0.01622724,0.18126884,0.51958669,0.20599189,0.01850634,0.95349418
-5.90995498,1.88501662,0.01565525,0.17978729,0.50856543,0.20383443,0.01835943,0.93435628
-5.90395198,1.84691286,0.01504640,0.17853978,0.49606104,0.20150242,0.01819869,0.91260383
-5.89794897,1.80657929,0.01441562,0.17767398,0.48241826,0.19913328,0.01804034,0.88884215
-5.89194597,1.76541191,0.01377791,0.17733192,0.46801682,0.19687051,0.01790287,0.86374647
-5.88594297,1.72485226,0.01314795,0.17764505,0.45325851,0.19485833,0.01780646,0.83803734
-5.87993997,1.68633723,0.01253966,0.17872976,0.43855406,0.19323653,0.01777220,0.81245536
-5.87393697,1.65125091,0.01196590,0.18068355,0.42431043,0.19213557,0.01782130,0.78773623
-5.86793397,1.62088043,0.01143820,0.18358203,0.41091896,0.19167233,0.01797430,0.76458720
-5.86193097,1.59637700,0.01096647,0.18747670,0.39874481,0.19194642,0.01825017,0.74366549
-5.85592796,1.57872348,0.01055896,0.19239368,0.38811799,0.19303728,0.01866553,0.72555960
-5.84992496,1.56870920,0.01022206,0.19833323,0.37932619,0.19500222,0.01923387,0.71077383
-5.84392196,1.56691237,0.00996037,0.20527026,0.37260959,0.19787513,0.01996482,0.69971645
-5.83791896,1.57369044,0.00977669,0.21315548,0.36815766,0.20166625,0.02086353,0.69269171
-5.83191596,1.58917789,0.00967209,0.22191731,0.36610779,0.20636257,0.02193021,0.68989561
-5.82591296,1.61329130,0.00964607,0.23146437,0.36654585,0.21192905,0.02315979,0.69141536
-5.81990995,1.64574082,0.00969665,0.24168846,0.36950821,0.21831050,0.02454171,0.69723229
-5.81390695,1.68604731,0.00982059,0.25246781,0.37498515,0.22543388,0.02605993,0.70722778
