energy_ev,total_up,Hf_p_up,Hf_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,0.97193384,0.23130216,0.33784898,0.11635508,0.00000000,0.48277933,0.00000000
-5.99399700,1.00230949,0.23547140,0.33742875,0.10935194,0.00000000,0.50878248,0.00000000
-5.98799400,1.03536092,0.24035737,0.33815980,0.10312177,0.00000000,0.53567793,0.00000000
-5.98199100,1.07036947,0.24580300,0.33990305,0.09765310,0.00000000,0.56302783,0.00000000
-5.97598799,1.10656285,0.25164345,0.34249567,0.09292971,0.00000000,0.59036727,0.00000000
-5.96998499,1.14313008,0.25770930,0.34575373,0.08892944,0.00000000,0.61721476,0.00000000
-5.96398199,1.17923953,0.26383028,0.34947615,0.08562338,0.00000000,0.64308414,0.00000000
-5.95797899,1.21405915,0.26983938,0.35344968,0.08297551,0.00000000,0.66749745,0.00000000
-5.95197599,1.24677803,0.27557713,0.35745461,0.08094275,0.00000000,0.68999808,0.00000000
-5.94597299,1.27662817,0.28089582,0.36127106,0.07947529,0.00000000,0.71016374,0.00000000
-5.93996998,1.30290529,0.28566334,0.36468527,0.07851731,0.00000000,0.72761846,0.00000000
-5.93396698,1.32498773,0.28976651,0.36749577,0.07800789,0.00000000,0.74204317,0.00000000
-5.92796398,1.34235251,0.29311367,0.36951906,0.07788210,0.00000000,0.75318424,0.00000000
-5.92196098,1.35458770,0.29563637,0.37059445,0.07807223,0.00000000,0.76085976,0.00000000
-5.91595798,1.36140078,0.29729011,0.37058805,0.07850907,0.00000000,0.76496307,0.00000000
-5.90995498,1.36262249,0.29805410,0.36939559,0.07912317,0.00000000,0.76546363,0.00000000
-5.90395198,1.35820638,0.29793009,0.36694408,0.07984617,0.00000000,0.76240523,0.00000000
-5.89794897,1.34822405,0.29694031,0.36319238,0.08061201,0.00000000,0.75590158,0.00000000
-5.89194597,1.33285685,0.29512482,0.35813060,0.08135802,0.00000000,0.74612981,0.00000000
-5.88594297,1.31238432,0.29253825,0.35177857,0.08202607,0.00000000,0.73332219,0.00000000
-5.87993997,1.28717047,0.28924629,0.34418347,0.08256342,0.00000000,0.71775653,0.00000000
-5.87393697,1.25764844,0.28532217,0.33541684,0.08292361,0.00000000,0.69974586,0.00000000
-5.86793397,1.22430469,0.28084318,0.32557115,0.08306711,0.00000000,0.67962798,0.00000000
-5.86193097,1.18766324,0.27588758,0.31475611,0.08296195,0.00000000,0.65775523,0.00000000
-5.85592796,1.14827089,0.27053202,0.30309489,0.08258404,0.00000000,0.63448509,0.00000000
-5.84992496,1.10668393,0.26484953,0.29072051,0.08191755,0.00000000,0.61017194,0.00000000
-5.84392196,1.06345679,0.25890824,0.27777233,0.08095495,0.00000000,0.58516012,0.00000000
-5.83791896,1.01913287,0.25277077,0.26439297,0.07969703,0.00000000,0.55977870,0.00000000
-5.83191596,0.97423774,0.24649436,0.25072555,0.07815272,0.00000000,0.53433773,0.00000000
-5.82591296,0.92927451,0.24013157,0.23691133,0.07633877,0.00000000,0.50912611,0.00000000
-5.81990995,0.88472127,0.23373147,0.22308785,0.07427934,0.00000000,0.48441081,0.00000000
