energy_ev,total_up,Ag_p_up,Ag_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.61797259,0.69524108,2.14597013,0.69980122,0.34569670,0.00411508,0.46031243,0.05231373,1.57259591
-5.99399700,5.71063246,0.71185702,2.18331045,0.72031672,0.35268637,0.00425831,0.46282392,0.05256529,1.60954467
-5.98799400,5.79982914,0.72759369,2.21936694,0.74069182,0.35938896,0.00440321,0.46492649,0.05285539,1.64588137
-5.98199100,5.88535949,0.74233626,2.25416028,0.76072444,0.36576896,0.00454824,0.46665334,0.05318987,1.68139583
-5.97598799,5.96700603,0.75597599,2.28770255,0.78019664,0.37180029,0.00469241,0.46803199,0.05357446,1.71587869
-5.96998499,6.04455912,0.76841546,2.32000365,0.79888124,0.37746749,0.00483521,0.46908581,0.05401479,1.74912950
-5.96398199,6.11784376,0.77957403,2.35107944,0.81654953,0.38276666,0.00497662,0.46983617,0.05451648,1.78096597
-5.95797899,6.18674843,0.78939289,2.38096062,0.83297963,0.38770639,0.00511709,0.47030497,0.05508529,1.81123341
-5.95197599,6.25125316,0.79783953,2.40970159,0.84796490,0.39230818,0.00525753,0.47051727,0.05572741,1.83981364
-5.94597299,6.31145425,0.80491108,2.43738845,0.86132191,0.39660648,0.00539923,0.47050387,0.05644965,1.86663256
-5.93996998,6.36758313,0.81063632,2.46414550,0.87289752,0.40064806,0.00554388,0.47030341,0.05725969,1.89166565
-5.93396698,6.42001771,0.81507607,2.49013953,0.88257462,0.40449079,0.00569347,0.46996397,0.05816623,1.91494091
-5.92796398,6.46928488,0.81832194,2.51558187,0.89027629,0.40820177,0.00585029,0.46954397,0.05917908,1.93653897
-5.92196098,6.51605372,0.82049340,2.54072778,0.89596820,0.41185477,0.00601684,0.46911213,0.06030909,1.95659025
-5.91595798,6.56111997,0.82173338,2.56587356,0.89965913,0.41552727,0.00619579,0.46874673,0.06156800,1.97526939
-5.90995498,6.60538254,0.82220260,2.59135167,0.90139984,0.41929702,0.00638992,0.46853391,0.06296811,1.99278731
-5.90395198,6.64981411,0.82207308,2.61752432,0.90128040,0.42323842,0.00660203,0.46856538,0.06452187,2.00938159
-5.89794897,6.69542778,0.82152114,2.64477622,0.89942632,0.42741888,0.00683491,0.46893548,0.06624123,2.02530580
-5.89194597,6.74324237,0.82072049,2.67350722,0.89599379,0.43189542,0.00709122,0.46973790,0.06813703,2.04081866
-5.88594297,6.79424885,0.81983576,2.70412534,0.89116457,0.43671160,0.00737346,0.47106224,0.07021822,2.05617390
-5.87993997,6.84938044,0.81901704,2.73704089,0.88514074,0.44189516,0.00768389,0.47299063,0.07249112,2.07161153
-5.87393697,6.90948809,0.81839567,2.77266198,0.87813979,0.44745630,0.00802445,0.47559458,0.07495859,2.08735114
-5.86793397,6.97532312,0.81808162,2.81139160,0.87039025,0.45338694,0.00839670,0.47893227,0.07761936,2.10358777
-5.86193097,7.04752755,0.81816262,2.85362618,0.86212809,0.45966090,0.00880178,0.48304646,0.08046742,2.12049051
-5.85592796,7.12663236,0.81870503,2.89975548,0.85359395,0.46623494,0.00924036,0.48796298,0.08349151,2.13820385
