energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,5.84468006,0.00433288,1.24147688,0.73074190,0.21070770,1.56311256,2.09611349,0.06678263,1.62792070
-5.99399700,5.95553593,0.00433632,1.28370038,0.76378467,0.21293088,1.62115762,2.16351983,0.06208704,1.63948261
-5.98799400,6.08455706,0.00433326,1.33048413,0.79710080,0.21620985,1.68572483,2.23791359,0.05771897,1.65499797
-5.98199100,6.22953773,0.00432270,1.38119024,0.83040585,0.22048254,1.75580770,2.31831188,0.05369156,1.67405688
-5.97598799,6.38772334,0.00430412,1.43502863,0.86340336,0.22565437,1.83023953,2.40348665,0.05000999,1.69614784
-5.96998499,6.55586373,0.00427751,1.49107162,0.89578796,0.23159997,1.90771647,2.49198615,0.04667209,1.72066814
-5.96398199,6.73028543,0.00424342,1.54827390,0.92724904,0.23816607,1.98682691,2.58216501,0.04366922,1.74693749
-5.95797899,6.90698154,0.00420294,1.60549778,0.95747495,0.24517554,2.06608677,2.67222244,0.04098731,1.77421453
-5.95197599,7.08171718,0.00415767,1.66154306,0.98615783,0.25243228,2.14397970,2.76024805,0.03860797,1.80171583
-5.94597299,7.25014776,0.00410969,1.71518084,1.01299903,0.25972698,2.21900091,2.84427406,0.03650965,1.82863691
-5.93996998,7.40794672,0.00406148,1.76519014,1.03771504,0.26684349,2.28970333,2.92233252,0.03466882,1.85417475
-5.93396698,7.55093828,0.00401592,1.81039621,1.06004393,0.27356561,2.35474398,2.99251571,0.03306104,1.87755094
-5.92796398,7.67523074,0.00397610,1.84970900,1.07975182,0.27968401,2.41292885,3.05303768,0.03166201,1.89803490
-5.92196098,7.77734510,0.00394533,1.88216040,1.09663940,0.28500304,2.46325420,3.10229453,0.03044840,1.91496611
-5.91595798,7.85433369,0.00392700,1.90693855,1.11054799,0.28934727,2.50494214,3.13892096,0.02939865,1.92777473
-5.90995498,7.90388375,0.00392447,1.92341773,1.12136487,0.29256726,2.53746884,3.16184074,0.02849352,1.93599960
-5.90395198,7.92440103,0.00394101,1.93118240,1.12902753,0.29454462,2.56058369,3.17030864,0.02771650,1.93930280
-5.89794897,7.91506930,0.00397967,1.93004415,1.13352641,0.29519589,2.57431815,3.16394172,0.02705406,1.93748023
-5.89194597,7.87588262,0.00404322,1.92005064,1.13490600,0.29447530,2.57898370,3.14273846,0.02649572,1.93046752
-5.88594297,7.80764802,0.00413406,1.90148587,1.13326397,0.29237605,2.57515845,3.10708429,0.02603405,1.91834093
-5.87993997,7.71195823,0.00425417,1.87486163,1.12874835,0.28893033,2.56366302,3.05774311,0.02566444,1.90131318
