energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.39614396,0.00552164,0.47545064,0.00471163,1.12219727,0.54311643,0.29005019,0.45254400,0.51212638
-5.99399700,2.46673742,0.00550336,0.49010136,0.00444787,1.15522738,0.55882895,0.29825541,0.46690604,0.52776339
-5.98799400,2.53246894,0.00547239,0.50393894,0.00422343,1.18571565,0.57293831,0.30610148,0.47967902,0.54249010
-5.98199100,2.59233560,0.00543166,0.51680354,0.00403482,1.21315120,0.58519465,0.31346876,0.49068011,0.55613813
-5.97598799,2.64544876,0.00538439,0.52855060,0.00387851,1.23708525,0.59537782,0.32025469,0.49975010,0.56855713
-5.96998499,2.69105850,0.00533403,0.53905362,0.00375111,1.25714472,0.60330400,0.32637706,0.50675866,0.57961769
-5.96398199,2.72857347,0.00528415,0.54820642,0.00364944,1.27304334,0.60883143,0.33177635,0.51160903,0.58921360
-5.95797899,2.75757519,0.00523836,0.55592487,0.00357064,1.28458960,0.61186498,0.33641698,0.51424182,0.59726345
-5.95197599,2.77782640,0.00520027,0.56214803,0.00351222,1.29169120,0.61235922,0.34028755,0.51463786,0.60371148
-5.94597299,2.78927278,0.00517331,0.56683860,0.00347207,1.29435585,0.61031983,0.34339983,0.51281967,0.60852766
-5.93996998,2.79203818,0.00516070,0.56998288,0.00344844,1.29268811,0.60580337,0.34578682,0.50885170,0.61170712
-5.93396698,2.78641351,0.00516531,0.57158998,0.00343995,1.28688269,0.59891509,0.34749967,0.50283896,0.61326880
-5.92796398,2.77283972,0.00518959,0.57169053,0.00344546,1.27721425,0.58980521,0.34860387,0.49492435,0.61325350
-5.92196098,2.75188574,0.00523546,0.57033482,0.00346407,1.26402439,0.57866346,0.34917479,0.48528454,0.61172136
-5.91595798,2.72422252,0.00530422,0.56759043,0.00349497,1.24770636,0.56571243,0.34929276,0.47412473,0.60874892
-5.90995498,2.69059421,0.00539652,0.56353955,0.00353738,1.22868836,0.55119986,0.34903813,0.46167244,0.60442584
-5.90395198,2.65178823,0.00551226,0.55827593,0.00359049,1.20741614,0.53539026,0.34848636,0.44817066,0.59885142
-5.89794897,2.60860536,0.00565059,0.55190169,0.00365330,1.18433599,0.51855636,0.34770365,0.43387062,0.59213113
-5.89194597,2.56183158,0.00580991,0.54452413,0.00372465,1.15987881,0.50097075,0.34674311,0.41902464,0.58437321
-5.88594297,2.51221286,0.00598786,0.53625258,0.00380309,1.13444613,0.48289806,0.34564194,0.40387934,0.57568555
-5.87993997,2.46043418,0.00618142,0.52719546,0.00388691,1.10839881,0.46458814,0.34441964,0.38866944,0.56617299
-5.87393697,2.40710363,0.00638695,0.51745770,0.00397408,1.08204880,0.44627048,0.34307732,0.37361262,0.55593504
-5.86793397,2.35274228,0.00660035,0.50713864,0.00406234,1.05565445,0.42815010,0.34159833,0.35890544,0.54506424
-5.86193097,2.29778010,0.00681716,0.49633035,0.00414919,1.02941934,0.41040502,0.33994998,0.34472061,0.53364518
-5.85592796,2.24255788,0.00703275,0.48511661,0.00423195,1.00349470,0.39318544,0.33808645,0.33120558,0.52175409
-5.84992496,2.18733473,0.00724248,0.47357249,0.00430788,0.97798501,0.37661443,0.33595249,0.31848244,0.50945919
-5.84392196,2.13230048,0.00744190,0.46176447,0.00437427,0.95295629,0.36079008,0.33348791,0.30664905,0.49682148
-5.83791896,2.07759202,0.00762690,0.44975115,0.00442849,0.92844666,0.34578892,0.33063251,0.29578121,0.48389618
-5.83191596,2.02331235,0.00779392,0.43758442,0.00446818,0.90447816,0.33167018,0.32733113,0.28593559,0.47073450
-5.82591296,1.96955104,0.00794009,0.42531101,0.00449128,0.88106929,0.31848071,0.32353855,0.27715326,0.45738563
-5.81990995,1.91640478,0.00806333,0.41297428,0.00449616,0.85824729,0.30626023,0.31922399,0.26946342,0.44389894
-5.81390695,1.86399663,0.00816247,0.40061609,0.00448169,0.83605947,0.29504635,0.31437491,0.26288711,0.43032604
-5.80790395,1.81249275,0.00823729,0.38827871,0.00444729,0.81458298,0.28487939,0.30899983,0.25744062,0.41672271
-5.80190095,1.76211560,0.00828850,0.37600639,0.00439297,0.79393221,0.27580643,0.30313018,0.25313831,0.40315043
-5.79589795,1.71315271,0.00831774,0.36384677,0.00431936,0.77426367,0.26788441,0.29682085,0.24999475,0.38967745
-5.78989495,1.66596059,0.00832744,0.35185169,0.00422766,0.75577788,0.26118230,0.29014959,0.24802598,0.37637935
-5.78389195,1.62096344,0.00832076,0.34007762,0.00411962,0.73871827,0.25578202,0.28321521,0.24724987,0.36333888
-5.77788894,1.57864675,0.00830136,0.32858538,0.00399750,0.72336722,0.25177816,0.27613467,0.24768560,0.35064520
-5.77188594,1.53954624,0.00827329,0.31743930,0.00386394,0.71003935,0.24927661,0.26903932,0.24935234,0.33839248
-5.76588294,1.50423262,0.00824075,0.30670588,0.00372190,0.69907261,0.24839207,0.26207034,0.25226721,0.32667784
-5.75987994,1.47329319,0.00820788,0.29645184,0.00357455,0.69081759,0.24924474,0.25537379,0.25644281,0.31559890
-5.75387694,1.44731121,0.00817861,0.28674185,0.00342514,0.68562559,0.25195621,0.24909541,0.26188448,0.30525084
-5.74787394,1.42684416,0.00815647,0.27763593,0.00327688,0.68383619,0.25664499,0.24337552,0.26858747,0.29572337
-5.74187094,1.41240220,0.00814442,0.26918682,0.00313288,0.68576489,0.26342168,0.23834419,0.27653443,0.28709752
-5.73586793,1.40442775,0.00814475,0.26143737,0.00299598,0.69169141,0.27238422,0.23411696,0.28569319,0.27944266
-5.72986493,1.40327738,0.00815901,0.25441812,0.00286875,0.70184918,0.28361330,0.23079133,0.29601529,0.27281377
-5.72386193,1.40920689,0.00818797,0.24814542,0.00275333,0.71641650,0.29716819,0.22844401,0.30743511,0.26724917
-5.71785893,1.42236013,0.00823163,0.24261992,0.00265145,0.73550968,0.31308318,0.22712917,0.31987000,0.26276888
-5.71185593,1.44276211,0.00828927,0.23782587,0.00256438,0.75917830,0.33136463,0.22687761,0.33322108,0.25937361
-5.70585293,1.47031652,0.00835951,0.23373109,0.00249293,0.78740279,0.35198887,0.22769690,0.34737501,0.25704461
-5.69984992,1.50480764,0.00844047,0.23028773,0.00243744,0.82009402,0.37490080,0.22957230,0.36220638,0.25574418
-5.69384692,1.54590622,0.00852984,0.22743381,0.00239786,0.85709504,0.40001334,0.23246841,0.37758069,0.25541706
-5.68784392,1.59317898,0.00862504,0.22509548,0.00237377,0.89818441,0.42720752,0.23633141,0.39335771,0.25599239
-5.68184092,1.64610083,0.00872338,0.22318996,0.00236447,0.94308088,0.45633322,0.24109167,0.40939494,0.25738636
-5.67583792,1.70406922,0.00882214,0.22162890,0.00236903,0.99144912,0.48721046,0.24666656,0.42555107,0.25950528
-5.66983492,1.76641965,0.00891874,0.22032219,0.00238642,1.04290593,0.51963098,0.25296334,0.44168912,0.26224889
-5.66383192,1.83244157,0.00901079,0.21918191,0.00241559,1.09702666,0.55336024,0.25988187,0.45767908,0.26551389
-5.65782891,1.90139387,0.00909618,0.21812626,0.00245557,1.15335160,0.58813950,0.26731718,0.47339994,0.26919736
-5.65182591,1.97251933,0.00917310,0.21708339,0.00250555,1.21139185,0.62368809,0.27516164,0.48874097,0.27320002
-5.64582291,2.04505760,0.00924006,0.21599476,0.00256502,1.27063491,0.65970570,0.28330679,0.50360230,0.27742913
-5.63981991,2.11825627,0.00929586,0.21481811,0.00263378,1.33054957,0.69587486,0.29164478,0.51789461,0.28180089
