energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.24918724,0.00085297,0.01909541,0.08521037,0.06070192,0.00176946,0.09059569,0.03085606,0.01923703
-5.99399700,0.27402371,0.00086186,0.02099111,0.09425252,0.06650247,0.00196302,0.09996866,0.03338114,0.02125044
-5.98799400,0.30110311,0.00088526,0.02311104,0.10436191,0.07285990,0.00216346,0.11014795,0.03636782,0.02342385
-5.98199100,0.33006960,0.00091991,0.02543015,0.11544280,0.07968086,0.00236844,0.12101286,0.03976570,0.02573179
-5.97598799,0.36054433,0.00096282,0.02792189,0.12739192,0.08686723,0.00257531,0.13243324,0.04352475,0.02814673
-5.96998499,0.39212615,0.00101129,0.03055805,0.14009688,0.09431629,0.00278124,0.14426975,0.04759463,0.03063913
-5.96398199,0.42439406,0.00106287,0.03330860,0.15343509,0.10192122,0.00298326,0.15637474,0.05192409,0.03317777
-5.95797899,0.45691130,0.00111531,0.03614174,0.16727329,0.10957208,0.00317834,0.16859373,0.05646061,0.03573010
-5.95197599,0.48923111,0.00116659,0.03902398,0.18146745,0.11715712,0.00336353,0.18076751,0.06115023,0.03826279
-5.94597299,0.52090386,0.00121489,0.04192045,0.19586344,0.12456445,0.00353602,0.19273479,0.06593754,0.04074235
-5.93996998,0.55148535,0.00125858,0.04479518,0.21029815,0.13168399,0.00369330,0.20433525,0.07076601,0.04313590
-5.93396698,0.58054599,0.00129628,0.04761165,0.22460119,0.13840960,0.00383326,0.21541288,0.07557840,0.04541191
-5.92796398,0.60768042,0.00132680,0.05033325,0.23859720,0.14464131,0.00395428,0.22581967,0.08031749,0.04754107
-5.92196098,0.63251723,0.00134919,0.05292397,0.25210847,0.15028761,0.00405538,0.23541913,0.08492689,0.04949709
-5.91595798,0.65472837,0.00136275,0.05534904,0.26495809,0.15526756,0.00413628,0.24408994,0.08935209,0.05125753
-5.90995498,0.67403778,0.00136700,0.05757565,0.27697338,0.15951279,0.00419745,0.25172922,0.09354155,0.05280447
-5.90395198,0.69022904,0.00136173,0.05957363,0.28798947,0.16296916,0.00424022,0.25825549,0.09744791,0.05412521
-5.89794897,0.70315150,0.00134695,0.06131616,0.29785303,0.16559817,0.00426675,0.26361114,0.10102919,0.05521271
-5.89194597,0.71272485,0.00132290,0.06278041,0.30642600,0.16737787,0.00428004,0.26776426,0.10425002,0.05606597
-5.88594297,0.71894166,0.00129005,0.06394814,0.31358912,0.16830336,0.00428390,0.27070989,0.10708271,0.05669018
-5.87993997,0.72186804,0.00124906,0.06480612,0.31924522,0.16838684,0.00428287,0.27247039,0.10950823,0.05709677
-5.87393697,0.72164210,0.00120072,0.06534661,0.32332209,0.16765719,0.00428213,0.27309515,0.11151702,0.05730313
-5.86793397,0.71847036,0.00114600,0.06556755,0.32577476,0.16615905,0.00428740,0.27265943,0.11310952,0.05733228
-5.86193097,0.71262211,0.00108594,0.06547268,0.32658727,0.16395148,0.00430472,0.27126242,0.11429643,0.05721225
-5.85592796,0.70442189,0.00102166,0.06507152,0.32577353,0.16110622,0.00434036,0.26902462,0.11509864,0.05697532
-5.84992496,0.69424027,0.00095429,0.06437920,0.32337746,0.15770567,0.00440056,0.26608446,0.11554690,0.05665711
-5.84392196,0.68248323,0.00088498,0.06341607,0.31947231,0.15384045,0.00449134,0.26259438,0.11568100,0.05629548
-5.83791896,0.66958030,0.00081483,0.06220722,0.31415896,0.14960694,0.00461829,0.25871642,0.11554875,0.05592938
-5.83191596,0.65597209,0.00074487,0.06078187,0.30756360,0.14510449,0.00478637,0.25461744,0.11520462,0.05559757
-5.82591296,0.64209734,0.00067606,0.05917261,0.29983445,0.14043276,0.00499965,0.25046423,0.11470807,0.05533735
-5.81990995,0.62838006,0.00060925,0.05741455,0.29113798,0.13568897,0.00526114,0.24641848,0.11412176,0.05518329
-5.81390695,0.61521724,0.00054515,0.05554446,0.28165455,0.13096536,0.00557263,0.24263209,0.11350967,0.05516602
-5.80790395,0.60296746,0.00048438,0.05359981,0.27157374,0.12634677,0.00593449,0.23924270,0.11293515,0.05531110
