energy_ev,total_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.74642192,1.27825321,0.53693964,0.93956455,0.00000000,0.01425001,0.19569307,0.07508380,1.28728715
-5.99399700,2.80918886,1.31258951,0.55864627,0.94928461,0.00000000,0.01402789,0.20597422,0.07723716,1.30572438
-5.98799400,2.86043548,1.34051017,0.57963366,0.95350187,0.00000000,0.01372263,0.21585001,0.07911783,1.31780132
-5.98199100,2.89964192,1.36171535,0.59974350,0.95216765,0.00000000,0.01333856,0.22524163,0.08070446,1.32336002
-5.97598799,2.92655092,1.37605718,0.61884383,0.94535699,0.00000000,0.01288171,0.23408183,0.08198001,1.32238139
-5.96998499,2.94117463,1.38354627,0.63683300,0.93326677,0.00000000,0.01235958,0.24231731,0.08293193,1.31498492
-5.96398199,2.94379332,1.38435319,0.65364303,0.91620979,0.00000000,0.01178094,0.24991092,0.08355213,1.30142384
-5.95797899,2.93494630,1.37880515,0.66924235,0.89460512,0.00000000,0.01115548,0.25684356,0.08383691,1.28207615
-5.95197599,2.91541551,1.36737781,0.68363778,0.86896502,0.00000000,0.01049349,0.26311569,0.08378685,1.25743188
-5.94597299,2.88620263,1.35068287,0.69687567,0.83987922,0.00000000,0.00980558,0.26874846,0.08340652,1.22807721
-5.93996998,2.84850059,1.32945177,0.70904208,0.80799708,0.00000000,0.00910235,0.27378416,0.08270428,1.19467619
-5.93396698,2.80366068,1.30451618,0.72026187,0.77400844,0.00000000,0.00839408,0.27828630,0.08169193,1.15795084
-5.92796398,2.75315617,1.27678616,0.73069663,0.73862393,0.00000000,0.00769046,0.28233876,0.08038439,1.11866039
-5.92196098,2.69854390,1.24722654,0.74054134,0.70255548,0.00000000,0.00700042,0.28604444,0.07879938,1.07758047
-5.91595798,2.64142463,1.21683238,0.75001961,0.66649775,0.00000000,0.00633190,0.28952298,0.07695705,1.03548305
-5.90995498,2.58340337,1.18660430,0.75937752,0.63111102,0.00000000,0.00569172,0.29290781,0.07487964,0.99311762
