energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Na_s_up,Na_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.76203078,-1.76203041,0.00655451,-0.00655451,0.28634915,-0.28634913,0.08641310,-0.08641307,1.20462713,-1.20462668,0.55861820,-0.55861828,0.75535432,-0.75535406,0.00000000,-0.00000000
-5.99399700,1.72120866,-1.72120830,0.00620418,-0.00620418,0.28040838,-0.28040836,0.08529196,-0.08529193,1.16463855,-1.16463806,0.55670102,-0.55670114,0.73452747,-0.73452721,0.00000000,-0.00000000
-5.98799400,1.68026993,-1.68026960,0.00583799,-0.00583798,0.27444180,-0.27444179,0.08443985,-0.08443983,1.12210606,-1.12210555,0.55661398,-0.55661415,0.71319723,-0.71319697,0.00000000,-0.00000000
-5.98199100,1.64074028,-1.64074000,0.00546288,-0.00546288,0.26870352,-0.26870352,0.08392191,-0.08392189,1.07797703,-1.07797651,0.55891748,-0.55891771,0.69198689,-0.69198664,0.00000000,-0.00000000
-5.97598799,1.60413182,-1.60413162,0.00508589,-0.00508589,0.26345798,-0.26345799,0.08379288,-0.08379286,1.03320409,-1.03320356,0.56417371,-0.56417400,0.67149439,-0.67149416,0.00000000,-0.00000000
-5.96998499,1.57189641,-1.57189629,0.00471402,-0.00471401,0.25897184,-0.25897187,0.08409583,-0.08409582,0.98871729,-0.98871677,0.57292768,-0.57292804,0.65227428,-0.65227407,0.00000000,-0.00000000
-5.96398199,1.54538313,-1.54538312,0.00435413,-0.00435413,0.25550624,-0.25550630,0.08486146,-0.08486146,0.94539896,-0.94539846,0.58568920,-0.58568964,0.63482197,-0.63482179,0.00000000,-0.00000000
-5.95797899,1.52580135,-1.52580147,0.00401296,-0.00401296,0.25330955,-0.25330962,0.08610793,-0.08610794,0.90406207,-0.90406160,0.60291621,-0.60291673,0.61956104,-0.61956089,0.00000000,-0.00000000
-5.95197599,1.51419058,-1.51419082,0.00369706,-0.00369705,0.25261091,-0.25261101,0.08784137,-0.08784138,0.86543280,-0.86543237,0.62500004,-0.62500065,0.60683387,-0.60683376,0.00000000,-0.00000000
-5.94597299,1.51139778,-1.51139817,0.00341278,-0.00341278,0.25361472,-0.25361485,0.09005686,-0.09005687,0.83013767,-0.83013730,0.65225307,-0.65225377,0.59689609,-0.59689602,0.00000000,-0.00000000
-5.93996998,1.51806277,-1.51806331,0.00316636,-0.00316635,0.25649606,-0.25649623,0.09273995,-0.09273996,0.79869539,-0.79869507,0.68489884,-0.68489964,0.58991474,-0.58991472,0.00000000,-0.00000000
-5.93396698,1.53461155,-1.53461225,0.00296392,-0.00296391,0.26139715,-0.26139736,0.09586854,-0.09586856,0.77151331,-0.77151305,0.72306510,-0.72306600,0.58597027,-0.58597029,0.00000000,-0.00000000
-5.92796398,1.56125729,-1.56125816,0.00281156,-0.00281156,0.26842481,-0.26842505,0.09941506,-0.09941509,0.74888820,-0.74888802,0.76677953,-0.76678053,0.58506196,-0.58506202,0.00000000,-0.00000000
