energy_ev,total_up,Cu_p_up,Cu_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.27628245,0.08012132,0.03248031,0.09973420,0.03583241,0.00023891,0.02291185,0.00324153,0.12962246
-5.99399700,0.30569939,0.08764295,0.03633116,0.11051336,0.03987317,0.00025655,0.02509140,0.00364767,0.14381646
-5.98799400,0.33876854,0.09638282,0.04051038,0.12249657,0.04460387,0.00027679,0.02753931,0.00409145,0.15977235
-5.98199100,0.37525211,0.10626805,0.04499212,0.13559952,0.05000863,0.00029906,0.03022791,0.00457119,0.17739434
-5.97598799,0.41490263,0.11722650,0.04974696,0.14973413,0.05607212,0.00032283,0.03312823,0.00508504,0.19658344
-5.96998499,0.45746594,0.12918707,0.05474256,0.16481029,0.06277931,0.00034752,0.03621031,0.00563100,0.21723892
-5.96398199,0.50268572,0.14208020,0.05994447,0.18073807,0.07011535,0.00037260,0.03944343,0.00620706,0.23926071
-5.95797899,0.55030946,0.15583848,0.06531729,0.19743055,0.07806563,0.00039750,0.04279658,0.00681121,0.26255237
-5.95197599,0.60009571,0.17039737,0.07082588,0.21480696,0.08661611,0.00042168,0.04623891,0.00744165,0.28702463
-5.94597299,0.65182203,0.18569604,0.07643682,0.23279615,0.09575375,0.00044462,0.04974030,0.00809683,0.31259932
-5.93996998,0.70529326,0.20167808,0.08211983,0.25133993,0.10546702,0.00046583,0.05327189,0.00877563,0.33921330
-5.93396698,0.76034930,0.21829212,0.08784920,0.27039622,0.11574649,0.00048485,0.05680667,0.00947747,0.36682210
-5.92796398,0.81687188,0.23549214,0.09360502,0.28994160,0.12658527,0.00050127,0.06031993,0.01020239,0.39540300
-5.92196098,0.87478930,0.25323735,0.09937430,0.30997297,0.13797937,0.00051474,0.06378971,0.01095116,0.42495689
-5.91595798,0.93407881,0.27149168,0.10515163,0.33050813,0.14992768,0.00052500,0.06719705,0.01172525,0.45550899
-5.90995498,0.99476574,0.29022262,0.11093949,0.35158497,0.16243168,0.00053184,0.07052620,0.01252686,0.48710765
-5.90395198,1.05691912,0.30939955,0.11674811,0.37325919,0.17549468,0.00053518,0.07376454,0.01335883,0.51982143
