energy_ev,total_up,Ge_p_up,Ge_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,1.30743765,0.38729545,0.00000000,0.77037897,0.60443134,0.16130496,0.00000000
-5.99399700,1.33782131,0.39761496,0.00000000,0.79227757,0.62248006,0.16056727,0.00000000
-5.98799400,1.36936794,0.40813946,0.00000000,0.81534934,0.64111776,0.16016907,0.00000000
-5.98199100,1.40159614,0.41873646,0.00000000,0.83930264,0.66011186,0.16002689,0.00000000
-5.97598799,1.43400611,0.42926116,0.00000000,0.86380423,0.67921584,0.16006700,0.00000000
-5.96998499,1.46608518,0.43955839,0.00000000,0.88848301,0.69817250,0.16022542,0.00000000
-5.96398199,1.49731400,0.44946505,0.00000000,0.91293563,0.71671774,0.16044766,0.00000000
-5.95797899,1.52717385,0.45881301,0.00000000,0.93673383,0.73458495,0.16068819,0.00000000
-5.95197599,1.55515471,0.46743251,0.00000000,0.95943342,0.75150985,0.16090979,0.00000000
-5.94597299,1.58076436,0.47515599,0.00000000,0.98058487,0.76723589,0.16108286,0.00000000
-5.93996998,1.60353806,0.48182217,0.00000000,0.99974497,0.78151977,0.16118463,0.00000000
-5.93396698,1.62304863,0.48728029,0.00000000,1.01648932,0.79413717,0.16119858,0.00000000
-5.92796398,1.63891652,0.49139436,0.00000000,1.03042507,0.80488830,0.16111378,0.00000000
-5.92196098,1.65081935,0.49404722,0.00000000,1.04120341,0.81360301,0.16092443,0.00000000
-5.91595798,1.65850051,0.49514422,0.00000000,1.04853109,0.82014536,0.16062944,0.00000000
-5.90995498,1.66177639,0.49461638,0.00000000,1.05218071,0.82441729,0.16023210,0.00000000
-5.90395198,1.66054173,0.49242283,0.00000000,1.05199889,0.82636127,0.15973979,0.00000000
-5.89794897,1.65477288,0.48855246,0.00000000,1.04791234,0.82596179,0.15916369,0.00000000
-5.89194597,1.64452881,0.48302465,0.00000000,1.03993115,0.82324570,0.15851860,0.00000000
-5.88594297,1.62994970,0.47588913,0.00000000,1.02814941,0.81828126,0.15782259,0.00000000
-5.87993997,1.61125336,0.46722491,0.00000000,1.01274299,0.81117613,0.15709676,0.00000000
-5.87393697,1.58872955,0.45713840,0.00000000,0.99396475,0.80207440,0.15636487,0.00000000
-5.86793397,1.56273260,0.44576075,0.00000000,0.97213726,0.79115276,0.15565298,0.00000000
-5.86193097,1.53367281,0.43324469,0.00000000,0.94764361,0.77861621,0.15498910,0.00000000
-5.85592796,1.50200691,0.41976084,0.00000000,0.92091657,0.76469335,0.15440275,0.00000000
-5.84992496,1.46822818,0.40549384,0.00000000,0.89242674,0.74963159,0.15392464,0.00000000
-5.84392196,1.43285662,0.39063830,0.00000000,0.86267023,0.73369253,0.15358631,0.00000000
-5.83791896,1.39642954,0.37539484,0.00000000,0.83215626,0.71714748,0.15341983,0.00000000
-5.83191596,1.35949279,0.35996627,0.00000000,0.80139526,0.70027348,0.15345758,0.00000000
-5.82591296,1.32259292,0.34455408,0.00000000,0.77088790,0.68334967,0.15373211,0.00000000
-5.81990995,1.28627029,0.32935518,0.00000000,0.74111523,0.66665413,0.15427603,0.00000000
-5.81390695,1.25105308,0.31455910,0.00000000,0.71253029,0.65046110,0.15512198,0.00000000
-5.80790395,1.21745215,0.30034544,0.00000000,0.68555125,0.63503849,0.15630264,0.00000000
-5.80190095,1.18595653,0.28688180,0.00000000,0.66055617,0.62064566,0.15785081,0.00000000
-5.79589795,1.15702941,0.27432189,0.00000000,0.63787924,0.60753112,0.15979939,0.00000000
-5.78989495,1.13110441,0.26280398,0.00000000,0.61780850,0.59593039,0.16218150,0.00000000
-5.78389195,1.10858182,0.25244959,0.00000000,0.60058480,0.58606356,0.16503042,0.00000000
-5.77788894,1.08982496,0.24336228,0.00000000,0.58640185,0.57813281,0.16837953,0.00000000
-5.77188594,1.07515624,0.23562668,0.00000000,0.57540713,0.57231959,0.17226224,0.00000000
-5.76588294,1.06485317,0.22930759,0.00000000,0.56770355,0.56878178,0.17671168,0.00000000
-5.75987994,1.05914431,0.22444930,0.00000000,0.56335148,0.56765063,0.18176045,0.00000000
-5.75387694,1.05820520,0.22107503,0.00000000,0.56237125,0.56902778,0.18744016,0.00000000
-5.74787394,1.06215455,0.21918659,0.00000000,0.56474573,0.57298242,0.19378092,0.00000000
-5.74187094,1.07105094,0.21876429,0.00000000,0.57042310,0.57954873,0.20081068,0.00000000
-5.73586793,1.08489004,0.21976716,0.00000000,0.57931954,0.58872382,0.20855445,0.00000000
-5.72986493,1.10360281,0.22213349,0.00000000,0.59132192,0.60046635,0.21703349,0.00000000
-5.72386193,1.12705479,0.22578182,0.00000000,0.60629039,0.61469580,0.22626427,0.00000000
-5.71785893,1.15504651,0.23061228,0.00000000,0.62406085,0.63129274,0.23625742,0.00000000
-5.71185593,1.18731535,0.23650839,0.00000000,0.64444729,0.65010003,0.24701657,0.00000000
-5.70585293,1.22353871,0.24333935,0.00000000,0.66724405,0.67092498,0.25853709,0.00000000
-5.69984992,1.26333856,0.25096260,0.00000000,0.69222792,0.69354252,0.27080485,0.00000000
-5.69384692,1.30628734,0.25922690,0.00000000,0.71916022,0.71769936,0.28379493,0.00000000
-5.68784392,1.35191501,0.26797557,0.00000000,0.74778881,0.74311892,0.29747040,0.00000000
-5.68184092,1.39971726,0.27705008,0.00000000,0.77785015,0.76950714,0.31178125,0.00000000
-5.67583792,1.44916457,0.28629365,0.00000000,0.80907144,0.79655873,0.32666349,0.00000000
-5.66983492,1.49971198,0.29555495,0.00000000,0.84117299,0.82396406,0.34203851,0.00000000
-5.66383192,1.55080952,0.30469177,0.00000000,0.87387084,0.85141617,0.35781279,0.00000000
-5.65782891,1.60191285,0.31357440,0.00000000,0.90687977,0.87861797,0.37387816,0.00000000
-5.65182591,1.65249417,0.32208889,0.00000000,0.93991685,0.90528931,0.39011242,0.00000000
-5.64582291,1.70205307,0.33013984,0.00000000,0.97270550,0.93117384,0.40638066,0.00000000
-5.63981991,1.75012713,0.33765279,0.00000000,1.00498022,0.95604541,0.42253712,0.00000000
-5.63381691,1.79630207,0.34457614,0.00000000,1.03649198,0.97971379,0.43842775,0.00000000
-5.62781391,1.84022135,0.35088243,0.00000000,1.06701411,1.00202978,0.45389329,0.00000000
-5.62181091,1.88159477,0.35656906,0.00000000,1.09634882,1.02288926,0.46877295,0.00000000
-5.61580790,1.92020599,0.36165837,0.00000000,1.12433396,1.04223629,0.48290854,0.00000000
-5.60980490,1.95591875,0.36619705,0.00000000,1.15084985,1.06006500,0.49614886,0.00000000
-5.60380190,1.98868136,0.37025487,0.00000000,1.17582595,1.07642024,0.50835432,0.00000000
-5.59779890,2.01852943,0.37392281,0.00000000,1.19924687,1.09139697,0.51940154,0.00000000
-5.59179590,2.04558640,0.37731053,0.00000000,1.22115743,1.10513817,0.52918767,0.00000000
-5.58579290,2.07006193,0.38054327,0.00000000,1.24166631,1.11783153,0.53763436,0.00000000
-5.57978989,2.09224781,0.38375831,0.00000000,1.26094790,1.12970477,0.54469110,0.00000000
-5.57378689,2.11251142,0.38710083,0.00000000,1.27924194,1.14101970,0.55033777,0.00000000
-5.56778389,2.13128686,0.39071962,0.00000000,1.29685077,1.15206529,0.55458631,0.00000000
-5.56178089,2.14906366,0.39476236,0.00000000,1.31413390,1.16314972,0.55748126,0.00000000
-5.55577789,2.16637358,0.39937101,0.00000000,1.33149986,1.17459179,0.55909929,0.00000000
-5.54977489,2.18377561,0.40467703,0.00000000,1.34939547,1.18671191,0.55954754,0.00000000
-5.54377189,2.20183971,0.41079688,0.00000000,1.36829262,1.19982288,0.55896087,0.00000000
-5.53776888,2.22112980,0.41782792,0.00000000,1.38867309,1.21422089,0.55749816,0.00000000
-5.53176588,2.24218660,0.42584465,0.00000000,1.41101180,1.23017691,0.55533757,0.00000000
-5.52576288,2.26551076,0.43489572,0.00000000,1.43575920,1.24792887,0.55267123,0.00000000
-5.51975988,2.29154720,0.44500169,0.00000000,1.46332342,1.26767484,0.54969924,0.00000000
-5.51375688,2.32067089,0.45615359,0.00000000,1.49405311,1.28956743,0.54662344,0.00000000
-5.50775388,2.35317483,0.46831255,0.00000000,1.52822149,1.31370969,0.54364104,0.00000000
-5.50175088,2.38926061,0.48141036,0.00000000,1.56601263,1.34015240,0.54093833,0.00000000
-5.49574787,2.42903176,0.49535109,0.00000000,1.60751042,1.36889307,0.53868485,0.00000000
-5.48974487,2.47249019,0.51001358,0.00000000,1.65269075,1.39987642,0.53702802,0.00000000
-5.48374187,2.51953579,0.52525490,0.00000000,1.70141750,1.43299628,0.53608855,0.00000000
-5.47773887,2.56996902,0.54091453,0.00000000,1.75344226,1.46809895,0.53595677,0.00000000
-5.47173587,2.62349632,0.55681907,0.00000000,1.80840804,1.50498745,0.53668998,0.00000000
-5.46573287,2.67973811,0.57278736,0.00000000,1.86585669,1.54342694,0.53831084,0.00000000
-5.45972986,2.73823895,0.58863584,0.00000000,1.92523975,1.58315054,0.54080704,0.00000000
-5.45372686,2.79847939,0.60418374,0.00000000,1.98593221,1.62386577,0.54413202,0.00000000
-5.44772386,2.85988911,0.61925813,0.00000000,2.04724867,1.66526113,0.54820683,0.00000000
-5.44172086,2.92186093,0.63369843,0.00000000,2.10846108,1.70701269,0.55292306,0.00000000
-5.43571786,2.98376517,0.64736035,0.00000000,2.16881756,1.74879064,0.55814671,0.00000000
-5.42971486,3.04496412,0.66011903,0.00000000,2.22756136,1.79026559,0.56372283,0.00000000
-5.42371186,3.10482624,0.67187143,0.00000000,2.28394945,1.83111467,0.56948082,0.00000000
-5.41770885,3.16273983,0.68253770,0.00000000,2.33727011,1.87102736,0.57524016,0.00000000
-5.41170585,3.21812612,0.69206187,0.00000000,2.38685899,1.90971105,0.58081645,0.00000000
-5.40570285,3.27045149,0.70041155,0.00000000,2.43211327,1.94689654,0.58602744,0.00000000
-5.39969985,3.31923891,0.70757707,0.00000000,2.47250369,1.98234328,0.59069900,0.00000000
-5.39369685,3.36407841,0.71356991,0.00000000,2.50758425,2.01584456,0.59467070,0.00000000
-5.38769385,3.40463656,0.71842076,0.00000000,2.53699961,2.04723257,0.59780088,0.00000000
-5.38169085,3.44066492,0.72217728,0.00000000,2.56049022,2.07638334,0.59997111,0.00000000
-5.37568784,3.47200731,0.72490171,0.00000000,2.57789525,2.10322137,0.60108977,0.00000000
-5.36968484,3.49860574,0.72666847,0.00000000,2.58915361,2.12772398,0.60109480,0.00000000
-5.36368184,3.52050483,0.72756186,0.00000000,2.59430308,2.14992492,0.59995535,0.00000000
-5.35767884,3.53785447,0.72767404,0.00000000,2.59347793,2.16991731,0.59767256,0.00000000
-5.35167584,3.55091047,0.72710312,0.00000000,2.58690498,2.18785535,0.59427914,0.00000000
-5.34567284,3.56003290,0.72595167,0.00000000,2.57489846,2.20395478,0.58983802,0.00000000
-5.33966983,3.56568183,0.72432535,0.00000000,2.55785358,2.21849160,0.58443999,0.00000000
-5.33366683,3.56841040,0.72233183,0.00000000,2.53623893,2.23179895,0.57820051,0.00000000
-5.32766383,3.56885481,0.72007981,0.00000000,2.51058784,2.24426198,0.57125565,0.00000000
-5.32166083,3.56772147,0.71767812,0.00000000,2.48148851,2.25631053,0.56375752,0.00000000
-5.31565783,3.56577112,0.71523478,0.00000000,2.44957320,2.26840965,0.55586905,0.00000000
-5.30965483,3.56380034,0.71285600,0.00000000,2.41550625,2.28104814,0.54775857,0.00000000
-5.30365183,3.56262065,0.71064494,0.00000000,2.37997117,2.29472528,0.53959422,0.00000000
-5.29764882,3.56303581,0.70870034,0.00000000,2.34365695,2.30993601,0.53153839,0.00000000
-5.29164582,3.56581793,0.70711488,0.00000000,2.30724368,2.32715519,0.52374240,0.00000000
-5.28564282,3.57168318,0.70597333,0.00000000,2.27138778,2.34682135,0.51634161,0.00000000
-5.27963982,3.58126796,0.70535051,0.00000000,2.23670727,2.36932050,0.50945112,0.00000000
-5.27363682,3.59510642,0.70530921,0.00000000,2.20376739,2.39497084,0.50316224,0.00000000
-5.26763382,3.61361035,0.70589800,0.00000000,2.17306700,2.42400880,0.49753982,0.00000000
-5.26163082,3.63705220,0.70714923,0.00000000,2.14502637,2.45657713,0.49262060,0.00000000
-5.25562781,3.66555211,0.70907718,0.00000000,2.11997668,2.49271570,0.48841258,0.00000000
-5.24962481,3.69906954,0.71167660,0.00000000,2.09815174,2.53235530,0.48489554,0.00000000
-5.24362181,3.73740010,0.71492165,0.00000000,2.07968237,2.57531493,0.48202256,0.00000000
-5.23761881,3.78017762,0.71876545,0.00000000,2.06459361,2.62130267,0.47972263,0.00000000
-5.23161581,3.82688170,0.72314013,0.00000000,2.05280510,2.66992032,0.47790405,0.00000000
