energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.44496401,0.25463737,0.00000000,0.94053533,0.30495704,0.08784820,0.37920466
-5.99399700,1.52063511,0.26517020,0.00000000,0.98459260,0.31947549,0.09631328,0.39831199
-5.98799400,1.59892141,0.27590711,0.00000000,1.02810330,0.33467440,0.10599908,0.41746214
-5.98199100,1.67964084,0.28683477,0.00000000,1.07072893,0.35054871,0.11698114,0.43653745
-5.97598799,1.76255216,0.29793139,0.00000000,1.11212863,0.36707888,0.12931257,0.45541667
-5.96998499,1.84734082,0.30916444,0.00000000,1.15196127,0.38422660,0.14301839,0.47397470
-5.96398199,1.93360595,0.32048869,0.00000000,1.18988767,0.40193076,0.15809043,0.49208233
-5.95797899,2.02084943,0.33184459,0.00000000,1.22557267,0.42010401,0.17448285,0.50960594
-5.95197599,2.10846752,0.34315714,0.00000000,1.25868722,0.43863008,0.19210867,0.52640732
-5.94597299,2.19574601,0.35433544,0.00000000,1.28891043,0.45736209,0.21083753,0.54234352
-5.93996998,2.28185960,0.36527284,0.00000000,1.31593174,0.47612204,0.23049487,0.55726693
-5.93396698,2.36587609,0.37584796,0.00000000,1.33945324,0.49470147,0.25086281,0.57102568
-5.92796398,2.44676601,0.38592651,0.00000000,1.35919240,0.51286373,0.27168267,0.58346445
-5.92196098,2.52341803,0.39536394,0.00000000,1.37488528,0.53034761,0.29265937,0.59442584
-5.91595798,2.59466017,0.40400904,0.00000000,1.38629045,0.54687249,0.31346753,0.60375229
-5.90995498,2.65928663,0.41170819,0.00000000,1.39319362,0.56214490,0.33375918,0.61128870
-5.90395198,2.71608969,0.41831046,0.00000000,1.39541308,0.57586630,0.35317290,0.61688580
-5.89794897,2.76389582,0.42367313,0.00000000,1.39280582,0.58774199,0.37134396,0.62040404
-5.89194597,2.80160461,0.42766760,0.00000000,1.38527429,0.59749053,0.38791527,0.62171808
-5.88594297,2.82822915,0.43018536,0.00000000,1.37277336,0.60485369,0.40254858,0.62072165
-5.87993997,2.84293598,0.43114385,0.00000000,1.35531728,0.60960615,0.41493538,0.61733255
-5.87393697,2.84508269,0.43049171,0.00000000,1.33298601,0.61156471,0.42480730,0.61149753
-5.86793397,2.83425121,0.42821338,0.00000000,1.30593069,0.61059648,0.43194523,0.60319676
-5.86193097,2.81027489,0.42433257,0.00000000,1.27437740,0.60662565,0.43618693,0.59244767
-5.85592796,2.77325777,0.41891439,0.00000000,1.23862907,0.59963832,0.43743269,0.57930769
