energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,3.66223356,0.44037956,0.00000000,0.69796268,2.15771113,0.02193029,1.25807894
-5.99399700,3.51316897,0.41310821,0.00000000,0.66319310,2.07337645,0.02078879,1.21933309
-5.98799400,3.36179444,0.38600385,0.00000000,0.62882524,1.98733937,0.01963357,1.17920236
-5.98199100,3.20976258,0.35929573,0.00000000,0.59527124,1.90043772,0.01848338,1.13820694
-5.97598799,3.05869041,0.33319607,0.00000000,0.56290906,1.81350289,0.01735677,1.09687180
-5.96998499,2.91013863,0.30789729,0.00000000,0.53207728,1.72735118,0.01627186,1.05571916
-5.96398199,2.76559385,0.28356985,0.00000000,0.50307129,1.64277619,0.01524600,1.01526147
-5.95797899,2.62645392,0.26036080,0.00000000,0.47614087,1.56054218,0.01429560,0.97599535
-5.95197599,2.49401647,0.23839286,0.00000000,0.45148918,1.48137844,0.01343600,0.93839619
-5.94597299,2.36947034,0.21776429,0.00000000,0.42927297,1.40597444,0.01268134,0.90291353
-5.93996998,2.25388965,0.19854923,0.00000000,0.40960404,1.33497576,0.01204458,0.86996716
-5.93396698,2.14823005,0.18079877,0.00000000,0.39255152,1.26898039,0.01153750,0.83994377
-5.92796398,2.05332646,0.16454241,0.00000000,0.37814511,1.20853530,0.01117071,0.81319400
-5.92196098,1.96989204,0.14978993,0.00000000,0.36637886,1.15413294,0.01095376,0.79002980
-5.91595798,1.89851758,0.13653363,0.00000000,0.35721539,1.10620756,0.01089518,0.77072199
-5.90995498,1.83967112,0.12475070,0.00000000,0.35059040,1.06513128,0.01100254,0.75549795
-5.90395198,1.79369736,0.11440568,0.00000000,0.34641733,1.03120972,0.01128244,0.74453934
-5.89794897,1.76081685,0.10545295,0.00000000,0.34459188,1.00467746,0.01174057,0.73797999
-5.89194597,1.74112485,0.09783910,0.00000000,0.34499654,0.98569334,0.01238157,0.73590394
-5.88594297,1.73459007,0.09150505,0.00000000,0.34750471,0.97433593,0.01320900,0.73834378
-5.87993997,1.74105372,0.08638804,0.00000000,0.35198468,0.97059954,0.01422517,0.74527949
-5.87393697,1.76022900,0.08242327,0.00000000,0.35830306,0.97439103,0.01543091,0.75663780
-5.86793397,1.79170177,0.07954525,0.00000000,0.36632788,0.98552796,0.01682541,0.77229246
-5.86193097,1.83493272,0.07768880,0.00000000,0.37593119,1.00373830,0.01840591,0.79206538
-5.85592796,1.88926148,0.07678983,0.00000000,0.38699117,1.02866216,0.02016745,0.81572891
-5.84992496,1.95391317,0.07678576,0.00000000,0.39939370,1.05985570,0.02210266,0.84300927
-5.84392196,2.02800751,0.07761568,0.00000000,0.41303347,1.09679742,0.02420146,0.87359119
-5.83791896,2.11057067,0.07922041,0.00000000,0.42781456,1.13889678,0.02645096,0.90712369
-5.83191596,2.20054978,0.08154225,0.00000000,0.44365050,1.18550509,0.02883528,0.94322697
-5.82591296,2.29682994,0.08452472,0.00000000,0.46046393,1.23592828,0.03133558,0.98150013
-5.81990995,2.39825321,0.08811215,0.00000000,0.47818579,1.28944141,0.03393004,1.02152957
-5.81390695,2.50363910,0.09224931,0.00000000,0.49675417,1.34530404,0.03659411,1.06289774
-5.80790395,2.61180579,0.09688101,0.00000000,0.51611279,1.40277625,0.03930071,1.10519184
-5.80190095,2.72159141,0.10195174,0.00000000,0.53620925,1.46113438,0.04202067,1.14801226
-5.79589795,2.83187431,0.10740537,0.00000000,0.55699307,1.51968589,0.04472315,1.19098019
-5.78989495,2.94159162,0.11318501,0.00000000,0.57841355,1.57778277,0.04737622,1.23374416
-5.78389195,3.04975520,0.11923283,0.00000000,0.60041759,1.63483284,0.04994751,1.27598523
-5.77788894,3.15546425,0.12549013,0.00000000,0.62294737,1.69030831,0.05240484,1.31742036
-5.77188594,3.25791407,0.13189742,0.00000000,0.64593821,1.74375158,0.05471697,1.35780399
-5.76588294,3.35640046,0.13839460,0.00000000,0.66931630,1.79477761,0.05685423,1.39692760
-5.75987994,3.45031973,0.14492128,0.00000000,0.69299675,1.84307322,0.05878925,1.43461729
-5.75387694,3.53916432,0.15141710,0.00000000,0.71688168,1.88839319,0.06049749,1.47072957
-5.74787394,3.62251452,0.15782216,0.00000000,0.74085869,1.93055358,0.06195783,1.50514548
-5.74187094,3.70002670,0.16407748,0.00000000,0.76479962,1.96942273,0.06315298,1.53776348
-5.73586793,3.77141904,0.17012548,0.00000000,0.78855977,2.00491046,0.06406980,1.56849162
-5.72986493,3.83645570,0.17591052,0.00000000,0.81197768,2.03695629,0.06469954,1.59723930
-5.72386193,3.89493053,0.18137941,0.00000000,0.83487552,2.06551731,0.06503791,1.62390949
-5.71785893,3.94665155,0.18648199,0.00000000,0.85706032,2.09055658,0.06508509,1.64839166
-5.71185593,3.99142723,0.19117165,0.00000000,0.87832592,2.11203262,0.06484563,1.67055624
-5.70585293,4.02905574,0.19540589,0.00000000,0.89845590,2.12989084,0.06432820,1.69025094
-5.69984992,4.05931789,0.19914690,0.00000000,0.91722741,2.14405730,0.06354536,1.70729931
-5.69384692,4.08197447,0.20236210,0.00000000,0.93441586,2.15443523,0.06251321,1.72150189
-5.68784392,4.09676819,0.20502465,0.00000000,0.94980045,2.16090443,0.06125098,1.73263990
-5.68184092,4.10343036,0.20711397,0.00000000,0.96317040,2.16332374,0.05978068,1.74048144
