energy_ev,total_up,Ga_p_up,Ga_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,5.80424874,0.27062751,0.00000000,3.96513374,3.68881079,3.90644023,0.00000000
-5.99399700,5.75897515,0.25838318,0.00000000,3.91665656,3.68438559,3.88875250,0.00000000
-5.98799400,5.72099616,0.24676260,0.00000000,3.87245684,3.68279782,3.87548892,0.00000000
-5.98199100,5.69029791,0.23583314,0.00000000,3.83287035,3.68378708,3.86654280,0.00000000
-5.97598799,5.66659352,0.22564026,0.00000000,3.79808029,3.68694785,3.86163470,0.00000000
-5.96998499,5.64937195,0.21620946,0.00000000,3.76814726,3.69175842,3.86034397,0.00000000
-5.96398199,5.63794945,0.20754858,0.00000000,3.74303979,3.69761153,3.86214184,0.00000000
-5.95797899,5.63152052,0.19965031,0.00000000,3.72266300,3.70384481,3.86642425,0.00000000
-5.95197599,5.62920529,0.19249462,0.00000000,3.70688336,3.70976980,3.87254250,0.00000000
-5.94597299,5.63009095,0.18605112,0.00000000,3.69554796,3.71469798,3.87983029,0.00000000
-5.93996998,5.63326545,0.18028120,0.00000000,3.68849711,3.71796292,3.88762603,0.00000000
-5.93396698,5.63784238,0.17513987,0.00000000,3.68556985,3.71893794,3.89528980,0.00000000
-5.92796398,5.64297665,0.17057724,0.00000000,3.68660229,3.71704896,3.90221468,0.00000000
-5.92196098,5.64787140,0.16653985,0.00000000,3.69141951,3.71178253,3.90783276,0.00000000
-5.91595798,5.65177706,0.16297154,0.00000000,3.69982214,3.70268947,3.91161624,0.00000000
-5.90995498,5.65398411,0.15981422,0.00000000,3.71156904,3.68938477,3.91307469,0.00000000
-5.90395198,5.65381156,0.15700847,0.00000000,3.72635800,3.67154447,3.91174942,0.00000000
-5.89794897,5.65059299,0.15449401,0.00000000,3.74380641,3.64890045,3.90720631,0.00000000
-5.89194597,5.64366265,0.15221024,0.00000000,3.76343377,3.62123423,3.89902833,0.00000000
-5.88594297,5.63234336,0.15009669,0.00000000,3.78464803,3.58837048,3.88680883,0.00000000
-5.87993997,5.61593819,0.14809371,0.00000000,3.80673718,3.55017130,3.87014680,0.00000000
-5.87393697,5.59372719,0.14614312,0.00000000,3.82886752,3.50653178,3.84864477,0.00000000
-5.86793397,5.56497008,0.14418907,0.00000000,3.85008914,3.45737733,3.82190998,0.00000000
-5.86193097,5.52891535,0.14217896,0.00000000,3.86934921,3.40266315,3.78955887,0.00000000
-5.85592796,5.48481551,0.14006438,0.00000000,3.88551252,3.34237564,3.75122510,0.00000000
-5.84992496,5.43194788,0.13780214,0.00000000,3.89738895,3.27653593,3.70657039,0.00000000
-5.84392196,5.36963978,0.13535516,0.00000000,3.90376642,3.20520470,3.65529780,0.00000000
-5.83791896,5.29729664,0.13269336,0.00000000,3.90344803,3.12848826,3.59716648,0.00000000
-5.83191596,5.21443131,0.12979430,0.00000000,3.89529147,3.04654492,3.53200701,0.00000000
-5.82591296,5.12069273,0.12664364,0.00000000,3.87824894,2.95959116,3.45973624,0.00000000
-5.81990995,5.01589218,0.12323537,0.00000000,3.85140537,2.86790693,3.38037055,0.00000000
-5.81390695,4.90002523,0.11957177,0.00000000,3.81401335,2.77183941,3.29403678,0.00000000
-5.80790395,4.77328816,0.11566303,0.00000000,3.76552274,2.67180480,3.20097975,0.00000000
-5.80190095,4.63608747,0.11152670,0.00000000,3.70560381,2.56828768,3.10156589,0.00000000
-5.79589795,4.48904186,0.10718681,0.00000000,3.63416256,2.46183772,2.99628259,0.00000000
-5.78989495,4.33297623,0.10267289,0.00000000,3.55134777,2.35306364,2.88573302,0.00000000
-5.78389195,4.16890785,0.09801875,0.00000000,3.45754939,2.24262462,2.77062650,0.00000000
-5.77788894,3.99802511,0.09326122,0.00000000,3.35338847,2.13121913,2.65176481,0.00000000
-5.77188594,3.82165979,0.08843887,0.00000000,3.23969920,2.01957186,2.53002488,0.00000000
-5.76588294,3.64125395,0.08359072,0.00000000,3.11750404,1.90841907,2.40633858,0.00000000
-5.75987994,3.45832297,0.07875510,0.00000000,2.98798308,1.79849286,2.28167050,0.00000000
-5.75387694,3.27441611,0.07396855,0.00000000,2.85243911,1.69050524,2.15699450,0.00000000
-5.74787394,3.09107650,0.06926496,0.00000000,2.71226000,1.58513232,2.03327021,0.00000000
-5.74187094,2.90980196,0.06467485,0.00000000,2.56887993,1.48299952,1.91142014,0.00000000
-5.73586793,2.73200836,0.06022487,0.00000000,2.42374109,1.38466820,1.79230856,0.00000000
-5.72986493,2.55899684,0.05593747,0.00000000,2.27825731,1.29062441,1.67672275,0.00000000
-5.72386193,2.39192609,0.05183078,0.00000000,2.13378095,1.20126992,1.56535741,0.00000000
-5.71785893,2.23179060,0.04791862,0.00000000,1.99157404,1.11691617,1.45880263,0.00000000
-5.71185593,2.07940554,0.04421070,0.00000000,1.85278461,1.03778108,1.35753589,0.00000000
-5.70585293,1.93539857,0.04071291,0.00000000,1.71842865,0.96398896,1.26191811,0.00000000
-5.69984992,1.80020862,0.03742767,0.00000000,1.58937800,0.89557333,1.17219391,0.00000000
-5.69384692,1.67409134,0.03435438,0.00000000,1.46635422,0.83248267,1.08849572,0.00000000
-5.68784392,1.55713079,0.03148989,0.00000000,1.34992811,0.77458866,1.01085154,0.00000000
-5.68184092,1.44925643,0.02882896,0.00000000,1.24052447,0.72169655,0.93919586,0.00000000
