energy_ev,total_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.26468505,0.26651188,0.18677233,0.67799736,0.26025007,0.00107821,0.11133684,0.57439036,0.00000000
-5.99399700,1.35697036,0.28800210,0.20110852,0.72734668,0.28300087,0.00120201,0.11985609,0.61537637,0.00000000
-5.98799400,1.45186564,0.31042814,0.21576875,0.77746198,0.30727593,0.00133200,0.12856250,0.65747159,0.00000000
-5.98199100,1.54847166,0.33355597,0.23063143,0.82781483,0.33294372,0.00146691,0.13739555,0.70022022,0.00000000
-5.97598799,1.64588272,0.35713985,0.24556966,0.87787442,0.35986360,0.00160530,0.14629726,0.74315890,0.00000000
-5.96998499,1.74320066,0.38092487,0.26045263,0.92711632,0.38788782,0.00174557,0.15521394,0.78582263,0.00000000
-5.96398199,1.83954935,0.40465002,0.27514722,0.97503110,0.41686418,0.00188603,0.16409794,0.82775082,0.00000000
-5.95797899,1.93408969,0.42805162,0.28951971,1.02113283,0.44663921,0.00202493,0.17290949,0.86849363,0.00000000
-5.95197599,2.02603486,0.45086701,0.30343765,1.06496731,0.47706201,0.00216052,0.18161845,0.90761823,0.00000000
-5.94597299,2.11466580,0.47283872,0.31677194,1.10611992,0.50798874,0.00229110,0.19020606,0.94471533,0.00000000
-5.93996998,2.19934674,0.49371874,0.32939900,1.14422314,0.53928756,0.00241513,0.19866660,0.97940560,0.00000000
-5.93396698,2.27954042,0.51327305,0.34120311,1.17896355,0.57084399,0.00253122,0.20700897,1.01134607,0.00000000
-5.92796398,2.35482268,0.53128620,0.35207877,1.21008847,0.60256651,0.00263827,0.21525799,1.04023637,0.00000000
-5.92196098,2.42489605,0.54756571,0.36193314,1.23741200,0.63439198,0.00273548,0.22345558,1.06582464,0.00000000
-5.91595798,2.48960169,0.56194645,0.37068837,1.26082053,0.66629075,0.00282243,0.23166163,1.08791299,0.00000000
-5.90995498,2.54892918,0.57429453,0.37828377,1.28027757,0.69827111,0.00289907,0.23995442,1.10636228,0.00000000
-5.90395198,2.60302343,0.58451067,0.38467770,1.29582773,0.73038251,0.00296580,0.24843069,1.12109596,0.00000000
-5.89794897,2.65218807,0.59253300,0.38984914,1.30759974,0.76271753,0.00302342,0.25720514,1.13210287,0.00000000
-5.89194597,2.69688464,0.59833892,0.39379869,1.31580823,0.79541197,0.00307314,0.26640941,1.13943857,0.00000000
-5.88594297,2.73772704,0.60194606,0.39654899,1.32075407,0.82864306,0.00311652,0.27619034,1.14322514,0.00000000
-5.87993997,2.77547079,0.60341214,0.39814448,1.32282297,0.86262538,0.00315544,0.28670762,1.14364920,0.00000000
-5.87393697,2.81099682,0.60283368,0.39865045,1.32248210,0.89760458,0.00319201,0.29813075,1.14095795,0.00000000
-5.86793397,2.84528972,0.60034349,0.39815120,1.32027457,0.93384897,0.00322847,0.31063534,1.13545332,0.00000000
-5.86193097,2.87941081,0.59610704,0.39674758,1.31681139,0.97163891,0.00326711,0.32439873,1.12748408,0.00000000
-5.85592796,2.91446635,0.59031762,0.39455374,1.31276108,1.01125467,0.00331014,0.33959516,1.11743616,0.00000000
-5.84992496,2.95157184,0.58319060,0.39169333,1.30883669,1.05296286,0.00335959,0.35639039,1.10572133,0.00000000
-5.84392196,2.99181336,0.57495674,0.38829517,1.30578037,1.09700216,0.00341719,0.37493616,1.09276458,0.00000000
-5.83791896,3.03620727,0.56585500,0.38448867,1.30434579,1.14356885,0.00348428,0.39536433,1.07899061,0.00000000
-5.83191596,3.08565979,0.55612492,0.38039910,1.30527865,1.19280282,0.00356171,0.41778122,1.06480999,0.00000000
-5.82591296,3.14092785,0.54599897,0.37614298,1.30929567,1.24477472,0.00364979,0.44226201,1.05060536,0.00000000
-5.81990995,3.20258306,0.53569514,0.37182382,1.31706282,1.29947487,0.00374822,0.46884562,1.03671848,0.00000000
-5.81390695,3.27098005,0.52541002,0.36752829,1.32917316,1.35680442,0.00385607,0.49753011,1.02343848,0.00000000
-5.80790395,3.34623090,0.51531284,0.36332322,1.34612523,1.41656932,0.00397180,0.52826881,1.01099205,0.00000000
-5.80190095,3.42818658,0.50554043,0.35925337,1.36830264,1.47847735,0.00409330,0.56096730,0.99953580,0.00000000
-5.79589795,3.51642656,0.49619365,0.35534021,1.39595563,1.54213850,0.00421792,0.59548144,0.98915151,0.00000000
-5.78989495,3.61025713,0.48733521,0.35158181,1.42918545,1.60706861,0.00434260,0.63161639,0.97984412,0.00000000
-5.78389195,3.70871874,0.47898901,0.34795366,1.46793218,1.67269637,0.00446394,0.66912693,0.97154293,0.00000000
-5.77788894,3.81060230,0.47114119,0.34441063,1.51196671,1.73837331,0.00457837,0.70771890,0.96410584,0.00000000
-5.77188594,3.91447416,0.46374258,0.34088981,1.56088748,1.80338656,0.00468223,0.74705197,0.95732646,0.00000000
-5.76588294,4.01870892,0.45671258,0.33731414,1.61412220,1.86697393,0.00477200,0.78674371,0.95094384,0.00000000
-5.75987994,4.12152929,0.44994435,0.33359672,1.67093513,1.92834081,0.00484438,0.82637491,0.94465440,0.00000000
-5.75387694,4.22105166,0.44331088,0.32964548,1.73043968,1.98667850,0.00489643,0.86549617,0.93812550,0.00000000
-5.74787394,4.31533610,0.43667177,0.32536811,1.79161657,2.04118329,0.00492577,0.90363569,0.93101011,0.00000000
-5.74187094,4.40243924,0.42988051,0.32067696,1.85333699,2.09107598,0.00493058,0.94030822,0.92296191,0.00000000
-5.73586793,4.48046855,0.42279168,0.31549373,1.91439035,2.13562112,0.00490980,0.97502491,0.91365026,0.00000000
-5.72986493,4.54763631,0.41526807,0.30975375,1.97351600,2.17414575,0.00486310,1.00730408,0.90277423,0.00000000
-5.72386193,4.60231171,0.40718722,0.30340961,2.02943785,2.20605699,0.00479095,1.03668249,0.89007545,0.00000000
-5.71785893,4.64306958,0.39844717,0.29643414,2.08090095,2.23085826,0.00469464,1.06272707,0.87534893,0.00000000
-5.71185593,4.66873426,0.38897125,0.28882250,2.12670876,2.24816356,0.00457620,1.08504649,0.85845178,0.00000000
-5.70585293,4.67841724,0.37871181,0.28059342,2.16575977,2.25770959,0.00443842,1.10330253,0.83930934,0.00000000
-5.69984992,4.67154745,0.36765256,0.27178947,2.19708221,2.25936537,0.00428469,1.11722057,0.81791871,0.00000000
-5.69384692,4.64789301,0.35580980,0.26247649,2.21986530,2.25313887,0.00411897,1.12659898,0.79434957,0.00000000
-5.68784392,4.60757386,0.34323228,0.25274214,2.23348602,2.23918051,0.00394563,1.13131680,0.76874236,0.00000000
-5.68184092,4.55106448,0.32999994,0.24269370,2.23753001,2.21778329,0.00376935,1.13133949,0.74130408,0.00000000
