energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,6.98396925,0.05925450,0.64398559,0.68502268,3.84885571,0.00000000,1.85464691,0.98353021
-5.99399700,6.90961766,0.05762624,0.64170902,0.67667059,3.79911105,0.00000000,1.84033524,0.97552882
-5.98799400,6.82756291,0.05597903,0.64026195,0.66759105,3.74242055,0.00000000,1.82435403,0.96777549
-5.98199100,6.73921614,0.05433864,0.63977024,0.65796221,3.67956813,0.00000000,1.80702598,0.96053244
-5.97598799,6.64591147,0.05272843,0.64032055,0.64795308,3.61135265,0.00000000,1.78864709,0.95401868
-5.96998499,6.54886654,0.05116882,0.64195552,0.63771787,3.53856851,0.00000000,1.76947657,0.94840155
-5.96398199,6.44914938,0.04967690,0.64467042,0.62739115,3.46198809,0.00000000,1.74972856,0.94379024
-5.95797899,6.34765308,0.04826621,0.64841150,0.61708402,3.38234677,0.00000000,1.72956581,0.94023156
-5.95197599,6.24507923,0.04694658,0.65307603,0.60688153,3.30033103,0.00000000,1.70909599,0.93770821
-5.94597299,6.14193109,0.04572419,0.65851424,0.59684132,3.21657019,0.00000000,1.68837052,0.93613957
-5.93996998,6.03851654,0.04460171,0.66453305,0.58699377,3.13163175,0.00000000,1.66738622,0.93538516
-5.93396698,5.93496074,0.04357859,0.67090150,0.57734331,3.04602061,0.00000000,1.64608967,0.93525052
-5.92796398,5.83122776,0.04265141,0.67735777,0.56787104,2.96018183,0.00000000,1.62438415,0.93549529
-5.92196098,5.72715008,0.04181437,0.68361749,0.55853847,2.87450664,0.00000000,1.60213885,0.93584330
-5.91595798,5.62246453,0.04105983,0.68938309,0.54929204,2.78934120,0.00000000,1.57919991,0.93599412
-5.90995498,5.51685291,0.04037883,0.69435389,0.54006837,2.70499740,0.00000000,1.55540293,0.93563573
-5.90395198,5.40998511,0.03976173,0.69823640,0.53079981,2.62176499,0.00000000,1.53058612,0.93445769
-5.89794897,5.30156276,0.03919874,0.70075469,0.52142010,2.53992417,0.00000000,1.50460378,0.93216434
-5.89194597,5.19136107,0.03868050,0.70166021,0.51186978,2.45975774,0.00000000,1.47733911,0.92848753
-5.88594297,5.07926675,0.03819852,0.70074087,0.50210111,2.38156212,0.00000000,1.44871597,0.92319819
-5.87993997,4.96531014,0.03774565,0.69782884,0.49208223,2.30565623,0.00000000,1.41870895,0.91611656
-5.87393697,4.84968967,0.03731638,0.69280703,0.48180036,2.23238775,0.00000000,1.38735104,0.90712031
-5.86793397,4.73278751,0.03690703,0.68561374,0.47126385,2.16213609,0.00000000,1.35473880,0.89615062
-5.86193097,4.61517543,0.03651590,0.67624556,0.46050303,2.09531181,0.00000000,1.32103444,0.88321560
-5.85592796,4.49761037,0.03614327,0.66475825,0.44956970,2.03235224,0.00000000,1.28646496,0.86839133
-5.84992496,4.38102000,0.03579122,0.65126571,0.43853548,1.97371344,0.00000000,1.25131807,0.85182020
-5.84392196,4.26647868,0.03546347,0.63593698,0.42748889,1.91985873,0.00000000,1.21593537,0.83370681
-5.83791896,4.15517506,0.03516506,0.61899163,0.41653149,1.87124435,0.00000000,1.18070290,0.81431165
-5.83191596,4.04837277,0.03490191,0.60069353,0.40577320,1.82830280,0.00000000,1.14603958,0.79394283
-5.82591296,3.94736617,0.03468041,0.58134335,0.39532709,1.79142489,0.00000000,1.11238414,0.77294627
-5.81990995,3.85343324,0.03450694,0.56127019,0.38530386,1.76094133,0.00000000,1.08018117,0.75169475
-5.81390695,3.76778799,0.03438734,0.54082257,0.37580644,1.73710497,0.00000000,1.04986688,0.73057640
-5.80790395,3.69153473,0.03432651,0.52035912,0.36692484,1.72007470,0.00000000,1.02185545,0.70998299
-5.80190095,3.62562644,0.03432790,0.50023939,0.35873166,1.70990203,0.00000000,0.99652634,0.69029855
-5.79589795,3.57082930,0.03439322,0.48081503,0.35127845,1.70652127,0.00000000,0.97421344,0.67188885
-5.78989495,3.52769504,0.03452211,0.46242172,0.34459310,1.70974393,0.00000000,0.95519627,0.65509192
-5.78389195,3.49654246,0.03471199,0.44537185,0.33867848,1.71925803,0.00000000,0.93969373,0.64021005
