energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-0.24912456,1.86722142,0.46509984,0.00000000,0.01896716,0.09174896,0.52275741,1.52233173
-0.24312156,1.95478411,0.47337615,0.00000000,0.01963354,0.09381663,0.53193205,1.61318299
-0.23711856,2.04522709,0.48289796,0.00000000,0.02055162,0.09682126,0.54341799,1.70535788
-0.23111556,2.13802304,0.49367905,0.00000000,0.02172901,0.10077876,0.55725323,1.79820413
-0.22511256,2.23258602,0.50569893,0.00000000,0.02316722,0.10568474,0.57341479,1.89104942
-0.21910955,2.32827434,0.51890096,0.00000000,0.02486122,0.11151320,0.59181605,1.98320856
-0.21310655,2.42439592,0.53319149,0.00000000,0.02679917,0.11821588,0.61230561,2.07399207
-0.20710355,2.52021608,0.54844009,0.00000000,0.02896226,0.12572235,0.63466812,2.16271610
-0.20110055,2.61496795,0.56448097,0.00000000,0.03132479,0.13394074,0.65862700,2.24871336
-0.19509755,2.70786522,0.58111565,0.00000000,0.03385441,0.14275931,0.68384923,2.33134513
-0.18909455,2.79811733,0.59811694,0.00000000,0.03651263,0.15204878,0.70995222,2.41001382
-0.18309155,2.88494672,0.61523428,0.00000000,0.03925544,0.16166534,0.73651274,2.48417608
-0.17708854,2.96760800,0.63220034,0.00000000,0.04203430,0.17145436,0.76307783,2.55335600
-0.17108554,3.04540838,0.64873876,0.00000000,0.04479719,0.18125461,0.78917742,2.61715801
-0.16508254,3.11772905,0.66457298,0.00000000,0.04748991,0.19090299,0.81433847,2.67527920
-0.15907954,3.18404645,0.67943568,0.00000000,0.05005757,0.20023948,0.83810007,2.72752048
-0.15307654,3.24395292,0.69307875,0.00000000,0.05244607,0.20911209,0.86002913,2.77379608
-0.14707354,3.29717551,0.70528316,0.00000000,0.05460370,0.21738186,0.87973598,2.81414093
-0.14107054,3.34359209,0.71586848,0.00000000,0.05648275,0.22492733,0.89688923,2.84871535
-0.13506753,3.38324371,0.72470149,0.00000000,0.05804099,0.23164861,0.91122935,2.87780658
-0.12906453,3.41634227,0.73170336,0.00000000,0.05924306,0.23747063,0.92258012,2.90182664
-0.12306153,3.44327255,0.73685509,0.00000000,0.06006161,0.24234551,0.93085745,2.92130629
-0.11705853,3.46458817,0.74020075,0.00000000,0.06047830,0.24625399,0.93607509,2.93688480
-0.11105553,3.48100088,0.74184821,0.00000000,0.06048437,0.24920566,0.93834673,2.94929547
-0.10505253,3.49336314,0.74196721,0.00000000,0.06008101,0.25123816,0.93788440,2.95934719
-0.09904952,3.50264435,0.74078478,0.00000000,0.05927931,0.25241533,0.93499294,2.96790215
-0.09304652,3.50990117,0.73857792,0.00000000,0.05809997,0.25282435,0.93006095,2.97585052
-0.08704352,3.51624293,0.73566398,0.00000000,0.05657257,0.25257202,0.92354817,2.98408264
-0.08104052,3.52279336,0.73238900,0.00000000,0.05473468,0.25178046,0.91597023,2.99345979
-0.07503752,3.53065023,0.72911450,0.00000000,0.05263063,0.25058232,0.90788099,3.00478462
-0.06903452,3.54084439,0.72620327,0.00000000,0.05031015,0.24911575,0.89985351,3.01877226
-0.06303152,3.55430024,0.72400499,0.00000000,0.04782683,0.24751943,0.89246040,3.03602351
-0.05702851,3.57179910,0.72284205,0.00000000,0.04523656,0.24592776,0.88625427,3.05700111
-0.05102551,3.59394740,0.72299647,0.00000000,0.04259592,0.24446654,0.88174928,3.08201024
-0.04502251,3.62115096,0.72469844,0.00000000,0.03996063,0.24324908,0.87940434,3.11118413
-0.03901951,3.65359667,0.72811692,0.00000000,0.03738414,0.24237318,0.87960870,3.14447549
-0.03301651,3.69124211,0.73335286,0.00000000,0.03491631,0.24191868,0.88267035,3.18165411
-0.02701351,3.73381390,0.74043513,0.00000000,0.03260231,0.24194588,0.88880761,3.22231097
-0.02101051,3.78081438,0.74931943,0.00000000,0.03048165,0.24249471,0.89814388,3.26586852
-0.01500750,3.83153640,0.75989005,0.00000000,0.02858756,0.24358460,0.91070573,3.31159679
-0.00900450,3.88508544,0.77196432,0.00000000,0.02694642,0.24521487,0.92642406,3.35863467
-0.00300150,3.94040777,0.78529948,0.00000000,0.02557747,0.24736580,0.94513797,3.40601543
0.00300150,3.99632348,0.79960155,0.00000000,0.02449278,0.24999994,0.96660104,3.45269536
0.00900450,4.05156275,0.81453571,0.00000000,0.02369725,0.25306376,0.99048951,3.49758445
0.01500750,4.10480378,0.82973766,0.00000000,0.02318887,0.25648954,1.01641189,3.53957772
0.02101051,4.15471086,0.84482552,0.00000000,0.02295910,0.26019725,1.04391952,3.57758627
0.02701351,4.19997118,0.85941157,0.00000000,0.02299335,0.26409655,1.07251772,3.61056663
0.03301651,4.23932907,0.87311359,0.00000000,0.02327153,0.26808878,1.10167705,3.63754770
0.03901951,4.27161656,0.88556530,0.00000000,0.02376873,0.27206884,1.13084450,3.65765431
0.04502251,4.29577974,0.89642555,0.00000000,0.02445595,0.27592721,1.15945440,3.67012691
0.05102551,4.31090020,0.90538610,0.00000000,0.02530083,0.27955181,1.18693887,3.67433695
0.05702851,4.31621145,0.91217793,0.00000000,0.02626852,0.28282995,1.21273778,3.66979778
0.06303152,4.31111029,0.91657588,0.00000000,0.02732244,0.28565038,1.23630827,3.65617116
0.06903452,4.29516349,0.91840176,0.00000000,0.02842522,0.28790524,1.25713375,3.63326947
0.07503752,4.26810987,0.91752605,0.00000000,0.02953949,0.28949226,1.27473252,3.60105396
0.08104052,4.22985861,0.91386824,0.00000000,0.03062875,0.29031685,1.28866592,3.55962962
0.08704352,4.18048405,0.90739600,0.00000000,0.03165819,0.29029430,1.29854602,3.50923680
0.09304652,4.12021755,0.89812338,0.00000000,0.03259545,0.28935194,1.30404287,3.45024053
0.09904952,4.04943712,0.88610821,0.00000000,0.03341135,0.28743112,1.30489097,3.38311762
0.10505253,3.96865494,0.87144881,0.00000000,0.03408050,0.28448907,1.30089511,3.30844238
0.11105553,3.87850349,0.85428017,0.00000000,0.03458180,0.28050049,1.29193499,3.22687114
0.11705853,3.77972035,0.83476978,0.00000000,0.03489890,0.27545871,1.27796881,3.13912620
0.12306153,3.67313217,0.81311306,0.00000000,0.03502045,0.26937644,1.25903519,3.04597936
0.12906453,3.55963789,0.78952869,0.00000000,0.03494020,0.26228598,1.23525354,2.94823564
0.13506753,3.44019152,0.76425369,0.00000000,0.03465705,0.25423890,1.20682253,2.84671721
0.14107054,3.31578469,0.73753849,0.00000000,0.03417483,0.24530510,1.17401654,2.74224806
0.14707354,3.18742920,0.70964193,0.00000000,0.03350203,0.23557127,1.13718024,2.63563953
0.15307654,3.05613987,0.68082639,0.00000000,0.03265137,0.22513887,1.09672117,2.52767704
0.15907954,2.92291794,0.65135302,0.00000000,0.03163924,0.21412159,1.05310059,2.41910817
0.16508254,2.78873537,0.62147724,0.00000000,0.03048505,0.20264242,1.00682281,2.31063245
0.17108554,2.65452044,0.59144456,0.00000000,0.02921058,0.19083049,0.95842343,2.20289287
0.17708854,2.52114485,0.56148683,0.00000000,0.02783920,0.17881773,0.90845679,2.09646947
0.18309155,2.38941277,0.53181899,0.00000000,0.02639511,0.16673556,0.85748307,1.99187487
0.18909455,2.26005210,0.50263648,0.00000000,0.02490264,0.15471163,0.80605566,1.88955201
0.19509755,2.13370804,0.47411327,0.00000000,0.02338554,0.14286687,0.75470915,1.78987393
0.20110055,2.01093935,0.44640067,0.00000000,0.02186634,0.13131289,0.70394840,1.69314558
0.20710355,1.89221717,0.41962688,0.00000000,0.02036585,0.12014976,0.65423912,1.59960751
0.21310655,1.77792649,0.39389732,0.00000000,0.01890269,0.10946439,0.60600030,1.50944120
