energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.13708289,-2.07666360,0.51550401,-0.50548968,0.57152206,-0.53866647,0.02594038,-0.02722743,0.17067529,-0.15915234,0.52497618,-0.49736666,0.16409774,-0.15849387,1.22748694,-1.20437969,0.00000000,-0.00000000
-5.99399700,2.15112643,-2.08891666,0.51659290,-0.50519309,0.58307141,-0.54846215,0.02498026,-0.02637981,0.17314990,-0.16084623,0.53766030,-0.50987815,0.16551829,-0.15987105,1.23363916,-1.21055358,0.00000000,-0.00000000
-5.98799400,2.16471751,-2.10080714,0.51888454,-0.50604545,0.59548305,-0.55935197,0.02391645,-0.02540581,0.17633511,-0.16344137,0.54968451,-0.52181565,0.16672901,-0.16100169,1.23843012,-1.21518034,0.00000000,-0.00000000
-5.98199100,2.17794930,-2.11251424,0.52239489,-0.50808744,0.60861338,-0.57123893,0.02276587,-0.02432212,0.18008989,-0.16680876,0.56106379,-0.53320788,0.16778096,-0.16193881,1.24211602,-1.21855126,0.00000000,-0.00000000
-5.97598799,2.19089300,-2.12419834,0.52712193,-0.51134665,0.62230005,-0.58400152,0.02154607,-0.02314665,0.18426980,-0.17081116,0.57181550,-0.54408596,0.16872557,-0.16273795,1.24494725,-1.22096099,0.00000000,-0.00000000
-5.96998499,2.20359033,-2.13599097,0.53304198,-0.51583349,0.63636564,-0.59749616,0.02027481,-0.02189800,0.18873060,-0.17530655,0.58195680,-0.55448051,0.16961226,-0.16345483,1.24715767,-1.22269544,0.00000000,-0.00000000
-5.96398199,2.21604625,-2.14798514,0.54010602,-0.52153703,0.65062137,-0.61156021,0.01896968,-0.02059503,0.19333135,-0.18015154,0.59150203,-0.56441869,0.17048624,-0.16414302,1.24895449,-1.22402013,0.00000000,-0.00000000
-5.95797899,2.22822255,-2.16022687,0.54823641,-0.52842085,0.66487092,-0.62601540,0.01764768,-0.01925639,0.19793717,-0.18520429,0.60046017,-0.57392150,0.17138624,-0.16485165,1.25050913,-1.22516933,0.00000000,-0.00000000
-5.95197599,2.24003239,-2.17270797,0.55732437,-0.53641944,0.67891395,-0.64067147,0.01632492,-0.01790009,0.20242148,-0.19032733,0.60883244,-0.58300120,0.17234268,-0.16562323,1.25194935,-1.22633648,0.00000000,-0.00000000
-5.94597299,2.25133623,-2.18536047,0.56722845,-0.54543539,0.69254934,-0.65532982,0.01501635,-0.01654319,0.20666776,-0.19538985,0.61661018,-0.59165912,0.17337592,-0.16649170,1.25335303,-1.22766618,0.00000000,-0.00000000
