energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,W_p_up,W_d_up
-6.00000000,3.34519268,0.03310392,0.20914458,0.04581586,2.02986563,0.52309108,0.21695060,1.50586675,0.78380653
-5.99399700,3.34830030,0.03485422,0.21374147,0.04628191,2.03094851,0.53153598,0.21459697,1.50527108,0.77915919
-5.98799400,3.35948050,0.03664510,0.21917087,0.04675809,2.03701504,0.54065508,0.21286476,1.50734447,0.77657210
-5.98199100,3.37998109,0.03846380,0.22551535,0.04725676,2.04877000,0.55057060,0.21176214,1.51275577,0.77641153
-5.97598799,3.41072318,0.04029486,0.23283212,0.04778694,2.06672015,0.56134499,0.21127094,1.52204824,0.77896208
-5.96998499,3.45228820,0.04212044,0.24115052,0.04835398,2.09116942,0.57297511,0.21134924,1.53562773,0.78442315
-5.96398199,3.50492114,0.04392086,0.25047054,0.04895941,2.12222397,0.58538976,0.21193491,1.55375774,0.79290941
-5.95797899,3.56854947,0.04567524,0.26076250,0.04960104,2.15980652,0.59845054,0.21295008,1.57656134,0.80445529
-5.95197599,3.64281615,0.04736223,0.27196791,0.05027321,2.20367903,0.61195626,0.21430614,1.60402968,0.81902305
-5.94597299,3.72712460,0.04896087,0.28400138,0.05096728,2.25347205,0.62565059,0.21590914,1.63603613,0.83651393
-5.93996998,3.82069248,0.05045138,0.29675359,0.05167222,2.30871889,0.63923273,0.21766519,1.67235496,0.85678167
-5.93396698,3.92261070,0.05181605,0.31009497,0.05237534,2.36889243,0.65237050,0.21948573,1.71268309,0.87964744
-5.92796398,4.03190404,0.05303991,0.32388013,0.05306304,2.43344196,0.66471518,0.22129229,1.75666333,0.90491535
-5.92196098,4.14758914,0.05411140,0.33795253,0.05372158,2.50182787,0.67591746,0.22302049,1.80390724,0.93238751
-5.91595798,4.26872634,0.05502285,0.35214939,0.05433784,2.57355169,0.68564355,0.22462318,1.85401625,0.96187762
-5.90995498,4.39446200,0.05577079,0.36630641,0.05489993,2.64817969,0.69359072,0.22607250,1.90659920,0.99322233
-5.90395198,4.52405852,0.05635599,0.38026212,0.05539773,2.72535825,0.69950133,0.22736072,1.96128539,1.02628951
-5.89794897,4.65691028,0.05678337,0.39386173,0.05582323,2.80482017,0.70317490,0.22849995,2.01773212,1.06098301
-5.89194597,4.79254462,0.05706172,0.40696017,0.05617079,2.88638140,0.70447728,0.22952061,2.07562634,1.09724340
-5.88594297,4.93060779,0.05720310,0.41942439,0.05643710,2.96992832,0.70334673,0.23046889,2.13468042,1.13504478
-5.87993997,5.07083732,0.05722225,0.43113471,0.05662111,3.05539669,0.69979658,0.23140323,2.19462262,1.17438766
-5.87393697,5.21302257,0.05713577,0.44198539,0.05672370,3.14274344,0.69391431,0.23239010,2.25518305,1.21528847
-5.86793397,5.35695670,0.05696122,0.45188440,0.05674736,3.23191353,0.68585729,0.23349933,2.31607663,1.25776625
-5.86193097,5.50238346,0.05671630,0.46075253,0.05669564,3.32280407,0.67584534,0.23479910,2.37698439,1.30182740
-5.85592796,5.64894296,0.05641791,0.46852201,0.05657268,3.41522846,0.66415075,0.23635110,2.43753505,1.34744955
