energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Te_p_up,Te_d_up
-5.86793397,5.22157512,0.01108146,1.07283153,2.00671007,1.62497940,0.22412174,2.11842297,0.00000000
-5.86193097,5.20451130,0.01071752,1.08723579,2.02167927,1.63838481,0.21986794,2.09024175,0.00000000
-5.85592796,5.17910193,0.01035704,1.09855157,2.03194521,1.64783439,0.21501801,2.06038643,0.00000000
-5.84992496,5.14497868,0.01000414,1.10633066,2.03710611,1.65273984,0.20966124,2.02919376,0.00000000
-5.84392196,5.10193706,0.00966315,1.11019533,2.03683272,1.65261433,0.20389884,1.99702666,0.00000000
-5.83791896,5.04994646,0.00933867,1.10985188,2.03088019,1.64708949,0.19784098,1.96426311,0.00000000
-5.83191596,4.98915930,0.00903545,1.10510192,2.01909891,1.63592934,0.19160386,1.93128694,0.00000000
-5.82591296,4.91991868,0.00875843,1.09585090,2.00144412,1.61904028,0.18530702,1.89848100,0.00000000
-5.81990995,4.84276412,0.00851268,1.08211350,1.97798350,1.59647699,0.17907080,1.86622281,0.00000000
-5.81390695,4.75843435,0.00830333,1.06401555,1.94890253,1.56844363,0.17301426,1.83488252,0.00000000
-5.80790395,4.66786642,0.00813559,1.04179248,1.91450701,1.53529042,0.16725328,1.80482292,0.00000000
-5.80190095,4.57219007,0.00801458,1.01578413,1.87522242,1.49750554,0.16189914,1.77640071,0.00000000
-5.79589795,4.47271670,0.00794538,0.98642625,1.83158968,1.45570260,0.15705725,1.74996855,0.00000000
-5.78989495,4.37092203,0.00793283,0.95423890,1.78425746,1.41060414,0.15282621,1.72587697,0.00000000
-5.78389195,4.26842223,0.00798148,0.91981218,1.73397063,1.36302164,0.14929689,1.70447531,0.00000000
-5.77788894,4.16694320,0.00809547,0.88378982,1.68155525,1.31383277,0.14655171,1.68611110,0.00000000
-5.77188594,4.06828341,0.00827838,0.84685126,1.62790033,1.26395675,0.14466370,1.67112720,0.00000000
-5.76588294,3.97427073,0.00853307,0.80969277,1.57393672,1.21432845,0.14369567,1.65985635,0.00000000
-5.75987994,3.88671442,0.00886159,0.77300839,1.52061384,1.16587240,0.14369902,1.65261300,0.00000000
-5.75387694,3.80735355,0.00926495,0.73747119,1.46887485,1.11947729,0.14471255,1.64968248,0.00000000
-5.74787394,3.73780357,0.00974304,0.70371559,1.41963124,1.07597202,0.14676099,1.65130790,0.00000000
-5.74187094,3.67950296,0.01029445,0.67232118,1.37373745,1.03610388,0.14985352,1.65767529,0.00000000
-5.73586793,3.63366210,0.01091635,0.64379869,1.33196678,1.00051968,0.15398213,1.66889793,0.00000000
-5.72986493,3.60121642,0.01160442,0.61857819,1.29498906,0.96975022,0.15912018,1.68500064,0.00000000
-5.72386193,3.58278610,0.01235278,0.59700025,1.26335136,0.94419875,0.16522104,1.70590506,0.00000000
-5.71785893,3.57864420,0.01315393,0.57930987,1.23746218,0.92413353,0.17221711,1.73141718,0.00000000
-5.71185593,3.58869499,0.01399884,0.56565357,1.21757986,0.90968479,0.18001934,1.76121784,0.00000000
-5.70585293,3.61246395,0.01487695,0.55607950,1.20380587,0.90084613,0.18851725,1.79485727,0.00000000
-5.69984992,3.64910034,0.01577633,0.55054060,1.19608308,0.89748025,0.19757981,1.83175441,0.00000000
-5.69384692,3.69739295,0.01668384,0.54890064,1.19419935,0.89932880,0.20705698,1.87120139,0.00000000
-5.68784392,3.75579903,0.01758540,0.55094285,1.19779632,0.90602605,0.21678219,1.91237360,0.00000000
-5.68184092,3.82248590,0.01846619,0.55638096,1.20638330,0.91711591,0.22657562,1.95434522,0.00000000
-5.67583792,3.89538408,0.01931104,0.56487217,1.21935559,0.93207182,0.23624832,1.99611000,0.00000000
-5.66983492,3.97225052,0.02010474,0.57603168,1.23601698,0.95031868,0.24560694,2.03660670,0.00000000
-5.66383192,4.05073984,0.02083245,0.58944829,1.25560534,0.97125630,0.25445916,2.07474842,0.00000000
-5.65782891,4.12848100,0.02148004,0.60470052,1.27732059,0.99428337,0.26261935,2.10945477,0.00000000
-5.65182591,4.20315684,0.02203456,0.62137269,1.30035395,1.01882120,0.26991444,2.13968572,0.00000000
-5.64582291,4.27258331,0.02248454,0.63907037,1.32391736,1.04433619,0.27618975,2.16447577,0.00000000
-5.63981991,4.33478530,0.02282039,0.65743458,1.34727193,1.07036023,0.28131435,2.18296716,0.00000000
-5.63381691,4.38806610,0.02303465,0.67615424,1.36975427,1.09650819,0.28518591,2.19444065,0.00000000
-5.62781391,4.43106730,0.02312230,0.69497622,1.39079964,1.12249142,0.28773468,2.19834258,0.00000000
-5.62181091,4.46281669,0.02308091,0.71371255,1.40996081,1.14812695,0.28892644,2.19430702,0.00000000
-5.61580790,4.48276170,0.02291075,0.73224451,1.42692197,1.17334151,0.28876421,2.18217204,0.00000000
-5.60980490,4.49078688,0.02261483,0.75052318,1.44150687,1.19817012,0.28728868,2.16198919,0.00000000
-5.60380190,4.48721414,0.02219885,0.76856642,1.45368083,1.22274922,0.28457721,2.13402571,0.00000000
-5.59779890,4.47278551,0.02167107,0.78645234,1.46354644,1.24730421,0.28074156,2.09875931,0.00000000
-5.59179590,4.44862875,0.02104208,0.80430936,1.47133315,1.27213204,0.27592422,2.05686539,0.00000000
-5.58579290,4.41620715,0.02032458,0.82230339,1.47738104,1.29757925,0.27029363,2.00919735,0.00000000
-5.57978989,4.37725525,0.01953298,0.84062255,1.48211953,1.32401657,0.26403846,1.95676035,0.00000000
-5.57378689,4.33370325,0.01868308,0.85946023,1.48604192,1.35181104,0.25736114,1.90067984,0.00000000
-5.56778389,4.28759333,0.01779164,0.87899724,1.48967705,1.38129707,0.25047089,1.84216569,0.00000000
-5.56178089,4.24099141,0.01687597,0.89938398,1.49355927,1.41274783,0.24357663,1.78247358,0.00000000
-5.55577789,4.19589839,0.01595350,0.92072361,1.49819815,1.44634847,0.23687999,1.72286500,0.00000000
-5.54977489,4.15416480,0.01504137,0.94305710,1.50404962,1.48217255,0.23056877,1.66456752,0.00000000
-5.54377189,4.11741277,0.01415609,0.96635111,1.51148961,1.52016327,0.22481104,1.60873675,0.00000000
-5.53776888,4.08696881,0.01331318,0.99048931,1.52079190,1.56012032,0.21975023,1.55642160,0.00000000
-5.53176588,4.06381059,0.01252690,1.01526794,1.53211091,1.60169362,0.21550126,1.50853406,0.00000000
-5.52576288,4.04852984,0.01181001,1.04039578,1.54547059,1.64438424,0.21214797,1.46582470,0.00000000
-5.51975988,4.04131334,0.01117362,1.06549889,1.56075985,1.68755293,0.20974186,1.42886468,0.00000000
-5.51375688,4.04194227,0.01062712,1.09012983,1.57773471,1.73043593,0.20830219,1.39803479,0.00000000
-5.50775388,4.04981006,0.01017806,1.11378120,1.59602715,1.77216758,0.20781736,1.37352197,0.00000000
-5.50175088,4.06395744,0.00983227,1.13590272,1.61516019,1.81180881,0.20824747,1.35532298,0.00000000
-5.49574787,4.08312279,0.00959382,1.15592130,1.63456826,1.84838016,0.20952795,1.34325507,0.00000000
-5.48974487,4.10580517,0.00946525,1.17326288,1.65362204,1.88089787,0.21157400,1.33697280,0.00000000
-5.48374187,4.13033671,0.00944760,1.18737526,1.67165630,1.90841135,0.21428563,1.33599024,0.00000000
-5.47773887,4.15496079,0.00954070,1.19775053,1.68799939,1.93004023,0.21755310,1.33970736,0.00000000
-5.47173587,4.17791211,0.00974326,1.20394620,1.70200301,1.94500925,0.22126233,1.34743932,0.00000000
-5.46573287,4.19749497,0.01005314,1.20560393,1.71307054,1.95267929,0.22530027,1.35844734,0.00000000
-5.45972986,4.21215594,0.01046754,1.20246490,1.72068282,1.95257323,0.22955976,1.37196991,0.00000000
-5.45372686,4.22054796,0.01098313,1.19438126,1.72442008,1.94439538,0.23394378,1.38725275,0.00000000
-5.44772386,4.22158289,0.01159629,1.18132302,1.72397899,1.92804360,0.23836886,1.40357654,0.00000000
-5.44172086,4.21447085,0.01230322,1.16338017,1.71918419,1.90361396,0.24276765,1.42028129,0.00000000
-5.43571786,4.19874468,0.01310000,1.14076009,1.70999398,1.87139753,0.24709028,1.43678646,0.00000000
-5.42971486,4.17426941,0.01398274,1.11378031,1.69649992,1.83186989,0.25130487,1.45260616,0.00000000
-5.42371186,4.14123662,0.01494753,1.08285737,1.67892070,1.78567399,0.25539681,1.46735921,0.00000000
-5.41770885,4.10014491,0.01599047,1.04849200,1.65759070,1.73359716,0.25936725,1.48077374,0.00000000
-5.41170585,4.05176797,0.01710756,1.01125186,1.63294403,1.67654379,0.26323066,1.49268657,0.00000000
-5.40570285,3.99711228,0.01829466,0.97175225,1.60549499,1.61550465,0.26701177,1.50303775,0.00000000
-5.39969985,3.93736690,0.01954725,0.93063611,1.57581590,1.55152464,0.27074201,1.51186074,0.00000000
-5.39369685,3.87384818,0.02086036,0.88855385,1.54451363,1.48567003,0.27445569,1.51926907,0.00000000
-5.38769385,3.80794192,0.02222834,0.84614410,1.51220573,1.41899682,0.27818616,1.52544025,0.00000000
-5.38169085,3.74104585,0.02364464,0.80401597,1.47949753,1.35252123,0.28196210,1.53059798,0.00000000
