energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,4.95224043,0.02607134,0.97367921,0.22686249,3.01931938,2.06795956,1.64307833,0.00000000
-5.99399700,4.97039659,0.02635748,0.97910728,0.22472034,3.02902750,2.08306349,1.64672985,0.00000000
-5.98799400,4.99102860,0.02673753,0.98511254,0.22242774,3.03907598,2.10023170,1.65093326,0.00000000
-5.98199100,5.01419113,0.02720795,0.99168995,0.22007718,3.04963885,2.11938529,1.65576847,0.00000000
-5.97598799,5.03984874,0.02776335,0.99881037,0.21775888,3.06082765,2.14039679,1.66130090,0.00000000
-5.96998499,5.06785938,0.02839640,1.00641732,0.21555747,3.07267741,2.16308623,1.66757382,0.00000000
-5.96398199,5.09796280,0.02909800,1.01442499,0.21354868,3.08513618,2.18721910,1.67460205,0.00000000
-5.95797899,5.12977440,0.02985731,1.02271742,0.21179665,3.09805858,2.21250639,1.68236712,0.00000000
-5.95197599,5.16278491,0.03066197,1.03114899,0.21035149,3.11120385,2.23860673,1.69081423,0.00000000
-5.94597299,5.19636593,0.03149828,1.03954623,0.20924753,3.12423824,2.26513046,1.69985110,0.00000000
-5.93996998,5.22978104,0.03235147,1.04771082,0.20850219,3.13674199,2.29164561,1.70934873,0.00000000
-5.93396698,5.26220222,0.03320601,1.05542375,0.20811543,3.14822033,2.31768564,1.71914418,0.00000000
-5.92796398,5.29273093,0.03404591,1.06245044,0.20806994,3.15811835,2.34275851,1.72904511,0.00000000
-5.92196098,5.32042315,0.03485509,1.06854673,0.20833196,3.16583890,2.36635715,1.73883602,0.00000000
-5.91595798,5.34431756,0.03561775,1.07346536,0.20885272,3.17076323,2.38797085,1.74828606,0.00000000
-5.90995498,5.36346604,0.03631874,1.07696305,0.20957041,3.17227317,2.40709753,1.75715798,0.00000000
-5.90395198,5.37696560,0.03694392,1.07880756,0.21041267,3.16977456,2.42325654,1.76521805,0.00000000
-5.89794897,5.38399077,0.03748050,1.07878491,0.21129948,3.16272060,2.43600186,1.77224668,0.00000000
-5.89194597,5.38382552,0.03791737,1.07670628,0.21214623,3.15063473,2.44493543,1.77804927,0.00000000
-5.88594297,5.37589380,0.03824536,1.07241448,0.21286714,3.13313187,2.44972032,1.78246690,0.00000000
-5.87993997,5.35978770,0.03845744,1.06578979,0.21337853,3.10993746,2.45009350,1.78538664,0.00000000
-5.87393697,5.33529220,0.03854896,1.05675498,0.21360224,3.08090341,2.44587775,1.78675086,0.00000000
-5.86793397,5.30240570,0.03851768,1.04527936,0.21346868,3.04602043,2.43699245,1.78656518,0.00000000
-5.86193097,5.26135523,0.03836386,1.03138160,0.21291971,3.00542607,2.42346269,1.78490472,0.00000000
-5.85592796,5.21260552,0.03809021,1.01513133,0.21191108,2.95940807,2.40542613,1.78191812,0.00000000
-5.84992496,5.15686118,0.03770181,0.99664931,0.21041444,2.90840280,2.38313739,1.77782909,0.00000000
-5.84392196,5.09506130,0.03720600,0.97610617,0.20841868,2.85298852,2.35696918,1.77293513,0.00000000
-5.83791896,5.02836613,0.03661213,0.95371967,0.20593081,2.79387367,2.32740987,1.76760327,0.00000000
-5.83191596,4.95813560,0.03593135,0.92975044,0.20297610,2.73188042,2.29505728,1.76226268,0.00000000
-5.82591296,4.88589989,0.03517630,0.90449639,0.19959760,2.66792387,2.26060831,1.75739426,0.00000000
-5.81990995,4.81332247,0.03436086,0.87828591,0.19585503,2.60298761,2.22484452,1.75351732,0.00000000
-5.81390695,4.74215664,0.03349978,0.85146992,0.19182311,2.53809658,2.18861381,1.75117377,0.00000000
-5.80790395,4.67419651,0.03260837,0.82441315,0.18758930,2.47428797,2.15280857,1.75091016,0.00000000
-5.80190095,4.61122431,0.03170219,0.79748489,0.18325122,2.41258147,2.11834095,1.75325838,0.00000000
-5.79589795,4.55495550,0.03079676,0.77104946,0.17891361,2.35394992,2.08611601,1.75871551,0.00000000
-5.78989495,4.50698405,0.02990726,0.74545684,0.17468523,2.29929148,2.05700370,1.76772386,0.00000000
-5.78389195,4.46872972,0.02904829,0.72103370,0.17067554,2.24940436,2.03181080,1.78065185,0.00000000
