energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.14157811,0.01838525,0.74188527,0.77896692,1.22672133,0.01712437,1.95392703,0.75486691,0.31579911
-5.99399700,4.25992294,0.01844704,0.76004474,0.79325079,1.26659931,0.01784837,2.01440218,0.77845300,0.32571845
-5.98799400,4.36763889,0.01841269,0.77552732,0.80760377,1.30278627,0.01849845,2.07093492,0.80049945,0.33480232
-5.98199100,4.46392106,0.01828364,0.78828681,0.82195449,1.33496993,0.01906358,2.12305295,0.82086762,0.34298778
-5.97598799,4.54816450,0.01806307,0.79833004,0.83625358,1.36290131,0.01953408,2.17035959,0.83945924,0.35022744
-5.96998499,4.61997397,0.01775581,0.80571313,0.85047576,1.38639923,0.01990202,2.21254321,0.85621760,0.35649042
-5.96398199,4.67916667,0.01736818,0.81053610,0.86462055,1.40535266,0.02016140,2.24938368,0.87112711,0.36176272
-5.95797899,4.72576774,0.01690780,0.81293625,0.87871169,1.41972096,0.02030842,2.28075534,0.88421132,0.36604698
-5.95197599,4.75999920,0.01638339,0.81308055,0.89279526,1.42953206,0.02034156,2.30662672,0.89552950,0.36936170
-5.94597299,4.78226294,0.01580445,0.81115761,0.90693649,1.43487871,0.02026164,2.32705670,0.90517205,0.37173994
-5.93996998,4.79311863,0.01518104,0.80736950,0.92121571,1.43591302,0.02007182,2.34218786,0.91325490,0.37322750
-5.93396698,4.79325800,0.01452352,0.80192399,0.93572319,1.43283968,0.01977743,2.35223695,0.91991326,0.37388079
-5.92796398,4.78347648,0.01384222,0.79502739,0.95055354,1.42590810,0.01938585,2.35748334,0.92529502,0.37376439
-5.92196098,4.76464369,0.01314727,0.78687839,0.96579954,1.41540391,0.01890626,2.35825595,0.92955402,0.37294848
-5.91595798,4.73767409,0.01244839,0.77766305,0.98154585,1.40164013,0.01834934,2.35491927,0.93284356,0.37150624
-5.90995498,4.70349878,0.01175465,0.76755110,0.99786272,1.38494846,0.01772692,2.34785908,0.93531032,0.36951133
-5.90395198,4.66303969,0.01107443,0.75669355,1.01480010,1.36567084,0.01705169,2.33746872,0.93708897,0.36703551
-5.89794897,4.61718674,0.01041527,0.74522157,1.03238213,1.34415167,0.01633679,2.32413619,0.93829763,0.36414663
-5.89194597,4.56677877,0.00978387,0.73324649,1.05060255,1.32073078,0.01559548,2.30823274,0.93903425,0.36090684
-5.88594297,4.51258846,0.00918607,0.72086085,1.06942099,1.29573741,0.01484078,2.29010333,0.93937411,0.35737136
-5.87993997,4.45531157,0.00862685,0.70814020,1.08876047,1.26948514,0.01408519,2.27005921,0.93936839,0.35358754
-5.87393697,4.39556034,0.00811045,0.69514545,1.10850624,1.24226787,0.01334043,2.24837284,0.93904387,0.34959447
-5.86793397,4.33386110,0.00764041,0.68192559,1.12850619,1.21435684,0.01261715,2.22527522,0.93840380,0.34542298
-5.86193097,4.27065562,0.00721964,0.66852059,1.14857285,1.18599862,0.01192481,2.20095555,0.93742976,0.34109615
-5.85592796,4.20630596,0.00685055,0.65496417,1.16848705,1.15741402,0.01127154,2.17556331,0.93608457,0.33663010
-5.84992496,4.14110240,0.00653509,0.64128660,1.18800335,1.12879774,0.01066399,2.14921232,0.93431610,0.33203524
-5.84392196,4.07527386,0.00627485,0.62751703,1.20685698,1.10031887,0.01010738,2.12198668,0.93206187,0.32731771
-5.83791896,4.00900043,0.00607107,0.61368565,1.22477235,1.07212195,0.00960543,2.09394828,0.92925421,0.32248108
-5.83191596,3.94242729,0.00592470,0.59982542,1.24147261,1.04432858,0.00916043,2.06514533,0.92582597,0.31752822
-5.82591296,3.87567958,0.00583638,0.58597346,1.25669023,1.01703957,0.00877327,2.03562172,0.92171634,0.31246314
-5.81990995,3.80887759,0.00580640,0.57217205,1.27017794,0.99033743,0.00844359,2.00542665,0.91687681,0.30729288
-5.81390695,3.74215155,0.00583467,0.55846933,1.28171965,0.96428915,0.00816985,1.97462395,0.91127681,0.30202924
-5.80790395,3.67565550,0.00592065,0.54491964,1.29114083,0.93894925,0.00794949,1.94330087,0.90490886,0.29669034
-5.80190095,3.60957961,0.00606322,0.53158354,1.29831781,0.91436292,0.00777904,1.91157572,0.89779303,0.29130188
-5.79589795,3.54416030,0.00626066,0.51852758,1.30318548,0.89056923,0.00765432,1.87960390,0.88998033,0.28589805
-5.78989495,3.47968773,0.00651048,0.50582378,1.30574290,0.86760423,0.00757060,1.84758213,0.88155502,0.28052202
-5.78389195,3.41651008,0.00680941,0.49354872,1.30605642,0.84550392,0.00752271,1.81575048,0.87263541,0.27522600
-5.77788894,3.35503438,0.00715324,0.48178251,1.30426016,0.82430686,0.00750528,1.78439194,0.86337331,0.27007076
-5.77188594,3.29572371,0.00753689,0.47060738,1.30055343,0.80405642,0.00751285,1.75382957,0.85395185,0.26512468
-5.76588294,3.23909057,0.00795431,0.46010598,1.29519550,0.78480254,0.00754003,1.72442118,0.84458187,0.26046232
-5.75987994,3.18568669,0.00839853,0.45035953,1.28849739,0.76660283,0.00758167,1.69655160,0.83549672,0.25616254
