energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.03360557,1.03757630,0.24332393,0.00030495,0.43546611,0.00220267,0.18551596
-5.99399700,0.96646426,0.95244989,0.22317178,0.00033157,0.39371454,0.00209459,0.18777353
-5.98799400,0.90433366,0.87183364,0.20418954,0.00035918,0.35381858,0.00199847,0.19116953
-5.98199100,0.84769633,0.79642704,0.18652090,0.00038740,0.31610850,0.00191470,0.19566298
-5.97598799,0.79686722,0.72677504,0.17027052,0.00041582,0.28085074,0.00184330,0.20117606
-5.96998499,0.75199881,0.66327113,0.15550512,0.00044395,0.24824929,0.00178387,0.20759582
-5.96398199,0.71309115,0.60616527,0.14225565,0.00047130,0.21844887,0.00173573,0.21477705
-5.95797899,0.68000632,0.55557575,0.13052030,0.00049736,0.19153982,0.00169786,0.22254618
-5.95197599,0.65248623,0.51150422,0.12026837,0.00052161,0.16756394,0.00166902,0.23070612
-5.94597299,0.63017313,0.47385296,0.11144452,0.00054354,0.14652122,0.00164781,0.23904201
-5.93996998,0.61263158,0.44244318,0.10397344,0.00056269,0.12837684,0.00163269,0.24732746
-5.93396698,0.59937110,0.41703369,0.09776452,0.00057864,0.11306818,0.00162206,0.25533127
-5.92796398,0.58986852,0.39733873,0.09271650,0.00059101,0.10051137,0.00161432,0.26282435
-5.92196098,0.58358906,0.38304434,0.08872180,0.00059951,0.09060722,0.00160794,0.26958651
-5.91595798,0.58000552,0.37382262,0.08567047,0.00060394,0.08324619,0.00160149,0.27541304
-5.90995498,0.57861480,0.36934312,0.08345363,0.00060417,0.07831235,0.00159366,0.28012066
-5.90395198,0.57895144,0.36928137,0.08196627,0.00060017,0.07568612,0.00158335,0.28355283
-5.89794897,0.58059756,0.37332403,0.08110946,0.00059202,0.07524584,0.00156964,0.28558404
-5.89194597,0.58318938,0.38117096,0.08079183,0.00057986,0.07686827,0.00155185,0.28612307
-5.88594297,0.58642007,0.39253427,0.08093044,0.00056393,0.08042800,0.00152949,0.28511505
-5.87993997,0.59003925,0.40713470,0.08145105,0.00054457,0.08579607,0.00150233,0.28254228
-5.87393697,0.59384941,0.42469588,0.08228781,0.00052215,0.09283800,0.00147030,0.27842381
-5.86793397,0.59769983,0.44493715,0.08338258,0.00049710,0.10141136,0.00143356,0.27281385
-5.86193097,0.60147839,0.46756552,0.08468384,0.00046990,0.11136331,0.00139243,0.26579905
-5.85592796,0.60510214,0.49226754,0.08614544,0.00044105,0.12252829,0.00134734,0.25749484
-5.84992496,0.60850724,0.51870199,0.08772516,0.00041106,0.13472612,0.00129885,0.24804104
-5.84392196,0.61163891,0.54649386,0.08938344,0.00038041,0.14776081,0.00124759,0.23759683
-5.83791896,0.61444226,0.57523049,0.09108209,0.00034958,0.16142015,0.00119423,0.22633546
-5.83191596,0.61685440,0.60446025,0.09278329,0.00031904,0.17547648,0.00113945,0.21443877
-5.82591296,0.61879851,0.63369415,0.09444895,0.00028918,0.18968840,0.00108391,0.20209192
-5.81990995,0.62018012,0.66241058,0.09604033,0.00026037,0.20380374,0.00102824,0.18947834
-5.81390695,0.62088591,0.69006322,0.09751815,0.00023292,0.21756355,0.00097301,0.17677521
-5.80790395,0.62078502,0.71609182,0.09884305,0.00020710,0.23070708,0.00091872,0.16414966
-5.80190095,0.61973284,0.73993550,0.09997641,0.00018311,0.24297758,0.00086579,0.15175558
-5.79589795,0.61757697,0.76104801,0.10088155,0.00016111,0.25412858,0.00081457,0.13973139
-5.78989495,0.61416489,0.77891421,0.10152514,0.00014121,0.26393053,0.00076530,0.12819854
-5.78389195,0.60935304,0.79306698,0.10187877,0.00012350,0.27217725,0.00071820,0.11726093
-5.77788894,0.60301645,0.80310362,0.10192061,0.00010801,0.27869219,0.00067338,0.10700505
-5.77188594,0.59505859,0.80870098,0.10163703,0.00009477,0.28333386,0.00063095,0.09750083
-5.76588294,0.58542057,0.80962848,0.10102404,0.00008378,0.28600036,0.00059095,0.08880308
-5.75987994,0.57408934,0.80575826,0.10008858,0.00007503,0.28663266,0.00055344,0.08095346
-5.75387694,0.56110428,0.79707199,0.09884938,0.00006851,0.28521653,0.00051849,0.07398270
-5.74787394,0.54656193,0.78366396,0.09733754,0.00006424,0.28178298,0.00048618,0.06791321
-5.74187094,0.53061851,0.76574032,0.09559674,0.00006222,0.27640706,0.00045667,0.06276169
-5.73586793,0.51349022,0.74361443,0.09368291,0.00006252,0.26920535,0.00043019,0.05854184
-5.72986493,0.49545147,0.71769878,0.09166369,0.00006519,0.26033197,0.00040706,0.05526700
-5.72386193,0.47683100,0.68849374,0.08961742,0.00007035,0.24997345,0.00038771,0.05295272
-5.71785893,0.45800647,0.65657394,0.08763191,0.00007816,0.23834274,0.00037275,0.05161912
-5.71185593,0.43939774,0.62257283,0.08580300,0.00008881,0.22567253,0.00036290,0.05129312
-5.70585293,0.42145939,0.58716629,0.08423302,0.00010256,0.21220826,0.00035909,0.05201044
-5.69984992,0.40467279,0.55105609,0.08302918,0.00011971,0.19820119,0.00036245,0.05381743
-5.69384692,0.38953840,0.51495388,0.08230203,0.00014062,0.18390161,0.00037431,0.05677260
-5.68784392,0.37656832,0.47956631,0.08216407,0.00016572,0.16955273,0.00039625,0.06094801
-5.68184092,0.36627972,0.44558199,0.08272841,0.00019548,0.15538521,0.00043009,0.06643027
-5.67583792,0.35918897,0.41366030,0.08410770,0.00023043,0.14161269,0.00047789,0.07332131
-5.66983492,0.35580669,0.38442258,0.08641315,0.00027116,0.12842824,0.00054198,0.08173863
-5.66383192,0.35663357,0.35844544,0.08975369,0.00031830,0.11600188,0.00062490,0.09181516
-5.65782891,0.36215655,0.33625608,0.09423516,0.00037250,0.10447915,0.00072945,0.10369841
-5.65182591,0.37284525,0.31832936,0.09995950,0.00043443,0.09398056,0.00085860,0.11754895
-5.64582291,0.38914800,0.30508611,0.10702377,0.00050477,0.08460183,0.00101548,0.13353791
-5.63981991,0.41148714,0.29689223,0.11551891,0.00058419,0.07641489,0.00120332,0.15184356
-5.63381691,0.44025303,0.29405800,0.12552822,0.00067329,0.06946926,0.00142535,0.17264674
-5.62781391,0.47579648,0.29683713,0.13712537,0.00077260,0.06379379,0.00168471,0.19612508
-5.62181091,0.51841921,0.30542514,0.15037188,0.00088256,0.05939855,0.00198438,0.22244606
-5.61580790,0.56836224,0.31995663,0.16531421,0.00100344,0.05627671,0.00232700,0.25175888
-5.60980490,0.62579239,0.34050146,0.18198028,0.00113536,0.05440624,0.00271477,0.28418539
-5.60380190,0.69078690,0.36705955,0.20037568,0.00127821,0.05375148,0.00314929,0.31981014
-5.59779890,0.76331698,0.39955473,0.22047958,0.00143164,0.05426437,0.00363141,0.35867008
-5.59179590,0.84323085,0.43782783,0.24224064,0.00159504,0.05588540,0.00416110,0.40074417
-5.58579290,0.93023725,0.48162949,0.26557306,0.00176749,0.05854437,0.00473729,0.44594348
-5.57978989,1.02389055,0.53061349,0.29035318,0.00194774,0.06216082,0.00535778,0.49410230
-5.57378689,1.12357864,0.58433105,0.31641680,0.00213426,0.06664443,0.00601912,0.54497086
-5.56778389,1.22851483,0.64222723,0.34355753,0.00232517,0.07189537,0.00671657,0.59821035
-5.56178089,1.33773492,0.70363986,0.37152661,0.00251833,0.07780463,0.00744408,0.65339062
-5.55577789,1.45010046,0.76780185,0.40003416,0.00271130,0.08425467,0.00819431,0.70999122
-5.54977489,1.56430900,0.83384747,0.42875233,0.00290145,0.09112017,0.00895870,0.76740597
-5.54377189,1.67891170,0.90082282,0.45732020,0.00308598,0.09826923,0.00972762,0.82495148
-5.53776888,1.79233850,0.96770079,0.48535049,0.00326197,0.10556488,0.01049055,0.88187937
-5.53176588,1.90293039,1.03340029,0.51243805,0.00342652,0.11286702,0.01123627,0.93739219
-5.52576288,2.00897799,1.09680940,0.53816977,0.00357678,0.12003467,0.01195319,0.99066258
-5.51975988,2.10876530,1.15681177,0.56213561,0.00371003,0.12692862,0.01262961,1.04085499
-5.51375688,2.20061687,1.21231538,0.58394038,0.00382383,0.13341429,0.01325407,1.08714925
-5.50775388,2.28294663,1.26228250,0.60321567,0.00391602,0.13936465,0.01381566,1.12876496
-5.50175088,2.35430621,1.30575971,0.61963152,0.00398487,0.14466328,0.01430441,1.16498573
-5.49574787,2.41343046,1.34190649,0.63290717,0.00402907,0.14920717,0.01471152,1.19518205
-5.48974487,2.45927821,1.37002121,0.64282042,0.00404787,0.15290934,0.01502973,1.21883194
-5.48374187,2.49106620,1.38956318,0.64921517,0.00404101,0.15570098,0.01525350,1.23553818
-5.47773887,2.50829455,1.40016972,0.65200669,0.00400881,0.15753317,0.01537920,1.24504141
-5.47173587,2.51076257,1.40166747,0.65118445,0.00395217,0.15837790,0.01540527,1.24722856
-5.46573287,2.49857426,1.39407729,0.64681233,0.00387247,0.15822851,0.01533221,1.24213606
-5.45972986,2.47213313,1.37761254,0.63902619,0.00377163,0.15709941,0.01516260,1.22994788
-5.45372686,2.43212702,1.35267100,0.62802910,0.00365201,0.15502515,0.01490099,1.21098853
-5.44772386,2.37950352,1.31982059,0.61408436,0.00351634,0.15205888,0.01455378,1.18571143
-5.44172086,2.31543760,1.27977995,0.59750676,0.00336765,0.14827027,0.01412895,1.15468336
